review_id,experiment_id,sar_frame,component_id,assembly_id,visual_role,same_vehicle_response,background_response,uncertain,relation_to_previous_frame,transitive_merge_error,human_multimodal_judgement_cn,runtime_png,eval_png
VIS_011,ADJ_0206_TO_0207,78,C1C_ADJ_0206_TO_0207_78_c002;C1C_ADJ_0206_TO_0207_78_c003;C1C_ADJ_0206_TO_0207_78_c007,C1C_ADJ_0206_TO_0207_78_a001;C1C_ADJ_0206_TO_0207_78_a002;C1C_ADJ_0206_TO_0207_78_a003,compact_vehicle_core,true,false,false,locally_continuous_compact_core,false,白色 SUV 77-81 段存在可持续的底部紧凑响应核心；应跟随核心小框，而不是吸收远处背景线状散射。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_white_runtime_full_zoom_review.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_012,ADJ_0206_TO_0207,79,C1C_ADJ_0206_TO_0207_79_c002;C1C_ADJ_0206_TO_0207_79_c003;C1C_ADJ_0206_TO_0207_79_c005,C1C_ADJ_0206_TO_0207_79_a001;C1C_ADJ_0206_TO_0207_79_a002;C1C_ADJ_0206_TO_0207_79_a003,compact_vehicle_core,true,false,false,locally_continuous_compact_core,false,白色 SUV 77-81 段存在可持续的底部紧凑响应核心；应跟随核心小框，而不是吸收远处背景线状散射。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_white_runtime_full_zoom_review.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_013,ADJ_0206_TO_0207,80,C1C_ADJ_0206_TO_0207_80_c001;C1C_ADJ_0206_TO_0207_80_c002;C1C_ADJ_0206_TO_0207_80_c003;C1C_ADJ_0206_TO_0207_80_c004,C1C_ADJ_0206_TO_0207_80_a001;C1C_ADJ_0206_TO_0207_80_a002;C1C_ADJ_0206_TO_0207_80_a003,compact_vehicle_core,true,false,false,locally_continuous_compact_core,false,白色 SUV 77-81 段存在可持续的底部紧凑响应核心；应跟随核心小框，而不是吸收远处背景线状散射。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_white_runtime_full_zoom_review.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_014,ADJ_0206_TO_0207,81,C1C_ADJ_0206_TO_0207_81_c001;C1C_ADJ_0206_TO_0207_81_c002;C1C_ADJ_0206_TO_0207_81_c008,C1C_ADJ_0206_TO_0207_81_a001;C1C_ADJ_0206_TO_0207_81_a002;C1C_ADJ_0206_TO_0207_81_a003,compact_vehicle_core,true,false,false,locally_continuous_compact_core,false,白色 SUV 77-81 段存在可持续的底部紧凑响应核心；应跟随核心小框，而不是吸收远处背景线状散射。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_white_runtime_full_zoom_review.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_015,ADJ_0208_TO_0209,212,src212_c001;src212_c001,src_212_assembly;src_212_assembly,uncertain_split_or_background,false,false,true,source_or_anchor_window,false,银色 MPV 早段响应弱且背景弧线多，局部核心不稳定；多分量更像车辆弱响应与背景散射混杂。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_a.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_016,ADJ_0208_TO_0209,213,C1C_ADJ_0208_TO_0209_213_c004;C1D_ADJ_0208_TO_0209_ADJ_0208_TO_0209_C1D_h001_213_c004;C1C_OPEN_SILVER_0208_TO_0213_213_c004,C1C_ADJ_0208_TO_0209_213_a001;C1D_ADJ_0208_TO_0209_213_ADJ_0208_TO_0209_C1D_h001_a001;C1C_OPEN_SILVER_0208_TO_0213_213_a001,uncertain_split_or_background,false,false,true,long_interval_uncertain_or_background_contaminated,false,银色 MPV 早段响应弱且背景弧线多，局部核心不稳定；多分量更像车辆弱响应与背景散射混杂。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_a.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_017,ADJ_0208_TO_0209,220,,,uncertain_split_or_background,false,false,true,long_interval_uncertain_or_background_contaminated,false,银色 MPV 早段响应弱且背景弧线多，局部核心不稳定；多分量更像车辆弱响应与背景散射混杂。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_a.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_018,ADJ_0208_TO_0209,227,,,uncertain_split_or_background,false,false,true,long_interval_uncertain_or_background_contaminated,false,银色 MPV 早段响应弱且背景弧线多，局部核心不稳定；多分量更像车辆弱响应与背景散射混杂。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_a.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_019,ADJ_0208_TO_0209,238,src238_c001,src_238_assembly,uncertain_split_or_background,false,false,true,source_or_anchor_window,true,银色 MPV 早段响应弱且背景弧线多，局部核心不稳定；多分量更像车辆弱响应与背景散射混杂。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_a.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_020,ADJ_0209_TO_0210,239,C1C_ADJ_0209_TO_0210_239_c003;C1C_ADJ_0209_TO_0210_239_c005;C1D_ADJ_0209_TO_0210_ADJ_0209_TO_0210_C1D_h001_239_c003,C1C_ADJ_0209_TO_0210_239_a001;C1C_ADJ_0209_TO_0210_239_a002;C1D_ADJ_0209_TO_0210_239_ADJ_0209_TO_0210_C1D_h001_a001,background_or_transitive_risk,false,true,true,long_interval_uncertain_or_background_contaminated,true,银色 MPV 中段存在远离底部核心的弧线和点状散射，A1.7 的大包络扩张会把这些响应错误吸入。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_a.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_021,ADJ_0209_TO_0210,243,C1C_ADJ_0209_TO_0210_243_c005;C1D_ADJ_0209_TO_0210_ADJ_0209_TO_0210_c1d_242_01_243_c009;C1D_ADJ_0209_TO_0210_ADJ_0209_TO_0210_c1d_242_01_243_c020,C1C_ADJ_0209_TO_0210_243_a001;C1D_ADJ_0209_TO_0210_243_ADJ_0209_TO_0210_c1d_242_01_a001;C1D_ADJ_0209_TO_0210_243_ADJ_0209_TO_0210_c1d_242_01_a002,background_or_transitive_risk,false,true,true,long_interval_uncertain_or_background_contaminated,true,银色 MPV 中段存在远离底部核心的弧线和点状散射，A1.7 的大包络扩张会把这些响应错误吸入。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_a.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_022,ADJ_0209_TO_0210,250,C1C_ADJ_0209_TO_0210_250_c001;C1C_ADJ_0209_TO_0210_250_c002;C1C_ADJ_0209_TO_0210_250_c004;C1C_ADJ_0209_TO_0210_250_c006,C1C_ADJ_0209_TO_0210_250_a001;C1C_ADJ_0209_TO_0210_250_a002;C1C_ADJ_0209_TO_0210_250_a003,background_or_transitive_risk,false,true,true,long_interval_uncertain_or_background_contaminated,true,银色 MPV 中段存在远离底部核心的弧线和点状散射，A1.7 的大包络扩张会把这些响应错误吸入。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_a.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_023,ADJ_0209_TO_0210,260,C1C_ADJ_0209_TO_0210_260_c001;C1C_ADJ_0209_TO_0210_260_c002;C1C_ADJ_0209_TO_0210_260_c003,C1C_ADJ_0209_TO_0210_260_a001;C1C_ADJ_0209_TO_0210_260_a002;C1C_ADJ_0209_TO_0210_260_a003,background_or_transitive_risk,false,true,true,long_interval_uncertain_or_background_contaminated,true,银色 MPV 中段存在远离底部核心的弧线和点状散射，A1.7 的大包络扩张会把这些响应错误吸入。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_a.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_024,ADJ_0209_TO_0210,269,C1C_ADJ_0209_TO_0210_269_c001;C1C_ADJ_0209_TO_0210_269_c003;C1D_ADJ_0209_TO_0210_ADJ_0209_TO_0210_c1d_242_01_269_c001,C1C_ADJ_0209_TO_0210_269_a001;C1C_ADJ_0209_TO_0210_269_a002;C1D_ADJ_0209_TO_0210_269_ADJ_0209_TO_0210_c1d_242_01_a001,background_or_transitive_risk,false,true,true,source_or_anchor_window,true,银色 MPV 中段存在远离底部核心的弧线和点状散射，A1.7 的大包络扩张会把这些响应错误吸入。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_b.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_025,ADJ_0210_TO_0211,270,,,compact_vehicle_core,true,false,false,locally_continuous_compact_core,false,银色 MPV 269-273 近邻段可见底部紧凑核心，但上方弧线响应更像背景结构，不能与核心合并成单一大框。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_b.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_026,ADJ_0210_TO_0211,271,C1C_ADJ_0210_TO_0211_271_c005;C1D_ADJ_0210_TO_0211_ADJ_0210_TO_0211_C1D_h001_271_c005,C1C_ADJ_0210_TO_0211_271_a001;C1D_ADJ_0210_TO_0211_271_ADJ_0210_TO_0211_C1D_h001_a001,compact_vehicle_core,true,false,false,locally_continuous_compact_core,false,银色 MPV 269-273 近邻段可见底部紧凑核心，但上方弧线响应更像背景结构，不能与核心合并成单一大框。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_b.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_027,ADJ_0210_TO_0211,272,,,compact_vehicle_core,true,false,false,locally_continuous_compact_core,false,银色 MPV 269-273 近邻段可见底部紧凑核心，但上方弧线响应更像背景结构，不能与核心合并成单一大框。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_b.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_028,ADJ_0210_TO_0211,273,src273_c001;src273_c003;src273_c004,src_273_assembly,compact_vehicle_core,true,false,false,source_or_anchor_window,false,银色 MPV 269-273 近邻段可见底部紧凑核心，但上方弧线响应更像背景结构，不能与核心合并成单一大框。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_b.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_029,ADJ_0211_TO_0212,276,C1C_ADJ_0211_TO_0212_276_c003;C1D_ADJ_0211_TO_0212_ADJ_0211_TO_0212_C1D_h001_276_c003,C1C_ADJ_0211_TO_0212_276_a001;C1D_ADJ_0211_TO_0212_276_ADJ_0211_TO_0212_C1D_h001_a001,uncertain_split_or_background,false,false,true,long_interval_uncertain_or_background_contaminated,true,银色 MPV 273-288 中间帧核心持续性弱，局部热点之间距离和空白间隔偏大，宜保持多假设或不可恢复。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_b.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_030,ADJ_0211_TO_0212,280,,,uncertain_split_or_background,false,false,true,long_interval_uncertain_or_background_contaminated,true,银色 MPV 273-288 中间帧核心持续性弱，局部热点之间距离和空白间隔偏大，宜保持多假设或不可恢复。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_b.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_031,ADJ_0211_TO_0212,284,,,uncertain_split_or_background,false,false,true,long_interval_uncertain_or_background_contaminated,true,银色 MPV 273-288 中间帧核心持续性弱，局部热点之间距离和空白间隔偏大，宜保持多假设或不可恢复。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_b.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_032,ADJ_0211_TO_0212,288,src288_c001;src288_c003;src288_c006,src_288_assembly,uncertain_split_or_background,false,false,true,source_or_anchor_window,true,银色 MPV 273-288 中间帧核心持续性弱，局部热点之间距离和空白间隔偏大，宜保持多假设或不可恢复。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_b.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_033,ADJ_0212_TO_0213,289,C1C_ADJ_0212_TO_0213_289_c001;C1C_ADJ_0212_TO_0213_289_c004;C1C_ADJ_0212_TO_0213_289_c010,C1C_ADJ_0212_TO_0213_289_a001;C1C_ADJ_0212_TO_0213_289_a002;C1C_ADJ_0212_TO_0213_289_a003,compact_vehicle_core,true,false,false,locally_continuous_compact_core,false,银色 MPV 288-290 目标端底部核心重新清晰，但它不能反向证明中间帧的大范围合并正确。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_b.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
VIS_034,ADJ_0212_TO_0213,290,C1C_ADJ_0212_TO_0213_290_c001;C1C_ADJ_0212_TO_0213_290_c003;C1C_ADJ_0212_TO_0213_290_c007,C1C_ADJ_0212_TO_0213_290_a001;C1C_ADJ_0212_TO_0213_290_a002;C1C_ADJ_0212_TO_0213_290_a003,compact_vehicle_core,true,false,false,locally_continuous_compact_core,false,银色 MPV 288-290 目标端底部核心重新清晰，但它不能反向证明中间帧的大范围合并正确。,outputs/wgv3_6a_a1_7r_20260711/a1_7r_silver_runtime_full_zoom_review_b.png,outputs/wgv3_6a_a1_7r_20260711/a1_7r_eval_only_overlay_review.png
