region_id,pair_id,sar_frame,family,variant,comparison_group,area_ratio_to_gt,offset_axis,offset_value,offset_unit,scale_ratio,rotation_relative_to_gt_deg,region_area_px,region_area_m2,region_area_p0_convention_m2,total_energy,mean_energy,median_energy,energy_std,peak_energy,energy_quantile_90,energy_quantile_95,energy_quantile_99,high_energy_threshold,high_energy_pixel_count,high_energy_pixel_fraction,response_occupancy_ratio,component_count,component_count_per_m2,component_count_per_p0_convention_m2,peak_count,peak_count_per_m2,peak_count_per_p0_convention_m2,energy_centroid_x,energy_centroid_y,energy_centroid_range_px,energy_centroid_azimuth_px,energy_centroid_range_m,energy_centroid_azimuth_m,energy_centroid_range_p0_convention_m,energy_centroid_azimuth_p0_convention_m,principal_axis_deg,principal_axis_minus_gt_storage_axis_deg,principal_axis_minus_local_range_axis_deg,range_support_width_px,azimuth_support_width_px,range_energy90_width_px,azimuth_energy90_width_px,range_second_moment_width_px,azimuth_second_moment_width_px,range_support_width_m,azimuth_support_width_m,range_energy90_width_m,azimuth_energy90_width_m,range_second_moment_width_m,azimuth_second_moment_width_m,range_support_width_p0_convention_m,azimuth_support_width_p0_convention_m,range_energy90_width_p0_convention_m,azimuth_energy90_width_p0_convention_m,near_far_energy_ratio,front_rear_energy_ratio,inside_gt_pixel_fraction,inside_gt_energy_fraction,inside_ring_energy_ratio,boundary_contact_ratio,mask_contact_ratio,visible_fraction,metric_extent_reliable,observation_status,crop_bbox,mask_definition,gt_file_opened_for_region_generation,final_detection_label
E0_REG_000315_0011,WGV35A_PAIR_0003,315,SCALE,storage_short_axis_only_scale_0.75,scale_response,0.75,,0,,0.75,0,7685,,6.9165,307996,40.077553,40,7.342621,112,48,51,61,51,463,0.060247,0.060247,112,,16.193161,11,,1.5904,791.122846,940.622076,-0.237001,0.117987,,,-0.00711,0.00354,-173.352881,-173.352881,-40.401795,123.256442,128.79176,99.66117,88.966287,124.934365,109.600726,,,,,,,3.697693,3.863753,2.989835,2.668989,1.002132,1.028385,0.993103,0.993467,152.079523,0,0,1,false,fully_observed,"716,912,865,969",zero_value_proxy_only,true,
E0_REG_000315_0012,WGV35A_PAIR_0003,315,SCALE,uniform_scale_1.00,scale_response,1,,0,,1,0,10295,,9.2655,418304,40.631763,40,7.750875,112,50,53,66,51,846,0.082176,0.082176,146,,15.75738,17,,1.834763,790.793002,941.155024,-0.402338,-0.486573,,,-0.01207,-0.014597,177.431418,177.431418,-49.617496,145.895885,141.687299,87.521635,105.396311,121.456229,137.541069,,,,,,,4.376877,4.250619,2.625649,3.161889,1.007718,1.012509,0.979116,0.980521,50.338243,0,0,1,false,fully_observed,"716,903,865,978",zero_value_proxy_only,true,
E0_REG_000315_0013,WGV35A_PAIR_0003,315,SCALE,range_only_scale_1.00,scale_response,2.265915,,0,,1,-132.951086,23140,,20.826,916947,39.62606,39,6.857335,112,47,51,59,51,1192,0.051513,0.051513,314,,15.077307,25,,1.200423,790.754449,940.677298,-0.026404,-0.189281,,,-0.000792,-0.005678,177.824425,177.824425,-49.224489,149.485782,153.723286,118.749332,124.197898,148.409411,156.336304,,,,,,,4.484573,4.611699,3.56248,3.725937,1.002273,1.011603,0.435609,0.447306,0.80932,0,0,1,false,fully_observed,"681,831,900,1050",zero_value_proxy_only,true,
E0_REG_000315_0014,WGV35A_PAIR_0003,315,SCALE,azimuth_only_scale_1.00,scale_response,2.265915,,0,,1,-132.951086,23140,,20.826,916947,39.62606,39,6.857335,112,47,51,59,51,1192,0.051513,0.051513,314,,15.077307,25,,1.200423,790.754449,940.677298,-0.026404,-0.189281,,,-0.000792,-0.005678,177.824425,177.824425,-49.224489,149.485782,153.723286,118.749332,124.197898,148.409411,156.336304,,,,,,,4.484573,4.611699,3.56248,3.725937,1.002273,1.011603,0.435609,0.447306,0.80932,0,0,1,false,fully_observed,"681,831,900,1050",zero_value_proxy_only,true,
E0_REG_000315_0015,WGV35A_PAIR_0003,315,SCALE,storage_long_axis_only_scale_1.00,scale_response,1,,0,,1,0,10295,,9.2655,418304,40.631763,40,7.750875,112,50,53,66,51,846,0.082176,0.082176,146,,15.75738,17,,1.834763,790.793002,941.155024,-0.402338,-0.486573,,,-0.01207,-0.014597,177.431418,177.431418,-49.617496,145.895885,141.687299,87.521635,105.396311,121.456229,137.541069,,,,,,,4.376877,4.250619,2.625649,3.161889,1.007718,1.012509,0.979116,0.980521,50.338243,0,0,1,false,fully_observed,"716,903,865,978",zero_value_proxy_only,true,
E0_REG_000315_0016,WGV35A_PAIR_0003,315,SCALE,storage_short_axis_only_scale_1.00,scale_response,1,,0,,1,0,10295,,9.2655,418304,40.631763,40,7.750875,112,50,53,66,51,846,0.082176,0.082176,146,,15.75738,17,,1.834763,790.793002,941.155024,-0.402338,-0.486573,,,-0.01207,-0.014597,177.431418,177.431418,-49.617496,145.895885,141.687299,87.521635,105.396311,121.456229,137.541069,,,,,,,4.376877,4.250619,2.625649,3.161889,1.007718,1.012509,0.979116,0.980521,50.338243,0,0,1,false,fully_observed,"716,903,865,978",zero_value_proxy_only,true,
E0_REG_000315_0017,WGV35A_PAIR_0003,315,SCALE,uniform_scale_1.25,scale_response,1.5625,,0,,1.25,0,16109,,14.4981,646385,40.125706,40,7.1733,112,48,52,62,51,1037,0.064374,0.064374,226,,15.588249,22,,1.51744,790.557595,940.88973,-0.04776,-0.478112,,,-0.001433,-0.014343,178.3876,178.3876,-48.661314,171.133207,182.29527,99.757445,111.579237,135.397306,148.937386,,,,,,,5.133996,5.468858,2.992723,3.347377,1.000028,1.008068,0.625737,0.634538,1.736264,0,0,1,false,fully_observed,"698,894,883,987",zero_value_proxy_only,true,
E0_REG_000315_0018,WGV35A_PAIR_0003,315,SCALE,range_only_scale_1.25,scale_response,2.832394,,0,,1.25,-132.951086,28922,,26.0298,1143045,39.521645,39,6.709928,112,47,50,58,51,1374,0.047507,0.047507,385,,14.79074,32,,1.22936,790.843179,940.017233,0.396263,0.325413,,,0.011888,0.009762,-139.416793,-139.416793,-6.465707,187.519943,153.901464,152.97213,128.177744,191.226992,160.234297,,,,,,,5.625598,4.617044,4.589164,3.845332,0.996456,1.007589,0.348524,0.358828,0.559643,0,0,1,false,fully_observed,"669,817,913,1064",zero_value_proxy_only,true,
E0_REG_000315_0019,WGV35A_PAIR_0003,315,SCALE,azimuth_only_scale_1.25,scale_response,2.832394,,0,,1.25,-132.951086,28852,,25.9668,1138021,39.443401,39,6.663821,112,47,50,58,51,1288,0.044642,0.044642,376,,14.480028,26,,1.001279,790.626672,940.432903,0.239541,-0.116282,,,0.007186,-0.003488,168.860589,168.860589,-58.188325,148.804408,191.759871,122.550999,138.627091,152.035646,176.689337,,,,,,,4.464132,5.752796,3.67653,4.158813,0.996188,1.008105,0.349369,0.360412,0.563506,0,0,1,false,fully_observed,"667,818,914,1063",zero_value_proxy_only,true,
E0_REG_000315_0020,WGV35A_PAIR_0003,315,SCALE,storage_long_axis_only_scale_1.25,scale_response,1.25,,0,,1.25,0,12851,,11.5659,518101,40.316006,40,7.450768,112,48,52,64,51,921,0.071668,0.071668,179,,15.47653,18,,1.556299,790.81475,940.965947,-0.278764,-0.341823,,,-0.008363,-0.010255,177.064388,177.064388,-49.984526,154.65262,175.10353,90.095445,109.838487,127.725336,146.549842,,,,,,,4.639579,5.253106,2.702863,3.295155,1.010996,1.014875,0.784375,0.791653,3.799676,0,0,1,false,fully_observed,"698,903,883,978",zero_value_proxy_only,true,
E0_REG_000315_0021,WGV35A_PAIR_0003,315,SCALE,storage_short_axis_only_scale_1.25,scale_response,1.25,,0,,1.25,0,12905,,11.6145,521152,40.383728,40,7.435424,112,48,52,64,51,946,0.073305,0.073305,184,,15.842266,21,,1.808085,790.613324,941.065618,-0.214471,-0.557168,,,-0.006434,-0.016715,178.206341,178.206341,-48.842573,150.338061,144.05886,88.985507,106.506249,126.430207,139.27735,,,,,,,4.510142,4.321766,2.669565,3.195187,0.997685,1.007643,0.781093,0.787018,3.695232,0,0,1,false,fully_observed,"716,894,865,987",zero_value_proxy_only,true,
E0_REG_000315_0022,WGV35A_PAIR_0003,315,SCALE,uniform_scale_1.50,scale_response,2.25,,0,,1.5,0,23219,,20.8971,921344,39.680607,39,6.807408,112,47,51,59,51,1181,0.050864,0.050864,299,,14.308205,25,,1.196338,790.339788,940.545981,0.35225,-0.403311,,,0.010568,-0.012099,179.296254,179.296254,-47.75266,212.396058,219.648057,115.657782,128.688211,157.362984,168.698052,,,,,,,6.371882,6.589442,3.469733,3.860646,0.99382,1.003545,0.434127,0.445171,0.802358,0,0,1,false,fully_observed,"680,885,901,996",zero_value_proxy_only,true,
E0_REG_000315_0023,WGV35A_PAIR_0003,315,SCALE,range_only_scale_1.50,scale_response,3.398873,,0,,1.5,-132.951086,34548,,31.0932,1363386,39.463528,39,6.585512,112,47,50,57,51,1529,0.044257,0.044257,475,,15.276652,34,,1.093487,790.608693,939.704539,0.784908,0.366847,,,0.023547,0.011005,47.333987,47.333987,-179.714927,224.417674,153.350132,178.250316,128.844746,226.457085,162.463445,,,,,,,6.73253,4.600504,5.347509,3.865342,0.990374,0.99939,0.291768,0.300836,0.43028,0,0,1,false,fully_observed,"656,804,926,1077",zero_value_proxy_only,true,
E0_REG_000315_0024,WGV35A_PAIR_0003,315,SCALE,azimuth_only_scale_1.50,scale_response,3.398873,,0,,1.5,-132.951086,34569,,31.1121,1363244,39.435448,39,6.597906,112,47,50,57,51,1514,0.043796,0.043796,460,,14.785244,35,,1.124964,790.657616,940.114869,0.451237,0.123067,,,0.013537,0.003692,142.121358,142.121358,-84.927556,148.999383,231.202494,128.288565,207.296578,159.655242,232.125302,,,,,,,4.469981,6.936075,3.848657,6.218897,0.986174,1.010916,0.291591,0.300868,0.430344,0,0,1,false,fully_observed,"653,805,928,1076",zero_value_proxy_only,true,
E0_REG_000315_0025,WGV35A_PAIR_0003,315,SCALE,storage_long_axis_only_scale_1.50,scale_response,1.5,,0,,1.5,0,15407,,13.8663,616921,40.041603,40,7.21213,112,48,52,62,51,967,0.062764,0.062764,204,,14.711927,18,,1.298111,790.745732,940.80587,-0.114571,-0.283267,,,-0.003437,-0.008498,177.030459,177.030459,-50.018455,179.408392,189.010308,102.538351,117.458791,135.542417,156.240833,,,,,,,5.382252,5.670309,3.076151,3.523764,1.010445,1.013699,0.654248,0.664844,1.983682,0,0,1,false,fully_observed,"680,903,901,978",zero_value_proxy_only,true,
E0_REG_000315_0026,WGV35A_PAIR_0003,315,SCALE,storage_short_axis_only_scale_1.50,scale_response,1.5,,0,,1.5,0,15515,,13.9635,621622,40.065872,40,7.203584,112,48,52,62,51,984,0.063422,0.063422,207,,14.824364,22,,1.575536,790.567329,940.840612,-0.018441,-0.43752,,,-0.000553,-0.013126,178.398194,178.398194,-48.65072,150.338061,146.555615,93.480669,107.818435,129.148085,140.41695,,,,,,,4.510142,4.396668,2.80442,3.234553,0.991657,1.006074,0.649694,0.659816,1.939584,0,0,1,false,fully_observed,"716,885,865,996",zero_value_proxy_only,true,
E0_REG_000315_0027,WGV35A_PAIR_0003,315,SCALE,uniform_scale_2.00,scale_response,4,,0,,2,0,40749,,36.6741,1607452,39.447643,39,6.500363,112,47,50,57,51,1755,0.043069,0.043069,562,,15.324166,40,,1.090688,790.560713,940.103698,0.52544,0.059752,,,0.015763,0.001793,170.430549,170.430549,-56.618365,289.015714,297.659378,172.464613,225.982669,204.875428,264.438315,,,,,,,8.670471,8.929781,5.173938,6.77948,0.997713,1.007719,0.247368,0.255159,0.342569,0,0,1,false,fully_observed,"644,868,937,1013",zero_value_proxy_only,true,
E0_REG_000315_0028,WGV35A_PAIR_0003,315,SCALE,range_only_scale_2.00,scale_response,4.53183,,0,,2,-132.951086,46330,,41.697,1830951,39.519772,39,6.54422,112,47,50,57,51,2078,0.044852,0.044852,676,,16.212198,50,,1.199127,790.210814,939.317379,1.339387,0.339425,,,0.040182,0.010183,51.154451,51.154451,-175.894463,299.347141,154.147001,274.463753,132.037245,336.423951,163.938484,,,,,,,8.980414,4.62441,8.233913,3.961117,0.983702,0.988524,0.21757,0.224013,0.288681,0,0,1,false,fully_observed,"630,776,951,1105",zero_value_proxy_only,true,
E0_REG_000315_0029,WGV35A_PAIR_0003,315,SCALE,azimuth_only_scale_2.00,scale_response,4.53183,,0,,2,-132.951086,46003,,41.4027,1825801,39.688736,39,7.242436,112,48,51,58,51,2626,0.057083,0.057083,667,,16.11006,77,,1.859782,792.389097,938.035895,0.793126,2.806958,,,0.023794,0.084209,136.394383,136.394383,-90.654531,149.49288,306.839828,123.545442,251.619637,153.645972,338.946672,,,,,,,4.484786,9.205195,3.706363,7.548589,0.976876,1.048525,0.219116,0.224644,0.289731,0,0.003456,0.996544,false,fully_observed,"625,779,956,1102",zero_value_proxy_only,true,
E0_REG_000315_0030,WGV35A_PAIR_0003,315,SCALE,storage_long_axis_only_scale_2.00,scale_response,2,,0,,2,0,20519,,18.4671,815913,39.763779,39,6.898596,112,47,51,60,51,1079,0.052585,0.052585,274,,14.837197,18,,0.974706,790.511948,940.613317,0.18566,-0.323182,,,0.00557,-0.009695,178.405213,178.405213,-48.643702,233.641413,246.758594,135.814843,157.337251,171.074868,190.871246,,,,,,,7.009242,7.402758,4.074445,4.720118,1.007092,1.009544,0.491252,0.502696,1.010841,0,0,1,false,fully_observed,"644,903,937,978",zero_value_proxy_only,true,
E0_REG_000315_0031,WGV35A_PAIR_0003,315,SCALE,storage_short_axis_only_scale_2.00,scale_response,2,,0,,2,0,20445,,18.4005,812180,39.725117,39,6.932971,112,47,51,60,51,1093,0.053461,0.053461,278,,15.108285,23,,1.249966,790.462644,940.64262,0.197806,-0.379236,,,0.005934,-0.011377,178.342323,178.342323,-48.706591,192.942016,191.37702,104.079277,111.376989,138.850877,147.224169,,,,,,,5.78826,5.741311,3.122378,3.34131,0.986572,1.004546,0.49303,0.505006,1.020228,0,0,1,false,fully_observed,"716,868,865,1013",zero_value_proxy_only,true,
E0_REG_000315_0032,WGV35A_PAIR_0003,315,DIRECTIONAL_EXPANSION,symmetric_expand_0.25,directional_expansion,1.5625,,0,,1.25,0,16109,,14.4981,646385,40.125706,40,7.1733,112,48,52,62,51,1037,0.064374,0.064374,226,,15.588249,22,,1.51744,790.557595,940.88973,-0.04776,-0.478112,,,-0.001433,-0.014343,178.3876,178.3876,-48.661314,171.133207,182.29527,99.757445,111.579237,135.397306,148.937386,,,,,,,5.133996,5.468858,2.992723,3.347377,1.000028,1.008068,0.625737,0.634538,1.736264,0,0,1,false,fully_observed,"698,894,883,987",zero_value_proxy_only,true,
E0_REG_000315_0033,WGV35A_PAIR_0003,315,DIRECTIONAL_EXPANSION,near_range_side_expand_0.25,directional_expansion,2.832394,,0,,1.25,-132.951086,28801,,25.9209,1133023,39.33971,39,6.677012,112,47,50,58,51,1274,0.044235,0.044235,379,,14.621406,26,,1.003052,806.576533,957.289843,-22.966471,0.072113,,,-0.688994,0.002163,-178.23472,-178.23472,-45.283634,186.636322,153.350132,127.549356,126.042196,156.053727,157.912724,,,,,,,5.59909,4.600504,3.826481,3.781266,1.662034,1.65916,0.349363,0.361372,0.565857,0,0,1,false,fully_observed,"685,835,929,1081",zero_value_proxy_only,true,
E0_REG_000315_0034,WGV35A_PAIR_0003,315,DIRECTIONAL_EXPANSION,far_range_side_expand_0.25,directional_expansion,2.832394,,0,,1.25,-132.951086,28922,,26.0298,1148568,39.712605,39,6.713596,112,47,51,58,51,1450,0.050135,0.050135,413,,15.86643,33,,1.267778,775.139135,923.218233,23.392373,0.277462,,,0.701771,0.008324,50.482133,50.482133,-176.566782,187.649984,153.723286,164.574704,128.786911,222.450023,161.151838,,,,,,,5.6295,4.611699,4.937241,3.863607,0.604401,0.615676,0.347798,0.356381,0.553715,0,0,1,false,fully_observed,"653,800,897,1047",zero_value_proxy_only,true,
E0_REG_000315_0035,WGV35A_PAIR_0003,315,DIRECTIONAL_EXPANSION,positive_azimuth_side_expand_0.25,directional_expansion,2.832394,,0,,1.25,-132.951086,28882,,25.9938,1145167,39.649853,39,6.759652,112,47,51,58,51,1474,0.051035,0.051035,413,,15.888404,38,,1.461887,808.379299,924.124872,0.079797,23.989363,,,0.002394,0.719681,128.051278,128.051278,-98.997636,149.738591,191.930777,129.523695,178.50555,159.742391,223.454179,,,,,,,4.492158,5.757923,3.885711,5.355166,0.997894,1.68828,0.348279,0.357479,0.556369,0,0,1,false,fully_observed,"685,802,932,1047",zero_value_proxy_only,true,
E0_REG_000315_0036,WGV35A_PAIR_0003,315,DIRECTIONAL_EXPANSION,negative_azimuth_side_expand_0.25,directional_expansion,2.832394,,0,,1.25,-132.951086,28882,,25.9938,1139539,39.45499,39,6.698421,112,47,50,58,51,1317,0.045599,0.045599,365,,14.04181,27,,1.038709,773.756789,956.258232,0.151114,-23.246914,,,0.004533,-0.697407,168.947718,168.947718,-58.101196,150.419965,191.51191,123.682581,153.419914,154.969372,186.365259,,,,,,,4.512599,5.745357,3.710477,4.602597,0.996697,0.617988,0.348487,0.359473,0.561213,0,0,1,false,fully_observed,"650,834,897,1079",zero_value_proxy_only,true,
E0_REG_000315_0037,WGV35A_PAIR_0003,315,DIRECTIONAL_EXPANSION,storage_front_expand_0.25,directional_expansion,1.25,,0,,1.25,0,12851,,11.5659,518547,40.350712,40,7.437412,112,48,52,64,51,937,0.072913,0.072913,188,,16.25468,18,,1.556299,812.87906,940.956284,-15.305733,15.814417,,,-0.459172,0.474432,174.770144,174.770144,-52.27877,153.516189,167.709543,87.998337,121.799843,123.566419,151.144494,,,,,,,4.605486,5.031286,2.63995,3.653995,1.66334,1.670142,0.762587,0.770127,3.350227,0,0,1,false,fully_observed,"721,903,906,978",zero_value_proxy_only,true,
E0_REG_000315_0038,WGV35A_PAIR_0003,315,DIRECTIONAL_EXPANSION,storage_rear_expand_0.25,directional_expansion,1.25,,0,,1.25,0,12851,,11.5659,515824,40.138821,40,7.394517,112,48,52,64,51,853,0.066376,0.066376,162,,14.006692,16,,1.383377,769.477657,940.917336,14.295351,-15.92608,,,0.428861,-0.477782,179.491737,179.491737,-47.557177,157.756117,168.566671,104.425938,104.081702,132.325078,142.219958,,,,,,,4.732684,5.057,3.132778,3.122451,0.624556,0.627097,0.762587,0.772861,3.402581,0,0,1,false,fully_observed,"676,903,861,978",zero_value_proxy_only,true,
E0_REG_000315_0039,WGV35A_PAIR_0003,315,INTERNAL_CROP,near_side_half,internal_response_distribution,1.132958,,0,,0.5,-132.951086,11624,,10.4616,466348,40.119408,40,7.450457,112,48,52,64,51,828,0.071232,0.071232,188,,17.970483,21,,2.007341,815.979153,967.35891,-36.743079,0.093429,,,-1.102292,0.002803,158.985723,158.985723,-68.063191,75.584348,152.613348,62.60933,103.852961,82.006157,132.645111,,,,,,,2.26753,4.5784,1.87828,3.115589,54.683343,2.64896,0.442877,0.459504,0.850154,0,0,1,false,fully_observed,"732,886,900,1050",zero_value_proxy_only,true,
E0_REG_000315_0040,WGV35A_PAIR_0003,315,INTERNAL_CROP,far_side_half,internal_response_distribution,1.132958,,0,,0.5,-132.951086,11567,,10.4103,452786,39.144634,39,6.182039,78,46,48,54,51,373,0.032247,0.032247,131,,12.583691,6,,0.576352,764.765209,913.215144,37.782512,-0.499742,,,1.133475,-0.014992,121.865305,121.865305,-105.183609,74.532245,153.723286,68.753815,132.523644,91.02405,176.336735,,,,,,,2.235967,4.611699,2.062614,3.975709,0,0.375426,0.432437,0.439088,0.782812,0,0,1,false,fully_observed,"681,831,849,995",zero_value_proxy_only,true,
E0_REG_000315_0041,WGV35A_PAIR_0003,315,INTERNAL_CROP,storage_front_half,internal_response_distribution,0.5,,0,,0.5,0,5183,,4.6647,213468,41.186184,40,8.332579,112,51,54,68,51,520,0.100328,0.100328,90,,19.293845,14,,3.001265,826.407972,941.300504,-24.775926,25.482167,,,-0.743278,0.764465,-175.368137,-175.368137,-42.417051,92.647609,93.328983,63.598924,59.68886,74.268317,71.956406,,,,,,,2.779428,2.799869,1.907968,1.790666,6.118447,69.778515,0.985915,0.986804,74.778488,0,0,1,false,fully_observed,"788,903,865,978",zero_value_proxy_only,true,
