path_id,control_type,control_index,control_component_id,control_sar_frame,control_azimuth_center,control_radial_pixel_center,control_radial_band,control_static_pressure,control_response_score
WGV34A_PATH_0000002,temporal_control_distribution,4,WGV33D_MAIN_F0027_C000824,27,-29.4155,198.9505,R1,1,2.947266
WGV34A_PATH_0000002,temporal_control_distribution,5,WGV33D_MAIN_F0028_C000864,28,-38.0147,198,R1,0.827664,3.423828
WGV34A_PATH_0000002,temporal_control_distribution,6,WGV33D_MAIN_F0028_C000865,28,-33.3775,174.0683,R1,0.59472023,2.696533
WGV34A_PATH_0000002,temporal_control_distribution,7,WGV33D_MAIN_F0028_C000866,28,-30.2718,196.8091,R1,1,2.580966
WGV34A_PATH_0000002,temporal_control_distribution,8,WGV33D_MAIN_F0029_C000901,29,-34.1155,172.6315,R1,0.59796737,3.152995
WGV34A_PATH_0000002,temporal_control_distribution,9,WGV33D_MAIN_F0029_C000902,29,-30.7729,195.4242,R1,1,2.970459
WGV34A_PATH_0000002,temporal_control_distribution,10,WGV33D_MAIN_F0030_C000928,30,-34.9598,171.862,R1,0.50440963,3.294141
WGV34A_PATH_0000002,temporal_control_distribution,11,WGV33D_MAIN_F0030_C000929,30,-35.9646,210,R1,0.81494914,3.886719
WGV34A_PATH_0000002,temporal_control_distribution,12,WGV33D_MAIN_F0030_C000930,30,-30.0195,195.6015,R1,1,3.025112
WGV34A_PATH_0000002,temporal_control_distribution,13,WGV33D_MAIN_F0031_C000955,31,-37.0763,210.8002,R1,1,3.748047
WGV34A_PATH_0000002,temporal_control_distribution,14,WGV33D_MAIN_F0031_C000956,31,-35.4382,169.39,R1,0.4908375,2.638672
WGV34A_PATH_0000002,temporal_control_distribution,15,WGV33D_MAIN_F0032_C000980,32,-36.8741,170,R1,0.43692749,3.744629
WGV34A_PATH_0000002,temporal_control_distribution,16,WGV33D_MAIN_F0032_C000981,32,-37.5048,206.9573,R1,1,2.95459
WGV34A_PATH_0000002,temporal_control_distribution,17,WGV33D_MAIN_F0032_C000982,32,-32.4128,190.6179,R1,1,3.162109
WGV34A_PATH_0000002,temporal_control_distribution,18,WGV33D_MAIN_F0033_C001004,33,-41.9946,146,R1,0.43097122,4.699219
WGV34A_PATH_0000002,temporal_control_distribution,19,WGV33D_MAIN_F0033_C001006,33,-36.2732,169.0458,R1,0.4375553,3.192383
WGV34A_PATH_0000002,temporal_control_distribution,20,WGV33D_MAIN_F0033_C001007,33,-31.6512,191.8104,R1,1,2.93099
WGV34A_PATH_0000004,temporal_control_distribution,1,WGV33D_MAIN_F0211_C008031,211,17.9761,262,R2,0.43767543,4.178711
WGV34A_PATH_0000004,temporal_control_distribution,2,WGV33D_MAIN_F0212_C008090,212,18.5007,260.7199,R2,0.42312246,3.05013
WGV34A_PATH_0000004,temporal_control_distribution,3,WGV33D_MAIN_F0222_C008700,222,22.0111,266,R2,0.4301961,3.302734
WGV34A_PATH_0000004,temporal_control_distribution,4,WGV33D_MAIN_F0224_C008811,224,22.0186,258,R2,0.41864393,2.980469
WGV34A_PATH_0000004,temporal_control_distribution,5,WGV33D_MAIN_F0226_C008914,226,22.9654,262,R2,0.42534813,2.666992
WGV34A_PATH_0000004,temporal_control_distribution,6,WGV33D_MAIN_F0226_C008915,226,33.9902,262,R2,0.39542845,3.746094
WGV34A_PATH_0000004,temporal_control_distribution,7,WGV33D_MAIN_F0229_C009097,229,16.975,266,R2,0.43357539,3.811523
WGV34A_PATH_0000004,temporal_control_distribution,8,WGV33D_MAIN_F0229_C009098,229,24.1713,263.3888,R2,0.41752203,2.660807
WGV34A_PATH_0000004,temporal_control_distribution,9,WGV33D_MAIN_F0230_C009162,230,25.003,264.0121,R2,0.41734185,3.166016
WGV34A_PATH_0000004,temporal_control_distribution,10,WGV33D_MAIN_F0231_C009218,231,25.5141,267.2709,R2,0.42087866,2.823568
WGV34A_PATH_0000004,temporal_control_distribution,11,WGV33D_MAIN_F0231_C009219,231,38.0139,258,R2,0.40049805,3.385742
WGV34A_PATH_0000004,temporal_control_distribution,12,WGV33D_MAIN_F0232_C009270,232,18.751,272.7868,R2,0.42312246,3.045898
WGV34A_PATH_0000004,temporal_control_distribution,13,WGV33D_MAIN_F0232_C009274,232,36.0172,274,R2,0.39602269,3.858398
WGV34A_PATH_0000004,temporal_control_distribution,14,WGV33D_MAIN_F0232_C009275,232,38.8206,259.2252,R2,0.39636268,3.462891
WGV34A_PATH_0000004,temporal_control_distribution,15,WGV33D_MAIN_F0233_C009330,233,19.4891,272.2947,R2,0.42469841,3.399609
WGV34A_PATH_0000004,temporal_control_distribution,16,WGV33D_MAIN_F0234_C009388,234,26.9711,271.8842,R2,0.42042304,2.833008
WGV34A_PATH_0000004,temporal_control_distribution,17,WGV33D_MAIN_F0237_C009558,237,24.9661,294,R2,0.41596733,4.160156
WGV34A_PATH_0000004,temporal_control_distribution,18,WGV33D_MAIN_F0237_C009559,237,36.1466,256.7366,R2,0.39346263,3.356771
WGV34A_PATH_0000004,temporal_control_distribution,19,WGV33D_MAIN_F0238_C009614,238,29.0275,278,R2,0.41140738,3.84375
WGV34A_PATH_0000004,temporal_control_distribution,20,WGV33D_MAIN_F0238_C009615,238,36.9938,257.9787,R2,0.40266964,3.733398
WGV34A_PATH_0000005,temporal_control_distribution,1,WGV33D_MAIN_F0027_C000822,27,-38.4807,198,R1,0.70178597,4.371745
WGV34A_PATH_0000005,temporal_control_distribution,2,WGV33D_MAIN_F0028_C000864,28,-38.0147,198,R1,0.827664,3.423828
WGV34A_PATH_0000005,temporal_control_distribution,3,WGV33D_MAIN_F0031_C000952,31,-54.9822,190,R1,0.41119179,5.630859
WGV34A_PATH_0000005,temporal_control_distribution,4,WGV33D_MAIN_F0031_C000955,31,-37.0763,210.8002,R1,1,3.748047
WGV34A_PATH_0000005,temporal_control_distribution,5,WGV33D_MAIN_F0032_C000980,32,-36.8741,170,R1,0.43692749,3.744629
WGV34A_PATH_0000005,temporal_control_distribution,6,WGV33D_MAIN_F0032_C000981,32,-37.5048,206.9573,R1,1,2.95459
WGV34A_PATH_0000005,temporal_control_distribution,7,WGV33D_MAIN_F0033_C001004,33,-41.9946,146,R1,0.43097122,4.699219
WGV34A_PATH_0000005,temporal_control_distribution,8,WGV33D_MAIN_F0033_C001006,33,-36.2732,169.0458,R1,0.4375553,3.192383
WGV34A_PATH_0000005,temporal_control_distribution,9,WGV33D_MAIN_F0034_C001039,34,-41.9817,146,R1,0.43097122,4.558594
WGV34A_PATH_0000005,temporal_control_distribution,10,WGV33D_MAIN_F0034_C001041,34,-37.9659,190,R1,0.45000272,3.089844
WGV34A_PATH_0000005,temporal_control_distribution,11,WGV33D_MAIN_F0034_C001042,34,-36.9528,166,R1,0.43022329,2.648438
WGV34A_PATH_0000005,temporal_control_distribution,12,WGV33D_MAIN_F0035_C001063,35,-54.9937,254,R1,0.41490426,3.813477
WGV34A_PATH_0000005,temporal_control_distribution,13,WGV33D_MAIN_F0039_C001144,39,-56.4322,166,R1,0.42535719,4.676432
WGV34A_PATH_0000005,temporal_control_distribution,14,WGV33D_MAIN_F0040_C001168,40,-55.7781,163.7347,R1,0.42777891,5.58538
WGV34A_PATH_0000005,temporal_control_distribution,15,WGV33D_MAIN_F0041_C001209,41,-55.3001,163.0911,R1,0.42528149,4.421596
WGV34A_PATH_0000005,temporal_control_distribution,16,WGV33D_MAIN_F0042_C001240,42,-53.989,159.959,R1,0.42741174,3.494141
WGV34A_PATH_0000005,temporal_control_distribution,17,WGV33D_MAIN_F0042_C001241,42,-41.5371,242,R1,0.98236782,4.020182
WGV34A_PATH_0000005,temporal_control_distribution,18,WGV33D_MAIN_F0043_C001267,43,-55.0477,158,R1,0.42610966,4.346191
WGV34A_PATH_0000005,temporal_control_distribution,19,WGV33D_MAIN_F0043_C001268,43,-51.471,190,R1,0.41739737,4.947917
WGV34A_PATH_0000005,temporal_control_distribution,20,WGV33D_MAIN_F0043_C001269,43,-44.4655,241.2341,R1,1,2.673438
WGV34A_PATH_0000006,temporal_control_distribution,1,WGV33D_MAIN_F0028_C000870,28,-10.0087,138,R1,0.79818864,3.266602
WGV34A_PATH_0000006,temporal_control_distribution,2,WGV33D_MAIN_F0028_C000872,28,-3.5146,146,R1,1,2.942708
WGV34A_PATH_0000006,temporal_control_distribution,3,WGV33D_MAIN_F0028_C000873,28,4.0688,193.3818,R1,0.90065682,2.887277
WGV34A_PATH_0000006,temporal_control_distribution,4,WGV33D_MAIN_F0028_C000874,28,2.4718,230,R1,0.92061484,3.710286
WGV34A_PATH_0000006,temporal_control_distribution,5,WGV33D_MAIN_F0028_C000875,28,7.9872,226,R1,0.45087644,3.167969
WGV34A_PATH_0000006,temporal_control_distribution,6,WGV33D_MAIN_F0029_C000907,29,0.4655,174,R1,1,2.871094
WGV34A_PATH_0000006,temporal_control_distribution,7,WGV33D_MAIN_F0029_C000908,29,1.0086,238,R1,0.45338201,3.556641
WGV34A_PATH_0000006,temporal_control_distribution,8,WGV33D_MAIN_F0029_C000909,29,1.9823,230,R1,1,3.225586
WGV34A_PATH_0000006,temporal_control_distribution,9,WGV33D_MAIN_F0029_C000910,29,4.4248,194.6279,R1,0.93958137,3.263849
WGV34A_PATH_0000006,temporal_control_distribution,10,WGV33D_MAIN_F0029_C000911,29,7.014,226,R1,0.44896015,3.476237
WGV34A_PATH_0000006,temporal_control_distribution,11,WGV33D_MAIN_F0030_C000935,30,1.0017,230,R1,0.80612693,4.090332
WGV34A_PATH_0000006,temporal_control_distribution,12,WGV33D_MAIN_F0030_C000936,30,1.1295,172.7572,R1,1,2.652995
WGV34A_PATH_0000006,temporal_control_distribution,13,WGV33D_MAIN_F0030_C000937,30,1.028,238,R1,0.45338201,4.219727
WGV34A_PATH_0000006,temporal_control_distribution,14,WGV33D_MAIN_F0030_C000938,30,3.5941,194.7409,R1,0.89417211,3.339666
WGV34A_PATH_0000006,temporal_control_distribution,15,WGV33D_MAIN_F0030_C000939,30,6.4238,226,R1,0.45010879,3.212109
WGV34A_PATH_0000006,temporal_control_distribution,16,WGV33D_MAIN_F0031_C000959,31,-10.0388,134,R1,0.45936548,2.797852
WGV34A_PATH_0000006,temporal_control_distribution,17,WGV33D_MAIN_F0031_C000963,31,3.4835,228.0095,R1,0.54385743,3.024902
WGV34A_PATH_0000006,temporal_control_distribution,18,WGV33D_MAIN_F0031_C000964,31,8.1832,199.3741,R1,0.43767543,4.066406
WGV34A_PATH_0000006,temporal_control_distribution,19,WGV33D_MAIN_F0032_C000984,32,-13.9829,132.0684,R1,0.44551512,3.441406
WGV34A_PATH_0000006,temporal_control_distribution,20,WGV33D_MAIN_F0032_C000985,32,-13.0425,170,R1,1,2.974609
WGV34A_PATH_0000007,temporal_control_distribution,1,WGV33D_MAIN_F0028_C000872,28,-3.5146,146,R1,1,2.942708
WGV34A_PATH_0000007,temporal_control_distribution,2,WGV33D_MAIN_F0028_C000873,28,4.0688,193.3818,R1,0.90065682,2.887277
WGV34A_PATH_0000007,temporal_control_distribution,3,WGV33D_MAIN_F0028_C000874,28,2.4718,230,R1,0.92061484,3.710286
WGV34A_PATH_0000007,temporal_control_distribution,4,WGV33D_MAIN_F0028_C000875,28,7.9872,226,R1,0.45087644,3.167969
WGV34A_PATH_0000007,temporal_control_distribution,5,WGV33D_MAIN_F0029_C000907,29,0.4655,174,R1,1,2.871094
WGV34A_PATH_0000007,temporal_control_distribution,6,WGV33D_MAIN_F0029_C000908,29,1.0086,238,R1,0.45338201,3.556641
WGV34A_PATH_0000007,temporal_control_distribution,7,WGV33D_MAIN_F0029_C000909,29,1.9823,230,R1,1,3.225586
WGV34A_PATH_0000007,temporal_control_distribution,8,WGV33D_MAIN_F0029_C000910,29,4.4248,194.6279,R1,0.93958137,3.263849
WGV34A_PATH_0000007,temporal_control_distribution,9,WGV33D_MAIN_F0029_C000911,29,7.014,226,R1,0.44896015,3.476237
WGV34A_PATH_0000007,temporal_control_distribution,10,WGV33D_MAIN_F0030_C000935,30,1.0017,230,R1,0.80612693,4.090332
WGV34A_PATH_0000007,temporal_control_distribution,11,WGV33D_MAIN_F0030_C000936,30,1.1295,172.7572,R1,1,2.652995
WGV34A_PATH_0000007,temporal_control_distribution,12,WGV33D_MAIN_F0030_C000937,30,1.028,238,R1,0.45338201,4.219727
WGV34A_PATH_0000007,temporal_control_distribution,13,WGV33D_MAIN_F0030_C000938,30,3.5941,194.7409,R1,0.89417211,3.339666
WGV34A_PATH_0000007,temporal_control_distribution,14,WGV33D_MAIN_F0030_C000939,30,6.4238,226,R1,0.45010879,3.212109
WGV34A_PATH_0000007,temporal_control_distribution,15,WGV33D_MAIN_F0031_C000963,31,3.4835,228.0095,R1,0.54385743,3.024902
WGV34A_PATH_0000007,temporal_control_distribution,16,WGV33D_MAIN_F0031_C000964,31,8.1832,199.3741,R1,0.43767543,4.066406
WGV34A_PATH_0000007,temporal_control_distribution,17,WGV33D_MAIN_F0032_C000988,32,-2.4842,158,R1,1,2.809896
WGV34A_PATH_0000007,temporal_control_distribution,18,WGV33D_MAIN_F0032_C000989,32,3.7088,197.0896,R1,0.60967897,2.606771
WGV34A_PATH_0000007,temporal_control_distribution,19,WGV33D_MAIN_F0032_C000990,32,3.454,226.7724,R1,0.58245186,2.798828
WGV34A_PATH_0000007,temporal_control_distribution,20,WGV33D_MAIN_F0033_C001013,33,3.5635,197.215,R1,0.75248155,3.148082
WGV34A_PATH_0000015,temporal_control_distribution,1,WGV33D_MAIN_F0044_C001306,44,-1.4372,138,R1,1,2.707682
WGV34A_PATH_0000015,temporal_control_distribution,2,WGV33D_MAIN_F0044_C001307,44,1.4952,194,R1,0.69181353,2.731771
WGV34A_PATH_0000015,temporal_control_distribution,3,WGV33D_MAIN_F0044_C001308,44,2.4918,150,R1,1,3.126953
WGV34A_PATH_0000015,temporal_control_distribution,4,WGV33D_MAIN_F0045_C001331,45,-4.9719,178,R1,1,4.255859
WGV34A_PATH_0000015,temporal_control_distribution,5,WGV33D_MAIN_F0045_C001332,45,-2.9949,194,R1,0.79929694,3.128906
WGV34A_PATH_0000015,temporal_control_distribution,6,WGV33D_MAIN_F0045_C001333,45,-0.9691,138,R1,1,3.081543
WGV34A_PATH_0000015,temporal_control_distribution,7,WGV33D_MAIN_F0045_C001334,45,2.9626,150,R1,1,2.824707
WGV34A_PATH_0000015,temporal_control_distribution,8,WGV33D_MAIN_F0046_C001363,46,-16.5304,188.074,R1,1,2.621094
WGV34A_PATH_0000015,temporal_control_distribution,9,WGV33D_MAIN_F0046_C001364,46,-12.4377,154,R1,1,2.698568
WGV34A_PATH_0000015,temporal_control_distribution,10,WGV33D_MAIN_F0046_C001365,46,-4.4775,178,R1,1,3.316406
WGV34A_PATH_0000015,temporal_control_distribution,11,WGV33D_MAIN_F0046_C001366,46,-3.4825,194,R1,0.68909831,3.378255
WGV34A_PATH_0000015,temporal_control_distribution,12,WGV33D_MAIN_F0046_C001367,46,-0.9614,138,R1,1,3.348633
WGV34A_PATH_0000015,temporal_control_distribution,13,WGV33D_MAIN_F0046_C001368,46,0.9343,177.4683,R1,1,3.066127
WGV34A_PATH_0000015,temporal_control_distribution,14,WGV33D_MAIN_F0046_C001369,46,3.6419,132.5394,R1,0.56380276,2.858984
WGV34A_PATH_0000015,temporal_control_distribution,15,WGV33D_MAIN_F0047_C001402,47,-11.0494,154,R1,1,3.587891
WGV34A_PATH_0000015,temporal_control_distribution,16,WGV33D_MAIN_F0047_C001403,47,-4.4839,178,R1,1,2.474609
WGV34A_PATH_0000015,temporal_control_distribution,17,WGV33D_MAIN_F0047_C001404,47,-2.9545,194,R1,0.63175519,3.076172
WGV34A_PATH_0000015,temporal_control_distribution,18,WGV33D_MAIN_F0047_C001405,47,-1.8924,138,R1,1,3.099609
WGV34A_PATH_0000015,temporal_control_distribution,19,WGV33D_MAIN_F0047_C001406,47,1.2924,176.7635,R1,1,2.864909
WGV34A_PATH_0000015,temporal_control_distribution,20,WGV33D_MAIN_F0047_C001407,47,3.8835,132.9557,R1,0.73819603,2.996094
WGV34A_PATH_0000016,temporal_control_distribution,1,WGV33D_MAIN_F0047_C001403,47,-4.4839,178,R1,1,2.474609
WGV34A_PATH_0000016,temporal_control_distribution,2,WGV33D_MAIN_F0047_C001404,47,-2.9545,194,R1,0.63175519,3.076172
WGV34A_PATH_0000016,temporal_control_distribution,3,WGV33D_MAIN_F0047_C001405,47,-1.8924,138,R1,1,3.099609
WGV34A_PATH_0000016,temporal_control_distribution,4,WGV33D_MAIN_F0047_C001406,47,1.2924,176.7635,R1,1,2.864909
WGV34A_PATH_0000016,temporal_control_distribution,5,WGV33D_MAIN_F0047_C001407,47,3.8835,132.9557,R1,0.73819603,2.996094
WGV34A_PATH_0000016,temporal_control_distribution,6,WGV33D_MAIN_F0047_C001408,47,11.9338,166,R1,1,2.630534
WGV34A_PATH_0000016,temporal_control_distribution,7,WGV33D_MAIN_F0048_C001442,48,-1.4989,138,R1,1,3.319661
WGV34A_PATH_0000016,temporal_control_distribution,8,WGV33D_MAIN_F0048_C001443,48,-1.4952,194,R1,0.68235785,3.402995
WGV34A_PATH_0000016,temporal_control_distribution,9,WGV33D_MAIN_F0048_C001444,48,0.0593,177.0644,R1,1,2.770508
WGV34A_PATH_0000016,temporal_control_distribution,10,WGV33D_MAIN_F0048_C001445,48,-0.0155,150,R1,1,2.753906
WGV34A_PATH_0000016,temporal_control_distribution,11,WGV33D_MAIN_F0048_C001446,48,2.833,133.4451,R1,0.83467599,2.847331
WGV34A_PATH_0000016,temporal_control_distribution,12,WGV33D_MAIN_F0048_C001447,48,11.4784,166,R1,1,3.564844
WGV34A_PATH_0000016,temporal_control_distribution,13,WGV33D_MAIN_F0049_C001475,49,-1.9076,138,R1,1,3.178711
WGV34A_PATH_0000016,temporal_control_distribution,14,WGV33D_MAIN_F0049_C001476,49,1.2994,176.1232,R1,1,2.665365
WGV34A_PATH_0000016,temporal_control_distribution,15,WGV33D_MAIN_F0049_C001477,49,3.814,134.0386,R1,0.75491248,2.808594
WGV34A_PATH_0000016,temporal_control_distribution,16,WGV33D_MAIN_F0049_C001478,49,5.9749,186,R1,1,3.587891
WGV34A_PATH_0000016,temporal_control_distribution,17,WGV33D_MAIN_F0050_C001507,50,-5.0256,202,R1,0.42163566,3.217773
WGV34A_PATH_0000016,temporal_control_distribution,18,WGV33D_MAIN_F0050_C001508,50,-0.9173,138,R1,1,3.133301
WGV34A_PATH_0000016,temporal_control_distribution,19,WGV33D_MAIN_F0050_C001509,50,2.5843,175.7552,R1,1,2.782645
WGV34A_PATH_0000016,temporal_control_distribution,20,WGV33D_MAIN_F0051_C001540,51,1.0207,138,R1,1,2.916016
WGV34A_PATH_0000019,temporal_control_distribution,1,WGV33D_MAIN_F0039_C001144,39,-56.4322,166,R1,0.42535719,4.676432
WGV34A_PATH_0000019,temporal_control_distribution,2,WGV33D_MAIN_F0040_C001168,40,-55.7781,163.7347,R1,0.42777891,5.58538
WGV34A_PATH_0000019,temporal_control_distribution,3,WGV33D_MAIN_F0041_C001209,41,-55.3001,163.0911,R1,0.42528149,4.421596
WGV34A_PATH_0000019,temporal_control_distribution,4,WGV33D_MAIN_F0042_C001240,42,-53.989,159.959,R1,0.42741174,3.494141
WGV34A_PATH_0000019,temporal_control_distribution,5,WGV33D_MAIN_F0043_C001267,43,-55.0477,158,R1,0.42610966,4.346191
WGV34A_PATH_0000019,temporal_control_distribution,6,WGV33D_MAIN_F0043_C001268,43,-51.471,190,R1,0.41739737,4.947917
WGV34A_PATH_0000019,temporal_control_distribution,7,WGV33D_MAIN_F0044_C001298,44,-56.5013,156.7164,R1,0.42819571,3.424479
WGV34A_PATH_0000019,temporal_control_distribution,8,WGV33D_MAIN_F0044_C001299,44,-48.5268,238,R1,0.68335509,2.604818
WGV34A_PATH_0000019,temporal_control_distribution,9,WGV33D_MAIN_F0045_C001323,45,-57.2485,154.5155,R1,0.43026975,6.101841
WGV34A_PATH_0000019,temporal_control_distribution,10,WGV33D_MAIN_F0045_C001324,45,-52.9641,186,R1,0.41939186,3.4375
WGV34A_PATH_0000019,temporal_control_distribution,11,WGV33D_MAIN_F0046_C001356,46,-57.7943,153.9681,R1,0.43346479,4.993304
WGV34A_PATH_0000019,temporal_control_distribution,12,WGV33D_MAIN_F0046_C001357,46,-49.452,235.2821,R1,0.43819218,2.611979
WGV34A_PATH_0000019,temporal_control_distribution,13,WGV33D_MAIN_F0047_C001395,47,-55.6465,153.7336,R1,0.42753413,3.945763
WGV34A_PATH_0000019,temporal_control_distribution,14,WGV33D_MAIN_F0047_C001396,47,-52.5622,182,R1,0.42088773,3.641276
WGV34A_PATH_0000019,temporal_control_distribution,15,WGV33D_MAIN_F0047_C001397,47,-47.0016,234,R1,0.97598047,3.138672
WGV34A_PATH_0000019,temporal_control_distribution,16,WGV33D_MAIN_F0048_C001434,48,-57.4659,150,R1,0.43744289,4.714453
WGV34A_PATH_0000019,temporal_control_distribution,17,WGV33D_MAIN_F0048_C001435,48,-52.7245,232.072,R1,0.41173453,3.605469
WGV34A_PATH_0000019,temporal_control_distribution,18,WGV33D_MAIN_F0049_C001464,49,-58.5071,150.8912,R1,0.43803881,4.035547
WGV34A_PATH_0000019,temporal_control_distribution,19,WGV33D_MAIN_F0049_C001465,49,-55.194,179.3828,R1,0.41685433,3.540771
WGV34A_PATH_0000019,temporal_control_distribution,20,WGV33D_MAIN_F0050_C001496,50,-59.0007,147.9342,R1,0.44232961,3.831543
WGV34A_PATH_0000020,temporal_control_distribution,1,WGV33D_MAIN_F0077_C002428,77,40.9686,166,R1,0.4123001,2.943359
WGV34A_PATH_0000020,temporal_control_distribution,2,WGV33D_MAIN_F0082_C002634,82,41.9861,174,R1,0.43282746,4.376953
WGV34A_PATH_0000020,temporal_control_distribution,3,WGV33D_MAIN_F0087_C002857,87,41.979,162,R1,0.41529183,4.207031
WGV34A_PATH_0000020,temporal_control_distribution,4,WGV33D_MAIN_F0088_C002910,88,41.0207,198,R1,0.43396295,4.045898
WGV34A_PATH_0000020,temporal_control_distribution,5,WGV33D_MAIN_F0091_C003059,91,41.0238,174,R1,0.43432333,4.814453
WGV34A_PATH_0000020,temporal_control_distribution,6,WGV33D_MAIN_F0112_C003915,112,42.9594,142,R1,0.42609606,7.099609
WGV34A_PATH_0000020,temporal_control_distribution,7,WGV33D_MAIN_F0130_C004466,130,47.3404,128.5854,R1,0.42367888,5.034831
WGV34A_PATH_0000020,temporal_control_distribution,8,WGV33D_MAIN_F0131_C004496,131,48.0102,130,R1,0.4190179,4.726562
WGV34A_PATH_0000020,temporal_control_distribution,9,WGV33D_MAIN_F0131_C004497,131,56.839,129.2786,R1,0.4128774,6.763281
WGV34A_PATH_0000020,temporal_control_distribution,10,WGV33D_MAIN_F0132_C004533,132,49.0871,133.2502,R1,0.41426003,4.08711
WGV34A_PATH_0000020,temporal_control_distribution,11,WGV33D_MAIN_F0132_C004534,132,56.4799,130.8456,R1,0.41498813,5.889648
WGV34A_PATH_0000020,temporal_control_distribution,12,WGV33D_MAIN_F0133_C004567,133,49.5577,134,R1,0.41640014,4.408854
WGV34A_PATH_0000020,temporal_control_distribution,13,WGV33D_MAIN_F0133_C004568,133,56.0942,133.4992,R1,0.41051867,5.625279
WGV34A_PATH_0000020,temporal_control_distribution,14,WGV33D_MAIN_F0134_C004603,134,54.713,136.5433,R1,0.4103611,6.31822
WGV34A_PATH_0000020,temporal_control_distribution,15,WGV33D_MAIN_F0135_C004638,135,56.1806,138.3824,R1,0.41382741,6.638455
WGV34A_PATH_0000020,temporal_control_distribution,16,WGV33D_MAIN_F0136_C004684,136,56.5984,141.2903,R1,0.41382741,7.915235
WGV34A_PATH_0000020,temporal_control_distribution,17,WGV33D_MAIN_F0137_C004733,137,57.4907,142.4591,R1,0.41496187,8.311942
WGV34A_PATH_0000020,temporal_control_distribution,18,WGV33D_MAIN_F0138_C004779,138,57.6403,145.0572,R1,0.41496187,7.498047
WGV34A_PATH_0000020,temporal_control_distribution,19,WGV33D_MAIN_F0139_C004828,139,58.0768,146.993,R1,0.4083415,8.775111
WGV34A_PATH_0000020,temporal_control_distribution,20,WGV33D_MAIN_F0140_C004875,140,58.9975,150,R1,0.41282749,7.863281
WGV34A_PATH_0000021,temporal_control_distribution,1,WGV33D_MAIN_F0077_C002428,77,40.9686,166,R1,0.4123001,2.943359
