sar_frame,segment,prior_position_x,prior_position_y,predicted_position_x,predicted_position_y,observation_supported_position_x,observation_supported_position_y,posterior_position_x,posterior_position_y,position_correction_x,position_correction_y,position_correction_norm_px,prior_velocity_x,prior_velocity_y,posterior_velocity_x,posterior_velocity_y,uncertainty_before,uncertainty_after,last_update_source,used_response_track_ids,rejected_response_track_ids,current_response_association_count,cap_triggered,frame_observation_complete,max_sar_frame_read,gt_file_opened,evaluation_file_opened,future_frame_read
371,holdout_generation_frozen,1170.792592,955.048453,1178.062985,955.503225,1177.296844,959.327248,1177.641607,957.606438,-0.421378,2.103213,2.145009,7.270393,0.454772,7.152407,1.043672,25.936879,18.674553,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013,RT_D1_0014,12,false,true,371,false,false,false
372,holdout_generation_frozen,1177.641607,957.606438,1184.794014,958.650109,1181.217604,952.404614,1183.059455,955.621044,-1.734559,-3.029065,3.490549,7.152407,1.043672,6.66673,0.195533,25.674553,18.485678,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0011;RT_D1_0012,RT_D1_0003;RT_D1_0009;RT_D1_0013;RT_D1_0014,9,false,true,372,false,false,false
373,holdout_generation_frozen,1183.059455,955.621044,1189.726185,955.816577,1197.237276,961.223904,1192.617955,957.898398,2.89177,2.081821,3.563188,6.66673,0.195533,7.476426,0.778443,25.485678,18.349688,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0005;RT_D1_0006;RT_D1_0009,RT_D1_0003;RT_D1_0004;RT_D1_0007;RT_D1_0008;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0014,5,false,true,373,false,false,false
374,holdout_generation_frozen,1192.617955,957.898398,1200.094381,958.676841,1191.006422,960.276807,1196.368318,959.332827,-3.726063,0.655986,3.783367,7.476426,0.778443,6.433128,0.962119,25.349688,18.251776,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0006;RT_D1_0011,RT_D1_0005;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0012;RT_D1_0013;RT_D1_0014,6,false,true,374,false,false,false
375,holdout_generation_frozen,1196.368318,959.332827,1202.801446,960.294947,1199.55646,957.325757,1201.065379,958.70643,-1.736068,-1.588517,2.35315,6.433128,0.962119,5.947029,0.517335,25.251776,18.181278,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0011;RT_D1_0012;RT_D1_0014,RT_D1_0009;RT_D1_0013,11,false,true,375,false,false,false
376,holdout_generation_frozen,1201.065379,958.70643,1207.012408,959.223765,1210.929481,962.245278,1209.108042,960.840274,2.095634,1.61651,2.646656,5.947029,0.517335,6.533807,0.969957,25.181278,18.13052,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0014,RT_D1_0012;RT_D1_0013,11,false,true,376,false,false,false
377,holdout_generation_frozen,1209.108042,960.840274,1215.641849,961.810232,1217.287171,958.635761,1216.546776,960.064273,0.904927,-1.745959,1.966536,6.533807,0.969957,6.787186,0.481089,25.13052,18.093975,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0014,RT_D1_0007;RT_D1_0015,12,false,true,377,false,false,false
378,holdout_generation_frozen,1216.546776,960.064273,1223.333962,960.545362,1218.975736,958.478437,1221.002311,959.439557,-2.331651,-1.105804,2.580581,6.787186,0.481089,6.134324,0.171464,25.093975,18.067662,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012,RT_D1_0013;RT_D1_0014;RT_D1_0015,11,false,true,378,false,false,false
379,holdout_generation_frozen,1221.002311,959.439557,1227.136635,959.611021,1218.861029,966.86448,1223.122966,963.128948,-4.013669,3.517928,5.337167,6.134324,0.171464,5.010497,1.156483,25.067662,18.048717,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0006;RT_D1_0008;RT_D1_0011;RT_D1_0012;RT_D1_0013,RT_D1_0005;RT_D1_0007;RT_D1_0009;RT_D1_0014;RT_D1_0015,9,false,true,379,false,false,false
380,holdout_generation_frozen,1223.122966,963.128948,1228.133463,964.285432,1226.047199,959.694785,1227.017312,961.829436,-1.116151,-2.455996,2.697723,5.010497,1.156483,4.697974,0.468804,25.048717,18.035076,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0014,RT_D1_0012;RT_D1_0013;RT_D1_0015,11,false,true,380,false,false,false
381,holdout_generation_frozen,1227.017312,961.829436,1231.715287,962.29824,1232.021094,954.820952,1231.863603,958.671755,0.148316,-3.626485,3.629517,4.697974,0.468804,4.739503,-0.546611,25.035076,18.025255,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0006;RT_D1_0008;RT_D1_0011;RT_D1_0012;RT_D1_0014,RT_D1_0005;RT_D1_0007;RT_D1_0009;RT_D1_0013;RT_D1_0015,9,false,true,381,false,false,false
382,holdout_generation_frozen,1231.863603,958.671755,1236.603106,958.125144,1238.301684,956.511201,1237.537324,957.237476,0.934218,-0.887668,1.288688,4.739503,-0.546611,5.001084,-0.795158,25.025255,18.018183,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0014;RT_D1_0015,RT_D1_0005;RT_D1_0009,12,false,true,382,false,false,false
383,holdout_generation_frozen,1237.537324,957.237476,1242.538408,956.442317,1243.199114,954.656138,1242.901796,955.459918,0.363388,-0.982399,1.047453,5.001084,-0.795158,5.102833,-1.07023,25.018183,18.013092,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0014;RT_D1_0016,RT_D1_0007;RT_D1_0015,13,false,true,383,false,false,false
384,holdout_generation_frozen,1242.901796,955.459918,1248.004629,954.389688,1251.016741,952.919611,1249.66129,953.581146,1.656662,-0.808543,1.843439,5.102833,-1.07023,5.566698,-1.296622,25.013092,18.009426,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0014;RT_D1_0015;RT_D1_0016,,15,false,true,384,false,false,false
385,holdout_generation_frozen,1249.66129,953.581146,1255.227988,952.284523,1257.191515,950.341107,1256.307928,951.215645,1.07994,-1.068879,1.519464,5.566698,-1.296622,5.869081,-1.595908,25.009426,18.006787,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0014;RT_D1_0015,RT_D1_0005;RT_D1_0009;RT_D1_0016;RT_D1_0017,12,false,true,385,false,false,false
386,holdout_generation_frozen,1256.307928,951.215645,1262.177009,949.619736,1258.647723,947.827479,1260.235902,948.633995,-1.941107,-0.985742,2.177059,5.869081,-1.595908,5.325571,-1.871916,25.006787,18.004887,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0015;RT_D1_0017,RT_D1_0014;RT_D1_0016,14,false,true,386,false,false,false
387,holdout_generation_frozen,1260.235902,948.633995,1265.561473,946.762079,1266.654757,945.089692,1266.162779,945.842266,0.601306,-0.919813,1.09892,5.325571,-1.871916,5.493937,-2.129463,25.004887,18.003518,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0014;RT_D1_0015;RT_D1_0016,RT_D1_0008;RT_D1_0009;RT_D1_0017,13,false,true,387,false,false,false
388,holdout_generation_frozen,1266.162779,945.842266,1271.656716,943.712803,1271.077226,943.859891,1271.337996,943.793701,-0.318719,0.080899,0.328826,5.493937,-2.129463,5.404695,-2.106812,25.003518,18.002533,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0014;RT_D1_0015,RT_D1_0008;RT_D1_0016;RT_D1_0017,13,false,true,388,false,false,false
389,holdout_generation_frozen,1271.337996,943.793701,1276.742692,941.686889,1279.680163,943.197399,1278.358301,942.517669,1.615609,0.83078,1.816697,5.404695,-2.106812,5.857066,-1.874193,25.002533,18.001824,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0014;RT_D1_0015,RT_D1_0016;RT_D1_0017;RT_D1_0018,14,false,true,389,false,false,false
390,holdout_generation_frozen,1278.358301,942.517669,1284.215367,940.643476,1288.46754,943.943915,1286.554062,942.458718,2.338695,1.815242,2.960506,5.857066,-1.874193,6.511901,-1.365926,25.001824,18.001313,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0014;RT_D1_0015,RT_D1_0016;RT_D1_0017;RT_D1_0018,14,false,true,390,false,false,false
391,holdout_generation_frozen,1286.554062,942.458718,1293.065963,941.092792,1289.506736,944.145284,1291.108388,942.771663,-1.957575,1.678871,2.578896,6.511901,-1.365926,5.96378,-0.895842,25.001313,18.000946,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0015;RT_D1_0018,RT_D1_0014;RT_D1_0016;RT_D1_0017,14,false,true,391,false,false,false
392,holdout_generation_frozen,1291.108388,942.771663,1297.072168,941.875821,1301.337647,946.001582,1299.418181,944.144989,2.346013,2.269169,3.263879,5.96378,-0.895842,6.620663,-0.260475,25.000946,18.000681,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0014;RT_D1_0015;RT_D1_0017,RT_D1_0008;RT_D1_0016;RT_D1_0018,14,false,true,392,false,false,false
393,holdout_generation_frozen,1299.418181,944.144989,1306.038845,943.884515,1305.996067,949.884175,1306.015317,947.184328,-0.023528,3.299813,3.299897,6.620663,-0.260475,6.614076,0.663473,25.000681,18.00049,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0014,RT_D1_0015;RT_D1_0016;RT_D1_0017;RT_D1_0018,13,false,true,393,false,false,false
394,holdout_generation_frozen,1306.015317,947.184328,1312.629393,947.8478,1308.154571,948.147779,1310.168241,948.012789,-2.461152,0.164988,2.466676,6.614076,0.663473,5.924953,0.70967,25.00049,18.000353,current_sar_observation_response_tracks,RT_D1_0001;RT_D1_0002;RT_D1_0003;RT_D1_0004;RT_D1_0005;RT_D1_0006;RT_D1_0007;RT_D1_0008;RT_D1_0009;RT_D1_0011;RT_D1_0012;RT_D1_0013;RT_D1_0014;RT_D1_0015,RT_D1_0016;RT_D1_0017;RT_D1_0018,14,false,true,394,false,false,false
