background_track_id,first_frame,last_frame,fixed_coordinate_mean_x,fixed_coordinate_mean_y,position_variance,support_observation_count,support_unique_frame_count,support_frame_ids,missing_frames,shape_variation,energy_variation,conflicting_vehicle_motion_frames,background_state,threshold_source
BG_D1_R1_0036,361,367,1243.564233,852.345418,15.92766,5,5,361;363;365;366;367,27,37.720021,2885.484056,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0037,361,362,1026.10772,857.144927,17.323128,2,2,361;362,32,7.5,437.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0038,361,361,1167.304214,857.213772,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0039,361,364,1228.592616,858.935263,2.69854,2,2,361;364,30,2.5,153,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0040,361,362,1254.748129,861.966461,12.577507,2,2,361;362,32,0.5,4,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0041,361,367,1209.748796,861.400111,32.283164,3,3,361;364;367,27,9.93311,668.648554,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0042,361,366,1224.777381,867.343877,20.128736,3,3,361;365;366,28,3.681787,280.285965,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0043,361,362,1190.326654,868.806593,6.643586,2,2,361;362,32,1.5,107,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0044,361,361,1213.86674,880.690529,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0045,361,363,972.569849,886.889422,25.520265,3,3,361;362;363,31,5.656854,340.495064,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0046,361,362,1213.357195,889.707246,2.563468,2,2,361;362,32,5,241,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0047,361,361,1207.603416,891.351992,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0048,361,363,1224.741238,891.10362,15.831656,3,3,361;362;363,31,6.182412,411.536957,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0049,361,364,978.338522,905.878879,10.00619,3,3,361;362;364,30,124.408824,8542.134797,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0050,361,361,1236.908629,900.318105,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0051,361,361,928.504706,907.874716,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0052,361,361,921.491676,907.498335,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0053,361,362,940.017235,906.054771,10.499715,2,2,361;362,32,0,29,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0054,361,361,1010.167963,960.18507,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0055,361,361,1156.622771,968.772291,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0056,361,361,923.13118,980.068979,999999,1,1,361,33,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0057,361,367,1259.417768,986.057216,10.769377,6,6,361;362;364;365;366;367,27,15.373137,1013.854595,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0058,361,363,1233.209469,986.840025,11.256105,3,3,361;362;363,31,11.343133,768.952679,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0059,361,362,1183.291055,996.134405,12.863797,2,2,361;362,32,6.5,418,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0060,361,363,1183.90128,1009.700646,25.938191,3,3,361;362;363,31,1.414214,66.514827,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0061,361,363,1207.404256,1031.901398,27.09021,3,3,361;362;363,31,23.683093,1123.649708,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0062,361,371,1255.947975,1032.824039,28.270875,9,9,361;362;363;364;367;368;369;370;371,23,248.42079,20202.509784,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0063,362,364,1215.650085,838.226318,6.01381,2,2,362;364,30,0,30,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0064,362,363,1173.490925,844.463944,2.64292,2,2,362;363,31,1.5,115.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0065,362,364,961.692673,905.575956,25.119412,3,3,362;363;364,30,0.816497,58.446557,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0066,363,363,970.482533,829.768559,999999,1,1,363,31,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0067,363,363,1085.148198,833.578104,999999,1,1,363,31,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0068,363,363,1200.594122,868.289045,999999,1,1,363,31,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0069,363,366,991.728288,904.143844,13.697017,3,3,363;365;366,28,127.753234,9182.959593,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0070,363,363,1178.858115,969.483965,999999,1,1,363,31,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0071,363,363,1190.527964,969.587248,999999,1,1,363,31,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0072,363,365,1251.01272,987.274069,3.163834,3,3,363;364;365,29,11.085526,843.384583,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0073,363,364,1197.507905,997.855784,14.444069,2,2,363;364,30,4,232,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0074,363,364,1126.73864,1006.53534,8.175694,2,2,363;364,30,0,5.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0075,363,364,1193.924977,1035.163965,6.182224,2,2,363;364,30,0.5,38,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0076,364,367,1001.934424,902.668297,13.970975,4,4,364;365;366;367,27,76.31186,5577.281798,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0077,364,364,1036.968478,962.604703,999999,1,1,364,30,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0078,364,365,1227.95497,978.849475,3.865735,2,2,364;365,29,0,7,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0079,364,364,1054.092852,982.984848,999999,1,1,364,30,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0080,364,365,1042.485677,987.29759,10.413224,2,2,364;365,29,0.5,41,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0081,364,364,1012.90219,996.639416,999999,1,1,364,30,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0082,364,365,1201.105794,1009.39618,7.209664,2,2,364;365,29,7,438,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0083,364,365,1222.53397,1031.742482,18.661155,2,2,364;365,29,12.5,396.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0084,364,364,1199.706223,1016.921852,999999,1,1,364,30,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0085,365,366,1228.215604,834.863635,7.728285,2,2,365;366,28,5.5,394.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0086,365,371,1263.499561,838.96471,26.507103,5,5,365;366;369;370;371,23,38.468689,2928.076269,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0087,365,365,1127.407609,850.625,999999,1,1,365,29,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0088,365,374,1024.654474,904.740279,21.625887,7,7,365;366;367;368;372;373;374,20,146.018031,10776.039559,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0089,365,367,1215.777415,997.552958,31.974344,3,3,365;366;367,27,3.299832,199.810466,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0090,366,366,1049.817931,852.031724,999999,1,1,366,28,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0091,366,368,1237.886695,869.445408,5.589919,3,3,366;367;368,26,8.178563,559.716595,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0092,366,366,1032.799435,994.179379,999999,1,1,366,28,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0093,366,367,1215.591926,1009.144733,4.670988,2,2,366;367,27,7,425.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0094,366,367,1236.66707,1032.369803,11.662884,2,2,366;367,27,10,390,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0095,367,375,1281.696962,841.441131,31.020116,5,5,367;368;369;371;375,19,31.212818,2348.770112,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0096,367,367,1216.958726,850.705189,999999,1,1,367,27,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0097,367,371,1263.867489,851.903224,27.721301,5,5,367;368;369;370;371,23,28.819438,2053.70734,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0098,367,367,1086.56978,853.660021,999999,1,1,367,27,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0099,367,367,1210.207865,973.414607,999999,1,1,367,27,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0100,367,367,1202.584197,973.914508,999999,1,1,367,27,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0101,367,370,1067.888517,980.827876,20.300607,4,4,367;368;369;370,24,4,272.557677,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0102,367,368,1271.805258,988.142953,2.362135,2,2,367;368,26,8,573,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0103,367,368,1226.114379,1009.036563,6.338579,2,2,367;368,26,1.5,98.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0104,367,380,1293.586676,1030.21254,30.52143,7,7,367;371;372;373;376;377;380,14,207.949758,13634.303119,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0105,368,368,1064.484985,851.400901,999999,1,1,368,26,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0106,368,373,1282.683046,854.612795,28.770929,6,6,368;369;370;371;372;373,21,24.552099,1898.486415,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0107,368,372,1254.854098,868.746537,26.494105,5,5,368;369;370;371;372,22,4.732864,297.574865,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0108,368,370,1076.056405,958.282659,1.740045,2,2,368;370,24,1.5,109,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0109,368,368,1081.015106,979.595166,999999,1,1,368,26,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0110,368,369,1233.924412,997.71094,18.845412,2,2,368;369,25,7.5,536.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0111,368,374,1264.303111,1014.246839,21.52031,3,3,368;371;374,20,6.342099,408.696301,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0112,369,376,1040.462566,904.304187,14.884535,5,5,369;370;374;375;376,18,215.406035,17561.909297,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0113,369,369,1052.555556,981.852608,999999,1,1,369,25,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0114,369,369,1139.528714,987.60362,999999,1,1,369,25,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0115,369,375,1142.236836,991.625061,4.799872,6,6,369;371;372;373;374;375,19,3.986087,329.453925,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0116,369,375,1142.391903,995.414413,9.835792,6,6,369;371;372;373;374;375,19,2.362908,166.241792,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0117,369,370,1236.780585,1008.84941,1.51357,2,2,369;370,24,1.5,83,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0118,369,373,1253.947777,1011.032323,25.010631,5,5,369;370;371;372;373,21,9.887366,773.327977,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0119,370,376,1297.340766,846.971353,28.399475,6,6,370;371;372;374;375;376,18,35.639008,2535.456413,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0120,370,372,1250.136166,997.426269,21.564275,3,3,370;371;372,22,10.198039,760.743642,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0121,371,374,1113.323049,853.715916,1.10853,2,2,371;374,20,0.5,71.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0122,371,373,1279.200297,876.620349,20.651001,3,3,371;372;373,21,12.192894,910.693631,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0123,371,372,1041.1176,884.471256,11.077398,2,2,371;372,22,2,191,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0124,371,372,1054.490894,904.238168,16.149981,2,2,371;372,22,37.5,4495,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0125,371,371,1089.359571,958.774853,999999,1,1,371,23,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0126,371,374,1309.701185,989.168011,18.927352,4,4,371;372;373;374,20,0.433013,37.943214,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0127,372,384,1317.588372,838.894626,36.204088,10,10,372;373;374;377;378;379;380;381;382;384,10,19.730433,1573.799428,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0128,372,374,1270.757786,867.684413,4.793275,3,3,372;373;374,20,7.788881,663.373701,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0129,372,375,1282.557649,868.923804,4.702752,4,4,372;373;374;375,19,5.787918,352.889767,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0130,372,374,1289.435995,884.594078,22.944118,3,3,372;373;374,20,4.189935,217.755725,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0131,372,373,1270.410209,1029.665749,7.728305,2,2,372;373,21,6,2725.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0132,373,378,1312.471816,855.850673,22.14299,6,6,373;374;375;376;377;378,16,28.865589,1773.456011,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0133,373,381,1070.796757,904.439683,19.638852,6,6,373;374;375;379;380;381,13,252.50264,19494.458532,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0134,373,376,1089.16336,979.602629,10.59524,2,2,373;376,18,4.5,230.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0135,373,374,1266.095104,996.789993,10.590285,2,2,373;374,20,9,547,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0136,373,373,1299.902707,1037.199707,999999,1,1,373,21,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0137,373,376,1313.275114,1038.053157,21.280649,4,4,373;374;375;376,18,6.098155,471.933788,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0138,374,376,1300.961847,861.456399,16.17353,3,3,374;375;376,18,7.133645,459.704253,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0139,374,377,1294.458899,871.886602,15.888594,4,4,374;375;376;377,17,6.062178,332.490977,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0140,374,376,1064.327295,884.583998,25.557367,3,3,374;375;376,18,3.399346,201.366995,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0141,374,378,1282.372001,1009.897248,22.47515,4,4,374;376;377;378,16,21.505813,1294.286942,,static_background_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0142,374,375,1283.531053,1030.064156,1.26553,2,2,374;375,19,36.5,3087,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0143,375,385,1332.9549,840.19164,37.558799,10,10,375;376;377;378;379;380;381;382;383;385,9,29.302048,1886.3347,,static_background_supported,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0144,375,376,1305.084218,882.985855,10.009309,2,2,375;376,18,3.5,244,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0145,375,376,1281.349422,963.460181,16.394616,2,2,375;376,18,1.5,70.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0146,375,375,1105.810771,960.240175,999999,1,1,375,19,0,0,,unresolved_response,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0147,375,376,1277.827054,999.815632,22.525402,2,2,375;376,18,16.5,1203.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
BG_D1_R1_0148,376,377,1293.20753,835.407837,1.288526,2,2,376;377,17,8.5,519.5,,background_recurrence_candidate,P0 static_position_variance_threshold_px2 plus D1-R1 unique-frame support rules
