fragment_id,scene_id,frame_start,frame_end,detector_source,source_candidate_node_ids,vehicle_description,body_coverage_summary,identity_safety_status,accepted_status,review_required,split_reason,not_final_box_flag,not_SAR_ready_flag,note
GM_RM011_WGF011,GM_RM011,231,233,yolo26l,GM_RM011_Y26N007,early white body fragment in multi-vehicle encounter,large_lower_vehicle_body_proxy=3/3;multi_box_competition=yes,identity_safe_local_candidate,review_required,yes,multi_vehicle_encounter_start,yes,yes,short local fragment can enter human review but not SAR
GM_RM011_WGF012,GM_RM011,236,239,yolo26l,GM_RM011_Y26N008;GM_RM011_Y26N009,fragment A around frame 237 right-side white vehicle,large_lower_vehicle_body_proxy=4/4;missing_after_239_before_242,identity_safe_local_candidate,review_required,yes,split_from_overmerged_Y26N009_fragment_A,yes,yes,around-237 fragment;not directly same vehicle as 245-262 without review
GM_RM011_WGF013,GM_RM011,242,264,yolo26l,GM_RM011_Y26N008;GM_RM011_Y26N009;GM_RM011_Y26N010,fragment B stable white vehicle candidate around 245-262,large_lower_vehicle_body_proxy=23/23;multi_box_competition=yes,identity_safe_local_candidate,weak,yes,split_from_overmerged_Y26N009_fragment_B_before_264_265_jump,yes,yes,local same-vehicle observation is plausible but remains human-review required
GM_RM011_WGF014,GM_RM011,265,270,yolo26l,GM_RM011_Y26N009;GM_RM011_Y26N010,fragment C around frame 270 likely different vehicle or handoff fragment,large_lower_vehicle_body_proxy=6/6;after_264_265_jump,identity_safe_local_candidate,review_required,yes,split_after_264_265_center_jump,yes,yes,do not merge with 242-264 as same vehicle;use temporal context first
GM_RM011_WGF015,GM_RM011,279,288,yolo26l,GM_RM011_Y26N011;GM_RM011_Y26N012,central white vehicle late fragment before 288-289 jump,large_lower_vehicle_body_proxy=9/10;split_before_288_289_jump,identity_safe_local_candidate,weak,yes,split_from_Y26N012_before_288_289_jump,yes,yes,reviewable local fragment;do not connect from 270 automatically
GM_RM011_WGF016,GM_RM011,289,292,yolo26l,GM_RM011_Y26N012,post-jump central white vehicle late fragment,large_lower_vehicle_body_proxy=4/4;after_288_289_jump,identity_safe_local_candidate,review_required,yes,split_after_288_289_center_jump,yes,yes,requires human review before any late same-vehicle edge
GM_RM011_WGF017,GM_RM011,283,292,yolo26l,GM_RM011_Y26N013,left-edge competitor vehicle context fragment,left_edge_competitor_proxy=4/10;selected_candidate_frames=4/10,context_only_competitor,forbidden,yes,competitor_vehicle_context_for_forbidden_guard,yes,yes,kept as context fragment;not a same-vehicle target node
GM_RM017_WGF001,GM_RM017,118,144,yolo26l,GM_RM017_Y26N002,pre-145 truck or large context vehicle review target,vehicle_candidate_frames=27/27;body_proxy=n/a_for_GM_RM017,target_family_context_candidate,review_required,yes,split_GM_RM017_full_window_before_dark_and_white_targets,yes,yes,review target only;not promoted to final vehicle identity
GM_RM017_WGF002,GM_RM017,145,158,yolo26l,GM_RM017_Y26N003;GM_RM017_Y26N004,leading dark or mixed target fragment before 159-162 jumps,vehicle_candidate_frames=14/14;multi_box_competition=yes,target_family_context_candidate,review_required,yes,split_before_159_162_large_jumps,yes,yes,kept separate from white SUV and trailing dark vehicle
GM_RM017_WGF003,GM_RM017,159,163,yolo26l,GM_RM017_Y26N002;GM_RM017_Y26N003;GM_RM017_Y26N004;GM_RM017_Y26N005,transition and target-switch zone in dense multi-target window,max_center_jump_over_575px;multi_box_competition=high,node_identity_switch_zone,blocked,yes,large_center_jumps_159_164_and_target_family_switch,yes,yes,blocked as identity fragment;context evidence only
GM_RM017_WGF004,GM_RM017,164,185,yolo26l,GM_RM017_Y26N004,white sedan or SUV review target fragment,vehicle_candidate_frames=22/22;multi_box_competition=high,target_family_context_candidate,review_required,yes,split_white_vehicle_family_from_full_118_214_window,yes,yes,white vehicle review target;detector-only cannot decide identity relation
GM_RM017_WGF005,GM_RM017,200,214,yolo26l,GM_RM017_Y26N005,trailing dark vehicle review target fragment,vehicle_candidate_frames=15/15;multi_box_competition=high,target_family_context_candidate,review_required,yes,split_trailing_dark_vehicle_from_full_118_214_window,yes,yes,kept separate from leading dark vehicle and white vehicle
