core_subgraph_id,sar_frame,member_atom_ids,graph_edge_ids,connected_in_atom_graph,core_relation_type,core_role_summary,core_support_geometry,core_lineage_evidence,core_background_relation,box_state,state_reason_cn
R21C00028,31,R21A00018;R21A00019,R21GE00030,true,unresolved_local_response,R21A00018:body_core_candidate;R21A00019:unresolved_atom,"bbox=1042,1135,1193,1249;proj=163.994011/121.148329;cov=135.303715/115.640699;pix=1491",R21PT0002,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00029,31,R21A00018;R21A00020,R21GE00031,true,body_to_endpoint,R21A00018:body_core_candidate;R21A00020:endpoint_hotspot_candidate,"bbox=1042,1135,1193,1249;proj=175.515924/122.735338;cov=146.493084/110.513332;pix=1468",R21PT0002;R21PT0004,background_separable_or_absent,vehicle_response_box_supported,主体与端点/侧边经 accepted edge 连通且存在重生谱系。
R21C00030,31,R21A00018;R21A00021,R21GE00032,true,body_to_endpoint,R21A00018:body_core_candidate;R21A00021:endpoint_hotspot_candidate,"bbox=1042,1135,1193,1249;proj=172.75126/123.060133;cov=140.612465/109.822868;pix=1460",R21PT0002;R21PT0003,background_separable_or_absent,vehicle_response_box_supported,主体与端点/侧边经 accepted edge 连通且存在重生谱系。
R21C00031,31,R21A00019;R21A00020,,true,unresolved_local_response,R21A00019:unresolved_atom;R21A00020:endpoint_hotspot_candidate,"bbox=1042,1135,1114,1243;proj=117.588397/15.872725;cov=205.874925/12.052803;pix=107",R21PT0004,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00032,32,R21A00022,,true,single_partial_body,R21A00022:body_core_candidate,"bbox=1102,1135,1192,1249;proj=119.652574/87.172561;cov=130.69766/65.272129;pix=1120",R21PT0005,background_separable_or_absent,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00033,32,R21A00023,,true,unresolved_local_response,R21A00023:unresolved_atom,"bbox=1072,1159,1096,1189;proj=25.412522/16.99438;cov=29.300446/18.449044;pix=74",R21PT0002,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00034,32,R21A00024,,true,unresolved_local_response,R21A00024:unresolved_atom,"bbox=1090,1135,1114,1147;proj=16.870096/10.041713;cov=13.963985/10.350243;pix=59",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00035,32,R21A00025,,true,single_endpoint_part,R21A00025:endpoint_hotspot_candidate,"bbox=1048,1225,1060,1243;proj=12.991226/6.324323;cov=13.672646/6.636713;pix=38",R21PT0004,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00036,32,R21A00026,,true,single_endpoint_part,R21A00026:endpoint_hotspot_candidate,"bbox=1072,1219,1090,1237;proj=11.488561/12.082938;cov=13.668997/12.091466;pix=37",R21PT0003,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00037,32,R21A00027,,true,unresolved_local_response,R21A00027:isolated_small_atom,"bbox=1048,1165,1072,1177;proj=19.634952/7.547129;cov=24.228162/8.965465;pix=23",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00038,32,R21A00022;R21A00023,R21GE00036,true,unresolved_local_response,R21A00022:body_core_candidate;R21A00023:unresolved_atom,"bbox=1072,1135,1192,1249;proj=118.548894/107.399881;cov=127.056867/82.783275;pix=1194",R21PT0002;R21PT0005,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00039,32,R21A00022;R21A00024,R21GE00037,true,unresolved_local_response,R21A00022:body_core_candidate;R21A00024:unresolved_atom,"bbox=1090,1135,1192,1249;proj=115.714269/94.997086;cov=134.690151/73.092666;pix=1179",R21PT0005,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00040,34,R21A00028,,true,single_partial_body,R21A00028:body_core_candidate,"bbox=1108,1135,1193,1267;proj=134.599214/83.0749;cov=131.334419/61.586185;pix=990",R21PT0002,background_separable_or_absent,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00041,34,R21A00029,,true,single_endpoint_part,R21A00029:endpoint_hotspot_candidate,"bbox=1036,1219,1072,1243;proj=29.613251/14.227328;cov=34.850846/13.799471;pix=97",R21PT0004,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00042,34,R21A00030,,true,single_side_part,R21A00030:side_ridge_candidate,"bbox=952,1153,988,1171;proj=32.350646/9.592448;cov=30.040183/7.668286;pix=79",single_frame_core,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00043,34,R21A00031,,true,unresolved_local_response,R21A00031:unresolved_atom,"bbox=1102,1135,1120,1147;proj=12.86762/9.979698;cov=12.736732/8.892315;pix=64",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00044,34,R21A00032,,true,single_endpoint_part,R21A00032:endpoint_hotspot_candidate,"bbox=1078,1219,1102,1237;proj=14.300474/11.043806;cov=14.705697/12.885031;pix=53",R21PT0003,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00045,34,R21A00033,,true,unresolved_local_response,R21A00033:unresolved_atom,"bbox=1072,1165,1102,1189;proj=30.582998/18.809468;cov=30.951319/15.788875;pix=55",R21PT0005,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00046,34,R21A00034,,true,unresolved_local_response,R21A00034:unresolved_atom,"bbox=1018,1141,1042,1159;proj=18.86772/2.759184;cov=18.272542/3.03978;pix=35",R21PT0006,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00047,34,R21A00028;R21A00029,,true,body_to_endpoint,R21A00028:body_core_candidate;R21A00029:endpoint_hotspot_candidate,"bbox=1036,1135,1193,1267;proj=166.894729/108.950746;cov=141.375906/98.955935;pix=1087",R21PT0002;R21PT0004,background_separable_or_absent,vehicle_response_box_supported,主体与端点/侧边经 accepted edge 连通且存在重生谱系。
R21C00048,39,R21A00035,,true,single_partial_body,R21A00035:body_core_candidate,"bbox=1108,1165,1192,1276;proj=105.292335/86.002098;cov=78.72891/62.431459;pix=913",single_frame_core,nearby_background,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00049,39,R21A00038,,true,single_side_part,R21A00038:side_ridge_candidate,"bbox=982,1141,1030,1153;proj=39.035855/5.664207;cov=33.902551/5.10157;pix=75",R21PT0006,nearby_background,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00050,39,R21A00039,,true,single_endpoint_part,R21A00039:endpoint_hotspot_candidate,"bbox=1084,1213,1102,1231;proj=11.68751/9.334575;cov=11.761222/8.925918;pix=50",R21PT0003,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00051,39,R21A00040,,true,single_endpoint_part,R21A00040:endpoint_hotspot_candidate,"bbox=1048,1207,1078,1225;proj=27.199343/10.63658;cov=34.672359/10.281996;pix=37",R21PT0004,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00052,39,R21A00041,,true,unresolved_local_response,R21A00041:isolated_small_atom,"bbox=1084,1171,1114,1183;proj=25.150102/4.277635;cov=25.678043/4.147607;pix=32",single_frame_core,nearby_background,unresolved,局部响应可见但结构关系不足。
R21C00053,39,R21A00035;R21A00039,R21GE00075,true,body_to_endpoint,R21A00035:body_core_candidate;R21A00039:endpoint_hotspot_candidate,"bbox=1084,1165,1192,1276;proj=105.527834/106.437612;cov=84.106142/74.83875;pix=963",R21PT0003,nearby_background,vehicle_response_box_possible,局部关系成立，但谱系或边界仍不足以支持完整车辆响应。
R21C00054,39,R21A00035;R21A00040,R21GE00076,true,body_to_endpoint,R21A00035:body_core_candidate;R21A00040:endpoint_hotspot_candidate,"bbox=1048,1165,1192,1276;proj=138.374362/105.635125;cov=92.62051/76.920449;pix=950",R21PT0004,nearby_background,vehicle_response_box_possible,局部关系成立，但谱系或边界仍不足以支持完整车辆响应。
R21C00055,39,R21A00039;R21A00040,R21GE00090,true,unresolved_local_response,R21A00039:endpoint_hotspot_candidate;R21A00040:endpoint_hotspot_candidate,"bbox=1048,1207,1102,1231;proj=49.012/11.529028;cov=59.883581/10.189175;pix=87",R21PT0003;R21PT0004,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00056,40,R21A00042,,true,single_partial_body,R21A00042:body_core_candidate,"bbox=1114,1171,1193,1261;proj=83.170861/75.276656;cov=75.143221/69.924391;pix=840",single_frame_core,background_separable_or_absent,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00057,40,R21A00043,,true,single_side_part,R21A00043:side_ridge_candidate,"bbox=994,1135,1090,1159;proj=92.163028/19.903651;cov=99.880356/14.551645;pix=247",R21PT0006,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00058,40,R21A00044,,true,unresolved_local_response,R21A00044:unresolved_atom,"bbox=1138,1135,1168,1153;proj=26.168672/13.080088;cov=27.12021/10.407446;pix=143",R21PT0007,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00059,40,R21A00045,,true,single_partial_body,R21A00045:body_core_candidate,"bbox=1054,1207,1108,1237;proj=50.14823/13.308275;cov=65.63702/9.620156;pix=112",R21PT0003,background_separable_or_absent,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00060,40,R21A00046,,true,unresolved_local_response,R21A00046:isolated_small_atom,"bbox=1090,1171,1114,1183;proj=19.40203/3.396843;cov=23.814137/3.838792;pix=31",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00061,40,R21A00042;R21A00044,R21GE00094,true,unresolved_local_response,R21A00042:body_core_candidate;R21A00044:unresolved_atom,"bbox=1114,1135,1193,1261;proj=122.615479/76.770567;cov=127.723932/65.66707;pix=983",R21PT0007,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00062,46,R21A00047,,true,single_partial_body,R21A00047:body_core_candidate,"bbox=1030,1135,1193,1255;proj=169.944167/118.869581;cov=178.896558/110.58542;pix=1425",R21PT0007,background_separable_or_absent,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00063,52,R21A00048,,true,single_side_part,R21A00048:side_ridge_candidate,"bbox=1024,1135,1193,1189;proj=168.642146/53.497514;cov=163.48057/53.339773;pix=925",R21PT0007,nearby_background,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00064,52,R21A00050,,true,unresolved_local_response,R21A00050:unresolved_atom,"bbox=1180,1135,1193,1147;proj=10.621972/7.833277;cov=9.92933/7.150208;pix=41",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00065,52,R21A00051,,true,unresolved_local_response,R21A00051:isolated_small_atom,"bbox=1144,1201,1168,1207;proj=17.028213/2.20634;cov=14.108037/3.044346;pix=15",single_frame_core,nearby_background,unresolved,局部响应可见但结构关系不足。
R21C00066,52,R21A00048;R21A00050,R21GE00104,true,unresolved_local_response,R21A00048:side_ridge_candidate;R21A00050:unresolved_atom,"bbox=1024,1135,1193,1189;proj=168.319104/52.711958;cov=168.584579/55.141389;pix=966",R21PT0007,nearby_background,unresolved,局部响应可见但结构关系不足。
R21C00067,60,R21A00053,,true,single_partial_body,R21A00053:body_core_candidate,"bbox=1126,1207,1186,1243;proj=53.470508/35.862845;cov=51.676208/24.909598;pix=423",single_frame_core,nearby_background,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00068,60,R21A00054,,true,unresolved_local_response,R21A00054:isolated_small_atom,"bbox=1162,1249,1192,1267;proj=25.997512/15.414304;cov=30.16308/19.297316;pix=14",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00069,77,R21A00055,,true,unresolved_local_response,R21A00055:unresolved_atom,"bbox=1146,1133,1266,1163;proj=117.923898/28.611023;cov=114.607794/21.976973;pix=824",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00070,77,R21A00056,,true,single_partial_body,R21A00056:body_core_candidate,"bbox=1146,1187,1248,1271;proj=120.643913/69.479844;cov=82.733254/65.987544;pix=485",single_frame_core,background_separable_or_absent,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00071,77,R21A00057,,true,single_side_part,R21A00057:side_ridge_candidate,"bbox=1224,1169,1254,1187;proj=25.159817/13.118281;cov=30.150236/6.923754;pix=67",R21PT0008,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00072,77,R21A00058,,true,unresolved_local_response,R21A00058:unresolved_atom,"bbox=1260,1151,1284,1187;proj=30.017261/17.002864;cov=32.665078/16.345788;pix=60",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00073,77,R21A00059,,true,unresolved_local_response,R21A00059:unresolved_atom,"bbox=1284,1133,1302,1145;proj=12.108872/8.797347;cov=11.80318/7.526728;pix=47",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00074,77,R21A00060,,true,unresolved_local_response,R21A00060:isolated_small_atom,"bbox=1296,1175,1332,1199;proj=32.38196/17.668687;cov=41.042512/20.631096;pix=22",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00075,77,R21A00055;R21A00056,R21GE00112,true,unresolved_local_response,R21A00055:unresolved_atom;R21A00056:body_core_candidate,"bbox=1146,1133,1266,1271;proj=139.831138/143.539627;cov=157.798174/102.078525;pix=1309",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00076,77,R21A00055;R21A00057,R21GE00113,true,unresolved_local_response,R21A00055:unresolved_atom;R21A00057:side_ridge_candidate,"bbox=1146,1133,1266,1187;proj=119.026601/47.579235;cov=120.918509/38.493132;pix=891",R21PT0008,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00077,78,R21A00062,,true,single_partial_body,R21A00062:body_core_candidate,"bbox=1170,1187,1248,1271;proj=74.727943/78.561547;cov=70.291026/63.844418;pix=451",R21PT0009,nearby_background,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00078,78,R21A00063,,true,single_side_part,R21A00063:side_ridge_candidate,"bbox=1224,1175,1260,1187;proj=26.064667/5.292504;cov=26.324315/4.57659;pix=61",R21PT0008,nearby_background,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00079,78,R21A00064,,true,unresolved_local_response,R21A00064:unresolved_atom,"bbox=1290,1133,1308,1151;proj=16.056851/8.694368;cov=15.202547/7.813508;pix=53",single_frame_core,nearby_background,unresolved,局部响应可见但结构关系不足。
R21C00080,78,R21A00065,,true,unresolved_local_response,R21A00065:isolated_small_atom,"bbox=1302,1175,1326,1199;proj=24.114372/13.391515;cov=28.774665/11.97248;pix=19",single_frame_core,nearby_background,unresolved,局部响应可见但结构关系不足。
R21C00081,78,R21A00066,,true,unresolved_local_response,R21A00066:isolated_small_atom,"bbox=1146,1247,1164,1271;proj=17.832577/16.469291;cov=23.168595/16.640779;pix=18",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00082,78,R21A00067,,true,unresolved_local_response,R21A00067:isolated_small_atom,"bbox=1242,1193,1254,1205;proj=11.013947/5.461084;cov=18.001197/5.513168;pix=15",single_frame_core,nearby_background,unresolved,局部响应可见但结构关系不足。
R21C00083,78,R21A00062;R21A00063,R21GE00133,true,body_to_side,R21A00062:body_core_candidate;R21A00063:side_ridge_candidate,"bbox=1170,1175,1260,1271;proj=114.732467/67.442648;cov=89.997187/64.72598;pix=512",R21PT0008;R21PT0009,nearby_background,vehicle_response_box_possible,局部关系成立，但谱系或边界仍不足以支持完整车辆响应。
R21C00084,79,R21A00069,,true,single_partial_body,R21A00069:body_core_candidate,"bbox=1194,1187,1254,1241;proj=67.346216/60.066652;cov=76.456345/34.525365;pix=372",single_frame_core,nearby_background,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00085,79,R21A00070,,true,unresolved_local_response,R21A00070:unresolved_atom,"bbox=1290,1133,1308,1145;proj=14.173274/9.967605;cov=14.585932/7.806259;pix=49",single_frame_core,nearby_background,unresolved,局部响应可见但结构关系不足。
R21C00086,79,R21A00071,,true,single_side_part,R21A00071:side_ridge_candidate,"bbox=1230,1175,1260,1187;proj=24.080585/4.994403;cov=27.187593/3.889705;pix=42",R21PT0008,nearby_background,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00087,79,R21A00072,,true,unresolved_local_response,R21A00072:unresolved_atom,"bbox=1170,1247,1206,1271;proj=32.919283/26.759096;cov=38.081834/20.357034;pix=36",R21PT0009,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00088,79,R21A00073,,true,unresolved_local_response,R21A00073:isolated_small_atom,"bbox=1242,1199,1260,1205;proj=11.400324/3.875243;cov=19.183462/3.966238;pix=14",single_frame_core,nearby_background,unresolved,局部响应可见但结构关系不足。
R21C00089,79,R21A00074,,true,unresolved_local_response,R21A00074:isolated_small_atom,"bbox=1146,1247,1164,1271;proj=20.613445/11.566973;cov=23.662907/11.681086;pix=15",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
R21C00090,79,R21A00069;R21A00071,R21GE00155,true,body_to_side,R21A00069:body_core_candidate;R21A00071:side_ridge_candidate,"bbox=1194,1175,1260,1241;proj=62.077312/72.462427;cov=73.86958/64.289126;pix=414",R21PT0008,nearby_background,vehicle_response_box_possible,局部关系成立，但谱系或边界仍不足以支持完整车辆响应。
R21C00091,79,R21A00069;R21A00072,R21GE00156,true,unresolved_local_response,R21A00069:body_core_candidate;R21A00072:unresolved_atom,"bbox=1170,1187,1254,1271;proj=75.102831/83.020711;cov=74.772845/66.211523;pix=408",R21PT0009,nearby_background,unresolved,局部响应可见但结构关系不足。
R21C00092,80,R21A00075,,true,single_side_part,R21A00075:side_ridge_candidate,"bbox=1146,1133,1266,1163;proj=118.499384/26.068816;cov=126.944503/19.915633;pix=828",single_frame_core,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00093,80,R21A00076,,true,single_partial_body,R21A00076:body_core_candidate,"bbox=1200,1181,1260,1241;proj=65.594496/66.596919;cov=71.705092/44.54725;pix=418",single_frame_core,background_separable_or_absent,vehicle_response_box_possible,只有局部主体响应，缺少端点或侧边闭合，保持 possible。
R21C00094,80,R21A00077,,true,single_side_part,R21A00077:side_ridge_candidate,"bbox=1146,1241,1212,1271;proj=62.569001/21.051053;cov=71.598193/23.653388;pix=63",R21PT0009,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00095,80,R21A00078,,true,unresolved_local_response,R21A00078:unresolved_atom,"bbox=1272,1163,1290,1187;proj=21.898571/15.63181;cov=24.285835/16.735393;pix=53",single_frame_core,nearby_background,unresolved,局部响应可见但结构关系不足。
R21C00096,80,R21A00080,,true,single_side_part,R21A00080:side_ridge_candidate,"bbox=1236,1175,1266,1187;proj=25.179236/5.198344;cov=26.772369/4.754579;pix=44",R21PT0008,background_separable_or_absent,vehicle_part_box_only,仅有端点或侧边局部响应，没有主体闭合，作为局部部件框保留。
R21C00097,80,R21A00081,,true,unresolved_local_response,R21A00081:isolated_small_atom,"bbox=1308,1175,1326,1199;proj=21.389133/10.021468;cov=32.297026/10.856754;pix=14",single_frame_core,background_separable_or_absent,unresolved,局部响应可见但结构关系不足。
