reference_edge_id,scene,reference_table,reference_edge_kind,reference_status,from_reference_id,to_reference_id,from_mapped_auto_node_id,to_mapped_auto_node_id,mapping_evaluable,auto_relation_id,auto_relation_status,recovered_as_candidate,recovered_as_accepted_or_weak,forbidden_violation,context_false_bridge,evaluation_reason
GM_RM011_WGV12M015,GM_RM011,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM011_WGV12TF018,GM_RM011_WGV12TF019,AUTO_GM_RM011_0025,AUTO_GM_RM011_0027,True,REL_GM_RM011_00176,ambiguous_continuity,True,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV12M016,GM_RM011,wgv1_4_same_vehicle_edges,not_same_vehicle_context,context_only,GM_RM011_WGV12TF019,GM_RM011_WGV12TF020,AUTO_GM_RM011_0027,AUTO_GM_RM011_0030,True,,not_in_candidate_set,False,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV12M001,GM_RM017,wgv1_4_same_vehicle_edges,same_vehicle,weak,GM_RM017_WGV12TF001,GM_RM017_WGV12TF002,AUTO_GM_RM017_0034,AUTO_GM_RM017_0034,True,SAME_AUTO_NODE,same_auto_node,True,True,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV12M002,GM_RM017,wgv1_4_same_vehicle_edges,not_same_vehicle_context,context_only,GM_RM017_WGV12TF002,GM_RM017_WGV12TF003,AUTO_GM_RM017_0034,AUTO_GM_RM017_0035,True,,not_in_candidate_set,False,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV12M003,GM_RM017,wgv1_4_same_vehicle_edges,not_same_vehicle_context,context_only,GM_RM017_WGV12TF003,GM_RM017_WGV12TF004,AUTO_GM_RM017_0035,AUTO_GM_RM017_0034,True,,not_in_candidate_set,False,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV12M004,GM_RM017,wgv1_4_same_vehicle_edges,not_same_vehicle_context,context_only,GM_RM017_WGV12TF004,GM_RM017_WGV12TF005,AUTO_GM_RM017_0034,AUTO_GM_RM017_0036,True,,not_in_candidate_set,False,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV12M005,GM_RM017,wgv1_4_same_vehicle_edges,same_vehicle,weak,GM_RM017_WGV12TF005,GM_RM017_WGV12TF006,AUTO_GM_RM017_0036,AUTO_GM_RM017_0036,True,SAME_AUTO_NODE,same_auto_node,True,True,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV12M006,GM_RM017,wgv1_4_same_vehicle_edges,not_same_vehicle_context,context_only,GM_RM017_WGV12TF006,GM_RM017_WGV12TF007,AUTO_GM_RM017_0036,AUTO_GM_RM017_0035,True,,not_in_candidate_set,False,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV12M007,GM_RM017,wgv1_4_same_vehicle_edges,not_same_vehicle_context,context_only,GM_RM017_WGV12TF007,GM_RM017_WGV12TF008,AUTO_GM_RM017_0035,AUTO_GM_RM017_0036,True,,not_in_candidate_set,False,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV12M008,GM_RM017,wgv1_4_same_vehicle_edges,not_same_vehicle_context,context_only,GM_RM017_WGV12TF008,GM_RM017_WGV12TF009,AUTO_GM_RM017_0036,AUTO_GM_RM017_0035,True,,not_in_candidate_set,False,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV12M009,GM_RM017,wgv1_4_same_vehicle_edges,not_same_vehicle_context,context_only,GM_RM017_WGV12TF009,GM_RM017_WGV12TF010,AUTO_GM_RM017_0035,AUTO_GM_RM017_0036,True,,not_in_candidate_set,False,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV12M010,GM_RM017,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM017_WGV12TF011,GM_RM017_WGV12TF012,AUTO_GM_RM017_0037,AUTO_GM_RM017_0037,True,SAME_AUTO_NODE,same_auto_node,True,True,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV14V001,GM_RM017,wgv1_4_same_vehicle_edges,same_vehicle,weak,GM_RM017_WGV12TF002,GM_RM017_WGV12TF004,AUTO_GM_RM017_0034,AUTO_GM_RM017_0034,True,SAME_AUTO_NODE,same_auto_node,True,True,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV14V002,GM_RM017,wgv1_4_same_vehicle_edges,same_vehicle,weak,GM_RM017_WGV12TF003,GM_RM017_WGV12TF007,AUTO_GM_RM017_0035,AUTO_GM_RM017_0035,True,SAME_AUTO_NODE,same_auto_node,True,True,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV14V003,GM_RM017,wgv1_4_same_vehicle_edges,same_vehicle,accepted,GM_RM017_WGV12TF007,GM_RM017_WGV12TF009,AUTO_GM_RM017_0035,AUTO_GM_RM017_0035,True,SAME_AUTO_NODE,same_auto_node,True,True,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV14V004,GM_RM017,wgv1_4_same_vehicle_edges,same_vehicle,weak,GM_RM017_WGV12TF009,GM_RM017_WGV12TF011,AUTO_GM_RM017_0035,AUTO_GM_RM017_0037,True,,not_in_candidate_set,False,False,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV14V005,GM_RM017,wgv1_4_same_vehicle_edges,same_vehicle,weak,GM_RM017_WGV12TF006,GM_RM017_WGV12TF008,AUTO_GM_RM017_0036,AUTO_GM_RM017_0036,True,SAME_AUTO_NODE,same_auto_node,True,True,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM017_WGV14V006,GM_RM017,wgv1_4_same_vehicle_edges,same_vehicle,weak,GM_RM017_WGV12TF008,GM_RM017_WGV12TF010,AUTO_GM_RM017_0036,AUTO_GM_RM017_0036,True,SAME_AUTO_NODE,same_auto_node,True,True,False,False,same_auto_node_or_fixed_relation_lookup
GM_RM011_WGV14C001,GM_RM011,wgv1_4_temporal_context_edges,same_frame_competition,context_only,GM_RM011_WGV14T001,GM_RM011_WGV14T002,AUTO_GM_RM011_0001;AUTO_GM_RM011_0003;AUTO_GM_RM011_0005,AUTO_GM_RM011_0006,True,REL_GM_RM011_00018,ambiguous_continuity,True,False,False,False,context_edge_should_not_be_accepted_by_auto_relation
GM_RM011_WGV14C002,GM_RM011,wgv1_4_temporal_context_edges,same_frame_competition,context_only,GM_RM011_WGV14T005,GM_RM011_WGV14T006,AUTO_GM_RM011_0017;AUTO_GM_RM011_0019;AUTO_GM_RM011_0022;AUTO_GM_RM011_0023;AUTO_GM_RM011_0025;AUTO_GM_RM011_0027,AUTO_GM_RM011_0030,True,REL_GM_RM011_00179,ambiguous_continuity,True,False,False,False,context_edge_should_not_be_accepted_by_auto_relation
GM_RM017_WGV14C001,GM_RM017,wgv1_4_temporal_context_edges,different_vehicle_context,context_only,GM_RM017_WGV14T001,GM_RM017_WGV14T002,AUTO_GM_RM017_0034,AUTO_GM_RM017_0035;AUTO_GM_RM017_0037,True,,not_in_candidate_set,False,False,False,False,context_edge_should_not_be_accepted_by_auto_relation
GM_RM017_WGV14C002,GM_RM017,wgv1_4_temporal_context_edges,different_vehicle_context,context_only,GM_RM017_WGV14T002,GM_RM017_WGV14T001,AUTO_GM_RM017_0035;AUTO_GM_RM017_0037,AUTO_GM_RM017_0034,True,,not_in_candidate_set,False,False,False,False,context_edge_should_not_be_accepted_by_auto_relation
GM_RM017_WGV14C003,GM_RM017,wgv1_4_temporal_context_edges,different_vehicle_context,context_only,GM_RM017_WGV14T001,GM_RM017_WGV14T003,AUTO_GM_RM017_0034,AUTO_GM_RM017_0036,True,,not_in_candidate_set,False,False,False,False,context_edge_should_not_be_accepted_by_auto_relation
GM_RM017_WGV14C004,GM_RM017,wgv1_4_temporal_context_edges,same_frame_competition,context_only,GM_RM017_WGV14T003,GM_RM017_WGV14T002,AUTO_GM_RM017_0036,AUTO_GM_RM017_0035;AUTO_GM_RM017_0037,True,,not_in_candidate_set,False,False,False,False,context_edge_should_not_be_accepted_by_auto_relation
GM_RM017_WGV14C005,GM_RM017,wgv1_4_temporal_context_edges,same_frame_competition,context_only,GM_RM017_WGV14T002,GM_RM017_WGV14T003,AUTO_GM_RM017_0035;AUTO_GM_RM017_0037,AUTO_GM_RM017_0036,True,,not_in_candidate_set,False,False,False,False,context_edge_should_not_be_accepted_by_auto_relation
GM_RM017_WGV14C006,GM_RM017,wgv1_4_temporal_context_edges,same_frame_competition,context_only,GM_RM017_WGV14T003,GM_RM017_WGV14T002,AUTO_GM_RM017_0036,AUTO_GM_RM017_0035;AUTO_GM_RM017_0037,True,,not_in_candidate_set,False,False,False,False,context_edge_should_not_be_accepted_by_auto_relation
GM_RM017_WGV14C007,GM_RM017,wgv1_4_temporal_context_edges,same_frame_competition,context_only,GM_RM017_WGV14T002,GM_RM017_WGV14T003,AUTO_GM_RM017_0035;AUTO_GM_RM017_0037,AUTO_GM_RM017_0036,True,,not_in_candidate_set,False,False,False,False,context_edge_should_not_be_accepted_by_auto_relation
