case_id,family_id,sar_frame,error_type,reason_cn,provenance
R21R1ERR0012,R21R1F00011,29,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0013,R21R1F00012,29,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0014,R21R1F00013,30,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0015,R21R1F00013,30,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0016,R21R1F00013,30,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0017,R21R1F00014,30,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0018,R21R1F00014,30,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0019,R21R1F00015,30,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0020,R21R1F00016,30,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0021,R21R1F00017,30,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0022,R21R1F00018,31,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0023,R21R1F00021,32,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0024,R21R1F00021,32,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0025,R21R1F00022,32,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0026,R21R1F00023,32,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0027,R21R1F00024,32,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0028,R21R1F00025,32,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0029,R21R1F00026,32,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0030,R21R1F00027,34,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0031,R21R1F00027,34,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0032,R21R1F00028,34,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0033,R21R1F00029,34,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0034,R21R1F00030,34,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0035,R21R1F00031,34,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0036,R21R1F00032,34,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0037,R21R1F00033,34,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0038,R21R1F00034,39,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0039,R21R1F00034,39,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0040,R21R1F00035,39,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0041,R21R1F00036,39,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0042,R21R1F00036,39,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0043,R21R1F00036,39,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0044,R21R1F00037,39,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0045,R21R1F00038,39,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0046,R21R1F00039,40,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0047,R21R1F00039,40,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0048,R21R1F00040,40,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0049,R21R1F00041,40,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0050,R21R1F00042,40,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0051,R21R1F00043,40,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0052,R21R1F00044,46,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0053,R21R1F00045,52,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0054,R21R1F00045,52,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0055,R21R1F00045,52,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0056,R21R1F00046,52,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0057,R21R1F00047,60,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0058,R21R1F00048,60,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0059,R21R1F00049,77,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0060,R21R1F00049,77,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0061,R21R1F00055,78,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0062,R21R1F00055,78,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0063,R21R1F00056,78,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0064,R21R1F00057,78,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0065,R21R1F00058,78,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0066,R21R1F00059,78,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0067,R21R1F00060,78,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0068,R21R1F00061,79,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0069,R21R1F00061,79,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0070,R21R1F00062,79,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0071,R21R1F00063,79,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0072,R21R1F00064,79,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0073,R21R1F00064,79,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0074,R21R1F00064,79,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0075,R21R1F00065,79,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0076,R21R1F00066,79,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0077,R21R1F00067,80,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0078,R21R1F00067,80,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0079,R21R1F00068,80,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0080,R21R1F00069,80,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0081,R21R1F00070,80,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0082,R21R1F00071,80,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0083,R21R1F00072,80,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0084,R21R1F00073,81,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0085,R21R1F00077,212,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0086,R21R1F00077,212,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0087,R21R1F00078,213,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0088,R21R1F00078,213,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0089,R21R1F00079,213,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0090,R21R1F00080,213,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0091,R21R1F00081,216,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0092,R21R1F00081,216,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0093,R21R1F00081,216,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0094,R21R1F00082,220,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0095,R21R1F00082,220,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0096,R21R1F00083,220,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0097,R21R1F00084,224,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0098,R21R1F00084,224,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0099,R21R1F00085,224,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0100,R21R1F00085,224,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0101,R21R1F00085,224,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0102,R21R1F00086,224,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0103,R21R1F00087,227,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0104,R21R1F00087,227,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0105,R21R1F00088,227,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0106,R21R1F00089,227,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0107,R21R1F00090,228,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0108,R21R1F00090,228,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0109,R21R1F00091,228,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0110,R21R1F00094,239,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0111,R21R1F00095,239,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0112,R21R1F00096,239,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0113,R21R1F00097,243,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0114,R21R1F00098,243,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0115,R21R1F00099,243,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0116,R21R1F00100,250,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0117,R21R1F00101,250,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0118,R21R1F00102,250,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0119,R21R1F00103,259,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0120,R21R1F00103,259,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0121,R21R1F00104,259,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0122,R21R1F00104,259,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0123,R21R1F00105,259,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0124,R21R1F00106,260,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0125,R21R1F00106,260,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0126,R21R1F00107,260,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0127,R21R1F00107,260,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0128,R21R1F00108,260,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0129,R21R1F00109,262,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0130,R21R1F00110,263,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0131,R21R1F00111,269,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0132,R21R1F00111,269,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0133,R21R1F00116,270,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0134,R21R1F00116,270,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0135,R21R1F00116,270,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0136,R21R1F00117,270,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0137,R21R1F00118,270,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0138,R21R1F00119,270,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0139,R21R1F00120,271,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0140,R21R1F00120,271,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0141,R21R1F00121,271,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0142,R21R1F00121,271,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0143,R21R1F00122,271,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0144,R21R1F00123,272,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0145,R21R1F00123,272,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0146,R21R1F00124,272,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0147,R21R1F00125,272,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0148,R21R1F00125,272,family_level_single_bbox_not_available,该族没有单一保守代表框，族级单框 IoU 不可用，只保留共有核心或成员范围诊断。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0149,R21R1F00125,272,raw_assisted_interpretation_change,raw 与 assisted 的解释发生变化，assisted 仅用于机制解释，不作为真值。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0150,R21R1F00126,272,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
R21R1ERR0151,R21R1F00127,272,not_evaluable_no_exact_gt,该帧没有 exact GT，冻结后评价只能记录为不可评价，不能写成无错误。,eval_only_after_raw_and_assisted_freeze
