template_id,independent_geometry_id,member_response_unit_ids,sar_frame,template_family,template_axis,template_operation,delta_m,delta_px,rotation_deg,template_scope
GM019IG0001_T20,GM019IG0001,R21B00042,34,single_boundary_shift,azimuth_max,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0001_T21,GM019IG0001,R21B00042,34,single_boundary_shift,range_min,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0001_T22,GM019IG0001,R21B00042,34,single_boundary_shift,range_min,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0001_T23,GM019IG0001,R21B00042,34,single_boundary_shift,range_max,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0001_T24,GM019IG0001,R21B00042,34,single_boundary_shift,range_max,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0001_T25,GM019IG0001,R21B00042,34,single_boundary_shift,azimuth_min,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0001_T26,GM019IG0001,R21B00042,34,single_boundary_shift,azimuth_min,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0001_T27,GM019IG0001,R21B00042,34,single_boundary_shift,azimuth_max,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0001_T28,GM019IG0001,R21B00042,34,single_boundary_shift,azimuth_max,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0001_T29,GM019IG0001,R21B00042,34,scale_resize,range,resize,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0001_T30,GM019IG0001,R21B00042,34,scale_resize,range,resize,0.15,5,0,GT-independent local frozen response geometry
GM019IG0001_T31,GM019IG0001,R21B00042,34,scale_resize,azimuth,resize,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0001_T32,GM019IG0001,R21B00042,34,scale_resize,azimuth,resize,0.15,5,0,GT-independent local frozen response geometry
GM019IG0001_T33,GM019IG0001,R21B00042,34,scale_resize,range,resize,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0001_T34,GM019IG0001,R21B00042,34,scale_resize,range,resize,0.3,10,0,GT-independent local frozen response geometry
GM019IG0001_T35,GM019IG0001,R21B00042,34,scale_resize,azimuth,resize,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0001_T36,GM019IG0001,R21B00042,34,scale_resize,azimuth,resize,0.3,10,0,GT-independent local frozen response geometry
GM019IG0001_T37,GM019IG0001,R21B00042,34,local_region_rotation,local_region,rotate,0,0,-30,GT-independent local frozen response geometry
GM019IG0001_T38,GM019IG0001,R21B00042,34,local_region_rotation,local_region,rotate,0,0,-15,GT-independent local frozen response geometry
GM019IG0001_T39,GM019IG0001,R21B00042,34,local_region_rotation,local_region,rotate,0,0,-10,GT-independent local frozen response geometry
GM019IG0001_T40,GM019IG0001,R21B00042,34,local_region_rotation,local_region,rotate,0,0,-5,GT-independent local frozen response geometry
GM019IG0001_T41,GM019IG0001,R21B00042,34,local_region_rotation,local_region,rotate,0,0,5,GT-independent local frozen response geometry
GM019IG0001_T42,GM019IG0001,R21B00042,34,local_region_rotation,local_region,rotate,0,0,10,GT-independent local frozen response geometry
GM019IG0001_T43,GM019IG0001,R21B00042,34,local_region_rotation,local_region,rotate,0,0,15,GT-independent local frozen response geometry
GM019IG0001_T44,GM019IG0001,R21B00042,34,local_region_rotation,local_region,rotate,0,0,30,GT-independent local frozen response geometry
GM019IG0001_T45,GM019IG0001,R21B00042,34,local_region_rotation,local_region,rotate,0,0,90,GT-independent local frozen response geometry
GM019IG0002_T01,GM019IG0002,R21B00105;R21B00107,212,center_shift,range,shift,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0002_T02,GM019IG0002,R21B00105;R21B00107,212,center_shift,range,shift,0.15,5,0,GT-independent local frozen response geometry
GM019IG0002_T03,GM019IG0002,R21B00105;R21B00107,212,center_shift,azimuth,shift,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0002_T04,GM019IG0002,R21B00105;R21B00107,212,center_shift,azimuth,shift,0.15,5,0,GT-independent local frozen response geometry
GM019IG0002_T05,GM019IG0002,R21B00105;R21B00107,212,center_shift,range,shift,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0002_T06,GM019IG0002,R21B00105;R21B00107,212,center_shift,range,shift,0.3,10,0,GT-independent local frozen response geometry
GM019IG0002_T07,GM019IG0002,R21B00105;R21B00107,212,center_shift,azimuth,shift,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0002_T08,GM019IG0002,R21B00105;R21B00107,212,center_shift,azimuth,shift,0.3,10,0,GT-independent local frozen response geometry
GM019IG0002_T09,GM019IG0002,R21B00105;R21B00107,212,center_shift,range,shift,-0.45,-15,0,GT-independent local frozen response geometry
GM019IG0002_T10,GM019IG0002,R21B00105;R21B00107,212,center_shift,range,shift,0.45,15,0,GT-independent local frozen response geometry
GM019IG0002_T11,GM019IG0002,R21B00105;R21B00107,212,center_shift,azimuth,shift,-0.45,-15,0,GT-independent local frozen response geometry
GM019IG0002_T12,GM019IG0002,R21B00105;R21B00107,212,center_shift,azimuth,shift,0.45,15,0,GT-independent local frozen response geometry
GM019IG0002_T13,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,range_min,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0002_T14,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,range_min,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0002_T15,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,range_max,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0002_T16,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,range_max,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0002_T17,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,azimuth_min,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0002_T18,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,azimuth_min,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0002_T19,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,azimuth_max,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0002_T20,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,azimuth_max,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0002_T21,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,range_min,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0002_T22,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,range_min,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0002_T23,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,range_max,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0002_T24,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,range_max,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0002_T25,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,azimuth_min,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0002_T26,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,azimuth_min,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0002_T27,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,azimuth_max,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0002_T28,GM019IG0002,R21B00105;R21B00107,212,single_boundary_shift,azimuth_max,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0002_T29,GM019IG0002,R21B00105;R21B00107,212,scale_resize,range,resize,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0002_T30,GM019IG0002,R21B00105;R21B00107,212,scale_resize,range,resize,0.15,5,0,GT-independent local frozen response geometry
GM019IG0002_T31,GM019IG0002,R21B00105;R21B00107,212,scale_resize,azimuth,resize,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0002_T32,GM019IG0002,R21B00105;R21B00107,212,scale_resize,azimuth,resize,0.15,5,0,GT-independent local frozen response geometry
GM019IG0002_T33,GM019IG0002,R21B00105;R21B00107,212,scale_resize,range,resize,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0002_T34,GM019IG0002,R21B00105;R21B00107,212,scale_resize,range,resize,0.3,10,0,GT-independent local frozen response geometry
GM019IG0002_T35,GM019IG0002,R21B00105;R21B00107,212,scale_resize,azimuth,resize,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0002_T36,GM019IG0002,R21B00105;R21B00107,212,scale_resize,azimuth,resize,0.3,10,0,GT-independent local frozen response geometry
GM019IG0002_T37,GM019IG0002,R21B00105;R21B00107,212,local_region_rotation,local_region,rotate,0,0,-30,GT-independent local frozen response geometry
GM019IG0002_T38,GM019IG0002,R21B00105;R21B00107,212,local_region_rotation,local_region,rotate,0,0,-15,GT-independent local frozen response geometry
GM019IG0002_T39,GM019IG0002,R21B00105;R21B00107,212,local_region_rotation,local_region,rotate,0,0,-10,GT-independent local frozen response geometry
GM019IG0002_T40,GM019IG0002,R21B00105;R21B00107,212,local_region_rotation,local_region,rotate,0,0,-5,GT-independent local frozen response geometry
GM019IG0002_T41,GM019IG0002,R21B00105;R21B00107,212,local_region_rotation,local_region,rotate,0,0,5,GT-independent local frozen response geometry
GM019IG0002_T42,GM019IG0002,R21B00105;R21B00107,212,local_region_rotation,local_region,rotate,0,0,10,GT-independent local frozen response geometry
GM019IG0002_T43,GM019IG0002,R21B00105;R21B00107,212,local_region_rotation,local_region,rotate,0,0,15,GT-independent local frozen response geometry
GM019IG0002_T44,GM019IG0002,R21B00105;R21B00107,212,local_region_rotation,local_region,rotate,0,0,30,GT-independent local frozen response geometry
GM019IG0002_T45,GM019IG0002,R21B00105;R21B00107,212,local_region_rotation,local_region,rotate,0,0,90,GT-independent local frozen response geometry
GM019IG0003_T01,GM019IG0003,R21B00109,213,center_shift,range,shift,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0003_T02,GM019IG0003,R21B00109,213,center_shift,range,shift,0.15,5,0,GT-independent local frozen response geometry
GM019IG0003_T03,GM019IG0003,R21B00109,213,center_shift,azimuth,shift,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0003_T04,GM019IG0003,R21B00109,213,center_shift,azimuth,shift,0.15,5,0,GT-independent local frozen response geometry
GM019IG0003_T05,GM019IG0003,R21B00109,213,center_shift,range,shift,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0003_T06,GM019IG0003,R21B00109,213,center_shift,range,shift,0.3,10,0,GT-independent local frozen response geometry
GM019IG0003_T07,GM019IG0003,R21B00109,213,center_shift,azimuth,shift,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0003_T08,GM019IG0003,R21B00109,213,center_shift,azimuth,shift,0.3,10,0,GT-independent local frozen response geometry
GM019IG0003_T09,GM019IG0003,R21B00109,213,center_shift,range,shift,-0.45,-15,0,GT-independent local frozen response geometry
GM019IG0003_T10,GM019IG0003,R21B00109,213,center_shift,range,shift,0.45,15,0,GT-independent local frozen response geometry
GM019IG0003_T11,GM019IG0003,R21B00109,213,center_shift,azimuth,shift,-0.45,-15,0,GT-independent local frozen response geometry
GM019IG0003_T12,GM019IG0003,R21B00109,213,center_shift,azimuth,shift,0.45,15,0,GT-independent local frozen response geometry
GM019IG0003_T13,GM019IG0003,R21B00109,213,single_boundary_shift,range_min,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0003_T14,GM019IG0003,R21B00109,213,single_boundary_shift,range_min,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0003_T15,GM019IG0003,R21B00109,213,single_boundary_shift,range_max,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0003_T16,GM019IG0003,R21B00109,213,single_boundary_shift,range_max,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0003_T17,GM019IG0003,R21B00109,213,single_boundary_shift,azimuth_min,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0003_T18,GM019IG0003,R21B00109,213,single_boundary_shift,azimuth_min,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0003_T19,GM019IG0003,R21B00109,213,single_boundary_shift,azimuth_max,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0003_T20,GM019IG0003,R21B00109,213,single_boundary_shift,azimuth_max,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0003_T21,GM019IG0003,R21B00109,213,single_boundary_shift,range_min,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0003_T22,GM019IG0003,R21B00109,213,single_boundary_shift,range_min,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0003_T23,GM019IG0003,R21B00109,213,single_boundary_shift,range_max,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0003_T24,GM019IG0003,R21B00109,213,single_boundary_shift,range_max,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0003_T25,GM019IG0003,R21B00109,213,single_boundary_shift,azimuth_min,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0003_T26,GM019IG0003,R21B00109,213,single_boundary_shift,azimuth_min,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0003_T27,GM019IG0003,R21B00109,213,single_boundary_shift,azimuth_max,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0003_T28,GM019IG0003,R21B00109,213,single_boundary_shift,azimuth_max,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0003_T29,GM019IG0003,R21B00109,213,scale_resize,range,resize,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0003_T30,GM019IG0003,R21B00109,213,scale_resize,range,resize,0.15,5,0,GT-independent local frozen response geometry
GM019IG0003_T31,GM019IG0003,R21B00109,213,scale_resize,azimuth,resize,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0003_T32,GM019IG0003,R21B00109,213,scale_resize,azimuth,resize,0.15,5,0,GT-independent local frozen response geometry
GM019IG0003_T33,GM019IG0003,R21B00109,213,scale_resize,range,resize,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0003_T34,GM019IG0003,R21B00109,213,scale_resize,range,resize,0.3,10,0,GT-independent local frozen response geometry
GM019IG0003_T35,GM019IG0003,R21B00109,213,scale_resize,azimuth,resize,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0003_T36,GM019IG0003,R21B00109,213,scale_resize,azimuth,resize,0.3,10,0,GT-independent local frozen response geometry
GM019IG0003_T37,GM019IG0003,R21B00109,213,local_region_rotation,local_region,rotate,0,0,-30,GT-independent local frozen response geometry
GM019IG0003_T38,GM019IG0003,R21B00109,213,local_region_rotation,local_region,rotate,0,0,-15,GT-independent local frozen response geometry
GM019IG0003_T39,GM019IG0003,R21B00109,213,local_region_rotation,local_region,rotate,0,0,-10,GT-independent local frozen response geometry
GM019IG0003_T40,GM019IG0003,R21B00109,213,local_region_rotation,local_region,rotate,0,0,-5,GT-independent local frozen response geometry
GM019IG0003_T41,GM019IG0003,R21B00109,213,local_region_rotation,local_region,rotate,0,0,5,GT-independent local frozen response geometry
GM019IG0003_T42,GM019IG0003,R21B00109,213,local_region_rotation,local_region,rotate,0,0,10,GT-independent local frozen response geometry
GM019IG0003_T43,GM019IG0003,R21B00109,213,local_region_rotation,local_region,rotate,0,0,15,GT-independent local frozen response geometry
GM019IG0003_T44,GM019IG0003,R21B00109,213,local_region_rotation,local_region,rotate,0,0,30,GT-independent local frozen response geometry
GM019IG0003_T45,GM019IG0003,R21B00109,213,local_region_rotation,local_region,rotate,0,0,90,GT-independent local frozen response geometry
GM019IG0004_T01,GM019IG0004,R21B00112;R21B00114,216,center_shift,range,shift,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0004_T02,GM019IG0004,R21B00112;R21B00114,216,center_shift,range,shift,0.15,5,0,GT-independent local frozen response geometry
GM019IG0004_T03,GM019IG0004,R21B00112;R21B00114,216,center_shift,azimuth,shift,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0004_T04,GM019IG0004,R21B00112;R21B00114,216,center_shift,azimuth,shift,0.15,5,0,GT-independent local frozen response geometry
GM019IG0004_T05,GM019IG0004,R21B00112;R21B00114,216,center_shift,range,shift,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0004_T06,GM019IG0004,R21B00112;R21B00114,216,center_shift,range,shift,0.3,10,0,GT-independent local frozen response geometry
GM019IG0004_T07,GM019IG0004,R21B00112;R21B00114,216,center_shift,azimuth,shift,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0004_T08,GM019IG0004,R21B00112;R21B00114,216,center_shift,azimuth,shift,0.3,10,0,GT-independent local frozen response geometry
GM019IG0004_T09,GM019IG0004,R21B00112;R21B00114,216,center_shift,range,shift,-0.45,-15,0,GT-independent local frozen response geometry
GM019IG0004_T10,GM019IG0004,R21B00112;R21B00114,216,center_shift,range,shift,0.45,15,0,GT-independent local frozen response geometry
GM019IG0004_T11,GM019IG0004,R21B00112;R21B00114,216,center_shift,azimuth,shift,-0.45,-15,0,GT-independent local frozen response geometry
GM019IG0004_T12,GM019IG0004,R21B00112;R21B00114,216,center_shift,azimuth,shift,0.45,15,0,GT-independent local frozen response geometry
GM019IG0004_T13,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,range_min,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0004_T14,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,range_min,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0004_T15,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,range_max,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0004_T16,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,range_max,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0004_T17,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,azimuth_min,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0004_T18,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,azimuth_min,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0004_T19,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,azimuth_max,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0004_T20,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,azimuth_max,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0004_T21,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,range_min,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0004_T22,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,range_min,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0004_T23,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,range_max,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0004_T24,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,range_max,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0004_T25,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,azimuth_min,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0004_T26,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,azimuth_min,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0004_T27,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,azimuth_max,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0004_T28,GM019IG0004,R21B00112;R21B00114,216,single_boundary_shift,azimuth_max,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0004_T29,GM019IG0004,R21B00112;R21B00114,216,scale_resize,range,resize,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0004_T30,GM019IG0004,R21B00112;R21B00114,216,scale_resize,range,resize,0.15,5,0,GT-independent local frozen response geometry
GM019IG0004_T31,GM019IG0004,R21B00112;R21B00114,216,scale_resize,azimuth,resize,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0004_T32,GM019IG0004,R21B00112;R21B00114,216,scale_resize,azimuth,resize,0.15,5,0,GT-independent local frozen response geometry
GM019IG0004_T33,GM019IG0004,R21B00112;R21B00114,216,scale_resize,range,resize,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0004_T34,GM019IG0004,R21B00112;R21B00114,216,scale_resize,range,resize,0.3,10,0,GT-independent local frozen response geometry
GM019IG0004_T35,GM019IG0004,R21B00112;R21B00114,216,scale_resize,azimuth,resize,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0004_T36,GM019IG0004,R21B00112;R21B00114,216,scale_resize,azimuth,resize,0.3,10,0,GT-independent local frozen response geometry
GM019IG0004_T37,GM019IG0004,R21B00112;R21B00114,216,local_region_rotation,local_region,rotate,0,0,-30,GT-independent local frozen response geometry
GM019IG0004_T38,GM019IG0004,R21B00112;R21B00114,216,local_region_rotation,local_region,rotate,0,0,-15,GT-independent local frozen response geometry
GM019IG0004_T39,GM019IG0004,R21B00112;R21B00114,216,local_region_rotation,local_region,rotate,0,0,-10,GT-independent local frozen response geometry
GM019IG0004_T40,GM019IG0004,R21B00112;R21B00114,216,local_region_rotation,local_region,rotate,0,0,-5,GT-independent local frozen response geometry
GM019IG0004_T41,GM019IG0004,R21B00112;R21B00114,216,local_region_rotation,local_region,rotate,0,0,5,GT-independent local frozen response geometry
GM019IG0004_T42,GM019IG0004,R21B00112;R21B00114,216,local_region_rotation,local_region,rotate,0,0,10,GT-independent local frozen response geometry
GM019IG0004_T43,GM019IG0004,R21B00112;R21B00114,216,local_region_rotation,local_region,rotate,0,0,15,GT-independent local frozen response geometry
GM019IG0004_T44,GM019IG0004,R21B00112;R21B00114,216,local_region_rotation,local_region,rotate,0,0,30,GT-independent local frozen response geometry
GM019IG0004_T45,GM019IG0004,R21B00112;R21B00114,216,local_region_rotation,local_region,rotate,0,0,90,GT-independent local frozen response geometry
GM019IG0005_T01,GM019IG0005,R21B00108,213,center_shift,range,shift,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0005_T02,GM019IG0005,R21B00108,213,center_shift,range,shift,0.15,5,0,GT-independent local frozen response geometry
GM019IG0005_T03,GM019IG0005,R21B00108,213,center_shift,azimuth,shift,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0005_T04,GM019IG0005,R21B00108,213,center_shift,azimuth,shift,0.15,5,0,GT-independent local frozen response geometry
GM019IG0005_T05,GM019IG0005,R21B00108,213,center_shift,range,shift,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0005_T06,GM019IG0005,R21B00108,213,center_shift,range,shift,0.3,10,0,GT-independent local frozen response geometry
GM019IG0005_T07,GM019IG0005,R21B00108,213,center_shift,azimuth,shift,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0005_T08,GM019IG0005,R21B00108,213,center_shift,azimuth,shift,0.3,10,0,GT-independent local frozen response geometry
GM019IG0005_T09,GM019IG0005,R21B00108,213,center_shift,range,shift,-0.45,-15,0,GT-independent local frozen response geometry
GM019IG0005_T10,GM019IG0005,R21B00108,213,center_shift,range,shift,0.45,15,0,GT-independent local frozen response geometry
GM019IG0005_T11,GM019IG0005,R21B00108,213,center_shift,azimuth,shift,-0.45,-15,0,GT-independent local frozen response geometry
GM019IG0005_T12,GM019IG0005,R21B00108,213,center_shift,azimuth,shift,0.45,15,0,GT-independent local frozen response geometry
GM019IG0005_T13,GM019IG0005,R21B00108,213,single_boundary_shift,range_min,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0005_T14,GM019IG0005,R21B00108,213,single_boundary_shift,range_min,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0005_T15,GM019IG0005,R21B00108,213,single_boundary_shift,range_max,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0005_T16,GM019IG0005,R21B00108,213,single_boundary_shift,range_max,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0005_T17,GM019IG0005,R21B00108,213,single_boundary_shift,azimuth_min,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0005_T18,GM019IG0005,R21B00108,213,single_boundary_shift,azimuth_min,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0005_T19,GM019IG0005,R21B00108,213,single_boundary_shift,azimuth_max,move,-0.15,-5,0,GT-independent local frozen response geometry
GM019IG0005_T20,GM019IG0005,R21B00108,213,single_boundary_shift,azimuth_max,move,0.15,5,0,GT-independent local frozen response geometry
GM019IG0005_T21,GM019IG0005,R21B00108,213,single_boundary_shift,range_min,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0005_T22,GM019IG0005,R21B00108,213,single_boundary_shift,range_min,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0005_T23,GM019IG0005,R21B00108,213,single_boundary_shift,range_max,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0005_T24,GM019IG0005,R21B00108,213,single_boundary_shift,range_max,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0005_T25,GM019IG0005,R21B00108,213,single_boundary_shift,azimuth_min,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0005_T26,GM019IG0005,R21B00108,213,single_boundary_shift,azimuth_min,move,0.3,10,0,GT-independent local frozen response geometry
GM019IG0005_T27,GM019IG0005,R21B00108,213,single_boundary_shift,azimuth_max,move,-0.3,-10,0,GT-independent local frozen response geometry
GM019IG0005_T28,GM019IG0005,R21B00108,213,single_boundary_shift,azimuth_max,move,0.3,10,0,GT-independent local frozen response geometry
