assisted_review_id,blind_frame_id,blind_family_id,family_id,assisted_core_visual_match,assisted_optional_membership_match,assisted_background_exclusion_match,assisted_structure_support,assisted_unresolved,assisted_decisive_reason_cn,raw_to_assisted_change_cn,algorithm_overlay_helped_or_misled_cn,assisted_confidence,assisted_png
R21AST0011,R21_BLIND_FRAME_046,R21_BLIND_FAMILY_011,R21F00011,false,false,false,false,false,R21F00011在46帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00011由raw未决转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00011：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0012,R21_BLIND_FRAME_052,R21_BLIND_FAMILY_012,R21F00012,false,false,false,false,false,R21F00012在52帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00012由raw未决转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00012：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0013,R21_BLIND_FRAME_060,R21_BLIND_FAMILY_013,R21F00013,partial,false,partial,partial,false,R21F00013在60帧：大body框包住散斑和竖线，但框内暗区仍大，支持度只能算部分；overlay给出宽body，但宽框内部空白仍大，说明它主要是机制解释而非独立确认。,R21F00013由raw未决转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00013：overlay给出结构标签但没有消除宽框空白，提示搜索壳滞后下的过宽解释风险。,0.52,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0014,R21_BLIND_FRAME_060,R21_BLIND_FAMILY_014,R21F00014,false,false,true,false,true,R21F00014在60帧：算法没有找到稳定闭合核心，标签多为孤立或未决，和raw的小短条观感一致；overlay把短亮条拆成孤立点和未决块，说明原始小目标没有稳定主体闭合。,R21F00014由raw未决转为assisted仍未决；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00014：overlay帮助确认短亮条没有足够的body/endpoint闭合；若强行看成整车会被误导。,0.36,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0015,R21_BLIND_FRAME_077,R21_BLIND_FAMILY_015,R21F00015,false,false,true,false,true,R21F00015在77帧：算法没有找到稳定闭合核心，标签多为孤立或未决，和raw的小短条观感一致；overlay把短亮条拆成孤立点和未决块，说明原始小目标没有稳定主体闭合。,R21F00015由raw未决转为assisted仍未决；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00015：overlay帮助确认短亮条没有足够的body/endpoint闭合；若强行看成整车会被误导。,0.36,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0016,R21_BLIND_FRAME_078,R21_BLIND_FAMILY_016,R21F00016,false,false,true,false,true,R21F00016在78帧：算法没有找到稳定闭合核心，标签多为孤立或未决，和raw的小短条观感一致；overlay把短亮条拆成孤立点和未决块，说明原始小目标没有稳定主体闭合。,R21F00016由raw未决转为assisted仍未决；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00016：overlay帮助确认短亮条没有足够的body/endpoint闭合；若强行看成整车会被误导。,0.36,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_001.png
R21AST0017,R21_BLIND_FRAME_079,R21_BLIND_FAMILY_017,R21F00017,false,false,true,false,true,R21F00017在79帧：算法没有找到稳定闭合核心，标签多为孤立或未决，和raw的小短条观感一致；overlay把短亮条拆成孤立点和未决块，说明原始小目标没有稳定主体闭合。,R21F00017由raw未决转为assisted仍未决；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00017：overlay帮助确认短亮条没有足够的body/endpoint闭合；若强行看成整车会被误导。,0.36,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0018,R21_BLIND_FRAME_080,R21_BLIND_FAMILY_018,R21F00018,false,false,false,false,false,R21F00018在80帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00018由raw偏背景转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00018：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0019,R21_BLIND_FRAME_081,R21_BLIND_FAMILY_019,R21F00019,false,false,false,false,false,R21F00019在81帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00019由raw偏背景转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00019：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0020,R21_BLIND_FRAME_212,R21_BLIND_FAMILY_020,R21F00020,false,false,true,false,true,R21F00020在212帧：算法没有找到稳定闭合核心，标签多为孤立或未决，和raw的小短条观感一致；overlay把短亮条拆成孤立点和未决块，说明原始小目标没有稳定主体闭合。,R21F00020由raw未决转为assisted仍未决；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00020：overlay帮助确认短亮条没有足够的body/endpoint闭合；若强行看成整车会被误导。,0.36,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0021,R21_BLIND_FRAME_213,R21_BLIND_FAMILY_021,R21F00021,false,false,true,false,true,R21F00021在213帧：算法没有找到稳定闭合核心，标签多为孤立或未决，和raw的小短条观感一致；overlay把短亮条拆成孤立点和未决块，说明原始小目标没有稳定主体闭合。,R21F00021由raw未决转为assisted仍未决；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00021：overlay帮助确认短亮条没有足够的body/endpoint闭合；若强行看成整车会被误导。,0.36,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0022,R21_BLIND_FRAME_216,R21_BLIND_FAMILY_022,R21F00022,false,false,true,false,true,R21F00022在216帧：算法没有找到稳定闭合核心，标签多为孤立或未决，和raw的小短条观感一致；overlay把短亮条拆成孤立点和未决块，说明原始小目标没有稳定主体闭合。,R21F00022由raw未决转为assisted仍未决；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00022：overlay帮助确认短亮条没有足够的body/endpoint闭合；若强行看成整车会被误导。,0.36,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0023,R21_BLIND_FRAME_220,R21_BLIND_FAMILY_023,R21F00023,partial,false,partial,partial,false,R21F00023在220帧：大body框包住散斑和竖线，但框内暗区仍大，支持度只能算部分；overlay给出宽body，但宽框内部空白仍大，说明它主要是机制解释而非独立确认。,R21F00023由raw未决转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00023：overlay给出结构标签但没有消除宽框空白，提示搜索壳滞后下的过宽解释风险。,0.52,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0024,R21_BLIND_FRAME_224,R21_BLIND_FAMILY_024,R21F00024,partial,false,partial,partial,false,R21F00024在224帧：大body框包住散斑和竖线，但框内暗区仍大，支持度只能算部分；overlay给出宽body，但宽框内部空白仍大，说明它主要是机制解释而非独立确认。,R21F00024由raw未决转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00024：overlay给出结构标签但没有消除宽框空白，提示搜索壳滞后下的过宽解释风险。,0.52,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0025,R21_BLIND_FRAME_227,R21_BLIND_FAMILY_025,R21F00025,partial,false,partial,partial,false,R21F00025在227帧：大body框包住散斑和竖线，但框内暗区仍大，支持度只能算部分；overlay给出宽body，但宽框内部空白仍大，说明它主要是机制解释而非独立确认。,R21F00025由raw未决转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00025：overlay给出结构标签但没有消除宽框空白，提示搜索壳滞后下的过宽解释风险。,0.52,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0026,R21_BLIND_FRAME_228,R21_BLIND_FAMILY_026,R21F00026,partial,false,partial,partial,false,R21F00026在228帧：大body框包住散斑和竖线，但框内暗区仍大，支持度只能算部分；overlay给出宽body，但宽框内部空白仍大，说明它主要是机制解释而非独立确认。,R21F00026由raw未决转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00026：overlay给出结构标签但没有消除宽框空白，提示搜索壳滞后下的过宽解释风险。,0.52,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0027,R21_BLIND_FRAME_238,R21_BLIND_FAMILY_027,R21F00027,partial,false,partial,partial,false,R21F00027在238帧：大body框包住散斑和竖线，但框内暗区仍大，支持度只能算部分；overlay给出宽body，但宽框内部空白仍大，说明它主要是机制解释而非独立确认。,R21F00027由raw未决转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00027：overlay给出结构标签但没有消除宽框空白，提示搜索壳滞后下的过宽解释风险。,0.52,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0028,R21_BLIND_FRAME_239,R21_BLIND_FAMILY_028,R21F00028,partial,false,partial,partial,false,R21F00028在239帧：大body框包住散斑和竖线，但框内暗区仍大，支持度只能算部分；overlay给出宽body，但宽框内部空白仍大，说明它主要是机制解释而非独立确认。,R21F00028由raw未决转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00028：overlay给出结构标签但没有消除宽框空白，提示搜索壳滞后下的过宽解释风险。,0.52,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0029,R21_BLIND_FRAME_243,R21_BLIND_FAMILY_029,R21F00029,partial,false,partial,partial,false,R21F00029在243帧：大body框包住散斑和竖线，但框内暗区仍大，支持度只能算部分；overlay给出宽body，但宽框内部空白仍大，说明它主要是机制解释而非独立确认。,R21F00029由raw未决转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00029：overlay给出结构标签但没有消除宽框空白，提示搜索壳滞后下的过宽解释风险。,0.52,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0030,R21_BLIND_FRAME_250,R21_BLIND_FAMILY_030,R21F00030,partial,false,partial,partial,false,R21F00030在250帧：大body框包住散斑和竖线，但框内暗区仍大，支持度只能算部分；overlay给出宽body，但宽框内部空白仍大，说明它主要是机制解释而非独立确认。,R21F00030由raw未决转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00030：overlay给出结构标签但没有消除宽框空白，提示搜索壳滞后下的过宽解释风险。,0.52,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0031,R21_BLIND_FRAME_259,R21_BLIND_FAMILY_031,R21F00031,true,partial,true,true,false,R21F00031在259帧：body框覆盖下中亮块，endpoint位于右侧或下沿，二者和raw多点结构相互对应；overlay把body与endpoint放在同一局部结构上，能解释多个亮点的相对位置。,R21F00031由raw支持车辆转为assisted支持局部车辆结构；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00031：overlay帮助把body、endpoint和邻近弱亮点放回同一局部关系，解释力强于raw单看。,0.69,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0032,R21_BLIND_FRAME_260,R21_BLIND_FAMILY_032,R21F00032,true,partial,true,true,false,R21F00032在260帧：body框覆盖下中亮块，endpoint位于右侧或下沿，二者和raw多点结构相互对应；overlay把body与endpoint放在同一局部结构上，能解释多个亮点的相对位置。,R21F00032由raw支持车辆转为assisted支持局部车辆结构；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00032：overlay帮助把body、endpoint和邻近弱亮点放回同一局部关系，解释力强于raw单看。,0.69,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_002.png
R21AST0033,R21_BLIND_FRAME_262,R21_BLIND_FAMILY_033,R21F00033,false,false,false,false,false,R21F00033在262帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00033由raw偏背景转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00033：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
R21AST0034,R21_BLIND_FRAME_263,R21_BLIND_FAMILY_034,R21F00034,false,false,false,false,false,R21F00034在263帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00034由raw偏背景转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00034：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
R21AST0035,R21_BLIND_FRAME_269,R21_BLIND_FAMILY_035,R21F00035,false,false,false,false,false,R21F00035在269帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00035由raw偏背景转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00035：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
R21AST0036,R21_BLIND_FRAME_270,R21_BLIND_FAMILY_036,R21F00036,partial,partial,true,partial,false,R21F00036在270帧：side/endpoint框贴合长侧线和局部亮点，说明可解释部件而非完整车体；overlay标出side或endpoint后，局部侧线更清楚，但仍缺少整车闭合证据。,R21F00036由raw支持车辆转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00036：overlay帮助识别侧线/端点，但也提醒这些证据仍停留在局部部件层。,0.57,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
R21AST0037,R21_BLIND_FRAME_271,R21_BLIND_FAMILY_037,R21F00037,true,partial,true,true,false,R21F00037在271帧：body框覆盖下中亮块，endpoint位于右侧或下沿，二者和raw多点结构相互对应；overlay把body与endpoint放在同一局部结构上，能解释多个亮点的相对位置。,R21F00037由raw支持车辆转为assisted支持局部车辆结构；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00037：overlay帮助把body、endpoint和邻近弱亮点放回同一局部关系，解释力强于raw单看。,0.69,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
R21AST0038,R21_BLIND_FRAME_272,R21_BLIND_FAMILY_038,R21F00038,partial,partial,true,partial,false,R21F00038在272帧：side/endpoint框贴合长侧线和局部亮点，说明可解释部件而非完整车体；overlay标出side或endpoint后，局部侧线更清楚，但仍缺少整车闭合证据。,R21F00038由raw支持车辆转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00038：overlay帮助识别侧线/端点，但也提醒这些证据仍停留在局部部件层。,0.57,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
R21AST0039,R21_BLIND_FRAME_273,R21_BLIND_FAMILY_039,R21F00039,true,partial,true,true,false,R21F00039在273帧：body框覆盖下中亮块，endpoint位于右侧或下沿，二者和raw多点结构相互对应；overlay把body与endpoint放在同一局部结构上，能解释多个亮点的相对位置。,R21F00039由raw支持车辆转为assisted支持局部车辆结构；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00039：overlay帮助把body、endpoint和邻近弱亮点放回同一局部关系，解释力强于raw单看。,0.69,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
R21AST0040,R21_BLIND_FRAME_273,R21_BLIND_FAMILY_040,R21F00040,false,false,false,false,false,R21F00040在273帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00040由raw偏背景转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00040：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
R21AST0041,R21_BLIND_FRAME_276,R21_BLIND_FAMILY_041,R21F00041,false,false,false,false,false,R21F00041在276帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00041由raw偏背景转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00041：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
R21AST0042,R21_BLIND_FRAME_278,R21_BLIND_FAMILY_042,R21F00042,false,false,false,false,false,R21F00042在278帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00042由raw偏背景转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00042：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
R21AST0043,R21_BLIND_FRAME_279,R21_BLIND_FAMILY_043,R21F00043,false,false,false,false,false,R21F00043在279帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00043由raw偏背景转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00043：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
R21AST0044,R21_BLIND_FRAME_280,R21_BLIND_FAMILY_044,R21F00044,false,false,false,false,false,R21F00044在280帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00044由raw偏背景转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00044：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
R21AST0045,R21_BLIND_FRAME_281,R21_BLIND_FAMILY_045,R21F00045,partial,partial,true,partial,false,R21F00045在281帧：side/endpoint框贴合长侧线和局部亮点，说明可解释部件而非完整车体；overlay标出side或endpoint后，局部侧线更清楚，但仍缺少整车闭合证据。,R21F00045由raw支持车辆转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00045：overlay帮助识别侧线/端点，但也提醒这些证据仍停留在局部部件层。,0.57,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
R21AST0046,R21_BLIND_FRAME_284,R21_BLIND_FAMILY_046,R21F00046,false,false,false,false,false,R21F00046在284帧：body或side框与长弧线同向延伸，背景排除没有完全成立；overlay的大body或side多沿长弧线展开，帮助确认背景线没有被完全排除。,R21F00046由raw偏背景转为assisted提示背景风险；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00046：overlay暴露出候选结构与长弧线重合，主要起到纠偏作用而非确认车辆。,0.46,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
R21AST0047,R21_BLIND_FRAME_288,R21_BLIND_FAMILY_047,R21F00047,partial,false,partial,partial,false,R21F00047在288帧：大body框包住散斑和竖线，但框内暗区仍大，支持度只能算部分；overlay给出宽body，但宽框内部空白仍大，说明它主要是机制解释而非独立确认。,R21F00047由raw未决转为assisted只给部分解释；变化来自可视化标签对body/side/endpoint/isolated关系的解释，不来自GT。,R21F00047：overlay给出结构标签但没有消除宽框空白，提示搜索壳滞后下的过宽解释风险。,0.52,outputs/wgv3_6a_a1_8a_r2_1_20260711/blind_assisted_family_sheet_003.png
