event_id,sar_frame,response_track_id,visibility_state,missing_frames,position_uncertainty,reason
VIS_000385_RT_D1_0005,385,RT_D1_0005,temporarily_missing,1,25.009426,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000385_RT_D1_0009,385,RT_D1_0009,temporarily_missing,1,25.009426,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000385_RT_D1_0016,385,RT_D1_0016,temporarily_missing,1,25.009426,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000385_RT_D1_0017,385,RT_D1_0017,temporarily_missing,1,25.009426,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000386_RT_D1_0014,386,RT_D1_0014,temporarily_missing,1,25.006787,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000386_RT_D1_0016,386,RT_D1_0016,temporarily_missing,2,25.006787,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000387_RT_D1_0008,387,RT_D1_0008,temporarily_missing,1,25.004887,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000387_RT_D1_0009,387,RT_D1_0009,temporarily_missing,1,25.004887,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000387_RT_D1_0017,387,RT_D1_0017,temporarily_missing,1,25.004887,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000388_RT_D1_0008,388,RT_D1_0008,temporarily_missing,2,25.003518,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000388_RT_D1_0016,388,RT_D1_0016,temporarily_missing,1,25.003518,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000388_RT_D1_0017,388,RT_D1_0017,temporarily_missing,2,25.003518,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000389_RT_D1_0016,389,RT_D1_0016,temporarily_missing,2,25.002533,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000389_RT_D1_0017,389,RT_D1_0017,temporarily_missing,3,25.002533,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000389_RT_D1_0018,389,RT_D1_0018,temporarily_missing,1,25.002533,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000390_RT_D1_0016,390,RT_D1_0016,temporarily_missing,3,25.001824,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000390_RT_D1_0017,390,RT_D1_0017,temporarily_missing,4,25.001824,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000390_RT_D1_0018,390,RT_D1_0018,temporarily_missing,2,25.001824,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000391_RT_D1_0014,391,RT_D1_0014,temporarily_missing,1,25.001313,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000391_RT_D1_0016,391,RT_D1_0016,temporarily_missing,4,25.001313,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000391_RT_D1_0017,391,RT_D1_0017,temporarily_missing,5,25.001313,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000392_RT_D1_0008,392,RT_D1_0008,temporarily_missing,1,25.000946,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000392_RT_D1_0016,392,RT_D1_0016,temporarily_missing,5,25.000946,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000392_RT_D1_0018,392,RT_D1_0018,temporarily_missing,1,25.000946,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000393_RT_D1_0015,393,RT_D1_0015,temporarily_missing,1,25.000681,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000393_RT_D1_0016,393,RT_D1_0016,temporarily_missing,6,25.000681,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000393_RT_D1_0017,393,RT_D1_0017,temporarily_missing,1,25.000681,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000393_RT_D1_0018,393,RT_D1_0018,temporarily_missing,2,25.000681,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000394_RT_D1_0016,394,RT_D1_0016,temporarily_missing,7,25.00049,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000394_RT_D1_0017,394,RT_D1_0017,temporarily_missing,2,25.00049,no_current_component_passed_track_specific_response_and_motion_gates
VIS_000394_RT_D1_0018,394,RT_D1_0018,temporarily_missing,3,25.00049,no_current_component_passed_track_specific_response_and_motion_gates
