subject_frame_id,subject_name,pair_id,sar_frame,split,source_region_id,posthoc_evaluation_label,subject_motion_model,persistent_subject_status,relative_aspect_angle_deg,aspect_angle_ci_width_deg,aspect_observability_status,absolute_range_m_grid,center_x,center_y,total_energy,mean_energy,local_background_normalized_energy,high_energy_pixel_fraction,response_occupancy_ratio,inside_vs_ring_contrast,energy_entropy_proxy,range_energy90_width_m,azimuth_energy90_width_m,body_long_energy90_width_m,body_short_energy90_width_m,range_second_moment_width_m,azimuth_second_moment_width_m,body_long_second_moment_width_m,body_short_second_moment_width_m,energy_centroid_range_offset_m,energy_centroid_azimuth_offset_m,energy_centroid_body_long_offset_m,energy_centroid_body_short_offset_m,response_principal_axis_deg,principal_minus_body_axial_deg,principal_minus_range_axial_deg,response_compactness,response_linearity,response_fragment_count,response_fragmentation_index,radar_near_half_energy,radar_far_half_energy,near_far_energy_ratio
vehicle_body_axis_reference_sar000319,vehicle_body_axis_reference,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0002,vehicle,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,48.375314,2.409835,OBSERVABLE_HIGH,37.286259,813.8,939.398,591809,53.282524,1.014229,0.113712,0.113712,16.776847,0.826229,2.845607,3.287395,3.871767,1.664237,0,0,5.021192,2.006604,-0.042346,0.018708,0.04262,0.018075,-178.696631,0.869196,47.685514,0.176409,2.460432,205,20.507588,305662.939114,286146.060886,1.068206
matched_ordinary_background_sar000319,matched_ordinary_background,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0040,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,48.375314,2.409835,OBSERVABLE_HIGH,37.286259,1541,986,574147,51.930805,0.988499,0.071545,0.071545,0,0.856829,3.370226,3.104284,4.254254,1.774913,0,0,5.420846,2.231487,-15.326034,15.541833,21.820748,0.539296,-175.569212,2.258223,46.113912,0.153041,2.42909,220,22.109664,0,574147,0
matched_strong_scatterer_background_sar000319,matched_strong_scatterer_background,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0041,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,48.375314,2.409835,OBSERVABLE_HIGH,37.286259,963,850,645035,58.342529,1.110546,0.270713,0.270713,0,0.84033,2.973551,3.340518,3.997777,1.602005,0,0,4.83462,2.014883,-0.871885,5.14353,4.34714,-2.884174,179.896178,2.276387,68.429965,0.1654,2.436805,330,33.164496,496425.004043,148609.995957,3.340455
matched_linear_structure_background_sar000319,matched_linear_structure_background,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0042,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,48.375314,2.409835,OBSERVABLE_HIGH,37.286259,1133,782,587507,53.139202,1.011501,0.10492,0.10492,0,0.852555,3.329881,4.04922,4.576056,1.779601,0,0,7.093242,2.329748,-2.699634,10.31691,9.370181,-5.091794,173.237173,8.935392,85.429343,0.1282,3.41867,273,27.436083,0,587507,0
fixed_known_non_vehicle_N005_sar000319,fixed_known_non_vehicle_N005,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0043,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,48.375314,2.409835,OBSERVABLE_HIGH,37.286259,1196.566369,1166.397906,567124,50.88596,0.968611,0.033827,0.033827,0,0.867923,3.315059,3.268682,4.30625,1.890826,0,0,5.332298,2.424816,-12.649379,4.202132,11.720511,6.347781,-173.75038,4.077055,81.716651,0.15552,2.208538,267,26.618813,0,567124,0
fixed_strong_scatterer_sar000319,fixed_strong_scatterer,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,48.375314,2.409835,OBSERVABLE_HIGH,37.286259,1132.158395,1164.457828,568708,50.845596,0.967842,0.033795,0.033795,0,0.867578,3.418452,3.303092,4.309253,1.89351,0,0,5.580239,2.418244,-11.3457,2.781849,9.792733,6.369141,-177.249187,0.578248,79.75984,0.154971,2.30925,274,27.218994,0,568708,0
fixed_linear_structure_sar000319,fixed_linear_structure,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0044,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,48.375314,2.409835,OBSERVABLE_HIGH,37.286259,1461.700834,848.735721,599385,54.361057,1.034759,0.132233,0.132233,0,0.847868,2.980427,3.760803,4.210309,1.595771,0,0,5.319595,2.150498,-10.663259,16.452056,19.293529,-3.483531,-179.791908,1.964473,57.647285,0.159004,2.493352,305,30.735433,0,599385,0
vehicle_body_axis_reference_sar000321,vehicle_body_axis_reference,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0002,vehicle,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,47.442076,2.841601,OBSERVABLE_HIGH,37.651706,826.9845,944.068,559969,50.648426,1.023947,0.126628,0.126628,7.998811,0.824745,2.716319,3.391357,3.798163,1.622885,0,0,5.124729,1.826647,-0.038185,0.011603,0.034318,0.020371,178.225632,3.946933,51.542332,0.172729,2.800014,221,22.210162,288719.020587,271249.979413,1.064402
matched_ordinary_background_sar000321,matched_ordinary_background,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0040,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,47.442076,2.841601,OBSERVABLE_HIGH,37.651706,1541,986,537353,48.60284,0.982592,0.055716,0.055716,0,0.862116,3.20608,3.002044,4.151809,1.887504,0,0,5.084106,2.317639,-14.748126,15.538673,21.419346,0.411348,-175.5793,2.248135,46.103824,0.159866,2.193851,191,19.195208,0,537353,0
matched_strong_scatterer_background_sar000321,matched_strong_scatterer_background,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0041,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,47.442076,2.841601,OBSERVABLE_HIGH,37.651706,997,816,619511,56.033916,1.132824,0.300289,0.300289,0,0.840364,2.925973,3.590393,4.221682,1.619154,0,0,5.405129,2.092283,-0.355977,6.378683,4.950084,-4.038685,178.499086,3.673479,74.534421,0.164844,2.630569,302,30.350539,380228.040468,239282.959532,1.589031
matched_linear_structure_background_sar000321,matched_linear_structure_background,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0042,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,47.442076,2.841601,OBSERVABLE_HIGH,37.651706,1473,952,556393,50.324982,1.017408,0.100217,0.100217,0,0.853312,3.544317,3.266339,4.376123,1.659958,0,0,6.008949,2.042864,-12.666908,14.626919,19.342611,-0.510574,-172.786013,5.041422,57.097238,0.137276,3.01726,258,25.928606,0,556393,0
fixed_known_non_vehicle_N005_sar000321,fixed_known_non_vehicle_N005,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0043,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,47.442076,2.841601,OBSERVABLE_HIGH,37.651706,1196.566369,1166.397906,535234,48.024586,0.970902,0.029879,0.029879,0,0.871228,2.850211,3.490061,4.329814,1.860619,0,0,5.477315,2.403184,-12.226334,4.15964,11.316454,6.222838,-179.315639,1.488204,76.151392,0.154168,2.286435,247,24.624894,0,535234,0
fixed_strong_scatterer_sar000321,fixed_strong_scatterer,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,47.442076,2.841601,OBSERVABLE_HIGH,37.651706,1132.158395,1164.457828,536400,47.957085,0.969537,0.032097,0.032097,0,0.869521,2.862534,3.602716,4.183743,1.911387,0,0,5.290808,2.419944,-10.943883,2.724402,9.391837,6.243744,176.571363,5.601202,85.93929,0.156551,2.194986,251,24.934188,0,536400,0
fixed_linear_structure_sar000321,fixed_linear_structure,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0044,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,47.442076,2.841601,OBSERVABLE_HIGH,37.651706,1461.700834,848.735721,557082,50.524395,1.02144,0.108562,0.108562,0,0.851244,2.843312,3.410733,4.030758,1.790336,0,0,4.797167,2.331486,-10.081632,16.386124,18.8982,-3.605885,179.728975,2.44359,57.168168,0.149285,2.071946,263,26.503013,0,557082,0
vehicle_body_axis_reference_sar000323,vehicle_body_axis_reference,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0002,vehicle,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,49.362651,2.596396,OBSERVABLE_HIGH,37.819196,835.794,943.7485,553754,49.775639,1.024214,0.134921,0.134921,48.292683,0.818193,2.568338,3.322119,3.712763,1.058627,0,0,4.806644,1.39418,-0.046237,0.010471,0.037922,0.028451,178.369169,2.552534,52.191711,0.260811,3.460105,191,19.076155,287357.055785,266396.944215,1.07868
matched_ordinary_background_sar000323,matched_ordinary_background,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0040,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,49.362651,2.596396,OBSERVABLE_HIGH,37.819196,1507,986,523552,47.699707,0.981498,0.053389,0.053389,0,0.863614,2.999942,3.466743,4.292823,1.86169,0,0,5.476149,2.3552,-13.741334,14.759655,20.145456,0.912302,-177.640886,1.437411,46.669233,0.156533,2.321932,201,20.347425,0,523552,0
matched_strong_scatterer_background_sar000323,matched_strong_scatterer_background,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0041,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,49.362651,2.596396,OBSERVABLE_HIGH,37.819196,997,850,591643,53.903336,1.109148,0.249818,0.249818,0,0.835241,2.905383,3.401732,4.140429,1.623092,0,0,5.245415,1.983173,-0.849365,5.52518,4.760132,-2.930901,176.824616,4.097087,75.084464,0.169144,2.642014,360,36.443149,462207.996546,129435.003454,3.570966
matched_linear_structure_background_sar000323,matched_linear_structure_background,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0042,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,49.362651,2.596396,OBSERVABLE_HIGH,37.819196,1167,816,544431,49.601952,1.02064,0.11516,0.11516,0,0.835204,3.596342,3.876677,4.535205,1.722174,0,0,7.15635,2.25837,-3.351058,10.132675,9.891051,-4.008467,-178.860081,0.218216,89.692801,0.145652,3.161512,276,27.939747,0,544431,0
fixed_known_non_vehicle_N005_sar000323,fixed_known_non_vehicle_N005,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0043,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,49.362651,2.596396,OBSERVABLE_HIGH,37.819196,1196.566369,1166.397906,519854,47.058388,0.968302,0.028877,0.028877,0,0.870707,3.18491,3.519421,4.329651,1.881628,0,0,5.441251,2.42194,-12.008928,4.105793,10.905508,6.491671,-175.272722,3.805575,80.194309,0.150575,2.255733,248,24.943926,0,519854,0
fixed_strong_scatterer_sar000323,fixed_strong_scatterer,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,49.362651,2.596396,OBSERVABLE_HIGH,37.819196,1132.158395,1164.457828,522671,47.313389,0.973549,0.038472,0.038472,0,0.86706,3.118016,3.978689,4.452455,1.858312,0,0,5.973449,2.355408,-10.746888,2.666103,8.991195,6.462362,175.464027,5.457676,87.046626,0.125416,2.535757,258,25.94973,0,522671,0
fixed_linear_structure_sar000323,fixed_linear_structure,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0044,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,49.362651,2.596396,OBSERVABLE_HIGH,37.819196,1461.700834,848.735721,550666,49.498066,1.018502,0.100674,0.100674,0,0.853844,2.790307,3.565759,4.065884,1.790522,0,0,4.911595,2.319698,-9.6931,16.318835,18.711889,-3.182101,178.138126,2.783577,55.577319,0.138461,2.14811,283,28.264669,0,550666,0
vehicle_body_axis_reference_sar000325,vehicle_body_axis_reference,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0002,vehicle,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,53.052861,1.367025,OBSERVABLE_HIGH,38.067912,853.0945,939.369,605730,54.62933,1.021528,0.099206,0.099206,1.79801,0.822953,3.102176,1.783495,3.102176,1.783495,0,0,3.483341,2.199278,-0.039582,0.014832,-0.039582,0.014832,-146.20628,33.455102,18.641499,0.178936,1.920378,188,18.839186,315048.06141,290681.93859,1.083824
matched_ordinary_background_sar000325,matched_ordinary_background,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0040,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,53.052861,1.367025,OBSERVABLE_HIGH,38.067912,1507,986,592120,52.736015,0.986125,0.046847,0.046847,0,0.861899,4.11919,1.812602,4.276423,1.847493,0,0,5.253943,2.427043,-13.024611,14.697468,-13.024611,14.697468,45.199518,44.8609,89.509637,0.13795,2.192094,193,19.099078,0,592120,0
matched_strong_scatterer_background_sar000325,matched_strong_scatterer_background,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0041,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,53.052861,1.367025,OBSERVABLE_HIGH,38.067912,1303,952,689195,61.381813,1.147795,0.291592,0.291592,0,0.8115,3.49357,1.891415,3.29784,1.75965,0,0,3.991851,2.309777,-8.482195,10.444667,-8.482195,10.444667,-142.923915,36.737467,74.406291,0.175253,2.111873,272,26.916835,0,689195,0
matched_linear_structure_background_sar000325,matched_linear_structure_background,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0042,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,53.052861,1.367025,OBSERVABLE_HIGH,38.067912,1167,816,601704,53.589596,1.002086,0.072586,0.072586,0,0.855035,4.259952,1.916948,4.276488,1.920652,0,0,5.037556,2.548951,-2.758368,9.704089,-2.758368,9.704089,-136.530203,43.131179,47.977321,0.136967,2.047341,270,26.718917,0,601704,0
fixed_known_non_vehicle_N005_sar000325,fixed_known_non_vehicle_N005,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0043,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,53.052861,1.367025,OBSERVABLE_HIGH,38.067912,1196.566369,1166.397906,592649,53.052456,0.992042,0.042342,0.042342,0,0.867022,4.146641,1.865586,4.278406,1.878615,0,0,5.393328,2.444075,-11.644682,4.015762,-11.644682,4.015762,53.17332,52.834702,51.359649,0.126532,2.210505,320,31.828445,0,592649,0
fixed_strong_scatterer_sar000325,fixed_strong_scatterer,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0045,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,53.052861,1.367025,OBSERVABLE_HIGH,38.067912,1132.158395,1164.457828,596157,53.366486,0.997914,0.05568,0.05568,0,0.86336,4.150247,1.876436,4.201608,1.887547,0,0,5.614963,2.393397,-10.472408,2.517211,-10.472408,2.517211,63.405173,63.066555,19.10548,0.154904,2.484486,337,33.519331,0,596157,0
fixed_linear_structure_sar000325,fixed_linear_structure,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0044,negative,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,53.052861,1.367025,OBSERVABLE_HIGH,38.067912,1461.700834,848.735721,622241,55.701458,1.041576,0.12434,0.12434,0,0.849528,3.541228,1.812634,3.416805,1.808931,0,0,4.186765,2.150884,-8.883765,16.141537,-8.883765,16.141537,53.728787,53.390169,68.83202,0.166727,1.962809,285,28.347209,0,622241,0
vehicle_body_axis_reference_sar000327,vehicle_body_axis_reference,WGV35A_PAIR_0016,327,calibration,E0_R1_REG_000327_0002,vehicle,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,52.698001,1.936536,OBSERVABLE_HIGH,38.326185,860.0895,944.6445,584530,52.93697,1.042276,0.137113,0.137113,0,0.808618,2.416816,3.373005,3.697513,0.994935,0,0,4.853085,1.31276,-0.060507,0.032623,0.062385,0.028871,178.525663,1.019001,54.184559,0.296266,3.636852,162,16.301395,305738.970458,278791.029542,1.09666
matched_ordinary_background_sar000327,matched_ordinary_background,WGV35A_PAIR_0016,327,calibration,E0_R1_REG_000327_0040,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,52.698001,1.936536,OBSERVABLE_HIGH,38.326185,1507,986,553675,50.142635,0.987258,0.055153,0.055153,0,0.853003,3.082318,3.896989,4.535817,1.794937,0,0,5.934535,2.292042,-12.701555,14.688559,19.370942,1.360096,-177.392514,3.062822,46.917605,0.142934,2.567511,193,19.420797,0,553675,0
matched_strong_scatterer_background_sar000327,matched_strong_scatterer_background,WGV35A_PAIR_0016,327,calibration,E0_R1_REG_000327_0041,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,52.698001,1.936536,OBSERVABLE_HIGH,38.326185,1303,952,667652,60.464771,1.190491,0.356004,0.356004,0,0.80402,3.046163,2.861503,2.973006,1.677324,0,0,3.538797,2.156219,-8.202933,10.392145,13.235271,0.335249,-172.144999,8.310337,76.372625,0.207733,1.874687,266,26.766488,0,667652,0
matched_linear_structure_background_sar000327,matched_linear_structure_background,WGV35A_PAIR_0016,327,calibration,E0_R1_REG_000327_0042,negative,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,52.698001,1.936536,OBSERVABLE_HIGH,38.326185,1371,986,604537,54.748867,1.07795,0.189006,0.189006,0,0.813758,2.687052,3.870923,4.474865,1.104243,0,0,5.492197,1.40277,-10.176341,11.418106,15.239488,1.29964,178.013619,1.531045,55.814357,0.205268,3.894797,264,26.565236,0,604537,0
