region_id,sar_frame,family,variant,is_vehicle_reference,mean_energy_ratio_to_body_ref,occupancy_ratio_to_body_ref,G1_VALID_OBSERVATION,G2_METRIC_SIZE_COMPATIBLE,G3_NOT_POINTLIKE,G4_NOT_LONG_LINEAR,G5_COMPACT_EXTENDED_SUPPORT,G6_HIGH_ENERGY_OCCUPANCY_COMPATIBLE,G7_GT_NEAR_TRANSLATION_STRUCTURE,G8_BODY_OR_RANGE_AXIS_STRUCTURE_COMPATIBLE,G9_TEMPORAL_PATTERN_CONSISTENT,G10_STATIC_BACKGROUND_EXPLANATION_REJECTED,principal_gate_pass_count,physical_confusion_case,single_feature_energy_confusion_only
E0_R1_REG_000317_0040,317,MATCHED_BACKGROUND_CONTROL,matched_ordinary_background_same_area,false,0.985139,0.574137,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000317_0041,317,MATCHED_BACKGROUND_CONTROL,matched_strong_scatterer_background_same_area,false,1.120727,2.884053,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000317_0042,317,MATCHED_BACKGROUND_CONTROL,matched_linear_structure_background_same_area,false,1.05122,1.688973,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000317_0043,317,FIXED_HARD_NEGATIVE,fixed_known_non_vehicle_same_area,false,0.96464,0.332701,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000317_0044,317,FIXED_HARD_NEGATIVE,fixed_linear_structure_background_same_area,false,1.044797,1.556071,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000317_0045,317,FIXED_HARD_NEGATIVE,fixed_strong_scatterer_background_same_area,false,0.967864,0.358149,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,PASS,PASS,FAIL,7,false,true
E0_R1_REG_000319_0001,319,GT_ORIGINAL,axis_aligned_gt_original,true,1.000761,1.009357,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000319_0002,319,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000319_0040,319,MATCHED_BACKGROUND_CONTROL,matched_ordinary_background_same_area,false,0.974631,0.629177,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000319_0041,319,MATCHED_BACKGROUND_CONTROL,matched_strong_scatterer_background_same_area,false,1.094966,2.38069,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000319_0042,319,MATCHED_BACKGROUND_CONTROL,matched_linear_structure_background_same_area,false,0.99731,0.922682,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000319_0043,319,FIXED_HARD_NEGATIVE,fixed_known_non_vehicle_same_area,false,0.955022,0.29748,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,PASS,PASS,FAIL,7,false,true
E0_R1_REG_000319_0044,319,FIXED_HARD_NEGATIVE,fixed_linear_structure_background_same_area,false,1.020242,1.162876,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000319_0045,319,FIXED_HARD_NEGATIVE,fixed_strong_scatterer_background_same_area,false,0.954264,0.297198,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000321_0001,321,GT_ORIGINAL,axis_aligned_gt_original,true,1.004832,1.070237,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000321_0002,321,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000321_0040,321,MATCHED_BACKGROUND_CONTROL,matched_ordinary_background_same_area,false,0.959612,0.439997,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000321_0041,321,MATCHED_BACKGROUND_CONTROL,matched_strong_scatterer_background_same_area,false,1.106331,2.371427,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000321_0042,321,MATCHED_BACKGROUND_CONTROL,matched_linear_structure_background_same_area,false,0.993614,0.791428,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000321_0043,321,FIXED_HARD_NEGATIVE,fixed_known_non_vehicle_same_area,false,0.948195,0.235959,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000321_0044,321,FIXED_HARD_NEGATIVE,fixed_linear_structure_background_same_area,false,0.997551,0.85733,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000321_0045,321,FIXED_HARD_NEGATIVE,fixed_strong_scatterer_background_same_area,false,0.946862,0.253475,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000323_0001,323,GT_ORIGINAL,axis_aligned_gt_original,true,0.998711,0.992136,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000323_0002,323,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000323_0040,323,MATCHED_BACKGROUND_CONTROL,matched_ordinary_background_same_area,false,0.958294,0.395706,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000323_0041,323,MATCHED_BACKGROUND_CONTROL,matched_strong_scatterer_background_same_area,false,1.082926,1.851587,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000323_0042,323,MATCHED_BACKGROUND_CONTROL,matched_linear_structure_background_same_area,false,0.996511,0.853537,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000323_0043,323,FIXED_HARD_NEGATIVE,fixed_known_non_vehicle_same_area,false,0.94541,0.214029,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000323_0044,323,FIXED_HARD_NEGATIVE,fixed_linear_structure_background_same_area,false,0.994424,0.74617,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000323_0045,323,FIXED_HARD_NEGATIVE,fixed_strong_scatterer_background_same_area,false,0.950533,0.285145,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000325_0001,325,GT_ORIGINAL,axis_aligned_gt_original,true,1.017878,1.263643,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000325_0002,325,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,10,false,false
E0_R1_REG_000325_0040,325,MATCHED_BACKGROUND_CONTROL,matched_ordinary_background_same_area,false,0.965343,0.472219,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000325_0041,325,MATCHED_BACKGROUND_CONTROL,matched_strong_scatterer_background_same_area,false,1.123605,2.939258,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000325_0042,325,MATCHED_BACKGROUND_CONTROL,matched_linear_structure_background_same_area,false,0.980967,0.731669,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000325_0043,325,FIXED_HARD_NEGATIVE,fixed_known_non_vehicle_same_area,false,0.971135,0.426809,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000325_0044,325,FIXED_HARD_NEGATIVE,fixed_linear_structure_background_same_area,false,1.019626,1.253352,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000325_0045,325,FIXED_HARD_NEGATIVE,fixed_strong_scatterer_background_same_area,false,0.976883,0.561256,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000327_0001,327,GT_ORIGINAL,axis_aligned_gt_original,true,0.994578,0.954476,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000327_0002,327,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000327_0040,327,MATCHED_BACKGROUND_CONTROL,matched_ordinary_background_same_area,false,0.947214,0.402245,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000327_0041,327,MATCHED_BACKGROUND_CONTROL,matched_strong_scatterer_background_same_area,false,1.142203,2.596428,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000327_0042,327,MATCHED_BACKGROUND_CONTROL,matched_linear_structure_background_same_area,false,1.034227,1.378469,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000327_0043,327,FIXED_HARD_NEGATIVE,fixed_known_non_vehicle_same_area,false,0.937763,0.23776,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000327_0044,327,FIXED_HARD_NEGATIVE,fixed_linear_structure_background_same_area,false,0.971664,0.616827,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000327_0045,327,FIXED_HARD_NEGATIVE,fixed_strong_scatterer_background_same_area,false,0.936768,0.235864,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000331_0001,331,GT_ORIGINAL,axis_aligned_gt_original,true,0.994347,0.944285,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000331_0002,331,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000331_0040,331,MATCHED_BACKGROUND_CONTROL,matched_ordinary_background_same_area,false,0.922568,0.190946,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000331_0041,331,MATCHED_BACKGROUND_CONTROL,matched_strong_scatterer_background_same_area,false,1.138703,2.391651,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000331_0042,331,MATCHED_BACKGROUND_CONTROL,matched_linear_structure_background_same_area,false,1.059569,1.599753,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000331_0043,331,FIXED_HARD_NEGATIVE,fixed_known_non_vehicle_same_area,false,0.937421,0.236478,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000331_0044,331,FIXED_HARD_NEGATIVE,fixed_linear_structure_background_same_area,false,0.964473,0.556964,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000331_0045,331,FIXED_HARD_NEGATIVE,fixed_strong_scatterer_background_same_area,false,0.941809,0.317904,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000332_0001,332,GT_ORIGINAL,axis_aligned_gt_original,true,1.041267,1.630614,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000332_0002,332,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,10,false,false
E0_R1_REG_000332_0040,332,MATCHED_BACKGROUND_CONTROL,matched_ordinary_background_same_area,false,0.987299,0.636528,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000332_0041,332,MATCHED_BACKGROUND_CONTROL,matched_strong_scatterer_background_same_area,false,1.141052,3.215387,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000332_0042,332,MATCHED_BACKGROUND_CONTROL,matched_linear_structure_background_same_area,false,1.069537,2.039482,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000332_0043,332,FIXED_HARD_NEGATIVE,fixed_known_non_vehicle_same_area,false,0.958058,0.254292,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000332_0044,332,FIXED_HARD_NEGATIVE,fixed_linear_structure_background_same_area,false,1.002428,0.813099,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000332_0045,332,FIXED_HARD_NEGATIVE,fixed_strong_scatterer_background_same_area,false,0.971067,0.449882,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000333_0001,333,GT_ORIGINAL,axis_aligned_gt_original,true,1.024886,1.339018,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000333_0002,333,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000333_0040,333,MATCHED_BACKGROUND_CONTROL,matched_ordinary_background_same_area,false,0.956777,0.381319,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000333_0041,333,MATCHED_BACKGROUND_CONTROL,matched_strong_scatterer_background_same_area,false,1.066687,1.941392,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000333_0042,333,MATCHED_BACKGROUND_CONTROL,matched_linear_structure_background_same_area,false,1.072972,2.025118,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000333_0043,333,FIXED_HARD_NEGATIVE,fixed_known_non_vehicle_same_area,false,0.959399,0.31923,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000333_0044,333,FIXED_HARD_NEGATIVE,fixed_linear_structure_background_same_area,false,0.994644,0.777544,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000333_0045,333,FIXED_HARD_NEGATIVE,fixed_strong_scatterer_background_same_area,false,0.970268,0.494726,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000334_0001,334,GT_ORIGINAL,axis_aligned_gt_original,true,1.046287,1.662267,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000334_0002,334,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,10,false,false
E0_R1_REG_000334_0040,334,MATCHED_BACKGROUND_CONTROL,matched_ordinary_background_same_area,false,1.028582,1.455148,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000334_0041,334,MATCHED_BACKGROUND_CONTROL,matched_strong_scatterer_background_same_area,false,1.085145,2.226405,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000334_0042,334,MATCHED_BACKGROUND_CONTROL,matched_linear_structure_background_same_area,false,1.084857,2.25112,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000334_0043,334,FIXED_HARD_NEGATIVE,fixed_known_non_vehicle_same_area,false,0.965951,0.34651,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000334_0044,334,FIXED_HARD_NEGATIVE,fixed_linear_structure_background_same_area,false,0.991405,0.773204,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000334_0045,334,FIXED_HARD_NEGATIVE,fixed_strong_scatterer_background_same_area,false,0.976477,0.55493,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000335_0001,335,GT_ORIGINAL,axis_aligned_gt_original,true,1.030763,1.408507,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000335_0002,335,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,10,false,false
E0_R1_REG_000335_0040,335,MATCHED_BACKGROUND_CONTROL,matched_ordinary_background_same_area,false,0.859809,0.23118,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,5,false,true
E0_R1_REG_000335_0041,335,MATCHED_BACKGROUND_CONTROL,matched_strong_scatterer_background_same_area,false,1.084124,2.070016,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000335_0042,335,MATCHED_BACKGROUND_CONTROL,matched_linear_structure_background_same_area,false,1.039496,1.374975,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000335_0043,335,FIXED_HARD_NEGATIVE,fixed_known_non_vehicle_same_area,false,0.954917,0.298151,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000335_0044,335,FIXED_HARD_NEGATIVE,fixed_linear_structure_background_same_area,false,0.97761,0.601363,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000335_0045,335,FIXED_HARD_NEGATIVE,fixed_strong_scatterer_background_same_area,false,0.97186,0.577001,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000336_0001,336,GT_ORIGINAL,axis_aligned_gt_original,true,1.096424,5.22411,PASS,FAIL,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,8,false,false
E0_R1_REG_000336_0002,336,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1.048909,3.432059,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,10,false,false
E0_R1_REG_000336_0040,336,MATCHED_BACKGROUND_CONTROL,matched_ordinary_background_same_area,false,1.021665,1.922475,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000336_0041,336,MATCHED_BACKGROUND_CONTROL,matched_strong_scatterer_background_same_area,false,1.152108,7.637769,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000336_0042,336,MATCHED_BACKGROUND_CONTROL,matched_linear_structure_background_same_area,false,1.078851,4.19375,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000336_0043,336,FIXED_HARD_NEGATIVE,fixed_known_non_vehicle_same_area,false,1.00298,1.110522,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000336_0044,336,FIXED_HARD_NEGATIVE,fixed_linear_structure_background_same_area,false,1.027027,1.90242,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000336_0045,336,FIXED_HARD_NEGATIVE,fixed_strong_scatterer_background_same_area,false,1.025348,2.102548,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000336_0001,336,GT_ORIGINAL,axis_aligned_gt_original,true,1.001681,1.146953,PASS,FAIL,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,7,false,false
E0_R1_REG_000336_0002,336,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1,1,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,8,false,false
E0_R1_REG_000336_0040,336,MATCHED_BACKGROUND_CONTROL,matched_ordinary_background_same_area,false,1.022984,1.701524,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,6,false,true
E0_R1_REG_000336_0041,336,MATCHED_BACKGROUND_CONTROL,matched_strong_scatterer_background_same_area,false,1.134811,5.492563,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000336_0042,336,MATCHED_BACKGROUND_CONTROL,matched_linear_structure_background_same_area,false,1.134811,5.492563,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,PASS,PASS,FAIL,8,false,false
E0_R1_REG_000336_0043,336,FIXED_HARD_NEGATIVE,fixed_known_non_vehicle_same_area,false,1.002485,1.126591,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL_NON_GT_REGION,PASS,PASS,FAIL,7,false,true
E0_R1_REG_000336_0044,336,FIXED_HARD_NEGATIVE,fixed_linear_structure_background_same_area,false,1.026515,1.862124,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000336_0045,336,FIXED_HARD_NEGATIVE,fixed_strong_scatterer_background_same_area,false,1.022046,1.947652,PASS,PASS,PASS,PASS,PASS,PASS,FAIL_NON_GT_REGION,FAIL,PASS,FAIL,7,false,true
E0_R1_REG_000337_0001,337,GT_ORIGINAL,axis_aligned_gt_original,true,0.992354,0.935149,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
E0_R1_REG_000337_0002,337,BODY_ALIGNED_REFERENCE,body_axis_reference,true,1,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,PASS,9,false,false
