runtime_entity_id,structure_id,sar_frame,runtime_class,G_scale,G_compact,G_grammar,G_temporal,G_background,optical_condition_compatibility,temporal_evidence,classification_reason_cn,classification_provenance
R1Y0011,R1S0011,40,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT004;R1PT006;R1PT007;R1PT008,"候选角色 body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;side_ridge_candidate 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0012,R1S0012,40,background_like_runtime,false,true,false,false,true,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT005,候选角色 background_arc_candidate 触发背景弧线或孤立小响应，不能用强度补偿为车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0013,R1S0013,46,unresolved_runtime,true,true,false,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,"候选角色 isolated_small_atom;side_ridge_candidate;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=False, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0014,R1S0014,52,unresolved_runtime,true,true,false,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,"候选角色 body_core_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=False, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0015,R1S0015,52,background_like_runtime,true,true,false,false,true,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,候选角色 background_arc_candidate 触发背景弧线或孤立小响应，不能用强度补偿为车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0016,R1S0016,52,background_like_runtime,true,true,false,false,true,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,候选角色 background_arc_candidate 触发背景弧线或孤立小响应，不能用强度补偿为车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0017,R1S0017,60,vehicle_possible_runtime,true,true,true,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,候选角色 body_core_candidate;unresolved_atom 通过部分尺度/语法 Gate，但缺少唯一持久部件谱系，只能作为运行时可能车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0018,R1S0018,77,vehicle_supported_runtime,true,true,true,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT009,候选角色 body_core_candidate;side_ridge_candidate;unresolved_atom 通过支持像素尺度、紧凑性、角色语法和相邻帧部件谱系，且无背景弧线冲突。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0019,R1S0019,78,vehicle_possible_runtime,true,true,true,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,候选角色 body_core_candidate;side_ridge_candidate;unresolved_atom 通过部分尺度/语法 Gate，但缺少唯一持久部件谱系，只能作为运行时可能车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0020,R1S0020,79,unresolved_runtime,true,false,true,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT011,"候选角色 body_core_candidate;unresolved_atom 的 Gate 状态为 scale=True, compact=False, grammar=True, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0021,R1S0021,79,background_like_runtime,true,true,false,false,true,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,候选角色 background_arc_candidate 触发背景弧线或孤立小响应，不能用强度补偿为车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0022,R1S0022,80,unresolved_runtime,true,false,true,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT011,"候选角色 body_core_candidate;side_ridge_candidate;unresolved_atom 的 Gate 状态为 scale=True, compact=False, grammar=True, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0023,R1S0023,80,background_like_runtime,false,true,false,false,true,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,候选角色 background_arc_candidate 触发背景弧线或孤立小响应，不能用强度补偿为车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0024,R1S0024,81,unresolved_runtime,true,false,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT010;R1PT011,"候选角色 body_core_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=False, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0025,R1S0025,81,background_like_runtime,true,true,false,false,true,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,候选角色 background_arc_candidate 触发背景弧线或孤立小响应，不能用强度补偿为车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0026,R1S0026,212,vehicle_supported_runtime,true,true,true,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT012,候选角色 endpoint_hotspot_candidate;unresolved_atom 通过支持像素尺度、紧凑性、角色语法和相邻帧部件谱系，且无背景弧线冲突。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0027,R1S0027,213,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT012,"候选角色 unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0028,R1S0028,216,vehicle_possible_runtime,true,true,true,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,候选角色 endpoint_hotspot_candidate;unresolved_atom 通过部分尺度/语法 Gate，但缺少唯一持久部件谱系，只能作为运行时可能车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0029,R1S0029,220,unresolved_runtime,true,true,false,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,"候选角色 unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=False, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0030,R1S0030,224,vehicle_possible_runtime,true,true,true,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,候选角色 endpoint_hotspot_candidate;unresolved_atom 通过部分尺度/语法 Gate，但缺少唯一持久部件谱系，只能作为运行时可能车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0031,R1S0031,227,unresolved_runtime,true,false,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT013;R1PT014,"候选角色 endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=False, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0032,R1S0032,228,unresolved_runtime,true,false,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT013;R1PT014,"候选角色 endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=False, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0033,R1S0033,238,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT016;R1PT017,"候选角色 isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0034,R1S0034,239,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT016;R1PT017,"候选角色 endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0035,R1S0035,243,unresolved_runtime,true,false,false,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,"候选角色 isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=False, grammar=False, temporal=False, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0036,R1S0036,250,unresolved_runtime,true,true,false,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,"候选角色 isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=False, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0037,R1S0037,259,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT018;R1PT019;R1PT020,"候选角色 body_core_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0038,R1S0038,260,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT018;R1PT019;R1PT020,"候选角色 endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0039,R1S0039,262,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT021;R1PT022,"候选角色 endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0040,R1S0040,263,vehicle_supported_runtime,true,true,true,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT021;R1PT022,候选角色 endpoint_hotspot_candidate;unresolved_atom 通过支持像素尺度、紧凑性、角色语法和相邻帧部件谱系，且无背景弧线冲突。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0041,R1S0041,269,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT023,"候选角色 body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0042,R1S0042,270,vehicle_supported_runtime,true,true,true,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT023,候选角色 body_core_candidate;endpoint_hotspot_candidate;unresolved_atom 通过支持像素尺度、紧凑性、角色语法和相邻帧部件谱系，且无背景弧线冲突。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0043,R1S0043,271,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT023,"候选角色 body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0044,R1S0044,272,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT023,"候选角色 body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0045,R1S0045,273,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT023,"候选角色 endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0046,R1S0046,276,vehicle_possible_runtime,true,true,true,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,候选角色 body_core_candidate;endpoint_hotspot_candidate;unresolved_atom 通过部分尺度/语法 Gate，但缺少唯一持久部件谱系，只能作为运行时可能车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0047,R1S0047,278,vehicle_possible_runtime,true,true,true,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,候选角色 body_core_candidate;unresolved_atom 通过部分尺度/语法 Gate，但缺少唯一持久部件谱系，只能作为运行时可能车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0048,R1S0048,279,unresolved_runtime,true,true,false,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,"候选角色 body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=False, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0049,R1S0049,280,unresolved_runtime,true,true,false,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,"候选角色 body_core_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=False, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0050,R1S0050,281,vehicle_possible_runtime,true,true,true,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,候选角色 body_core_candidate;endpoint_hotspot_candidate;unresolved_atom 通过部分尺度/语法 Gate，但缺少唯一持久部件谱系，只能作为运行时可能车辆结构。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0051,R1S0051,284,unresolved_runtime,true,true,false,false,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,,"候选角色 body_core_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=False, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0052,R1S0052,288,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT024;R1PT025;R1PT026,"候选角色 body_core_candidate;isolated_small_atom;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0053,R1S0053,289,unresolved_runtime,true,true,false,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT024;R1PT025;R1PT026;R1PT027,"候选角色 body_core_candidate;isolated_small_atom;side_ridge_candidate;unresolved_atom 的 Gate 状态为 scale=True, compact=True, grammar=False, temporal=True, background=False，运行时不可判定。",runtime_safe_no_gt_no_polarity_no_vehicle_identity
R1Y0054,R1S0054,290,vehicle_supported_runtime,true,true,true,true,false,not_applied_before_sar_gate; optical_may_only_condition_after_gate,R1PT024;R1PT025;R1PT027,候选角色 side_ridge_candidate;unresolved_atom 通过支持像素尺度、紧凑性、角色语法和相邻帧部件谱系，且无背景弧线冲突。,runtime_safe_no_gt_no_polarity_no_vehicle_identity
