optical_thread_or_edge_id,wgv14b_class,wgv15a_consumption_status,scene,optical_frame_start,optical_frame_end,sar_prior_evidence_ids,sar_evidence_summary,sar_support_level,sar_contradiction_or_risk,mapping_status,alignment_decision,allowed_next_use,blocked_reason,notes
GM_RM011_WGV12M002,optical_identity_constraint,pre_sar_only,GM_RM011,9,10,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV12M003,optical_identity_constraint,pre_sar_only,GM_RM011,10,13,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV12M004,optical_identity_constraint,pre_sar_only,GM_RM011,16,18,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV12M005,boundary_preserved,pre_sar_only,GM_RM011,25,31,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV12M006,optical_identity_constraint,pre_sar_only,GM_RM011,161,164,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV12M007,optical_search_hint_only,pre_sar_only,GM_RM011,232,233,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV12M008,optical_search_hint_only,pre_sar_only,GM_RM011,233,236,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV12M009,optical_search_hint_only,pre_sar_only,GM_RM011,239,242,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV12M010,optical_search_hint_only,pre_sar_only,GM_RM011,249,250,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV12M011,optical_search_hint_only,pre_sar_only,GM_RM011,250,251,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV12M012,optical_search_hint_only,pre_sar_only,GM_RM011,259,260,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV12M013,optical_search_hint_only,pre_sar_only,GM_RM011,264,265,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV12M014,optical_search_hint_only,pre_sar_only,GM_RM011,266,269,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV12M015,optical_search_hint_only,pre_sar_only,GM_RM011,270,279,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM011_WGV12M016,boundary_preserved,pre_sar_only,GM_RM011,288,289,scene_level_not_thread_aligned:WGV15C_SARPRI_0001;WGV15C_SARPRI_0002;WGV15C_SARPRI_0009;WGV15C_SARPRI_0010;WGV15C_SARPRI_0011;WGV15C_SARPRI_0018,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,scene_level_posthoc_evidence_not_thread_aligned,mapping uncertainty prevents thread or edge consumption,scene_level_prior_available_but_no_thread_frame_mapping,blocked_due_to_mapping_uncertainty,use only to choose SAR review backlog; no identity or boundary proof,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,This preserves GM_RM011 optical boundaries and avoids implicit same-vehicle SAR consumption.
GM_RM017_WGV12M001,optical_search_hint_only,pre_sar_only,GM_RM017,144,145,WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=4; status_mix=sar_structure_present_but_optical_ambiguous=3;review_required=1; temporal_mix=stable_cluster_tube=3;jumping_peak=1,posthoc_risk_only,risk_status_rows=4; associated_status_rows=0; scatter_mix=azimuth_spread_cluster=3;weak_no_structure=1,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_contradiction_or_competitor_risk,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV12M002,boundary_preserved,pre_sar_only,GM_RM017,148,149,WGV15C_SARPRI_0020;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=6; status_mix=sar_structure_present_but_optical_ambiguous=3;dropout_existence_support_only=2;review_required=1; temporal_mix=stable_cluster_tube=4;jumping_peak=2,posthoc_boundary_or_competitor_relevant,risk_status_rows=4; associated_status_rows=0; scatter_mix=range_spread_cluster=4;diffuse_clutter=1;weak_no_structure=1,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_boundary_relevant,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV12M003,boundary_preserved,pre_sar_only,GM_RM017,155,156,WGV15C_SARPRI_0022;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=16; status_mix=associated_posthoc_weak=9;rejected_for_temporal_instability=3;sar_structure_present_but_optical_ambiguous=3;review_required=1; temporal_mix=stable_cluster_tube=12;jumping_peak=2;diffuse_or_unstable_cluster_tube=2,posthoc_boundary_or_competitor_relevant,risk_status_rows=7; associated_status_rows=9; scatter_mix=azimuth_spread_cluster=6;range_spread_cluster=4;diffuse_clutter=3;multi_peak_nearby_cluster=3,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_boundary_relevant,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV12M004,boundary_preserved,pre_sar_only,GM_RM017,157,158,WGV15C_SARPRI_0022;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=24; status_mix=associated_posthoc_weak=9;sar_structure_present_but_optical_ambiguous=9;rejected_for_temporal_instability=3;review_required=3; temporal_mix=stable_cluster_tube=18;diffuse_or_unstable_cluster_tube=3;jumping_peak=3,posthoc_boundary_or_competitor_relevant,risk_status_rows=15; associated_status_rows=9; scatter_mix=azimuth_spread_cluster=12;multi_peak_nearby_cluster=4;weak_no_structure=3;diffuse_clutter=3;range_spread_cluster=2,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_boundary_relevant,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV12M005,optical_search_hint_only,pre_sar_only,GM_RM017,158,164,WGV15C_SARPRI_0022;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=144; status_mix=associated_posthoc_weak=54;sar_structure_present_but_optical_ambiguous=42;review_required=30;rejected_for_temporal_instability=18; temporal_mix=stable_cluster_tube=108;diffuse_or_unstable_cluster_tube=22;jumping_peak=14,posthoc_mixed_with_risk,risk_status_rows=90; associated_status_rows=54; scatter_mix=azimuth_spread_cluster=68;diffuse_clutter=37;multi_peak_nearby_cluster=16;range_spread_cluster=15;weak_no_structure=8,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_support_weak_or_ambiguous,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV12M006,boundary_preserved,pre_sar_only,GM_RM017,168,169,WGV15C_SARPRI_0022;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=67; status_mix=associated_posthoc_weak=37;sar_structure_present_but_optical_ambiguous=15;rejected_for_temporal_instability=10;review_required=5; temporal_mix=stable_cluster_tube=52;diffuse_or_unstable_cluster_tube=10;jumping_peak=5,posthoc_boundary_or_competitor_relevant,risk_status_rows=30; associated_status_rows=37; scatter_mix=azimuth_spread_cluster=41;diffuse_clutter=15;range_spread_cluster=5;multi_peak_nearby_cluster=4;weak_no_structure=2,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_boundary_relevant,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV12M007,boundary_preserved,pre_sar_only,GM_RM017,173,174,WGV15C_SARPRI_0022;WGV15C_SARPRI_0025;WGV15C_SARPRI_0026;WGV15C_SARPRI_0027,posthoc_overlap_rows=56; status_mix=associated_posthoc_weak=38;rejected_for_temporal_instability=10;review_required=4;sar_structure_present_but_optical_ambiguous=4; temporal_mix=stable_cluster_tube=44;diffuse_or_unstable_cluster_tube=8;jumping_peak=4,posthoc_boundary_or_competitor_relevant,risk_status_rows=18; associated_status_rows=38; scatter_mix=azimuth_spread_cluster=34;diffuse_clutter=20;multi_peak_nearby_cluster=2,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_boundary_relevant,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
GM_RM017_WGV12M008,boundary_preserved,pre_sar_only,GM_RM017,175,176,WGV15C_SARPRI_0022;WGV15C_SARPRI_0025,posthoc_overlap_rows=56; status_mix=associated_posthoc_weak=44;rejected_for_temporal_instability=12; temporal_mix=stable_cluster_tube=44;diffuse_or_unstable_cluster_tube=8;jumping_peak=4,posthoc_boundary_or_competitor_relevant,risk_status_rows=12; associated_status_rows=44; scatter_mix=azimuth_spread_cluster=42;diffuse_clutter=11;multi_peak_nearby_cluster=3,traceable_prior_optical_frame_overlap_posthoc_only_no_wgv15_mapping_resolution,prior_sar_boundary_relevant,pre_sar_prioritization_only; must run independent SAR-internal evidence review before any upgrade,not_blocked_but_not_sar_confirmed,Overlap uses inherited posthoc rows with optical_frame fields; it does not resolve optical-to-SAR mapping or identity.
