target_family_id,scene_id,wgv1_3_thread_id,thread_status,source_fragment_id,frame_start,frame_end,frame_count,class_sequence,x_bin_sequence,candidate_node_ids,source_detection_ids,identity_safe_split_status,included_same_vehicle_edge_ids,primary_box_selection_issue_edge_ids,split_boundary_edge_ids,blocked_edge_ids,review_required,auto_merge_allowed,sar_ready,not_final_box_flag,not_revised_annotation_flag,note
GM_RM011_WGV12TF011,GM_RM011,GM_RM011_WGV13T007,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM011_WG11F011,233,233,1,car,mid,GM_RM011_Y26N007,GM_RM011_000233_001,in_same_vehicle_thread_candidate,GM_RM011_WGV12M008,,GM_RM011_WGV12M007,GM_RM011_WGV12M007,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF012,GM_RM011,GM_RM011_WGV13T007,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM011_WG11F012,236,239,4,car car car car,mid right right right,GM_RM011_Y26N008,GM_RM011_000236_001;GM_RM011_000237_001;GM_RM011_000238_001;GM_RM011_000239_001,in_same_vehicle_thread_candidate,GM_RM011_WGV12M008,,GM_RM011_WGV12M009,GM_RM011_WGV12M009,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF013,GM_RM011,GM_RM011_WGV13T008,standalone_target_family_after_identity_safe_split,GM_RM011_WG11F013,242,249,8,car car car car car car car car,left left left left left mid left mid,GM_RM011_Y26N008;GM_RM011_Y26N009,GM_RM011_000242_002;GM_RM011_000243_001;GM_RM011_000244_001;GM_RM011_000245_001;GM_RM011_000246_001;GM_RM011_000247_001;GM_RM011_000248_001;GM_RM011_000249_001,kept_standalone_by_identity_split_boundary,,,GM_RM011_WGV12M009;GM_RM011_WGV12M010,GM_RM011_WGV12M009;GM_RM011_WGV12M010,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF014,GM_RM011,GM_RM011_WGV13T009,standalone_target_family_after_identity_safe_split,GM_RM011_WG11F013,250,250,1,car,mid,GM_RM011_Y26N009,GM_RM011_000250_001,kept_standalone_by_identity_split_boundary,,,GM_RM011_WGV12M010;GM_RM011_WGV12M011,GM_RM011_WGV12M010;GM_RM011_WGV12M011,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF015,GM_RM011,GM_RM011_WGV13T010,standalone_target_family_after_identity_safe_split,GM_RM011_WG11F013,251,259,9,car car car car car car car car car,mid mid mid mid mid mid mid mid mid,GM_RM011_Y26N009,GM_RM011_000251_001;GM_RM011_000252_001;GM_RM011_000253_001;GM_RM011_000254_001;GM_RM011_000255_001;GM_RM011_000256_001;GM_RM011_000257_001;GM_RM011_000258_001;GM_RM011_000259_001,kept_standalone_by_identity_split_boundary,,,GM_RM011_WGV12M011;GM_RM011_WGV12M012,GM_RM011_WGV12M011;GM_RM011_WGV12M012,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF016,GM_RM011,GM_RM011_WGV13T011,standalone_target_family_after_identity_safe_split,GM_RM011_WG11F013,260,264,5,car car car car car,mid mid right right right,GM_RM011_Y26N009,GM_RM011_000260_001;GM_RM011_000261_001;GM_RM011_000262_001;GM_RM011_000263_001;GM_RM011_000264_001,kept_standalone_by_identity_split_boundary,,,GM_RM011_WGV12M012;GM_RM011_WGV12M013,GM_RM011_WGV12M012;GM_RM011_WGV12M013,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF017,GM_RM011,GM_RM011_WGV13T012,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM011_WG11F014,265,266,2,car car,left left,GM_RM011_Y26N009,GM_RM011_000265_001;GM_RM011_000266_001,in_same_vehicle_thread_candidate,GM_RM011_WGV12M014,,GM_RM011_WGV12M013,GM_RM011_WGV12M013,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF018,GM_RM011,GM_RM011_WGV13T012,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM011_WG11F014,269,270,2,car car,left left,GM_RM011_Y26N009,GM_RM011_000269_001;GM_RM011_000270_001,in_same_vehicle_thread_candidate,GM_RM011_WGV12M014;GM_RM011_WGV12M015,,,,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF019,GM_RM011,GM_RM011_WGV13T012,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM011_WG11F015,279,288,9,car car car car car car car car car,mid mid mid mid right right right right right,GM_RM011_Y26N011;GM_RM011_Y26N012,GM_RM011_000279_001;GM_RM011_000280_001;GM_RM011_000281_001;GM_RM011_000283_002;GM_RM011_000284_002;GM_RM011_000285_002;GM_RM011_000286_001;GM_RM011_000287_001;GM_RM011_000288_001,in_same_vehicle_thread_candidate,GM_RM011_WGV12M015,,GM_RM011_WGV12M016,GM_RM011_WGV12M016,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM011_WGV12TF020,GM_RM011,GM_RM011_WGV13T013,standalone_target_family_after_identity_safe_split,GM_RM011_WG11F016,289,292,4,car car car car,left left left left,GM_RM011_Y26N012,GM_RM011_000289_001;GM_RM011_000290_002;GM_RM011_000291_002;GM_RM011_000292_002,kept_standalone_by_identity_split_boundary,,,GM_RM011_WGV12M016,GM_RM011_WGV12M016,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM017_WGV12TF001,GM_RM017,GM_RM017_WGV13T001,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM017_WG11F001,118,144,27,truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck,left left left left left left left left left left left left left left left left left left left left mid mid mid mid mid mid mid,GM_RM017_Y26N002,GM_RM017_000118_001;GM_RM017_000119_001;GM_RM017_000120_001;GM_RM017_000121_001;GM_RM017_000122_001;GM_RM017_000123_001;GM_RM017_000124_001;GM_RM017_000125_001;GM_RM017_000126_001;GM_RM017_000127_001;GM_RM017_000128_001;GM_RM017_000129_001;GM_RM017_000130_001;GM_RM017_000131_001;GM_RM017_000132_001;GM_RM017_000133_001;GM_RM017_000134_001;GM_RM017_000135_001;GM_RM017_000136_001;GM_RM017_000137_001;GM_RM017_000138_001;GM_RM017_000139_001;GM_RM017_000140_001;GM_RM017_000141_001;GM_RM017_000142_001;GM_RM017_000143_001;GM_RM017_000144_001,in_same_vehicle_thread_candidate,GM_RM017_WGV12M001,,,,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM017_WGV12TF002,GM_RM017,GM_RM017_WGV13T001,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM017_WG11F002,145,148,4,truck truck truck truck,mid mid mid mid,GM_RM017_Y26N003,GM_RM017_000145_001;GM_RM017_000146_001;GM_RM017_000147_001;GM_RM017_000148_001,in_same_vehicle_thread_candidate,GM_RM017_WGV12M001,,GM_RM017_WGV12M002,GM_RM017_WGV12M002,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM017_WGV12TF003,GM_RM017,GM_RM017_WGV13T002,standalone_target_family_after_identity_safe_split,GM_RM017_WG11F002,149,155,7,car car car car car car car,left left left left left left left,GM_RM017_Y26N003,GM_RM017_000149_001;GM_RM017_000150_001;GM_RM017_000151_001;GM_RM017_000152_001;GM_RM017_000153_001;GM_RM017_000154_001;GM_RM017_000155_001,kept_standalone_by_identity_split_boundary,,,GM_RM017_WGV12M002;GM_RM017_WGV12M003,GM_RM017_WGV12M002;GM_RM017_WGV12M003,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM017_WGV12TF004,GM_RM017,GM_RM017_WGV13T003,standalone_target_family_after_identity_safe_split,GM_RM017_WG11F002,156,157,2,truck truck,right right,GM_RM017_Y26N003,GM_RM017_000156_001;GM_RM017_000157_001,kept_standalone_by_identity_split_boundary,,,GM_RM017_WGV12M003;GM_RM017_WGV12M004,GM_RM017_WGV12M003;GM_RM017_WGV12M004,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM017_WGV12TF005,GM_RM017,GM_RM017_WGV13T004,same_vehicle_thread_candidate_with_primary_box_selection_issue,GM_RM017_WG11F002,158,158,1,car,left,GM_RM017_Y26N003,GM_RM017_000158_001,in_same_vehicle_thread_candidate_primary_box_review,GM_RM017_WGV12M005,GM_RM017_WGV12M005,GM_RM017_WGV12M004,GM_RM017_WGV12M004,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM017_WGV12TF006,GM_RM017,GM_RM017_WGV13T004,same_vehicle_thread_candidate_with_primary_box_selection_issue,GM_RM017_WG11F004,164,168,5,car car car car car,left left left left left,GM_RM017_Y26N004,GM_RM017_000164_001;GM_RM017_000165_001;GM_RM017_000166_001;GM_RM017_000167_001;GM_RM017_000168_001,in_same_vehicle_thread_candidate_primary_box_review,GM_RM017_WGV12M005,GM_RM017_WGV12M005,GM_RM017_WGV12M006,GM_RM017_WGV12M006,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM017_WGV12TF007,GM_RM017,GM_RM017_WGV13T005,standalone_target_family_after_identity_safe_split,GM_RM017_WG11F004,169,173,5,car car car car car,mid right right right right,GM_RM017_Y26N004,GM_RM017_000169_001;GM_RM017_000170_001;GM_RM017_000171_001;GM_RM017_000172_001;GM_RM017_000173_001,kept_standalone_by_identity_split_boundary,,,GM_RM017_WGV12M006;GM_RM017_WGV12M007,GM_RM017_WGV12M006;GM_RM017_WGV12M007,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM017_WGV12TF008,GM_RM017,GM_RM017_WGV13T006,standalone_target_family_after_identity_safe_split,GM_RM017_WG11F004,174,175,2,car car,mid mid,GM_RM017_Y26N004,GM_RM017_000174_001;GM_RM017_000175_001,kept_standalone_by_identity_split_boundary,,,GM_RM017_WGV12M007;GM_RM017_WGV12M008,GM_RM017_WGV12M007;GM_RM017_WGV12M008,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM017_WGV12TF009,GM_RM017,GM_RM017_WGV13T007,standalone_target_family_after_identity_safe_split,GM_RM017_WG11F004,176,181,6,car car car car car car,right right right right right right,GM_RM017_Y26N004,GM_RM017_000176_001;GM_RM017_000177_001;GM_RM017_000178_001;GM_RM017_000179_001;GM_RM017_000180_001;GM_RM017_000181_001,kept_standalone_by_identity_split_boundary,,,GM_RM017_WGV12M008;GM_RM017_WGV12M009,GM_RM017_WGV12M008;GM_RM017_WGV12M009,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM017_WGV12TF010,GM_RM017,GM_RM017_WGV13T008,standalone_target_family_after_identity_safe_split,GM_RM017_WG11F004,182,185,4,car car car car,mid right right right,GM_RM017_Y26N004,GM_RM017_000182_001;GM_RM017_000183_001;GM_RM017_000184_001;GM_RM017_000185_001,kept_standalone_by_identity_split_boundary,,,GM_RM017_WGV12M009,GM_RM017_WGV12M009,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM017_WGV12TF011,GM_RM017,GM_RM017_WGV13T009,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM017_WG11F005,200,213,14,car car car car car car car car car car car car car car,right right right right right right right right right right right right right right,GM_RM017_Y26N005,GM_RM017_000200_001;GM_RM017_000201_001;GM_RM017_000202_001;GM_RM017_000203_001;GM_RM017_000204_001;GM_RM017_000205_001;GM_RM017_000206_001;GM_RM017_000207_001;GM_RM017_000208_001;GM_RM017_000209_001;GM_RM017_000210_001;GM_RM017_000211_001;GM_RM017_000212_001;GM_RM017_000213_001,in_same_vehicle_thread_candidate,GM_RM017_WGV12M010,,,,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
GM_RM017_WGV12TF012,GM_RM017,GM_RM017_WGV13T009,same_vehicle_thread_candidate_supported_by_tracking_association,GM_RM017_WG11F005,214,214,1,car,right,GM_RM017_Y26N005,GM_RM017_000214_001,in_same_vehicle_thread_candidate,GM_RM017_WGV12M010,,,,yes,no,no / blocked,yes,yes,WGV1.3 diagnostic target-family split only; not final identity or annotation.
