sar_frame,diagnostic_png,contact_sheet,review_reason,observed_response_change_cn,automatic_state_matches_image,wrong_association_found,downgrade_needed,reviewer_note_cn
373,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar373.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
374,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar374.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
375,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar375.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
376,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar376.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame;uniform_continuous_sample,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
377,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar377.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
378,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar378.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
379,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar379.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame;max_state_correction_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
380,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar380.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
381,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar381.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame;uniform_continuous_sample,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
382,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar382.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
383,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar383.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
384,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar384.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
385,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar385.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
386,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar386.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame;uniform_continuous_sample,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
387,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar387.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
388,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar388.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
389,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar389.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
390,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar390.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
391,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar391.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame;uniform_continuous_sample,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
392,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar392.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
393,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar393.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
394,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_recursive_state_sar394.png,outputs\wgv3_6b_d1_gm017_recursive_causal_state_propagation_20260712\visual_review\d1_visual_review_contact_sheet.png,missing_frame;reappearance_frame;uniform_continuous_sample,接触表显示主亮响应带随帧向右移动；青色 response track 跟随主亮带及右侧局部响应，紫色背景轨迹主要集中在上边界和静止斑点区。,yes_for_contact_sheet_and_focus_frames,not_detected_in_reviewed_contact_sheet_and_focus_frames,no_visual_downgrade_required_but_visual_not_final_membership,已打开 SAR361-394 接触表，并重点查看 SAR379 最大修正帧与 SAR363 重现帧；结论限于诊断叠加，不构成最终车辆框或最终标注。
