structure_id,sar_frame,member_atom_ids,role_candidate_combination,support_pixel_long_axis,support_pixel_short_axis,support_pixel_aspect_ratio,centroid_long_axis,centroid_short_axis,extent_degeneracy_fixed,support_pixel_count,support_bbox,convex_hull_area,occupancy_ratio,max_internal_blank,max_pair_distance,azimuth_span,radial_span,background_arc_conflict,part_relation_summary,unit_status
R1S0017,60,R1A0055;R1A0057;R1A0059;R1A0060,body_core_candidate;unresolved_atom,158.517276,124.55859,1.272632,106.497042,74.599801,false,1177,"1146.000,1133.000,1296.000,1243.000",11318,0.103994,42.426407,108.881852,30.123789,84.66169,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0018,77,R1A0064;R1A0066;R1A0067;R1A0069,body_core_candidate;side_ridge_candidate;unresolved_atom,151.949153,116.258017,1.306999,71.480417,77.805141,false,1436,"1146.000,1133.000,1279.000,1269.000",14608.5,0.098299,24,81.494582,24.695413,75.560143,false,core_to_side_candidate,support_pixel_geometry_not_meter
R1S0019,78,R1A0070;R1A0071;R1A0073;R1A0074,body_core_candidate;side_ridge_candidate;unresolved_atom,141.730412,119.980177,1.181282,112.114087,69.646933,false,1281,"1146.000,1133.000,1304.000,1241.000",11887,0.107765,55.317267,114.564616,24.339803,110.210587,false,core_to_side_candidate,support_pixel_geometry_not_meter
R1S0020,79,R1A0078;R1A0079;R1A0080;R1A0083,body_core_candidate;unresolved_atom,159.328549,66.494131,2.39613,164.678974,12.256065,false,499,"1170.000,1133.000,1308.000,1267.000",7785.5,0.064094,132.136293,164.68001,11.976183,161.641251,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0021,79,R1A0077,background_arc_candidate,141.297208,37.675408,3.750383,0,0,true,971,"1146.000,1133.000,1287.000,1187.000",5221.5,0.185962,0,0,0,0,true,background_arc_conflict,support_pixel_geometry_not_meter
R1S0022,80,R1A0084;R1A0086;R1A0089;R1A0090,body_core_candidate;side_ridge_candidate;unresolved_atom,158.180856,122.566815,1.290568,127.472773,83.657097,false,1362,"1146.000,1134.000,1288.000,1268.000",15341.5,0.088779,80.721744,130.75322,26.642857,121.181107,false,core_to_side_candidate,support_pixel_geometry_not_meter
R1S0023,80,R1A0085,background_arc_candidate,15.543756,5.137642,3.025465,0,0,true,47,"1298.000,1133.000,1311.000,1145.000",55,0.854545,0,0,0,0,true,background_arc_conflict,support_pixel_geometry_not_meter
R1S0024,81,R1A0092;R1A0093;R1A0094;R1A0095,body_core_candidate;isolated_small_atom;unresolved_atom,150.921522,64.504236,2.339715,169.387126,7.431788,false,526,"1176.000,1133.000,1314.000,1267.000",7756.5,0.067814,131.590273,169.388409,11.823179,166.544174,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0025,81,R1A0091,background_arc_candidate,151.195885,35.698671,4.235336,0,0,true,920,"1146.000,1133.000,1291.000,1187.000",6365.5,0.144529,0,0,0,0,true,background_arc_conflict,support_pixel_geometry_not_meter
R1S0026,212,R1A0096;R1A0097;R1A0098,endpoint_hotspot_candidate;unresolved_atom,136.233264,119.142537,1.143448,59.365492,59.699514,false,1546,"962.000,1126.000,1132.000,1240.000",13936.5,0.110932,30,65.833223,20.947277,51.604828,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0027,213,R1A0099;R1A0100;R1A0101,unresolved_atom,134.16489,124.813983,1.074919,85.774458,30.744207,false,1457,"965.000,1126.000,1132.000,1240.000",13931,0.104587,6,86.255597,15.582237,61.641739,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0028,216,R1A0103;R1A0104,endpoint_hotspot_candidate;unresolved_atom,132.906887,118.352774,1.122972,62.460795,0,true,1427,"977.000,1127.000,1127.000,1239.000",13581,0.105073,0,62.460795,20.602047,14.004333,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0029,220,R1A0105;R1A0106,unresolved_atom,123.629562,119.131078,1.037761,71.953844,0,true,1412,"998.000,1126.000,1132.000,1237.000",12156.5,0.116152,0,71.953844,14.868223,47.350235,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0030,224,R1A0107;R1A0108;R1A0109,endpoint_hotspot_candidate;unresolved_atom,138.289437,115.7511,1.194714,85.053396,16.853617,false,1508,"1008.000,1126.000,1132.000,1239.000",12261.5,0.122987,12,85.087716,29.010036,26.654373,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0031,227,R1A0110;R1A0111;R1A0113,endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,137.090928,124.752325,1.098905,145.126471,24.791978,false,1317,"1023.000,1135.000,1194.000,1237.000",13439,0.097998,115.412304,145.21697,50.041213,47.849442,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0032,228,R1A0115;R1A0116;R1A0117,endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,141.825208,126.240445,1.123453,151.738509,29.255272,false,1343,"1024.000,1135.000,1216.000,1237.000",15216.5,0.088259,110.308658,151.899217,53.898808,46.849289,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0033,238,R1A0119;R1A0120,isolated_small_atom;unresolved_atom,141.406247,103.731966,1.363189,68.983875,0,true,1250,"1051.000,1135.000,1175.000,1253.000",12236.5,0.102153,0,68.983875,29.692802,12.47139,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0034,239,R1A0121;R1A0122;R1A0123,endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,136.008017,96.447518,1.410176,68.527458,9.728382,false,1387,"1053.000,1135.000,1177.000,1252.000",12298.5,0.112778,12,68.528837,29.551366,22.02877,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0035,243,R1A0124;R1A0125;R1A0126,isolated_small_atom;unresolved_atom,132.727758,99.371504,1.335672,126.924031,6.925778,false,1228,"1071.000,1135.000,1193.000,1245.000",11417.5,0.107554,104.957134,126.924098,49.80921,46.215797,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0036,250,R1A0127;R1A0128;R1A0129,isolated_small_atom;unresolved_atom,116.8209,86.270393,1.354125,86.861217,15.91764,false,1205,"1100.000,1136.000,1217.000,1250.000",10967,0.109875,12,86.887648,18.78247,68.565956,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0037,259,R1A0130;R1A0131;R1A0132;R1A0134,body_core_candidate;isolated_small_atom;unresolved_atom,140.195184,110.03303,1.274119,93.209275,50.964986,false,1429,"1107.000,1138.000,1247.000,1254.000",12981,0.110084,48,96.518682,22.613617,83.625542,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0038,260,R1A0135;R1A0136;R1A0137,endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,140.803815,122.245158,1.151815,91.363839,50.909523,false,1388,"1107.000,1138.000,1241.000,1254.000",12565.5,0.110461,48,93.364915,22.576469,83.399513,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0039,262,R1A0138;R1A0139;R1A0140,endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,138.723387,115.755864,1.198413,94.984716,49.666749,false,1404,"1107.000,1138.000,1248.000,1264.000",13253.5,0.105934,48.373546,96.723163,22.510535,85.380035,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0040,263,R1A0141;R1A0142,endpoint_hotspot_candidate;unresolved_atom,133.836673,122.1179,1.095963,49.653845,0,true,1348,"1107.000,1138.000,1260.000,1258.000",13749,0.098043,0,49.653845,21.904984,12.607742,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0041,269,R1A0143;R1A0146;R1A0147;R1A0148,body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,133.965154,125.813845,1.064789,108.975886,46.78095,false,1526,"1110.000,1138.000,1263.000,1258.000",12897,0.118322,68.410526,110.413439,31.833393,87.212814,false,core_to_endpoint_candidate,support_pixel_geometry_not_meter
R1S0042,270,R1A0149;R1A0151;R1A0152;R1A0153,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,139.895797,129.828514,1.077543,110.022025,48.122014,false,1519,"1108.000,1138.000,1270.000,1258.000",13894,0.109328,62.641839,111.189036,31.30432,88.968536,false,core_to_endpoint_candidate,support_pixel_geometry_not_meter
R1S0043,271,R1A0154;R1A0155;R1A0156;R1A0157,body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,145.48492,130.251883,1.116951,111.105029,45.200741,false,1536,"1109.000,1138.000,1281.000,1250.000",14109.5,0.108863,53.665631,112.121306,30.780832,89.910225,false,core_to_endpoint_candidate,support_pixel_geometry_not_meter
R1S0044,272,R1A0158;R1A0160;R1A0161;R1A0162,body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,136.222541,126.879485,1.073637,113.655404,44.960388,false,1671,"1116.000,1140.000,1279.000,1266.000",13391.5,0.124781,62.641839,114.86866,29.809694,94.072708,false,core_to_endpoint_candidate,support_pixel_geometry_not_meter
R1S0045,273,R1A0163;R1A0165;R1A0166,endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,146.812585,115.684636,1.269076,81.159589,36.35984,false,1300,"1116.000,1140.000,1282.000,1265.000",13461.5,0.096572,8.485281,81.47438,24.190351,45.227661,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0046,276,R1A0167;R1A0169;R1A0170,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,143.471366,117.057337,1.22565,80.383998,40.612097,false,1446,"1131.000,1140.000,1268.000,1242.000",11024,0.131168,42,80.892385,27.603806,53.336639,false,core_to_endpoint_candidate,support_pixel_geometry_not_meter
R1S0047,278,R1A0171;R1A0173,body_core_candidate;unresolved_atom,143.469898,120.053564,1.195049,57.519639,0,true,1406,"1122.000,1141.000,1275.000,1266.000",13485,0.104264,0,57.519639,2.480043,60.830681,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0048,279,R1A0174;R1A0175;R1A0176;R1A0177,body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,149.412433,124.595938,1.199176,121.922963,64.302502,false,1387,"1118.000,1140.000,1289.000,1266.000",14830.5,0.093523,68.410526,122.848102,26.001019,116.65815,false,core_to_endpoint_candidate,support_pixel_geometry_not_meter
R1S0049,280,R1A0178;R1A0179;R1A0180,body_core_candidate;isolated_small_atom;unresolved_atom,148.210875,123.15206,1.203479,116.763204,21.097137,false,1458,"1115.000,1140.000,1277.000,1265.000",13802,0.105637,68.410526,116.772802,12.170834,111.853699,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0050,281,R1A0181;R1A0184;R1A0185,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,138.740474,117.328258,1.182498,56.424949,28.295209,false,1446,"1146.000,1138.000,1278.000,1265.000",12594,0.114817,6,57.273004,14.80794,59.258705,false,core_to_endpoint_candidate,support_pixel_geometry_not_meter
R1S0051,284,R1A0186;R1A0189;R1A0190,body_core_candidate;isolated_small_atom;unresolved_atom,137.437853,119.005086,1.154891,87.093175,49.329845,false,1364,"1146.000,1139.000,1296.000,1264.000",14653.5,0.093084,42,87.332092,22.737703,68.674812,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0052,288,R1A0191;R1A0192;R1A0193;R1A0194,body_core_candidate;isolated_small_atom;unresolved_atom,146.460652,115.982318,1.262784,99.425679,33.066226,false,1333,"1146.000,1138.000,1304.000,1266.000",15636.5,0.085249,24.738634,99.436144,18.215971,102.796112,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
R1S0053,289,R1A0195;R1A0197;R1A0198;R1A0199,body_core_candidate;isolated_small_atom;side_ridge_candidate;unresolved_atom,151.793563,121.230762,1.252104,103.075441,38.138941,false,1423,"1146.000,1138.000,1308.000,1267.000",17802.5,0.079933,36.496575,103.121821,22.948029,104.536316,false,core_to_side_candidate,support_pixel_geometry_not_meter
R1S0054,290,R1A0200;R1A0201;R1A0202,side_ridge_candidate;unresolved_atom,162.752771,119.520399,1.361715,108.345268,13.519389,false,1491,"1146.000,1138.000,1311.000,1277.000",18171,0.082054,18,108.345806,15.508591,108.439285,false,single_or_unresolved_relation,support_pixel_geometry_not_meter
