component_edge_id,from_component_id,to_component_id,frame_gap,azimuth_shift,radial_shift_px,overlap_ratio,dilated_overlap_ratio,scale_ratio,contrast_change,relation_status,competition_ids,supporting_evidence,conflicting_evidence
WGV33D_EDGE_000059,WGV33D_MAIN_F0002_C000050,WGV33D_MAIN_F0003_C000072,1,0.6693,50.8087,0,0,0.611111,-0.403202,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000050;multi_predecessor:WGV33D_MAIN_F0003_C000072,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000060,WGV33D_MAIN_F0002_C000050,WGV33D_MAIN_F0004_C000103,2,5.9542,0.6404,0.294118,0.470588,0.944444,-0.218156,weak_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000050;multi_predecessor:WGV33D_MAIN_F0004_C000103,gap=2;dilated_overlap=0.471,
WGV33D_EDGE_000061,WGV33D_MAIN_F0002_C000051,WGV33D_MAIN_F0003_C000072,1,-4.1893,-63.7366,0,0,2.75,-0.096725,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000051;multi_predecessor:WGV33D_MAIN_F0003_C000072,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000062,WGV33D_MAIN_F0002_C000051,WGV33D_MAIN_F0003_C000074,1,3.2688,40.9927,0,0,0.5,0.606933,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000051;multi_predecessor:WGV33D_MAIN_F0003_C000074,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000063,WGV33D_MAIN_F0002_C000051,WGV33D_MAIN_F0003_C000075,1,5.2036,4.9927,0,0,0.5,0.100097,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000051,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000064,WGV33D_MAIN_F0002_C000051,WGV33D_MAIN_F0004_C000104,2,-2.6059,10.2704,0,0.666667,0.75,-0.152832,weak_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000051;multi_predecessor:WGV33D_MAIN_F0004_C000104,gap=2;dilated_overlap=0.667,
WGV33D_EDGE_000065,WGV33D_MAIN_F0002_C000051,WGV33D_MAIN_F0004_C000105,2,3.2755,-3.0073,0,0.5,0.5,0.269042,weak_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000051;multi_predecessor:WGV33D_MAIN_F0004_C000105,gap=2;dilated_overlap=0.5,
WGV33D_EDGE_000066,WGV33D_MAIN_F0002_C000052,WGV33D_MAIN_F0003_C000073,1,-5.0932,-1.9877,0.333333,1,0.333333,-0.764034,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000052;multi_predecessor:WGV33D_MAIN_F0003_C000073,gap=1;dilated_overlap=1,
WGV33D_EDGE_000067,WGV33D_MAIN_F0002_C000052,WGV33D_MAIN_F0003_C000076,1,1.341,-42.5494,0,0,0.703704,0.270792,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000052;multi_predecessor:WGV33D_MAIN_F0003_C000076,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000068,WGV33D_MAIN_F0002_C000052,WGV33D_MAIN_F0003_C000078,1,5.8372,1.7002,0.652174,1,0.851852,-0.29317,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000052;multi_predecessor:WGV33D_MAIN_F0003_C000078,gap=1;dilated_overlap=1,
WGV33D_EDGE_000069,WGV33D_MAIN_F0002_C000052,WGV33D_MAIN_F0004_C000107,2,2.3294,-42.4094,0,0,0.740741,0.626353,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000052;multi_predecessor:WGV33D_MAIN_F0004_C000107,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000070,WGV33D_MAIN_F0002_C000052,WGV33D_MAIN_F0004_C000109,2,3.5056,1.3154,0.5,1,0.148148,-0.220034,weak_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000052;multi_predecessor:WGV33D_MAIN_F0004_C000109,gap=2;dilated_overlap=1,
WGV33D_EDGE_000071,WGV33D_MAIN_F0002_C000053,WGV33D_MAIN_F0003_C000073,1,-4.3506,40.4321,0,0,0.692308,-0.572133,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000053;multi_predecessor:WGV33D_MAIN_F0003_C000073,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000072,WGV33D_MAIN_F0002_C000053,WGV33D_MAIN_F0003_C000076,1,2.0836,-0.1296,0.846154,0.894737,1.461538,0.462693,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000053;multi_predecessor:WGV33D_MAIN_F0003_C000076,gap=1;dilated_overlap=0.895,
WGV33D_EDGE_000073,WGV33D_MAIN_F0002_C000053,WGV33D_MAIN_F0004_C000107,2,3.072,0.0104,0.692308,0.8,1.538462,0.818254,weak_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000053;multi_predecessor:WGV33D_MAIN_F0004_C000107,gap=2;dilated_overlap=0.8,
WGV33D_EDGE_000074,WGV33D_MAIN_F0002_C000053,WGV33D_MAIN_F0004_C000109,2,4.2482,43.7352,0,0,0.307692,-0.028133,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000053;multi_predecessor:WGV33D_MAIN_F0004_C000109,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000075,WGV33D_MAIN_F0002_C000054,WGV33D_MAIN_F0003_C000079,1,0.8333,0.1798,0.714286,1,0.538462,0.252136,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000054,gap=1;dilated_overlap=1,
WGV33D_EDGE_000076,WGV33D_MAIN_F0002_C000054,WGV33D_MAIN_F0004_C000111,2,-3.5189,45.3412,0,0,0.653846,0.095327,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000054;multi_predecessor:WGV33D_MAIN_F0004_C000111,gap=2;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000077,WGV33D_MAIN_F0002_C000054,WGV33D_MAIN_F0004_C000112,2,4.2211,3.0738,0.4,1,0.576923,0.920588,weak_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000054;multi_predecessor:WGV33D_MAIN_F0004_C000112,gap=2;dilated_overlap=1,
WGV33D_EDGE_000078,WGV33D_MAIN_F0002_C000055,WGV33D_MAIN_F0003_C000081,1,1.7547,1.6439,0.4,1,1,0.164844,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000055,gap=1;dilated_overlap=1,
WGV33D_EDGE_000079,WGV33D_MAIN_F0002_C000055,WGV33D_MAIN_F0004_C000115,2,2.9305,3.7518,0.2,0.833333,1.2,0.038412,weak_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000055;multi_predecessor:WGV33D_MAIN_F0004_C000115,gap=2;dilated_overlap=0.833,
WGV33D_EDGE_000080,WGV33D_MAIN_F0002_C000056,WGV33D_MAIN_F0003_C000082,1,2.9905,1.336,0.333333,0.777778,1,1.405599,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000056,gap=1;dilated_overlap=0.778,
WGV33D_EDGE_000081,WGV33D_MAIN_F0002_C000056,WGV33D_MAIN_F0004_C000114,2,-0.4959,0.8815,1,1,0.444444,0.150607,weak_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000056;multi_predecessor:WGV33D_MAIN_F0004_C000114,gap=2;dilated_overlap=1,
WGV33D_EDGE_000082,WGV33D_MAIN_F0002_C000056,WGV33D_MAIN_F0004_C000116,2,4.0043,1.9829,0,0.75,0.444444,0.3259,weak_local_continuity,multi_successor:WGV33D_MAIN_F0002_C000056;multi_predecessor:WGV33D_MAIN_F0004_C000116,gap=2;dilated_overlap=0.75,
WGV33D_EDGE_000083,WGV33D_MAIN_F0003_C000067,WGV33D_MAIN_F0004_C000098,1,0.0064,-4.0275,0.166667,1,1,0.703776,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0003_C000067;multi_predecessor:WGV33D_MAIN_F0004_C000098,gap=1;dilated_overlap=1,
WGV33D_EDGE_000084,WGV33D_MAIN_F0003_C000067,WGV33D_MAIN_F0004_C000099,1,3.8079,-24.6354,0,0,0.5,2.713868,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0003_C000067;multi_predecessor:WGV33D_MAIN_F0004_C000099,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
WGV33D_EDGE_000085,WGV33D_MAIN_F0003_C000067,WGV33D_MAIN_F0005_C000134,2,0.3265,-4.6354,0,1,0.666667,0.652507,weak_local_continuity,multi_successor:WGV33D_MAIN_F0003_C000067;multi_predecessor:WGV33D_MAIN_F0005_C000134,gap=2;dilated_overlap=1,
WGV33D_EDGE_000086,WGV33D_MAIN_F0003_C000068,WGV33D_MAIN_F0004_C000099,1,-4.5362,-62.0277,0,0,0.5,0.36849,ambiguous_local_continuity,multi_successor:WGV33D_MAIN_F0003_C000068;multi_predecessor:WGV33D_MAIN_F0004_C000099,gap=1;dilated_overlap=0,low overlap or multiple plausible successors
