experiment_id,experiment_type,method,physical_vehicle_id,source_pair_id,hidden_target_pair_id,sar_frame,frame_offset,hidden_target_coverage,hidden_target_iou,prediction_center_to_visible_response_center,prediction_region_area,first_uncertain_frame,first_irrecoverable_frame_k2,first_irrecoverable_frame_k3,first_irrecoverable_frame_k5,confirmed_assembly_frames,ambiguous_assembly_frames,missing_assembly_frames,ambiguity_recovery_count,association_discontinuity_count,search_ratio,frozen_predictions_sha256_verified,target_box_loaded_phase
ADJ_0209_TO_0210,adjacent_hidden_anchor,C1B,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0209,WGV35A_PAIR_0210,269,31,1,0.004303,541.930623,2401472,243,,,,28,3,0,2,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0210_TO_0211,adjacent_hidden_anchor,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,WGV35A_PAIR_0211,273,4,0.920889,0.846561,8.104961,10334.01699,,,,,0,0,0,0,0,0.003932,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0210_TO_0211,adjacent_hidden_anchor,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,WGV35A_PAIR_0211,273,4,0.920889,0.846561,8.104961,10334.01699,270,270,270,,0,4,0,0,0,0.012829,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0210_TO_0211,adjacent_hidden_anchor,C1A,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,WGV35A_PAIR_0211,273,4,1,0.047785,159.83215,214400,273,,,,3,1,0,0,0,0.125579,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0210_TO_0211,adjacent_hidden_anchor,C1B,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0210,WGV35A_PAIR_0211,273,4,1,0.047785,159.83215,214400,273,,,,3,1,0,0,0,0.125579,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0211_TO_0212,adjacent_hidden_anchor,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211,WGV35A_PAIR_0212,288,15,0.764685,0.637165,30.586588,10245.0036,,,,,0,0,0,0,0,0.003898,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0211_TO_0212,adjacent_hidden_anchor,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211,WGV35A_PAIR_0212,288,15,0.764685,0.637165,30.586588,10245.0036,274,274,274,274,0,15,0,0,0,0.01277,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0211_TO_0212,adjacent_hidden_anchor,C1A,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211,WGV35A_PAIR_0212,288,15,1,0.003924,576.344788,2706048,276,,,,14,1,0,0,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0211_TO_0212,adjacent_hidden_anchor,C1B,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0211,WGV35A_PAIR_0212,288,15,1,0.003924,576.344788,2706048,276,,,,14,1,0,1,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0212_TO_0213,adjacent_hidden_anchor,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212,WGV35A_PAIR_0213,290,2,0.872259,0.808022,10.415418,10618.56,,,,,0,0,0,0,0,0.00404,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0212_TO_0213,adjacent_hidden_anchor,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212,WGV35A_PAIR_0213,290,2,0.872259,0.808022,10.415418,10618.56,289,289,,,0,2,0,0,0,0.013012,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0212_TO_0213,adjacent_hidden_anchor,C1A,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212,WGV35A_PAIR_0213,290,2,0.786596,0.152664,95.940929,55104,,,,,2,0,0,0,0,0.024171,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
ADJ_0212_TO_0213,adjacent_hidden_anchor,C1B,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0212,WGV35A_PAIR_0213,290,2,0.786596,0.152664,95.940929,55104,,,,,2,0,0,0,0,0.024171,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,4,1,0.8563,8.499648,13142.1717,,,,,0,0,0,0,0,0.005,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,4,1,0.8563,8.499648,13142.1717,28,28,28,,0,4,0,0,0,0.014824,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,4,1,0.097688,83.691418,115200,30,,,,2,2,0,0,0,0.056616,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0205,31,4,1,0.097688,83.691418,115200,30,,,,2,2,0,0,0,0.056616,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0206,77,50,0,0,205.47647,13142.1717,,,,,0,0,0,0,0,0.005,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0206,77,50,0.0046,0.002252,91.740749,13142.1717,28,46,46,46,1,49,0,0,0,0.014824,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0206,77,50,1,0.005021,583.635628,2498688,30,,,,47,3,0,0,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0206,77,50,1,0.005021,583.635628,2498688,30,,,,47,3,0,2,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C0,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0207,81,54,0,0,215.343475,13142.1717,,,,,0,0,0,0,0,0.005,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C1,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0207,81,54,0,0,100.928516,13142.1717,28,46,46,46,1,53,0,0,0,0.014824,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C1A,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0207,81,54,1,0.004394,585.549552,2550528,30,,,,51,3,0,0,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_WHITE_0204_TO_0207,open_loop,C1B,PV_GM19_WHITE_SUV_NEAR_FIELD,WGV35A_PAIR_0204,WGV35A_PAIR_0207,81,54,1,0.004394,585.549552,2550528,30,,,,51,3,0,2,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,26,0.373204,0.192907,96.663416,13003.845572,,,,,0,0,0,0,0,0.004947,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,26,0.494538,0.272728,54.357845,13003.845572,213,,,,2,24,0,0,0,0.014584,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1A,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,26,1,0.0433,167.219731,229632,227,,,,21,5,0,0,0,0.119632,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1B,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0209,238,26,1,0.118414,61.592196,83968,227,,,,23,3,0,2,0,0.063231,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0210,269,57,0,0,205.468723,13003.845572,,,,,0,0,0,0,0,0.004947,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0210,269,57,0,0,279.647929,13003.845572,213,,,,10,47,0,0,0,0.014584,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1A,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0210,269,57,1,0.004303,541.930623,2401472,227,,,,52,5,0,0,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1B,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0210,269,57,1,0.004303,541.930623,2401472,227,,,,51,6,0,3,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0211,273,61,0,0,213.332439,13003.845572,,,,,0,0,0,0,0,0.004947,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0211,273,61,0,0,331.910669,13003.845572,213,269,269,269,10,51,0,0,0,0.014584,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1A,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0211,273,61,1,0.00434,551.95311,2360832,227,,,,56,5,0,0,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1B,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0211,273,61,1,0.00434,551.95311,2360832,227,,,,55,6,0,3,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0212,288,76,0,0,243.837424,13003.845572,,,,,0,0,0,0,0,0.004947,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0212,288,76,0,0,590.424162,13003.845572,213,287,,,14,61,1,0,0,0.014584,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1A,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0212,288,76,1,0.003924,576.344788,2706048,227,,,,71,5,0,0,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1B,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0212,288,76,1,0.003924,576.344788,2706048,227,,,,70,6,0,3,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C0,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0213,290,78,0,0,253.721373,13003.845572,,,,,0,0,0,0,0,0.004947,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0213,290,78,0,0,640.645778,13003.845572,213,287,287,,14,63,1,0,0,0.014584,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1A,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0213,290,78,1,0.003971,566.216099,2809728,227,,,,73,5,0,0,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
OPEN_SILVER_0208_TO_0213,open_loop,C1B,PV_GM19_SILVER_MPV_NEAR_FIELD,WGV35A_PAIR_0208,WGV35A_PAIR_0213,290,78,1,0.003971,566.216099,2809728,227,,,,72,6,0,3,0,1.17138,96cf4920e47b0a0d8b6e9e6776ea179a71b1b2b5d6827e79d60703b2d83965bb,evaluate_only
