contrast_id,accepted_object_id,alternative_object_id,same_frame_or_cross_frame,accepted_runtime_class,alternative_runtime_class,accepted_blind_judgement,alternative_blind_judgement,accepted_scale_fields,alternative_scale_fields,accepted_part_relations,alternative_part_relations,accepted_lineage,alternative_lineage,accepted_arc_conflict,alternative_arc_conflict,accepted_gt_relation_eval_only,alternative_gt_relation_eval_only,decisive_difference_cn,non_decisive_support_cn,unresolved_difference_cn
R1C0014,BLIND_OBJECT_022,BLIND_OBJECT_023,same_frame,unresolved_runtime,background_like_runtime,vehicle_structure,background,L=158.180856;W=122.566815;centroidL=127.472773;centroidW=83.657097;deg_fixed=false,L=15.543756;W=5.137642;centroidL=0;centroidW=0;deg_fixed=true,core_to_side_candidate,background_arc_conflict,R1PT011,,false,true,no_exact_gt_for_frame,no_exact_gt_for_frame,接受对象具有 body_core_candidate;side_ridge_candidate;unresolved_atom 和谱系 R1PT011；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0015,BLIND_OBJECT_024,BLIND_OBJECT_025,same_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=150.921522;W=64.504236;centroidL=169.387126;centroidW=7.431788;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,R1PT010;R1PT011,,false,true,overlaps_gt_eval_only,near_gt_eval_only,接受对象具有 body_core_candidate;isolated_small_atom;unresolved_atom 和谱系 R1PT010;R1PT011；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0016,BLIND_OBJECT_026,BLIND_OBJECT_025,cross_frame,vehicle_supported_runtime,background_like_runtime,vehicle_part,background,L=136.233264;W=119.142537;centroidL=59.365492;centroidW=59.699514;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,R1PT012,,false,true,overlaps_gt_eval_only,near_gt_eval_only,接受对象具有 endpoint_hotspot_candidate;unresolved_atom 和谱系 R1PT012；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0017,BLIND_OBJECT_028,BLIND_OBJECT_025,cross_frame,vehicle_possible_runtime,background_like_runtime,vehicle_part,background,L=132.906887;W=118.352774;centroidL=62.460795;centroidW=0;deg_fixed=true,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 endpoint_hotspot_candidate;unresolved_atom 和谱系 ；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0018,BLIND_OBJECT_030,BLIND_OBJECT_025,cross_frame,vehicle_possible_runtime,background_like_runtime,vehicle_part,background,L=138.289437;W=115.7511;centroidL=85.053396;centroidW=16.853617;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 endpoint_hotspot_candidate;unresolved_atom 和谱系 ；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0019,BLIND_OBJECT_034,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=136.008017;W=96.447518;centroidL=68.527458;centroidW=9.728382;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,R1PT016;R1PT017,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 和谱系 R1PT016;R1PT017；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0020,BLIND_OBJECT_037,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=140.195184;W=110.03303;centroidL=93.209275;centroidW=50.964986;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,R1PT018;R1PT019;R1PT020,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;isolated_small_atom;unresolved_atom 和谱系 R1PT018;R1PT019;R1PT020；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0021,BLIND_OBJECT_038,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=140.803815;W=122.245158;centroidL=91.363839;centroidW=50.909523;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,R1PT018;R1PT019;R1PT020,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 和谱系 R1PT018;R1PT019;R1PT020；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0022,BLIND_OBJECT_040,BLIND_OBJECT_025,cross_frame,vehicle_supported_runtime,background_like_runtime,unresolved,background,L=133.836673;W=122.1179;centroidL=49.653845;centroidW=0;deg_fixed=true,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,R1PT021;R1PT022,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 endpoint_hotspot_candidate;unresolved_atom 和谱系 R1PT021;R1PT022；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,至少一侧盲审仍为 unresolved，差异不能作为稳定全局机制。
R1C0023,BLIND_OBJECT_041,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=133.965154;W=125.813845;centroidL=108.975886;centroidW=46.78095;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,core_to_endpoint_candidate,background_arc_conflict,R1PT023,,false,true,overlaps_gt_eval_only,near_gt_eval_only,接受对象具有 body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 和谱系 R1PT023；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0024,BLIND_OBJECT_042,BLIND_OBJECT_025,cross_frame,vehicle_supported_runtime,background_like_runtime,vehicle_part,background,L=139.895797;W=129.828514;centroidL=110.022025;centroidW=48.122014;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,core_to_endpoint_candidate,background_arc_conflict,R1PT023,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;endpoint_hotspot_candidate;unresolved_atom 和谱系 R1PT023；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0025,BLIND_OBJECT_043,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=145.48492;W=130.251883;centroidL=111.105029;centroidW=45.200741;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,core_to_endpoint_candidate,background_arc_conflict,R1PT023,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 和谱系 R1PT023；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0026,BLIND_OBJECT_044,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=136.222541;W=126.879485;centroidL=113.655404;centroidW=44.960388;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,core_to_endpoint_candidate,background_arc_conflict,R1PT023,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 和谱系 R1PT023；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0027,BLIND_OBJECT_046,BLIND_OBJECT_025,cross_frame,vehicle_possible_runtime,background_like_runtime,vehicle_part,background,L=143.471366;W=117.057337;centroidL=80.383998;centroidW=40.612097;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,core_to_endpoint_candidate,background_arc_conflict,,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;endpoint_hotspot_candidate;unresolved_atom 和谱系 ；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0028,BLIND_OBJECT_047,BLIND_OBJECT_025,cross_frame,vehicle_possible_runtime,background_like_runtime,vehicle_part,background,L=143.469898;W=120.053564;centroidL=57.519639;centroidW=0;deg_fixed=true,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;unresolved_atom 和谱系 ；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0029,BLIND_OBJECT_048,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=149.412433;W=124.595938;centroidL=121.922963;centroidW=64.302502;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,core_to_endpoint_candidate,background_arc_conflict,,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom 和谱系 ；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0030,BLIND_OBJECT_049,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=148.210875;W=123.15206;centroidL=116.763204;centroidW=21.097137;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;isolated_small_atom;unresolved_atom 和谱系 ；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0031,BLIND_OBJECT_050,BLIND_OBJECT_025,cross_frame,vehicle_possible_runtime,background_like_runtime,vehicle_part,background,L=138.740474;W=117.328258;centroidL=56.424949;centroidW=28.295209;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,core_to_endpoint_candidate,background_arc_conflict,,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;endpoint_hotspot_candidate;unresolved_atom 和谱系 ；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0032,BLIND_OBJECT_051,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=137.437853;W=119.005086;centroidL=87.093175;centroidW=49.329845;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;isolated_small_atom;unresolved_atom 和谱系 ；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0033,BLIND_OBJECT_052,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=146.460652;W=115.982318;centroidL=99.425679;centroidW=33.066226;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,R1PT024;R1PT025;R1PT026,,false,true,overlaps_gt_eval_only,near_gt_eval_only,接受对象具有 body_core_candidate;isolated_small_atom;unresolved_atom 和谱系 R1PT024;R1PT025;R1PT026；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0034,BLIND_OBJECT_053,BLIND_OBJECT_025,cross_frame,unresolved_runtime,background_like_runtime,vehicle_part,background,L=151.793563;W=121.230762;centroidL=103.075441;centroidW=38.138941;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,core_to_side_candidate,background_arc_conflict,R1PT024;R1PT025;R1PT026;R1PT027,,false,true,no_exact_gt_for_frame,near_gt_eval_only,接受对象具有 body_core_candidate;isolated_small_atom;side_ridge_candidate;unresolved_atom 和谱系 R1PT024;R1PT025;R1PT026;R1PT027；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,当前对比没有完全无法区分的反例，但仍只覆盖局部窗口。
R1C0035,BLIND_OBJECT_054,BLIND_OBJECT_025,cross_frame,vehicle_supported_runtime,background_like_runtime,unresolved,background,L=162.752771;W=119.520399;centroidL=108.345268;centroidW=13.519389;deg_fixed=false,L=151.195885;W=35.698671;centroidL=0;centroidW=0;deg_fixed=true,single_or_unresolved_relation,background_arc_conflict,R1PT024;R1PT025;R1PT027,,false,true,overlaps_gt_eval_only,near_gt_eval_only,接受对象具有 side_ridge_candidate;unresolved_atom 和谱系 R1PT024;R1PT025;R1PT027；替代对象虽可能更长或更亮，但角色为 background_arc_candidate 并触发弧线冲突。,亮度、接近搜索壳或单个候选角色都不是决定性证据；决定性证据来自支持像素尺度、部件关系、弧线冲突和谱系。,至少一侧盲审仍为 unresolved，差异不能作为稳定全局机制。
