wgv1_3_thread_id,scene_id,thread_status,folder_path,target_family_ids,frame_start,frame_end,target_family_count,fragment_frame_count,baseline_frame_count,edge_frame_count,missing_fragment_frame_count,missing_edge_frame_count,included_same_vehicle_edge_ids,primary_box_selection_issue_edge_ids,adjacent_split_boundary_edge_ids,review_required,human_review_priority,review_question,auto_merge_allowed,sar_ready,not_final_box_flag,not_revised_annotation_flag,note
GM_RM011_WGV13T011,GM_RM011,standalone_target_family_after_identity_safe_split,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/11_GM_RM011_GM_RM011_WGV13T011_standalone_split,GM_RM011_WGV12TF016,260,264,1,5,5,0,0,2,,,GM_RM011_WGV12M012;GM_RM011_WGV12M013,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM011_WGV13T012,GM_RM011,same_vehicle_thread_candidate_supported_by_tracking_association,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate,GM_RM011_WGV12TF017;GM_RM011_WGV12TF018;GM_RM011_WGV12TF019,265,288,3,14,13,26,0,2,GM_RM011_WGV12M014;GM_RM011_WGV12M015,,GM_RM011_WGV12M013;GM_RM011_WGV12M016,yes,high,Do all target families in this thread preserve one real-vehicle referent after duplicate-box and competitor checks?,no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM011_WGV13T013,GM_RM011,standalone_target_family_after_identity_safe_split,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/13_GM_RM011_GM_RM011_WGV13T013_standalone_split,GM_RM011_WGV12TF020,289,292,1,4,4,0,0,1,,,GM_RM011_WGV12M016,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM017_WGV13T001,GM_RM017,same_vehicle_thread_candidate_supported_by_tracking_association,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate,GM_RM017_WGV12TF001;GM_RM017_WGV12TF002,118,148,2,31,31,31,0,1,GM_RM017_WGV12M001,,GM_RM017_WGV12M002,yes,high,Do all target families in this thread preserve one real-vehicle referent after duplicate-box and competitor checks?,no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM017_WGV13T002,GM_RM017,standalone_target_family_after_identity_safe_split,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/15_GM_RM017_GM_RM017_WGV13T002_standalone_split,GM_RM017_WGV12TF003,149,155,1,7,7,0,0,2,,,GM_RM017_WGV12M002;GM_RM017_WGV12M003,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM017_WGV13T003,GM_RM017,standalone_target_family_after_identity_safe_split,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/16_GM_RM017_GM_RM017_WGV13T003_standalone_split,GM_RM017_WGV12TF004,156,157,1,2,2,0,0,2,,,GM_RM017_WGV12M003;GM_RM017_WGV12M004,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM017_WGV13T004,GM_RM017,same_vehicle_thread_candidate_with_primary_box_selection_issue,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review,GM_RM017_WGV12TF005;GM_RM017_WGV12TF006,158,168,2,6,6,11,0,2,GM_RM017_WGV12M005,GM_RM017_WGV12M005,GM_RM017_WGV12M004;GM_RM017_WGV12M006,yes,high,Do all target families in this thread preserve one real-vehicle referent after duplicate-box and competitor checks?,no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM017_WGV13T005,GM_RM017,standalone_target_family_after_identity_safe_split,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/18_GM_RM017_GM_RM017_WGV13T005_standalone_split,GM_RM017_WGV12TF007,169,173,1,5,5,0,0,2,,,GM_RM017_WGV12M006;GM_RM017_WGV12M007,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM017_WGV13T006,GM_RM017,standalone_target_family_after_identity_safe_split,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/19_GM_RM017_GM_RM017_WGV13T006_standalone_split,GM_RM017_WGV12TF008,174,175,1,2,2,0,0,2,,,GM_RM017_WGV12M007;GM_RM017_WGV12M008,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM017_WGV13T007,GM_RM017,standalone_target_family_after_identity_safe_split,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/20_GM_RM017_GM_RM017_WGV13T007_standalone_split,GM_RM017_WGV12TF009,176,181,1,6,6,0,0,2,,,GM_RM017_WGV12M008;GM_RM017_WGV12M009,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM017_WGV13T008,GM_RM017,standalone_target_family_after_identity_safe_split,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/21_GM_RM017_GM_RM017_WGV13T008_standalone_split,GM_RM017_WGV12TF010,182,185,1,4,4,0,0,1,,,GM_RM017_WGV12M009,yes,high,"Is this standalone target family a complete vehicle observation fragment, or should it remain separated?",no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
GM_RM017_WGV13T009,GM_RM017,same_vehicle_thread_candidate_supported_by_tracking_association,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/22_GM_RM017_GM_RM017_WGV13T009_same_vehicle_candidate,GM_RM017_WGV12TF011;GM_RM017_WGV12TF012,200,214,2,15,15,15,0,0,GM_RM017_WGV12M010,,,yes,medium,Do all target families in this thread preserve one real-vehicle referent after duplicate-box and competitor checks?,no,no / blocked,yes,yes,WGV1.3 vehicle-thread review folder;diagnostic only;images ignored
