sar_frame,offset_axis,best_offset_m,best_offset_direction,best_value_local_bg_norm,gt_center_value_local_bg_norm,gt_center_local_rank,near_gt_peak_or_plateau,translation_decay_center_minus_far_median,offset_magnitude_m,interpretation
315,body_long,0.45,positive,0.97332,0.971196,3,true,0.007896,0.45,controlled metric translation surface; not a selector
332,body_long,0.9,positive,1.012779,1.005163,3,true,-0.001367,0.9,controlled metric translation surface; not a selector
332,body_short,0.45,positive,1.020887,1.005163,3,true,0.003055,0.45,controlled metric translation surface; not a selector
332,local_azimuth,0.45,positive,1.020887,1.005163,3,true,0.003055,0.45,controlled metric translation surface; not a selector
332,local_range,0.9,positive,1.012779,1.005163,3,true,-0.001367,0.9,controlled metric translation surface; not a selector
333,body_long,0.45,positive,1.022227,1.017857,2,true,0.002326,0.45,controlled metric translation surface; not a selector
333,body_short,0.45,positive,1.033363,1.017857,3,true,0.00151,0.45,controlled metric translation surface; not a selector
333,local_azimuth,0.45,positive,1.033363,1.017857,3,true,0.00151,0.45,controlled metric translation surface; not a selector
333,local_range,0.45,positive,1.022227,1.017857,2,true,0.002326,0.45,controlled metric translation surface; not a selector
334,body_long,0.45,positive,0.992963,0.990105,3,true,-0.000347,0.45,controlled metric translation surface; not a selector
334,body_short,0.9,positive,1.006486,0.990105,3,true,-0.002115,0.9,controlled metric translation surface; not a selector
334,local_azimuth,0.9,positive,1.006486,0.990105,3,true,-0.002115,0.9,controlled metric translation surface; not a selector
334,local_range,0.45,positive,0.992963,0.990105,3,true,-0.000347,0.45,controlled metric translation surface; not a selector
335,body_long,0.45,positive,1.030301,1.02592,3,true,0.001251,0.45,controlled metric translation surface; not a selector
335,body_short,0.45,positive,1.037429,1.02592,3,true,0.006335,0.45,controlled metric translation surface; not a selector
335,local_azimuth,0.45,positive,1.037429,1.02592,3,true,0.006335,0.45,controlled metric translation surface; not a selector
335,local_range,0.45,positive,1.030301,1.02592,3,true,0.001251,0.45,controlled metric translation surface; not a selector
336,body_long,0.45,positive,1.0253,1.022396,3,true,0.019124,0.45,controlled metric translation surface; not a selector
336,body_short,0.9,positive,1.048861,1.022396,3,true,0.030008,0.9,controlled metric translation surface; not a selector
336,local_azimuth,0.9,positive,1.048861,1.022396,3,true,0.030008,0.9,controlled metric translation surface; not a selector
336,local_range,0.45,positive,1.0253,1.022396,3,true,0.019124,0.45,controlled metric translation surface; not a selector
337,body_long,0.45,positive,1.083861,1.081235,2,true,0.023637,0.45,controlled metric translation surface; not a selector
337,body_short,0.45,positive,1.090511,1.081235,3,true,0.051573,0.45,controlled metric translation surface; not a selector
337,local_azimuth,0,centered,1.081235,1.081235,1,true,0.051971,0,controlled metric translation surface; not a selector
337,local_range,-0.45,negative,1.093457,1.081235,3,true,0.048852,0.45,controlled metric translation surface; not a selector
338,body_long,0,centered,1.063673,1.063673,1,true,0.02196,0,controlled metric translation surface; not a selector
338,body_short,0.45,positive,1.072226,1.063673,3,true,0.049777,0.45,controlled metric translation surface; not a selector
338,local_azimuth,0,centered,1.063673,1.063673,1,true,0.050021,0,controlled metric translation surface; not a selector
338,local_range,-0.45,negative,1.071897,1.063673,3,true,0.049142,0.45,controlled metric translation surface; not a selector
339,body_long,0.45,positive,1.069186,1.066208,2,true,0.023795,0.45,controlled metric translation surface; not a selector
339,body_short,0.45,positive,1.067706,1.066208,2,true,0.054776,0.45,controlled metric translation surface; not a selector
339,local_azimuth,0,centered,1.066208,1.066208,1,true,0.050666,0,controlled metric translation surface; not a selector
339,local_range,-0.45,negative,1.070308,1.066208,2,true,0.054432,0.45,controlled metric translation surface; not a selector
340,body_long,0.9,positive,1.004702,0.994692,4,true,-0.004651,0.9,controlled metric translation surface; not a selector
340,body_short,0.9,positive,1.015598,0.994692,3,true,-0.002548,0.9,controlled metric translation surface; not a selector
340,local_azimuth,0.9,positive,1.015598,0.994692,3,true,-0.002548,0.9,controlled metric translation surface; not a selector
340,local_range,0.9,positive,1.004702,0.994692,4,true,-0.004651,0.9,controlled metric translation surface; not a selector
341,body_long,0.9,positive,1.025928,1.015466,4,true,-0.004827,0.9,controlled metric translation surface; not a selector
341,body_short,0.9,positive,1.041983,1.015466,3,true,-0.006063,0.9,controlled metric translation surface; not a selector
341,local_azimuth,0.9,positive,1.041983,1.015466,3,true,-0.006063,0.9,controlled metric translation surface; not a selector
341,local_range,0.9,positive,1.025928,1.015466,4,true,-0.004827,0.9,controlled metric translation surface; not a selector
342,body_long,0.45,positive,1.09249,1.09107,2,true,0.027088,0.45,controlled metric translation surface; not a selector
342,body_short,0.45,positive,1.102286,1.09107,3,true,0.053964,0.45,controlled metric translation surface; not a selector
342,local_azimuth,0,centered,1.09107,1.09107,1,true,0.049585,0,controlled metric translation surface; not a selector
342,local_range,-0.45,negative,1.10413,1.09107,3,true,0.052221,0.45,controlled metric translation surface; not a selector
343,body_long,0.45,positive,1.091751,1.089096,2,true,0.025253,0.45,controlled metric translation surface; not a selector
343,body_short,0.45,positive,1.102173,1.089096,3,true,0.050335,0.45,controlled metric translation surface; not a selector
343,local_azimuth,0,centered,1.089096,1.089096,1,true,0.04667,0,controlled metric translation surface; not a selector
343,local_range,-0.45,negative,1.104322,1.089096,3,true,0.049215,0.45,controlled metric translation surface; not a selector
344,body_long,0.45,positive,1.113687,1.110001,3,true,0.02879,0.45,controlled metric translation surface; not a selector
344,body_short,0.45,positive,1.124098,1.110001,3,true,0.053961,0.45,controlled metric translation surface; not a selector
344,local_azimuth,0,centered,1.110001,1.110001,1,true,0.049419,0,controlled metric translation surface; not a selector
344,local_range,-0.45,negative,1.127288,1.110001,3,true,0.052865,0.45,controlled metric translation surface; not a selector
345,body_long,0.45,positive,1.119495,1.114589,3,true,0.029761,0.45,controlled metric translation surface; not a selector
345,body_short,0.45,positive,1.129143,1.114589,3,true,0.05798,0.45,controlled metric translation surface; not a selector
345,local_azimuth,0,centered,1.114589,1.114589,1,true,0.059116,0,controlled metric translation surface; not a selector
345,local_range,-0.45,negative,1.131984,1.114589,3,true,0.056098,0.45,controlled metric translation surface; not a selector
346,body_long,0.45,positive,1.116724,1.115941,2,true,0.032861,0.45,controlled metric translation surface; not a selector
346,body_short,0.45,positive,1.131697,1.115941,3,true,0.057562,0.45,controlled metric translation surface; not a selector
346,local_azimuth,0,centered,1.115941,1.115941,1,true,0.05737,0,controlled metric translation surface; not a selector
346,local_range,-0.45,negative,1.133327,1.115941,3,true,0.057119,0.45,controlled metric translation surface; not a selector
347,body_long,0.45,positive,1.119748,1.11865,2,true,0.031587,0.45,controlled metric translation surface; not a selector
347,body_short,0.45,positive,1.130941,1.11865,3,true,0.063158,0.45,controlled metric translation surface; not a selector
347,local_azimuth,0,centered,1.11865,1.11865,1,true,0.058883,0,controlled metric translation surface; not a selector
347,local_range,-0.45,negative,1.133754,1.11865,3,true,0.063474,0.45,controlled metric translation surface; not a selector
348,body_long,0.45,positive,1.129271,1.127281,2,true,0.033883,0.45,controlled metric translation surface; not a selector
348,body_short,0.45,positive,1.131002,1.127281,2,true,0.069412,0.45,controlled metric translation surface; not a selector
348,local_azimuth,0,centered,1.127281,1.127281,1,true,0.057462,0,controlled metric translation surface; not a selector
348,local_range,-0.45,negative,1.13398,1.127281,3,true,0.069351,0.45,controlled metric translation surface; not a selector
349,body_long,0.45,positive,1.130889,1.128586,2,true,0.034885,0.45,controlled metric translation surface; not a selector
349,body_short,0,centered,1.128586,1.128586,1,true,0.073104,0,controlled metric translation surface; not a selector
349,local_azimuth,0,centered,1.128586,1.128586,1,true,0.057672,0,controlled metric translation surface; not a selector
349,local_range,-0.45,negative,1.131464,1.128586,2,true,0.073705,0.45,controlled metric translation surface; not a selector
350,body_long,0.9,positive,1.040625,1.029642,4,true,-0.005028,0.9,controlled metric translation surface; not a selector
350,body_short,0.9,positive,1.077744,1.029642,3,true,-0.013186,0.9,controlled metric translation surface; not a selector
350,local_azimuth,0.9,positive,1.077744,1.029642,3,true,-0.013186,0.9,controlled metric translation surface; not a selector
350,local_range,0.9,positive,1.040625,1.029642,4,true,-0.005028,0.9,controlled metric translation surface; not a selector
351,body_long,0.9,positive,1.044475,1.032107,3,true,-0.005173,0.9,controlled metric translation surface; not a selector
351,body_short,0.9,positive,1.075752,1.032107,3,true,-0.013734,0.9,controlled metric translation surface; not a selector
351,local_azimuth,0.9,positive,1.075752,1.032107,3,true,-0.013734,0.9,controlled metric translation surface; not a selector
351,local_range,0.9,positive,1.044475,1.032107,3,true,-0.005173,0.9,controlled metric translation surface; not a selector
352,body_long,0.9,positive,1.042563,1.031385,3,true,-0.003845,0.9,controlled metric translation surface; not a selector
352,body_short,0.9,positive,1.082636,1.031385,3,true,-0.017627,0.9,controlled metric translation surface; not a selector
352,local_azimuth,0.9,positive,1.082636,1.031385,3,true,-0.017627,0.9,controlled metric translation surface; not a selector
352,local_range,0.9,positive,1.042563,1.031385,3,true,-0.003845,0.9,controlled metric translation surface; not a selector
353,body_long,0.45,positive,1.144675,1.139899,2,true,0.037257,0.45,controlled metric translation surface; not a selector
353,body_short,0.45,positive,1.141013,1.139899,2,true,0.075389,0.45,controlled metric translation surface; not a selector
353,local_azimuth,0,centered,1.139899,1.139899,1,true,0.054243,0,controlled metric translation surface; not a selector
353,local_range,-0.45,negative,1.144712,1.139899,3,true,0.074157,0.45,controlled metric translation surface; not a selector
354,body_long,0.45,positive,1.131468,1.129696,2,true,0.035702,0.45,controlled metric translation surface; not a selector
354,body_short,0.45,positive,1.129752,1.129696,2,true,0.07411,0.45,controlled metric translation surface; not a selector
354,local_azimuth,0,centered,1.129696,1.129696,1,true,0.046437,0,controlled metric translation surface; not a selector
354,local_range,-0.45,negative,1.132232,1.129696,2,true,0.072236,0.45,controlled metric translation surface; not a selector
355,body_long,0.45,positive,1.124697,1.121186,2,true,0.031409,0.45,controlled metric translation surface; not a selector
355,body_short,0.45,positive,1.126906,1.121186,2,true,0.072658,0.45,controlled metric translation surface; not a selector
355,local_azimuth,0,centered,1.121186,1.121186,1,true,0.05461,0,controlled metric translation surface; not a selector
355,local_range,-0.45,negative,1.127597,1.121186,3,true,0.071708,0.45,controlled metric translation surface; not a selector
356,body_long,0.45,positive,1.120775,1.118813,2,true,0.030855,0.45,controlled metric translation surface; not a selector
356,body_short,0.45,positive,1.120721,1.118813,2,true,0.076758,0.45,controlled metric translation surface; not a selector
356,local_azimuth,0,centered,1.118813,1.118813,1,true,0.047688,0,controlled metric translation surface; not a selector
356,local_range,-0.45,negative,1.122873,1.118813,2,true,0.075882,0.45,controlled metric translation surface; not a selector
357,body_long,0,centered,1.119061,1.119061,1,true,0.029703,0,controlled metric translation surface; not a selector
357,body_short,0.45,positive,1.127165,1.119061,2,true,0.07556,0.45,controlled metric translation surface; not a selector
357,local_azimuth,0,centered,1.119061,1.119061,1,true,0.047734,0,controlled metric translation surface; not a selector
357,local_range,-0.45,negative,1.12884,1.119061,3,true,0.075114,0.45,controlled metric translation surface; not a selector
358,body_long,0,centered,1.127605,1.127605,1,true,0.027899,0,controlled metric translation surface; not a selector
358,body_short,0,centered,1.127605,1.127605,1,true,0.08211,0,controlled metric translation surface; not a selector
358,local_azimuth,0,centered,1.127605,1.127605,1,true,0.034964,0,controlled metric translation surface; not a selector
358,local_range,-0.45,negative,1.129832,1.127605,2,true,0.08181,0.45,controlled metric translation surface; not a selector
359,body_long,0.45,positive,1.134811,1.132183,2,true,0.027283,0.45,controlled metric translation surface; not a selector
359,body_short,0.45,positive,1.138885,1.132183,2,true,0.08582,0.45,controlled metric translation surface; not a selector
359,local_azimuth,0,centered,1.132183,1.132183,1,true,0.035885,0,controlled metric translation surface; not a selector
359,local_range,-0.45,negative,1.140263,1.132183,2,true,0.085872,0.45,controlled metric translation surface; not a selector
360,body_long,0,centered,1.144715,1.144715,1,true,0.028092,0,controlled metric translation surface; not a selector
360,body_short,0.45,positive,1.157729,1.144715,3,true,0.083665,0.45,controlled metric translation surface; not a selector
360,local_azimuth,0,centered,1.144715,1.144715,1,true,0.037614,0,controlled metric translation surface; not a selector
360,local_range,-0.45,negative,1.159264,1.144715,3,true,0.085584,0.45,controlled metric translation surface; not a selector
361,body_long,0,centered,1.14352,1.14352,1,true,0.023979,0,controlled metric translation surface; not a selector
361,body_short,0.45,positive,1.15561,1.14352,2,true,0.085733,0.45,controlled metric translation surface; not a selector
361,local_azimuth,0,centered,1.14352,1.14352,1,true,0.031521,0,controlled metric translation surface; not a selector
361,local_range,-0.45,negative,1.155065,1.14352,2,true,0.08619,0.45,controlled metric translation surface; not a selector
362,body_long,0.45,positive,1.198254,1.196315,2,true,0.022305,0.45,controlled metric translation surface; not a selector
362,body_short,0.45,positive,1.209304,1.196315,2,true,0.094388,0.45,controlled metric translation surface; not a selector
362,local_azimuth,0,centered,1.196315,1.196315,1,true,0.029133,0,controlled metric translation surface; not a selector
362,local_range,-0.45,negative,1.210714,1.196315,3,true,0.093885,0.45,controlled metric translation surface; not a selector
363,body_long,0,centered,1.213851,1.213851,1,true,0.022632,0,controlled metric translation surface; not a selector
363,body_short,0.45,positive,1.249082,1.213851,3,true,0.086161,0.45,controlled metric translation surface; not a selector
363,local_azimuth,-0.45,negative,1.217971,1.213851,2,true,0.031808,0.45,controlled metric translation surface; not a selector
363,local_range,-0.45,negative,1.248486,1.213851,3,true,0.08631,0.45,controlled metric translation surface; not a selector
364,body_long,0,centered,1.225553,1.225553,1,true,0.023248,0,controlled metric translation surface; not a selector
364,body_short,0.45,positive,1.254017,1.225553,3,true,0.102924,0.45,controlled metric translation surface; not a selector
364,local_azimuth,0,centered,1.225553,1.225553,1,true,0.030773,0,controlled metric translation surface; not a selector
364,local_range,-0.45,negative,1.254099,1.225553,3,true,0.105089,0.45,controlled metric translation surface; not a selector
365,body_long,0.45,positive,1.274538,1.267933,2,true,0.016884,0.45,controlled metric translation surface; not a selector
365,body_short,0.45,positive,1.297194,1.267933,3,true,0.107687,0.45,controlled metric translation surface; not a selector
365,local_azimuth,0,centered,1.267933,1.267933,1,true,0.026406,0,controlled metric translation surface; not a selector
365,local_range,-0.45,negative,1.298963,1.267933,3,true,0.106844,0.45,controlled metric translation surface; not a selector
366,body_long,0,centered,1.273048,1.273048,1,true,0.019651,0,controlled metric translation surface; not a selector
366,body_short,0.45,positive,1.300465,1.273048,3,true,0.109682,0.45,controlled metric translation surface; not a selector
366,local_azimuth,0,centered,1.273048,1.273048,1,true,0.022467,0,controlled metric translation surface; not a selector
366,local_range,-0.45,negative,1.300244,1.273048,3,true,0.110655,0.45,controlled metric translation surface; not a selector
367,body_long,0.45,positive,1.2815,1.279474,2,true,0.020153,0.45,controlled metric translation surface; not a selector
367,body_short,0.45,positive,1.292922,1.279474,3,true,0.117001,0.45,controlled metric translation surface; not a selector
367,local_azimuth,0,centered,1.279474,1.279474,1,true,0.024563,0,controlled metric translation surface; not a selector
367,local_range,-0.45,negative,1.293724,1.279474,3,true,0.116167,0.45,controlled metric translation surface; not a selector
368,body_long,0.45,positive,1.178562,1.175398,5,true,-0.00053,0.45,controlled metric translation surface; not a selector
368,body_short,0.45,positive,1.183493,1.175398,2,true,0.027605,0.45,controlled metric translation surface; not a selector
368,local_azimuth,0.45,positive,1.183493,1.175398,2,true,0.027605,0.45,controlled metric translation surface; not a selector
368,local_range,0.45,positive,1.178562,1.175398,5,true,-0.00053,0.45,controlled metric translation surface; not a selector
369,body_long,0.45,positive,1.1681,1.16507,3,true,-0.000086,0.45,controlled metric translation surface; not a selector
369,body_short,0.45,positive,1.174915,1.16507,2,true,0.015998,0.45,controlled metric translation surface; not a selector
369,local_azimuth,0.45,positive,1.174915,1.16507,2,true,0.015998,0.45,controlled metric translation surface; not a selector
369,local_range,0.45,positive,1.1681,1.16507,3,true,-0.000086,0.45,controlled metric translation surface; not a selector
370,body_long,0.45,positive,1.242341,1.240554,2,true,0.010196,0.45,controlled metric translation surface; not a selector
370,body_short,0.45,positive,1.248852,1.240554,3,true,0.107505,0.45,controlled metric translation surface; not a selector
370,local_azimuth,0,centered,1.240554,1.240554,1,true,0.013354,0,controlled metric translation surface; not a selector
370,local_range,-0.45,negative,1.248045,1.240554,3,true,0.107523,0.45,controlled metric translation surface; not a selector
371,body_long,0.45,positive,1.259477,1.25395,2,true,0.006083,0.45,controlled metric translation surface; not a selector
371,body_short,0.45,positive,1.264833,1.25395,3,true,0.101717,0.45,controlled metric translation surface; not a selector
371,local_azimuth,0.45,positive,1.257687,1.25395,3,true,0.009364,0.45,controlled metric translation surface; not a selector
371,local_range,-0.45,negative,1.265383,1.25395,3,true,0.100575,0.45,controlled metric translation surface; not a selector
372,body_long,-0.9,negative,1.242157,1.239426,2,true,0.010088,0.9,controlled metric translation surface; not a selector
372,body_short,0.45,positive,1.272137,1.239426,3,true,0.087722,0.45,controlled metric translation surface; not a selector
372,local_azimuth,0,centered,1.239426,1.239426,1,true,0.012202,0,controlled metric translation surface; not a selector
372,local_range,-0.45,negative,1.272714,1.239426,3,true,0.087998,0.45,controlled metric translation surface; not a selector
373,body_long,0,centered,1.242513,1.242513,1,true,0.017397,0,controlled metric translation surface; not a selector
373,body_short,0.45,positive,1.260923,1.242513,3,true,0.099761,0.45,controlled metric translation surface; not a selector
373,local_azimuth,0,centered,1.242513,1.242513,1,true,0.017092,0,controlled metric translation surface; not a selector
373,local_range,-0.45,negative,1.260528,1.242513,3,true,0.099695,0.45,controlled metric translation surface; not a selector
374,body_long,0,centered,1.24199,1.24199,1,true,0.022136,0,controlled metric translation surface; not a selector
374,body_short,0.45,positive,1.25322,1.24199,3,true,0.100213,0.45,controlled metric translation surface; not a selector
374,local_azimuth,0,centered,1.24199,1.24199,1,true,0.02255,0,controlled metric translation surface; not a selector
374,local_range,-0.45,negative,1.253292,1.24199,3,true,0.100054,0.45,controlled metric translation surface; not a selector
375,body_long,-0.9,negative,1.101551,1.100921,3,true,-0.000575,0.9,controlled metric translation surface; not a selector
375,body_short,-0.9,negative,1.14509,1.100921,3,true,-0.004439,0.9,controlled metric translation surface; not a selector
375,local_azimuth,-0.9,negative,1.14509,1.100921,3,true,-0.004439,0.9,controlled metric translation surface; not a selector
375,local_range,-0.9,negative,1.101551,1.100921,3,true,-0.000575,0.9,controlled metric translation surface; not a selector
376,body_long,0.9,positive,1.099927,1.095526,3,true,-0.001963,0.9,controlled metric translation surface; not a selector
376,body_short,-0.9,negative,1.127201,1.095526,3,true,0.000182,0.9,controlled metric translation surface; not a selector
376,local_azimuth,-0.9,negative,1.127201,1.095526,3,true,0.000182,0.9,controlled metric translation surface; not a selector
376,local_range,0.9,positive,1.099927,1.095526,3,true,-0.001963,0.9,controlled metric translation surface; not a selector
377,body_long,0.9,positive,1.07111,1.062708,3,true,-0.003259,0.9,controlled metric translation surface; not a selector
377,body_short,-0.9,negative,1.092984,1.062708,3,true,-0.015022,0.9,controlled metric translation surface; not a selector
377,local_azimuth,-0.9,negative,1.092984,1.062708,3,true,-0.015022,0.9,controlled metric translation surface; not a selector
377,local_range,0.9,positive,1.07111,1.062708,3,true,-0.003259,0.9,controlled metric translation surface; not a selector
378,body_long,0.9,positive,1.08943,1.07995,3,true,-0.003174,0.9,controlled metric translation surface; not a selector
378,body_short,-0.9,negative,1.128605,1.07995,5,true,-0.025621,0.9,controlled metric translation surface; not a selector
378,local_azimuth,-0.9,negative,1.128605,1.07995,5,true,-0.025621,0.9,controlled metric translation surface; not a selector
378,local_range,0.9,positive,1.08943,1.07995,3,true,-0.003174,0.9,controlled metric translation surface; not a selector
379,body_long,0.9,positive,1.092003,1.084269,4,true,-0.00283,0.9,controlled metric translation surface; not a selector
379,body_short,-0.9,negative,1.116636,1.084269,5,true,-0.018443,0.9,controlled metric translation surface; not a selector
379,local_azimuth,-0.9,negative,1.116636,1.084269,5,true,-0.018443,0.9,controlled metric translation surface; not a selector
379,local_range,0.9,positive,1.092003,1.084269,4,true,-0.00283,0.9,controlled metric translation surface; not a selector
380,body_long,0.9,positive,1.083187,1.076707,3,true,-0.002251,0.9,controlled metric translation surface; not a selector
380,body_short,-0.9,negative,1.121437,1.076707,5,true,-0.025378,0.9,controlled metric translation surface; not a selector
380,local_azimuth,-0.9,negative,1.121437,1.076707,5,true,-0.025378,0.9,controlled metric translation surface; not a selector
380,local_range,0.9,positive,1.083187,1.076707,3,true,-0.002251,0.9,controlled metric translation surface; not a selector
381,body_long,0.9,positive,1.055905,1.051583,3,true,-0.00059,0.9,controlled metric translation surface; not a selector
381,body_short,-0.9,negative,1.090199,1.051583,5,true,-0.023081,0.9,controlled metric translation surface; not a selector
381,local_azimuth,-0.9,negative,1.090199,1.051583,5,true,-0.023081,0.9,controlled metric translation surface; not a selector
381,local_range,0.9,positive,1.055905,1.051583,3,true,-0.00059,0.9,controlled metric translation surface; not a selector
382,body_long,0.9,positive,1.046866,1.042234,3,true,-0.00117,0.9,controlled metric translation surface; not a selector
382,body_short,-0.9,negative,1.084854,1.042234,5,true,-0.026942,0.9,controlled metric translation surface; not a selector
382,local_azimuth,-0.9,negative,1.084854,1.042234,5,true,-0.026942,0.9,controlled metric translation surface; not a selector
382,local_range,0.9,positive,1.046866,1.042234,3,true,-0.00117,0.9,controlled metric translation surface; not a selector
383,body_long,0.9,positive,1.080316,1.075283,4,true,-0.002692,0.9,controlled metric translation surface; not a selector
383,body_short,-0.9,negative,1.092939,1.075283,4,true,-0.010338,0.9,controlled metric translation surface; not a selector
383,local_azimuth,-0.9,negative,1.092939,1.075283,4,true,-0.010338,0.9,controlled metric translation surface; not a selector
383,local_range,0.9,positive,1.080316,1.075283,4,true,-0.002692,0.9,controlled metric translation surface; not a selector
384,body_long,0.9,positive,1.075403,1.067957,3,true,-0.00296,0.9,controlled metric translation surface; not a selector
384,body_short,-0.9,negative,1.097268,1.067957,5,true,-0.017079,0.9,controlled metric translation surface; not a selector
384,local_azimuth,-0.9,negative,1.097268,1.067957,5,true,-0.017079,0.9,controlled metric translation surface; not a selector
384,local_range,0.9,positive,1.075403,1.067957,3,true,-0.00296,0.9,controlled metric translation surface; not a selector
385,body_long,-0.45,negative,1.106074,1.104458,2,true,0.023659,0.45,controlled metric translation surface; not a selector
385,body_short,0,centered,1.104458,1.104458,1,true,0.074738,0,controlled metric translation surface; not a selector
385,local_azimuth,0,centered,1.104458,1.104458,1,true,0.036524,0,controlled metric translation surface; not a selector
385,local_range,-0.45,negative,1.105299,1.104458,2,true,0.074442,0.45,controlled metric translation surface; not a selector
386,body_long,0,centered,1.102437,1.102437,1,true,0.025412,0,controlled metric translation surface; not a selector
386,body_short,0,centered,1.102437,1.102437,1,true,0.076664,0,controlled metric translation surface; not a selector
386,local_azimuth,0,centered,1.102437,1.102437,1,true,0.034801,0,controlled metric translation surface; not a selector
386,local_range,0,centered,1.102437,1.102437,1,true,0.079961,0,controlled metric translation surface; not a selector
387,body_long,0,centered,1.121685,1.121685,1,true,0.025437,0,controlled metric translation surface; not a selector
387,body_short,0,centered,1.121685,1.121685,1,true,0.076947,0,controlled metric translation surface; not a selector
387,local_azimuth,0,centered,1.121685,1.121685,1,true,0.033246,0,controlled metric translation surface; not a selector
387,local_range,0,centered,1.121685,1.121685,1,true,0.080911,0,controlled metric translation surface; not a selector
388,body_long,0.9,positive,1.065198,1.061035,4,true,-0.000591,0.9,controlled metric translation surface; not a selector
388,body_short,0.9,positive,1.072698,1.061035,4,true,-0.00763,0.9,controlled metric translation surface; not a selector
388,local_azimuth,0.9,positive,1.072698,1.061035,4,true,-0.00763,0.9,controlled metric translation surface; not a selector
388,local_range,0.9,positive,1.065198,1.061035,4,true,-0.000591,0.9,controlled metric translation surface; not a selector
389,body_long,0.9,positive,1.058411,1.055638,4,true,0.001671,0.9,controlled metric translation surface; not a selector
389,body_short,0.9,positive,1.064577,1.055638,5,true,-0.00754,0.9,controlled metric translation surface; not a selector
389,local_azimuth,0.9,positive,1.064577,1.055638,5,true,-0.00754,0.9,controlled metric translation surface; not a selector
389,local_range,0.9,positive,1.058411,1.055638,4,true,0.001671,0.9,controlled metric translation surface; not a selector
390,body_long,0.9,positive,1.054891,1.051059,3,true,0.001848,0.9,controlled metric translation surface; not a selector
390,body_short,0.45,positive,1.060013,1.051059,5,true,-0.00738,0.45,controlled metric translation surface; not a selector
390,local_azimuth,0.45,positive,1.060013,1.051059,5,true,-0.00738,0.45,controlled metric translation surface; not a selector
