competition_id,extraction_profile,from_component_id,from_sar_frame,candidate_successor_count,selected_successor_id,best_edge_score,second_edge_score,score_gap,candidate_successor_ids,competition_status
WGV34A_COMP_strict_physical_path_000015,strict_physical_path,WGV33D_MAIN_F0005_C000144,5,1,WGV33D_MAIN_F0006_C000179,0.79933064,,,WGV33D_MAIN_F0006_C000179,single_successor
WGV34A_COMP_strict_physical_path_000016,strict_physical_path,WGV33D_MAIN_F0005_C000147,5,1,WGV33D_MAIN_F0006_C000181,0.79139909,,,WGV33D_MAIN_F0006_C000181,single_successor
WGV34A_COMP_strict_physical_path_000017,strict_physical_path,WGV33D_MAIN_F0005_C000149,5,1,WGV33D_MAIN_F0006_C000183,0.68117251,,,WGV33D_MAIN_F0006_C000183,single_successor
WGV34A_COMP_strict_physical_path_000018,strict_physical_path,WGV33D_MAIN_F0005_C000153,5,1,WGV33D_MAIN_F0006_C000187,0.83891459,,,WGV33D_MAIN_F0006_C000187,single_successor
WGV34A_COMP_strict_physical_path_000019,strict_physical_path,WGV33D_MAIN_F0006_C000181,6,1,WGV33D_MAIN_F0007_C000209,0.73381118,,,WGV33D_MAIN_F0007_C000209,single_successor
WGV34A_COMP_strict_physical_path_000020,strict_physical_path,WGV33D_MAIN_F0006_C000183,6,1,WGV33D_MAIN_F0007_C000211,0.70276398,,,WGV33D_MAIN_F0007_C000211,single_successor
WGV34A_COMP_strict_physical_path_000021,strict_physical_path,WGV33D_MAIN_F0006_C000187,6,1,WGV33D_MAIN_F0007_C000214,0.73771221,,,WGV33D_MAIN_F0007_C000214,single_successor
WGV34A_COMP_strict_physical_path_000022,strict_physical_path,WGV33D_MAIN_F0007_C000207,7,1,WGV33D_MAIN_F0008_C000224,0.74996303,,,WGV33D_MAIN_F0008_C000224,single_successor
WGV34A_COMP_strict_physical_path_000023,strict_physical_path,WGV33D_MAIN_F0007_C000214,7,1,WGV33D_MAIN_F0008_C000231,0.6330126,,,WGV33D_MAIN_F0008_C000231,single_successor
WGV34A_COMP_strict_physical_path_000024,strict_physical_path,WGV33D_MAIN_F0008_C000223,8,1,WGV33D_MAIN_F0009_C000243,0.67857787,,,WGV33D_MAIN_F0009_C000243,single_successor
WGV34A_COMP_strict_physical_path_000025,strict_physical_path,WGV33D_MAIN_F0010_C000252,10,1,WGV33D_MAIN_F0011_C000274,0.76463922,,,WGV33D_MAIN_F0011_C000274,single_successor
WGV34A_COMP_strict_physical_path_000026,strict_physical_path,WGV33D_MAIN_F0010_C000256,10,1,WGV33D_MAIN_F0011_C000279,0.81690451,,,WGV33D_MAIN_F0011_C000279,single_successor
WGV34A_COMP_strict_physical_path_000027,strict_physical_path,WGV33D_MAIN_F0012_C000310,12,1,WGV33D_MAIN_F0013_C000325,0.88552879,,,WGV33D_MAIN_F0013_C000325,single_successor
WGV34A_COMP_strict_physical_path_000028,strict_physical_path,WGV33D_MAIN_F0014_C000343,14,1,WGV33D_MAIN_F0015_C000374,0.78157145,,,WGV33D_MAIN_F0015_C000374,single_successor
WGV34A_COMP_strict_physical_path_000029,strict_physical_path,WGV33D_MAIN_F0014_C000345,14,1,WGV33D_MAIN_F0015_C000377,0.74586141,,,WGV33D_MAIN_F0015_C000377,single_successor
WGV34A_COMP_strict_physical_path_000030,strict_physical_path,WGV33D_MAIN_F0014_C000348,14,1,WGV33D_MAIN_F0015_C000379,0.77109429,,,WGV33D_MAIN_F0015_C000379,single_successor
WGV34A_COMP_strict_physical_path_000031,strict_physical_path,WGV33D_MAIN_F0014_C000351,14,1,WGV33D_MAIN_F0015_C000384,0.65997787,,,WGV33D_MAIN_F0015_C000384,single_successor
WGV34A_COMP_strict_physical_path_000032,strict_physical_path,WGV33D_MAIN_F0015_C000362,15,1,WGV33D_MAIN_F0016_C000407,0.80050915,,,WGV33D_MAIN_F0016_C000407,single_successor
WGV34A_COMP_strict_physical_path_000033,strict_physical_path,WGV33D_MAIN_F0015_C000377,15,1,WGV33D_MAIN_F0016_C000420,0.8242158,,,WGV33D_MAIN_F0016_C000420,single_successor
WGV34A_COMP_strict_physical_path_000034,strict_physical_path,WGV33D_MAIN_F0015_C000386,15,1,WGV33D_MAIN_F0016_C000428,0.71494528,,,WGV33D_MAIN_F0016_C000428,single_successor
WGV34A_COMP_strict_physical_path_000035,strict_physical_path,WGV33D_MAIN_F0016_C000407,16,1,WGV33D_MAIN_F0017_C000449,0.78193371,,,WGV33D_MAIN_F0017_C000449,single_successor
WGV34A_COMP_strict_physical_path_000036,strict_physical_path,WGV33D_MAIN_F0016_C000420,16,1,WGV33D_MAIN_F0017_C000466,0.68998328,,,WGV33D_MAIN_F0017_C000466,single_successor
WGV34A_COMP_strict_physical_path_000037,strict_physical_path,WGV33D_MAIN_F0016_C000428,16,1,WGV33D_MAIN_F0017_C000473,0.61326281,,,WGV33D_MAIN_F0017_C000473,single_successor
WGV34A_COMP_strict_physical_path_000038,strict_physical_path,WGV33D_MAIN_F0016_C000429,16,1,WGV33D_MAIN_F0017_C000473,0.59968641,,,WGV33D_MAIN_F0017_C000473,single_successor
WGV34A_COMP_strict_physical_path_000039,strict_physical_path,WGV33D_MAIN_F0017_C000466,17,1,WGV33D_MAIN_F0018_C000507,0.63919715,,,WGV33D_MAIN_F0018_C000507,single_successor
WGV34A_COMP_strict_physical_path_000040,strict_physical_path,WGV33D_MAIN_F0017_C000469,17,1,WGV33D_MAIN_F0018_C000511,0.74515051,,,WGV33D_MAIN_F0018_C000511,single_successor
WGV34A_COMP_strict_physical_path_000041,strict_physical_path,WGV33D_MAIN_F0017_C000473,17,1,WGV33D_MAIN_F0018_C000517,0.64289516,,,WGV33D_MAIN_F0018_C000517,single_successor
WGV34A_COMP_strict_physical_path_000042,strict_physical_path,WGV33D_MAIN_F0018_C000507,18,1,WGV33D_MAIN_F0019_C000548,0.64244001,,,WGV33D_MAIN_F0019_C000548,single_successor
WGV34A_COMP_strict_physical_path_000043,strict_physical_path,WGV33D_MAIN_F0018_C000517,18,1,WGV33D_MAIN_F0019_C000556,0.80948546,,,WGV33D_MAIN_F0019_C000556,single_successor
WGV34A_COMP_strict_physical_path_000044,strict_physical_path,WGV33D_MAIN_F0019_C000539,19,1,WGV33D_MAIN_F0020_C000569,0.62815864,,,WGV33D_MAIN_F0020_C000569,single_successor
WGV34A_COMP_strict_physical_path_000045,strict_physical_path,WGV33D_MAIN_F0019_C000541,19,1,WGV33D_MAIN_F0020_C000573,0.72045787,,,WGV33D_MAIN_F0020_C000573,single_successor
WGV34A_COMP_strict_physical_path_000046,strict_physical_path,WGV33D_MAIN_F0019_C000548,19,1,WGV33D_MAIN_F0020_C000581,0.65192625,,,WGV33D_MAIN_F0020_C000581,single_successor
WGV34A_COMP_strict_physical_path_000047,strict_physical_path,WGV33D_MAIN_F0019_C000556,19,1,WGV33D_MAIN_F0020_C000589,0.76017075,,,WGV33D_MAIN_F0020_C000589,single_successor
WGV34A_COMP_strict_physical_path_000048,strict_physical_path,WGV33D_MAIN_F0020_C000570,20,1,WGV33D_MAIN_F0021_C000604,0.64601055,,,WGV33D_MAIN_F0021_C000604,single_successor
WGV34A_COMP_strict_physical_path_000049,strict_physical_path,WGV33D_MAIN_F0020_C000581,20,1,WGV33D_MAIN_F0021_C000615,0.80452828,,,WGV33D_MAIN_F0021_C000615,single_successor
WGV34A_COMP_strict_physical_path_000050,strict_physical_path,WGV33D_MAIN_F0020_C000583,20,1,WGV33D_MAIN_F0021_C000618,0.80074059,,,WGV33D_MAIN_F0021_C000618,single_successor
WGV34A_COMP_strict_physical_path_000051,strict_physical_path,WGV33D_MAIN_F0020_C000589,20,1,WGV33D_MAIN_F0021_C000622,0.74118917,,,WGV33D_MAIN_F0021_C000622,single_successor
WGV34A_COMP_strict_physical_path_000052,strict_physical_path,WGV33D_MAIN_F0021_C000604,21,1,WGV33D_MAIN_F0022_C000639,0.63872481,,,WGV33D_MAIN_F0022_C000639,single_successor
WGV34A_COMP_strict_physical_path_000053,strict_physical_path,WGV33D_MAIN_F0021_C000608,21,1,WGV33D_MAIN_F0022_C000643,0.77976649,,,WGV33D_MAIN_F0022_C000643,single_successor
WGV34A_COMP_strict_physical_path_000054,strict_physical_path,WGV33D_MAIN_F0021_C000615,21,1,WGV33D_MAIN_F0022_C000648,0.74781903,,,WGV33D_MAIN_F0022_C000648,single_successor
WGV34A_COMP_strict_physical_path_000055,strict_physical_path,WGV33D_MAIN_F0021_C000618,21,1,WGV33D_MAIN_F0022_C000651,0.80217904,,,WGV33D_MAIN_F0022_C000651,single_successor
WGV34A_COMP_strict_physical_path_000056,strict_physical_path,WGV33D_MAIN_F0021_C000622,21,1,WGV33D_MAIN_F0022_C000654,0.60681615,,,WGV33D_MAIN_F0022_C000654,single_successor
WGV34A_COMP_strict_physical_path_000057,strict_physical_path,WGV33D_MAIN_F0022_C000639,22,1,WGV33D_MAIN_F0023_C000668,0.74438466,,,WGV33D_MAIN_F0023_C000668,single_successor
WGV34A_COMP_strict_physical_path_000058,strict_physical_path,WGV33D_MAIN_F0022_C000640,22,1,WGV33D_MAIN_F0023_C000670,0.6825233,,,WGV33D_MAIN_F0023_C000670,single_successor
WGV34A_COMP_strict_physical_path_000059,strict_physical_path,WGV33D_MAIN_F0022_C000647,22,1,WGV33D_MAIN_F0023_C000678,0.74802572,,,WGV33D_MAIN_F0023_C000678,single_successor
WGV34A_COMP_strict_physical_path_000060,strict_physical_path,WGV33D_MAIN_F0022_C000648,22,1,WGV33D_MAIN_F0023_C000680,0.75998231,,,WGV33D_MAIN_F0023_C000680,single_successor
WGV34A_COMP_strict_physical_path_000061,strict_physical_path,WGV33D_MAIN_F0022_C000654,22,1,WGV33D_MAIN_F0023_C000688,0.8376002,,,WGV33D_MAIN_F0023_C000688,single_successor
WGV34A_COMP_strict_physical_path_000062,strict_physical_path,WGV33D_MAIN_F0023_C000668,23,1,WGV33D_MAIN_F0024_C000709,0.70421531,,,WGV33D_MAIN_F0024_C000709,single_successor
WGV34A_COMP_strict_physical_path_000063,strict_physical_path,WGV33D_MAIN_F0023_C000670,23,1,WGV33D_MAIN_F0024_C000712,0.72829587,,,WGV33D_MAIN_F0024_C000712,single_successor
WGV34A_COMP_strict_physical_path_000064,strict_physical_path,WGV33D_MAIN_F0023_C000673,23,1,WGV33D_MAIN_F0024_C000716,0.50999182,,,WGV33D_MAIN_F0024_C000716,single_successor
WGV34A_COMP_strict_physical_path_000065,strict_physical_path,WGV33D_MAIN_F0023_C000680,23,1,WGV33D_MAIN_F0024_C000721,0.73382184,,,WGV33D_MAIN_F0024_C000721,single_successor
WGV34A_COMP_strict_physical_path_000066,strict_physical_path,WGV33D_MAIN_F0023_C000688,23,1,WGV33D_MAIN_F0024_C000728,0.72897224,,,WGV33D_MAIN_F0024_C000728,single_successor
WGV34A_COMP_strict_physical_path_000067,strict_physical_path,WGV33D_MAIN_F0024_C000709,24,1,WGV33D_MAIN_F0025_C000745,0.74817122,,,WGV33D_MAIN_F0025_C000745,single_successor
WGV34A_COMP_strict_physical_path_000068,strict_physical_path,WGV33D_MAIN_F0024_C000710,24,1,WGV33D_MAIN_F0025_C000746,0.79908326,,,WGV33D_MAIN_F0025_C000746,single_successor
WGV34A_COMP_strict_physical_path_000069,strict_physical_path,WGV33D_MAIN_F0024_C000716,24,1,WGV33D_MAIN_F0025_C000750,0.7206765,,,WGV33D_MAIN_F0025_C000750,single_successor
WGV34A_COMP_strict_physical_path_000070,strict_physical_path,WGV33D_MAIN_F0024_C000721,24,1,WGV33D_MAIN_F0025_C000757,0.81335201,,,WGV33D_MAIN_F0025_C000757,single_successor
WGV34A_COMP_strict_physical_path_000071,strict_physical_path,WGV33D_MAIN_F0024_C000724,24,1,WGV33D_MAIN_F0025_C000760,0.65704521,,,WGV33D_MAIN_F0025_C000760,single_successor
WGV34A_COMP_strict_physical_path_000072,strict_physical_path,WGV33D_MAIN_F0024_C000728,24,1,WGV33D_MAIN_F0025_C000764,0.80762842,,,WGV33D_MAIN_F0025_C000764,single_successor
WGV34A_COMP_strict_physical_path_000073,strict_physical_path,WGV33D_MAIN_F0025_C000745,25,1,WGV33D_MAIN_F0026_C000782,0.71399361,,,WGV33D_MAIN_F0026_C000782,single_successor
WGV34A_COMP_strict_physical_path_000074,strict_physical_path,WGV33D_MAIN_F0025_C000750,25,1,WGV33D_MAIN_F0026_C000788,0.62493079,,,WGV33D_MAIN_F0026_C000788,single_successor
WGV34A_COMP_strict_physical_path_000075,strict_physical_path,WGV33D_MAIN_F0025_C000757,25,1,WGV33D_MAIN_F0026_C000793,0.72115618,,,WGV33D_MAIN_F0026_C000793,single_successor
WGV34A_COMP_strict_physical_path_000076,strict_physical_path,WGV33D_MAIN_F0025_C000760,25,1,WGV33D_MAIN_F0026_C000796,0.74466187,,,WGV33D_MAIN_F0026_C000796,single_successor
WGV34A_COMP_strict_physical_path_000077,strict_physical_path,WGV33D_MAIN_F0025_C000764,25,1,WGV33D_MAIN_F0026_C000801,0.70891918,,,WGV33D_MAIN_F0026_C000801,single_successor
WGV34A_COMP_strict_physical_path_000078,strict_physical_path,WGV33D_MAIN_F0026_C000782,26,1,WGV33D_MAIN_F0027_C000821,0.70191431,,,WGV33D_MAIN_F0027_C000821,single_successor
WGV34A_COMP_strict_physical_path_000079,strict_physical_path,WGV33D_MAIN_F0026_C000796,26,1,WGV33D_MAIN_F0027_C000835,0.82723772,,,WGV33D_MAIN_F0027_C000835,single_successor
WGV34A_COMP_strict_physical_path_000080,strict_physical_path,WGV33D_MAIN_F0026_C000801,26,1,WGV33D_MAIN_F0027_C000840,0.80346945,,,WGV33D_MAIN_F0027_C000840,single_successor
WGV34A_COMP_strict_physical_path_000081,strict_physical_path,WGV33D_MAIN_F0027_C000821,27,1,WGV33D_MAIN_F0028_C000863,0.74952533,,,WGV33D_MAIN_F0028_C000863,single_successor
WGV34A_COMP_strict_physical_path_000082,strict_physical_path,WGV33D_MAIN_F0027_C000823,27,1,WGV33D_MAIN_F0028_C000865,0.775309,,,WGV33D_MAIN_F0028_C000865,single_successor
WGV34A_COMP_strict_physical_path_000083,strict_physical_path,WGV33D_MAIN_F0027_C000825,27,2,WGV33D_MAIN_F0028_C000868,0.70054422,0.54444302,0.1561012,WGV33D_MAIN_F0028_C000868;WGV33D_MAIN_F0028_C000867,multi_successor_competition
WGV34A_COMP_strict_physical_path_000084,strict_physical_path,WGV33D_MAIN_F0027_C000835,27,1,WGV33D_MAIN_F0028_C000875,0.88430861,,,WGV33D_MAIN_F0028_C000875,single_successor
WGV34A_COMP_strict_physical_path_000085,strict_physical_path,WGV33D_MAIN_F0027_C000840,27,1,WGV33D_MAIN_F0028_C000881,0.69201433,,,WGV33D_MAIN_F0028_C000881,single_successor
WGV34A_COMP_strict_physical_path_000086,strict_physical_path,WGV33D_MAIN_F0028_C000862,28,1,WGV33D_MAIN_F0029_C000899,0.75180554,,,WGV33D_MAIN_F0029_C000899,single_successor
WGV34A_COMP_strict_physical_path_000087,strict_physical_path,WGV33D_MAIN_F0028_C000865,28,1,WGV33D_MAIN_F0029_C000901,0.71738361,,,WGV33D_MAIN_F0029_C000901,single_successor
WGV34A_COMP_strict_physical_path_000088,strict_physical_path,WGV33D_MAIN_F0028_C000868,28,1,WGV33D_MAIN_F0029_C000903,0.736443,,,WGV33D_MAIN_F0029_C000903,single_successor
WGV34A_COMP_strict_physical_path_000089,strict_physical_path,WGV33D_MAIN_F0028_C000875,28,1,WGV33D_MAIN_F0029_C000911,0.776121,,,WGV33D_MAIN_F0029_C000911,single_successor
WGV34A_COMP_strict_physical_path_000090,strict_physical_path,WGV33D_MAIN_F0028_C000881,28,1,WGV33D_MAIN_F0029_C000915,0.7255353,,,WGV33D_MAIN_F0029_C000915,single_successor
WGV34A_COMP_strict_physical_path_000091,strict_physical_path,WGV33D_MAIN_F0029_C000901,29,1,WGV33D_MAIN_F0030_C000928,0.67889334,,,WGV33D_MAIN_F0030_C000928,single_successor
WGV34A_COMP_strict_physical_path_000092,strict_physical_path,WGV33D_MAIN_F0029_C000903,29,1,WGV33D_MAIN_F0030_C000932,0.70277155,,,WGV33D_MAIN_F0030_C000932,single_successor
WGV34A_COMP_strict_physical_path_000093,strict_physical_path,WGV33D_MAIN_F0029_C000908,29,1,WGV33D_MAIN_F0030_C000937,0.8836433,,,WGV33D_MAIN_F0030_C000937,single_successor
WGV34A_COMP_strict_physical_path_000094,strict_physical_path,WGV33D_MAIN_F0029_C000911,29,1,WGV33D_MAIN_F0030_C000939,0.82316228,,,WGV33D_MAIN_F0030_C000939,single_successor
WGV34A_COMP_strict_physical_path_000095,strict_physical_path,WGV33D_MAIN_F0030_C000926,30,1,WGV33D_MAIN_F0031_C000951,0.73643823,,,WGV33D_MAIN_F0031_C000951,single_successor
WGV34A_COMP_strict_physical_path_000096,strict_physical_path,WGV33D_MAIN_F0030_C000927,30,1,WGV33D_MAIN_F0031_C000954,0.71863042,,,WGV33D_MAIN_F0031_C000954,single_successor
WGV34A_COMP_strict_physical_path_000097,strict_physical_path,WGV33D_MAIN_F0030_C000928,30,1,WGV33D_MAIN_F0031_C000956,0.72663863,,,WGV33D_MAIN_F0031_C000956,single_successor
WGV34A_COMP_strict_physical_path_000098,strict_physical_path,WGV33D_MAIN_F0030_C000939,30,1,WGV33D_MAIN_F0031_C000963,0.50960998,,,WGV33D_MAIN_F0031_C000963,single_successor
WGV34A_COMP_strict_physical_path_000099,strict_physical_path,WGV33D_MAIN_F0031_C000951,31,1,WGV33D_MAIN_F0032_C000978,0.74021189,,,WGV33D_MAIN_F0032_C000978,single_successor
WGV34A_COMP_strict_physical_path_000100,strict_physical_path,WGV33D_MAIN_F0031_C000954,31,1,WGV33D_MAIN_F0032_C000979,0.75997472,,,WGV33D_MAIN_F0032_C000979,single_successor
WGV34A_COMP_strict_physical_path_000101,strict_physical_path,WGV33D_MAIN_F0031_C000956,31,1,WGV33D_MAIN_F0032_C000980,0.65799804,,,WGV33D_MAIN_F0032_C000980,single_successor
WGV34A_COMP_strict_physical_path_000102,strict_physical_path,WGV33D_MAIN_F0031_C000957,31,1,WGV33D_MAIN_F0032_C000984,0.69336818,,,WGV33D_MAIN_F0032_C000984,single_successor
WGV34A_COMP_strict_physical_path_000103,strict_physical_path,WGV33D_MAIN_F0031_C000963,31,1,WGV33D_MAIN_F0032_C000990,0.73152438,,,WGV33D_MAIN_F0032_C000990,single_successor
WGV34A_COMP_strict_physical_path_000104,strict_physical_path,WGV33D_MAIN_F0032_C000978,32,1,WGV33D_MAIN_F0033_C001001,0.74256167,,,WGV33D_MAIN_F0033_C001001,single_successor
WGV34A_COMP_strict_physical_path_000105,strict_physical_path,WGV33D_MAIN_F0032_C000979,32,1,WGV33D_MAIN_F0033_C001005,0.73575146,,,WGV33D_MAIN_F0033_C001005,single_successor
WGV34A_COMP_strict_physical_path_000106,strict_physical_path,WGV33D_MAIN_F0032_C000980,32,1,WGV33D_MAIN_F0033_C001006,0.76354442,,,WGV33D_MAIN_F0033_C001006,single_successor
WGV34A_COMP_strict_physical_path_000107,strict_physical_path,WGV33D_MAIN_F0032_C000983,32,1,WGV33D_MAIN_F0033_C001008,0.62948278,,,WGV33D_MAIN_F0033_C001008,single_successor
WGV34A_COMP_strict_physical_path_000108,strict_physical_path,WGV33D_MAIN_F0032_C000990,32,1,WGV33D_MAIN_F0033_C001014,0.72859475,,,WGV33D_MAIN_F0033_C001014,single_successor
WGV34A_COMP_strict_physical_path_000109,strict_physical_path,WGV33D_MAIN_F0033_C001001,33,1,WGV33D_MAIN_F0034_C001036,0.79265967,,,WGV33D_MAIN_F0034_C001036,single_successor
WGV34A_COMP_strict_physical_path_000110,strict_physical_path,WGV33D_MAIN_F0033_C001002,33,1,WGV33D_MAIN_F0034_C001037,0.77550035,,,WGV33D_MAIN_F0034_C001037,single_successor
WGV34A_COMP_strict_physical_path_000111,strict_physical_path,WGV33D_MAIN_F0033_C001003,33,1,WGV33D_MAIN_F0034_C001038,0.73848746,,,WGV33D_MAIN_F0034_C001038,single_successor
WGV34A_COMP_strict_physical_path_000112,strict_physical_path,WGV33D_MAIN_F0033_C001004,33,1,WGV33D_MAIN_F0034_C001039,0.88622563,,,WGV33D_MAIN_F0034_C001039,single_successor
WGV34A_COMP_strict_physical_path_000113,strict_physical_path,WGV33D_MAIN_F0033_C001005,33,1,WGV33D_MAIN_F0034_C001040,0.5946738,,,WGV33D_MAIN_F0034_C001040,single_successor
WGV34A_COMP_strict_physical_path_000114,strict_physical_path,WGV33D_MAIN_F0033_C001006,33,1,WGV33D_MAIN_F0034_C001042,0.66952899,,,WGV33D_MAIN_F0034_C001042,single_successor
WGV34A_COMP_strict_physical_path_000115,strict_physical_path,WGV33D_MAIN_F0033_C001014,33,1,WGV33D_MAIN_F0034_C001050,0.76517807,,,WGV33D_MAIN_F0034_C001050,single_successor
WGV34A_COMP_strict_physical_path_000116,strict_physical_path,WGV33D_MAIN_F0034_C001040,34,1,WGV33D_MAIN_F0035_C001065,0.59944598,,,WGV33D_MAIN_F0035_C001065,single_successor
WGV34A_COMP_strict_physical_path_000117,strict_physical_path,WGV33D_MAIN_F0034_C001042,34,1,WGV33D_MAIN_F0035_C001066,0.71776903,,,WGV33D_MAIN_F0035_C001066,single_successor
WGV34A_COMP_strict_physical_path_000118,strict_physical_path,WGV33D_MAIN_F0034_C001043,34,1,WGV33D_MAIN_F0035_C001067,0.79640962,,,WGV33D_MAIN_F0035_C001067,single_successor
WGV34A_COMP_strict_physical_path_000119,strict_physical_path,WGV33D_MAIN_F0035_C001064,35,1,WGV33D_MAIN_F0036_C001087,0.64617423,,,WGV33D_MAIN_F0036_C001087,single_successor
WGV34A_COMP_strict_physical_path_000120,strict_physical_path,WGV33D_MAIN_F0035_C001070,35,1,WGV33D_MAIN_F0036_C001091,0.71229046,,,WGV33D_MAIN_F0036_C001091,single_successor
WGV34A_COMP_strict_physical_path_000121,strict_physical_path,WGV33D_MAIN_F0039_C001145,39,1,WGV33D_MAIN_F0040_C001170,0.52690508,,,WGV33D_MAIN_F0040_C001170,single_successor
WGV34A_COMP_strict_physical_path_000122,strict_physical_path,WGV33D_MAIN_F0040_C001168,40,1,WGV33D_MAIN_F0041_C001209,0.80966338,,,WGV33D_MAIN_F0041_C001209,single_successor
WGV34A_COMP_strict_physical_path_000123,strict_physical_path,WGV33D_MAIN_F0040_C001170,40,1,WGV33D_MAIN_F0041_C001210,0.71269392,,,WGV33D_MAIN_F0041_C001210,single_successor
WGV34A_COMP_strict_physical_path_000124,strict_physical_path,WGV33D_MAIN_F0040_C001184,40,1,WGV33D_MAIN_F0041_C001221,0.68123734,,,WGV33D_MAIN_F0041_C001221,single_successor
WGV34A_COMP_strict_physical_path_000125,strict_physical_path,WGV33D_MAIN_F0040_C001190,40,1,WGV33D_MAIN_F0041_C001227,0.55398595,,,WGV33D_MAIN_F0041_C001227,single_successor
WGV34A_COMP_strict_physical_path_000126,strict_physical_path,WGV33D_MAIN_F0041_C001209,41,1,WGV33D_MAIN_F0042_C001240,0.69222363,,,WGV33D_MAIN_F0042_C001240,single_successor
WGV34A_COMP_strict_physical_path_000127,strict_physical_path,WGV33D_MAIN_F0041_C001210,41,1,WGV33D_MAIN_F0042_C001242,0.64825577,,,WGV33D_MAIN_F0042_C001242,single_successor
WGV34A_COMP_strict_physical_path_000128,strict_physical_path,WGV33D_MAIN_F0041_C001221,41,1,WGV33D_MAIN_F0042_C001250,0.74824435,,,WGV33D_MAIN_F0042_C001250,single_successor
WGV34A_COMP_strict_physical_path_000129,strict_physical_path,WGV33D_MAIN_F0042_C001240,42,1,WGV33D_MAIN_F0043_C001267,0.67897948,,,WGV33D_MAIN_F0043_C001267,single_successor
WGV34A_COMP_strict_physical_path_000130,strict_physical_path,WGV33D_MAIN_F0042_C001242,42,1,WGV33D_MAIN_F0043_C001270,0.76426849,,,WGV33D_MAIN_F0043_C001270,single_successor
WGV34A_COMP_strict_physical_path_000131,strict_physical_path,WGV33D_MAIN_F0042_C001245,42,1,WGV33D_MAIN_F0043_C001273,0.62773007,,,WGV33D_MAIN_F0043_C001273,single_successor
WGV34A_COMP_strict_physical_path_000132,strict_physical_path,WGV33D_MAIN_F0042_C001255,42,1,WGV33D_MAIN_F0043_C001284,0.64156587,,,WGV33D_MAIN_F0043_C001284,single_successor
WGV34A_COMP_strict_physical_path_000133,strict_physical_path,WGV33D_MAIN_F0043_C001267,43,1,WGV33D_MAIN_F0044_C001298,0.66075429,,,WGV33D_MAIN_F0044_C001298,single_successor
WGV34A_COMP_strict_physical_path_000134,strict_physical_path,WGV33D_MAIN_F0043_C001270,43,1,WGV33D_MAIN_F0044_C001302,0.70934128,,,WGV33D_MAIN_F0044_C001302,single_successor
