family_id,sar_frame,member_response_box_ids,member_core_subgraph_ids,family_relation,member_count,family_common_core_atom_ids,family_common_core_bbox,family_common_core_status,family_conservative_bbox,family_conservative_bbox_status,family_member_bbox_variants,family_uncertain_envelope,family_center_dispersion_px,family_width_range_px,family_height_range_px,family_pairwise_min_iou,family_pairwise_max_center_distance_px,family_boundary_reason_cn,generation_provenance
R21R1F00015,30,R21B00018,R21C00018,single_member_family,1,R21A00015,"1090,1131,1120,1149",available_single_member_core,"1090,1131,1120,1149",single_consensus_bbox,"1090,1131,1120,1149","1042,1131,1193,1245",0,30-30,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00016,30,R21B00019,R21C00019,single_member_family,1,R21A00016,"1066,1221,1084,1239",available_single_member_core,"1066,1221,1084,1239",single_consensus_bbox,"1066,1221,1084,1239","1042,1131,1193,1245",0,18-18,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00017,30,R21B00020,R21C00020,single_member_family,1,R21A00017,"1042,1221,1054,1239",available_single_member_core,"1042,1221,1054,1239",single_consensus_bbox,"1042,1221,1054,1239","1042,1131,1193,1245",0,12-12,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00018,31,R21B00024;R21B00025;R21B00028;R21B00029;R21B00030;R21B00031,R21C00024;R21C00025;R21C00028;R21C00029;R21C00030;R21C00031,nested_same_core_family,6,,"1090,1135,1114,1147",available_member_intersection,,common_core_only,"1042,1135,1193,1249 | 1090,1135,1114,1147 | 1042,1135,1114,1243","1042,1135,1193,1249",53.665631,24-151,12-114,0.016731,53.665631,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00019,31,R21B00026,R21C00026,single_member_family,1,R21A00020,"1042,1225,1060,1243",available_single_member_core,"1042,1225,1060,1243",single_consensus_bbox,"1042,1225,1060,1243","1042,1135,1193,1249",0,18-18,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00020,31,R21B00027,R21C00027,single_member_family,1,R21A00021,"1066,1219,1084,1237",available_single_member_core,"1066,1219,1084,1237",single_consensus_bbox,"1066,1219,1084,1237","1042,1135,1193,1249",0,18-18,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00021,32,R21B00032;R21B00038;R21B00039,R21C00032;R21C00038;R21C00039,high_iou_boundary_family,3,R21A00022,"1102,1135,1192,1249",available_shared_atoms,,multiple_valid_bbox_variants,"1102,1135,1192,1249 | 1072,1135,1192,1249 | 1090,1135,1192,1249","1048,1135,1192,1249",15,90-120,114-114,0.75,15,族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00022,32,R21B00033,R21C00033,single_member_family,1,R21A00023,"1072,1159,1096,1189",available_single_member_core,"1072,1159,1096,1189",single_consensus_bbox,"1072,1159,1096,1189","1048,1135,1192,1249",0,24-24,30-30,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00023,32,R21B00034,R21C00034,single_member_family,1,R21A00024,"1090,1135,1114,1147",available_single_member_core,"1090,1135,1114,1147",single_consensus_bbox,"1090,1135,1114,1147","1048,1135,1192,1249",0,24-24,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00024,32,R21B00035,R21C00035,single_member_family,1,R21A00025,"1048,1225,1060,1243",available_single_member_core,"1048,1225,1060,1243",single_consensus_bbox,"1048,1225,1060,1243","1048,1135,1192,1249",0,12-12,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00025,32,R21B00036,R21C00036,single_member_family,1,R21A00026,"1072,1219,1090,1237",available_single_member_core,"1072,1219,1090,1237",single_consensus_bbox,"1072,1219,1090,1237","1048,1135,1192,1249",0,18-18,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00026,32,R21B00037,R21C00037,single_member_family,1,R21A00027,"1048,1165,1072,1177",available_single_member_core,"1048,1165,1072,1177",single_consensus_bbox,"1048,1165,1072,1177","1048,1135,1192,1249",0,24-24,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00027,34,R21B00040;R21B00047,R21C00040;R21C00047,nested_same_core_family,2,R21A00028,"1108,1135,1193,1267",available_shared_atoms,,common_core_only,"1108,1135,1193,1267 | 1036,1135,1193,1267","952,1135,1193,1267",36,85-157,132-132,0.541401,36,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00028,34,R21B00041,R21C00041,single_member_family,1,R21A00029,"1036,1219,1072,1243",available_single_member_core,"1036,1219,1072,1243",single_consensus_bbox,"1036,1219,1072,1243","952,1135,1193,1267",0,36-36,24-24,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00029,34,R21B00042,R21C00042,single_member_family,1,R21A00030,"952,1153,988,1171",available_single_member_core,"952,1153,988,1171",single_consensus_bbox,"952,1153,988,1171","952,1141,1072,1243",0,36-36,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00030,34,R21B00043,R21C00043,single_member_family,1,R21A00031,"1102,1135,1120,1147",available_single_member_core,"1102,1135,1120,1147",single_consensus_bbox,"1102,1135,1120,1147","1018,1135,1193,1267",0,18-18,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00031,34,R21B00044,R21C00044,single_member_family,1,R21A00032,"1078,1219,1102,1237",available_single_member_core,"1078,1219,1102,1237",single_consensus_bbox,"1078,1219,1102,1237","1018,1135,1193,1267",0,24-24,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00032,34,R21B00045,R21C00045,single_member_family,1,R21A00033,"1072,1165,1102,1189",available_single_member_core,"1072,1165,1102,1189",single_consensus_bbox,"1072,1165,1102,1189","1018,1135,1193,1267",0,30-30,24-24,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00033,34,R21B00046,R21C00046,single_member_family,1,R21A00034,"1018,1141,1042,1159",available_single_member_core,"1018,1141,1042,1159",single_consensus_bbox,"1018,1141,1042,1159","952,1135,1120,1243",0,24-24,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00034,39,R21B00048;R21B00053;R21B00054,R21C00048;R21C00053;R21C00054,nested_same_core_family,3,R21A00035,"1108,1165,1192,1276",available_shared_atoms,,common_core_only,"1108,1165,1192,1276 | 1084,1165,1192,1276 | 1048,1165,1192,1276","982,1141,1192,1276",30,84-144,111-111,0.583333,30,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00035,39,R21B00049,R21C00049,single_member_family,1,R21A00038,"982,1141,1030,1153",available_single_member_core,"982,1141,1030,1153",single_consensus_bbox,"982,1141,1030,1153","982,1141,1114,1231",0,48-48,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00036,39,R21B00050;R21B00055,R21C00050;R21C00055,nested_same_core_family,2,R21A00039,"1084,1213,1102,1231",available_shared_atoms,,common_core_only,"1084,1213,1102,1231 | 1048,1207,1102,1231","982,1141,1192,1276",18.248288,18-54,18-24,0.25,18.248288,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00037,39,R21B00051,R21C00051,single_member_family,1,R21A00040,"1048,1207,1078,1225",available_single_member_core,"1048,1207,1078,1225",single_consensus_bbox,"1048,1207,1078,1225","982,1141,1192,1276",0,30-30,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00038,39,R21B00052,R21C00052,single_member_family,1,R21A00041,"1084,1171,1114,1183",available_single_member_core,"1084,1171,1114,1183",single_consensus_bbox,"1084,1171,1114,1183","982,1141,1192,1276",0,30-30,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00039,40,R21B00056;R21B00061,R21C00056;R21C00061,nested_same_core_family,2,R21A00042,"1114,1171,1193,1261",available_shared_atoms,,common_core_only,"1114,1171,1193,1261 | 1114,1135,1193,1261","994,1135,1193,1261",18,79-79,90-126,0.714286,18,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00040,40,R21B00057,R21C00057,single_member_family,1,R21A00043,"994,1135,1090,1159",available_single_member_core,"994,1135,1090,1159",single_consensus_bbox,"994,1135,1090,1159","994,1135,1193,1261",0,96-96,24-24,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00041,40,R21B00058,R21C00058,single_member_family,1,R21A00044,"1138,1135,1168,1153",available_single_member_core,"1138,1135,1168,1153",single_consensus_bbox,"1138,1135,1168,1153","994,1135,1193,1261",0,30-30,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00042,40,R21B00059,R21C00059,single_member_family,1,R21A00045,"1054,1207,1108,1237",available_single_member_core,"1054,1207,1108,1237",single_consensus_bbox,"1054,1207,1108,1237","994,1135,1193,1261",0,54-54,30-30,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00043,40,R21B00060,R21C00060,single_member_family,1,R21A00046,"1090,1171,1114,1183",available_single_member_core,"1090,1171,1114,1183",single_consensus_bbox,"1090,1171,1114,1183","994,1135,1193,1261",0,24-24,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00044,46,R21B00062,R21C00062,single_member_family,1,R21A00047,"1030,1135,1193,1255",available_single_member_core,"1030,1135,1193,1255",single_consensus_bbox,"1030,1135,1193,1255","1030,1135,1193,1255",0,163-163,120-120,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00045,52,R21B00063;R21B00064;R21B00066,R21C00063;R21C00064;R21C00066,nested_same_core_family,3,,"1180,1135,1193,1147",available_member_intersection,,common_core_only,"1024,1135,1193,1189 | 1180,1135,1193,1147","1024,1135,1193,1207",80.777472,13-169,12-54,0.017094,80.777472,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00046,52,R21B00065,R21C00065,single_member_family,1,R21A00051,"1144,1201,1168,1207",available_single_member_core,"1144,1201,1168,1207",single_consensus_bbox,"1144,1201,1168,1207","1024,1135,1193,1207",0,24-24,6-6,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00047,60,R21B00067,R21C00067,single_member_family,1,R21A00053,"1126,1207,1186,1243",available_single_member_core,"1126,1207,1186,1243",single_consensus_bbox,"1126,1207,1186,1243","1126,1207,1192,1267",0,60-60,36-36,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00048,60,R21B00068,R21C00068,single_member_family,1,R21A00054,"1162,1249,1192,1267",available_single_member_core,"1162,1249,1192,1267",single_consensus_bbox,"1162,1249,1192,1267","1126,1207,1192,1267",0,30-30,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00049,77,R21B00069;R21B00075;R21B00076,R21C00069;R21C00075;R21C00076,nested_same_core_family,3,R21A00055,"1146,1133,1266,1163",available_shared_atoms,,common_core_only,"1146,1133,1266,1163 | 1146,1133,1266,1271 | 1146,1133,1266,1187","1146,1133,1332,1271",54,120-120,30-138,0.217391,54,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00050,77,R21B00070,R21C00070,single_member_family,1,R21A00056,"1146,1187,1248,1271",available_single_member_core,"1146,1187,1248,1271",single_consensus_bbox,"1146,1187,1248,1271","1146,1133,1332,1271",0,102-102,84-84,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00051,77,R21B00071,R21C00071,single_member_family,1,R21A00057,"1224,1169,1254,1187",available_single_member_core,"1224,1169,1254,1187",single_consensus_bbox,"1224,1169,1254,1187","1146,1133,1332,1271",0,30-30,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00052,77,R21B00072,R21C00072,single_member_family,1,R21A00058,"1260,1151,1284,1187",available_single_member_core,"1260,1151,1284,1187",single_consensus_bbox,"1260,1151,1284,1187","1146,1133,1332,1271",0,24-24,36-36,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00053,77,R21B00073,R21C00073,single_member_family,1,R21A00059,"1284,1133,1302,1145",available_single_member_core,"1284,1133,1302,1145",single_consensus_bbox,"1284,1133,1302,1145","1146,1133,1332,1199",0,18-18,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00054,77,R21B00074,R21C00074,single_member_family,1,R21A00060,"1296,1175,1332,1199",available_single_member_core,"1296,1175,1332,1199",single_consensus_bbox,"1296,1175,1332,1199","1146,1133,1332,1271",0,36-36,24-24,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00055,78,R21B00077;R21B00083,R21C00077;R21C00083,high_iou_boundary_family,2,R21A00062,"1170,1187,1248,1271",available_shared_atoms,,multiple_valid_bbox_variants,"1170,1187,1248,1271 | 1170,1175,1260,1271","1146,1133,1326,1271",8.485281,78-90,84-96,0.758333,8.485281,族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00056,78,R21B00078,R21C00078,single_member_family,1,R21A00063,"1224,1175,1260,1187",available_single_member_core,"1224,1175,1260,1187",single_consensus_bbox,"1224,1175,1260,1187","1170,1133,1326,1271",0,36-36,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00057,78,R21B00079,R21C00079,single_member_family,1,R21A00064,"1290,1133,1308,1151",available_single_member_core,"1290,1133,1308,1151",single_consensus_bbox,"1290,1133,1308,1151","1224,1133,1326,1205",0,18-18,18-18,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00058,78,R21B00080,R21C00080,single_member_family,1,R21A00065,"1302,1175,1326,1199",available_single_member_core,"1302,1175,1326,1199",single_consensus_bbox,"1302,1175,1326,1199","1170,1133,1326,1271",0,24-24,24-24,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00059,78,R21B00081,R21C00081,single_member_family,1,R21A00066,"1146,1247,1164,1271",available_single_member_core,"1146,1247,1164,1271",single_consensus_bbox,"1146,1247,1164,1271","1146,1187,1254,1271",0,18-18,24-24,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00060,78,R21B00082,R21C00082,single_member_family,1,R21A00067,"1242,1193,1254,1205",available_single_member_core,"1242,1193,1254,1205",single_consensus_bbox,"1242,1193,1254,1205","1146,1133,1326,1271",0,12-12,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00061,79,R21B00084;R21B00090,R21C00084;R21C00090,nested_same_core_family,2,R21A00069,"1194,1187,1254,1241",available_shared_atoms,,common_core_only,"1194,1187,1254,1241 | 1194,1175,1260,1241","1146,1133,1308,1271",6.708204,60-66,54-66,0.743802,6.708204,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00062,79,R21B00085,R21C00085,single_member_family,1,R21A00070,"1290,1133,1308,1145",available_single_member_core,"1290,1133,1308,1145",single_consensus_bbox,"1290,1133,1308,1145","1194,1133,1308,1241",0,18-18,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00063,79,R21B00086,R21C00086,single_member_family,1,R21A00071,"1230,1175,1260,1187",available_single_member_core,"1230,1175,1260,1187",single_consensus_bbox,"1230,1175,1260,1187","1170,1133,1308,1271",0,30-30,12-12,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00064,79,R21B00087;R21B00091,R21C00087;R21C00091,nested_same_core_family,2,R21A00072,"1170,1247,1206,1271",available_shared_atoms,,common_core_only,"1170,1247,1206,1271 | 1170,1187,1254,1271","1146,1133,1308,1271",38.418745,36-84,24-84,0.122449,38.418745,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00065,79,R21B00088,R21C00088,single_member_family,1,R21A00073,"1242,1199,1260,1205",available_single_member_core,"1242,1199,1260,1205",single_consensus_bbox,"1242,1199,1260,1205","1170,1133,1308,1271",0,18-18,6-6,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00066,79,R21B00089,R21C00089,single_member_family,1,R21A00074,"1146,1247,1164,1271",available_single_member_core,"1146,1247,1164,1271",single_consensus_bbox,"1146,1247,1164,1271","1146,1187,1254,1271",0,18-18,24-24,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00067,80,R21B00092;R21B00098;R21B00099,R21C00092;R21C00098;R21C00099,nested_same_core_family,3,R21A00075,"1146,1133,1266,1163",available_shared_atoms,,common_core_only,"1146,1133,1266,1163 | 1146,1133,1266,1241 | 1146,1133,1266,1271","1146,1133,1326,1271",54,120-120,30-138,0.217391,54,族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
R21R1F00068,80,R21B00093,R21C00093,single_member_family,1,R21A00076,"1200,1181,1260,1241",available_single_member_core,"1200,1181,1260,1241",single_consensus_bbox,"1200,1181,1260,1241","1146,1133,1326,1271",0,60-60,60-60,1,0,族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。,r2_1_r1_from_frozen_response_box_member_hypotheses_pairwise_complete_family
