independent_geometry_id,sar_frame,from_threshold_setting,to_threshold_setting,component_overlap_iou,high_threshold_contained_in_low_threshold,component_centroid_shift_m,component_area_retention_ratio,component_axis_change_deg,from_component_count,to_component_count,threshold_component_identity_status
GM019IG0032,34,positive_weight_q50,positive_weight_q70,0.242174,true,0.708851,0.242174,14.905223,1189,964,COMPONENT_IDENTITY_SWITCH
GM019IG0032,34,positive_weight_q70,positive_weight_q85,0.551616,true,0.113661,0.551616,9.526377,964,516,COMPONENT_IDENTITY_SWITCH
GM019IG0033,34,positive_weight_q50,positive_weight_q70,0.704225,true,0.006275,0.704225,7.049304,75,29,SAME_COMPONENT_PERSISTENT
GM019IG0033,34,positive_weight_q70,positive_weight_q85,0.546667,true,0.021999,0.546667,21.843356,29,14,SAME_COMPONENT_PERSISTENT
GM019IG0034,224,positive_weight_q50,positive_weight_q70,0.453608,true,0.090437,0.453608,13.171296,47,37,COMPONENT_IDENTITY_SWITCH
GM019IG0034,224,positive_weight_q70,positive_weight_q85,0.236364,true,0.258504,0.236364,46.270981,37,33,COMPONENT_IDENTITY_SWITCH
GM019IG0035,29,positive_weight_q50,positive_weight_q70,0.26099,true,0.59166,0.26099,15.405353,391,328,SAME_COMPONENT_PERSISTENT
GM019IG0035,29,positive_weight_q70,positive_weight_q85,0.383061,true,0.132966,0.383061,4.367365,328,279,SAME_COMPONENT_PERSISTENT
GM019IG0036,29,positive_weight_q50,positive_weight_q70,0.523613,true,0.350676,0.523613,6.721124,725,442,COMPONENT_IDENTITY_SWITCH
GM019IG0036,29,positive_weight_q70,positive_weight_q85,0.16694,true,0.583054,0.16694,12.022735,442,372,COMPONENT_IDENTITY_SWITCH
GM019IG0037,30,positive_weight_q50,positive_weight_q70,0.211658,true,0.529465,0.211658,7.306362,433,349,COMPONENT_IDENTITY_SWITCH
GM019IG0037,30,positive_weight_q70,positive_weight_q85,0.313341,true,0.322261,0.313341,28.560885,349,306,COMPONENT_IDENTITY_SWITCH
GM019IG0038,30,positive_weight_q50,positive_weight_q70,0.439681,true,0.44395,0.439681,10.160698,754,494,COMPONENT_SPLIT_OR_MERGE
GM019IG0038,30,positive_weight_q70,positive_weight_q85,0,false,1.741805,0.14585,10.663736,494,367,COMPONENT_SPLIT_OR_MERGE
GM019IG0039,30,positive_weight_q50,positive_weight_q70,0.439837,true,0.445455,0.439837,10.070472,831,534,COMPONENT_SPLIT_OR_MERGE
GM019IG0039,30,positive_weight_q70,positive_weight_q85,0,false,1.74206,0.151894,10.679272,534,365,COMPONENT_SPLIT_OR_MERGE
GM019IG0040,31,positive_weight_q50,positive_weight_q70,0.55205,true,0.345215,0.55205,7.258193,442,284,COMPONENT_IDENTITY_SWITCH
GM019IG0040,31,positive_weight_q70,positive_weight_q85,0.228,true,0.795088,0.228,55.263685,284,190,COMPONENT_IDENTITY_SWITCH
GM019IG0041,31,positive_weight_q50,positive_weight_q70,0.377595,true,0.732802,0.377595,81.454794,770,593,COMPONENT_IDENTITY_SWITCH
GM019IG0041,31,positive_weight_q70,positive_weight_q85,0.22993,true,0.778181,0.22993,47.598935,593,375,COMPONENT_IDENTITY_SWITCH
GM019IG0042,30,positive_weight_q50,positive_weight_q70,0.410256,true,0.040223,0.410256,78.779543,24,18,SAME_COMPONENT_PERSISTENT
GM019IG0042,30,positive_weight_q70,positive_weight_q85,0.53125,true,0.013674,0.53125,86.618501,18,8,SAME_COMPONENT_PERSISTENT
GM019IG0043,31,positive_weight_q50,positive_weight_q70,0.573604,true,0.00864,0.573604,9.719467,25,12,SAME_COMPONENT_PERSISTENT
GM019IG0043,31,positive_weight_q70,positive_weight_q85,0.575221,true,0.020365,0.575221,1.45461,12,6,SAME_COMPONENT_PERSISTENT
GM019IG0044,227,positive_weight_q50,positive_weight_q70,0.553153,true,0.054716,0.553153,9.848412,66,62,COMPONENT_IDENTITY_SWITCH
GM019IG0044,227,positive_weight_q70,positive_weight_q85,0.19544,true,0.2119,0.19544,33.208875,62,38,COMPONENT_IDENTITY_SWITCH
GM019IG0045,32,positive_weight_q50,positive_weight_q70,0,false,0.396547,0.5,0.914295,27,26,COMPONENT_SPLIT_OR_MERGE
GM019IG0045,32,positive_weight_q70,positive_weight_q85,0.851852,true,0.000849,0.851852,5.248076,26,18,COMPONENT_SPLIT_OR_MERGE
GM019IG0046,39,positive_weight_q50,positive_weight_q70,0.416985,true,0.282584,0.416985,10.29648,873,523,SAME_COMPONENT_PERSISTENT
GM019IG0046,39,positive_weight_q70,positive_weight_q85,0.441758,true,0.280486,0.441758,87.626691,523,270,SAME_COMPONENT_PERSISTENT
GM019IG0047,39,positive_weight_q50,positive_weight_q70,0.716714,true,0.011266,0.716714,0.933836,37,17,SAME_COMPONENT_PERSISTENT
GM019IG0047,39,positive_weight_q70,positive_weight_q85,0.27668,true,0.199163,0.27668,44.359301,17,22,SAME_COMPONENT_PERSISTENT
GM019IG0048,39,positive_weight_q50,positive_weight_q70,0.33731,true,0.353404,0.33731,1.016507,142,78,COMPONENT_SPLIT_OR_MERGE
GM019IG0048,39,positive_weight_q70,positive_weight_q85,0,false,0.789491,0.430868,57.437468,78,42,COMPONENT_SPLIT_OR_MERGE
GM019IG0049,32,positive_weight_q50,positive_weight_q70,0.539007,true,0.033593,0.539007,13.220857,21,16,SAME_COMPONENT_PERSISTENT
GM019IG0049,32,positive_weight_q70,positive_weight_q85,0.434211,true,0.065228,0.434211,19.315004,16,8,SAME_COMPONENT_PERSISTENT
GM019IG0050,238,positive_weight_q50,positive_weight_q70,0.141627,true,1.465395,0.141627,25.206884,650,547,COMPONENT_IDENTITY_SWITCH
GM019IG0050,238,positive_weight_q70,positive_weight_q85,0.627451,true,0.031498,0.627451,19.103893,547,394,COMPONENT_IDENTITY_SWITCH
GM019IG0051,228,positive_weight_q50,positive_weight_q70,0.471449,true,0.185794,0.471449,40.304584,83,42,COMPONENT_IDENTITY_SWITCH
GM019IG0051,228,positive_weight_q70,positive_weight_q85,0.164596,true,0.225278,0.164596,41.352021,42,36,COMPONENT_IDENTITY_SWITCH
GM019IG0052,40,positive_weight_q50,positive_weight_q70,0.440758,true,0.088111,0.440758,3.036022,136,93,SAME_COMPONENT_PERSISTENT
GM019IG0052,40,positive_weight_q70,positive_weight_q85,0.293011,true,0.197899,0.293011,27.608517,93,51,SAME_COMPONENT_PERSISTENT
GM019IG0053,243,positive_weight_q50,positive_weight_q70,0.235384,true,1.128296,0.235384,52.309577,551,446,COMPONENT_IDENTITY_SWITCH
GM019IG0053,243,positive_weight_q70,positive_weight_q85,0.416324,true,0.169483,0.416324,70.707784,446,367,COMPONENT_IDENTITY_SWITCH
GM019IG0054,238,positive_weight_q50,positive_weight_q70,0.584416,true,0.034726,0.584416,11.731463,20,8,SAME_COMPONENT_PERSISTENT
GM019IG0054,238,positive_weight_q70,positive_weight_q85,0.555556,true,0.024794,0.555556,10.328165,8,5,SAME_COMPONENT_PERSISTENT
GM019IG0055,30,positive_weight_q50,positive_weight_q70,0.39415,true,0.391875,0.39415,80.283321,287,139,SAME_COMPONENT_PERSISTENT
GM019IG0055,30,positive_weight_q70,positive_weight_q85,0.418868,true,0.071805,0.418868,19.694967,139,85,SAME_COMPONENT_PERSISTENT
GM019IG0056,31,positive_weight_q50,positive_weight_q70,0.460733,true,0.064764,0.460733,21.328791,31,9,SAME_COMPONENT_PERSISTENT
GM019IG0056,31,positive_weight_q70,positive_weight_q85,0.329545,true,0.051897,0.329545,24.931991,9,12,SAME_COMPONENT_PERSISTENT
GM019IG0057,30,positive_weight_q50,positive_weight_q70,0.628141,true,0.005962,0.628141,25.977357,25,6,COMPONENT_IDENTITY_SWITCH
GM019IG0057,30,positive_weight_q70,positive_weight_q85,0.216,true,0.148349,0.216,52.455908,6,7,COMPONENT_IDENTITY_SWITCH
GM019IG0058,259,positive_weight_q50,positive_weight_q70,0.324811,true,0.714711,0.324811,49.127445,507,396,COMPONENT_IDENTITY_SWITCH
GM019IG0058,259,positive_weight_q70,positive_weight_q85,0,false,2.077277,0.31312,43.688855,396,251,COMPONENT_IDENTITY_SWITCH
GM019IG0059,259,positive_weight_q50,positive_weight_q70,0.28911,true,0.674014,0.28911,59.756979,496,477,COMPONENT_IDENTITY_SWITCH
GM019IG0059,259,positive_weight_q70,positive_weight_q85,0,false,2.077277,0.31312,43.688855,477,308,COMPONENT_IDENTITY_SWITCH
GM019IG0060,263,positive_weight_q50,positive_weight_q70,0.334505,true,0.713284,0.334505,66.984266,525,509,COMPONENT_IDENTITY_SWITCH
GM019IG0060,263,positive_weight_q70,positive_weight_q85,0,false,2.155811,0.154154,10.43089,509,349,COMPONENT_IDENTITY_SWITCH
GM019IG0061,32,positive_weight_q50,positive_weight_q70,0.34904,true,0.455723,0.34904,80.454232,616,427,SAME_COMPONENT_PERSISTENT
GM019IG0061,32,positive_weight_q70,positive_weight_q85,0.641745,true,0.04145,0.641745,1.778309,427,312,SAME_COMPONENT_PERSISTENT
GM019IG0062,32,positive_weight_q50,positive_weight_q70,0.62439,true,0.053494,0.62439,23.476291,61,61,COMPONENT_IDENTITY_SWITCH
GM019IG0062,32,positive_weight_q70,positive_weight_q85,0.171875,true,0.174675,0.171875,79.382272,61,35,COMPONENT_IDENTITY_SWITCH
GM019IG0063,34,positive_weight_q50,positive_weight_q70,0.542857,true,0.113298,0.542857,51.227959,55,49,SAME_COMPONENT_PERSISTENT
GM019IG0063,34,positive_weight_q70,positive_weight_q85,0.383459,true,0.070261,0.383459,8.430351,49,36,SAME_COMPONENT_PERSISTENT
GM019IG0064,32,positive_weight_q50,positive_weight_q70,0.721951,true,0.006291,0.721951,1.625753,29,15,SAME_COMPONENT_PERSISTENT
GM019IG0064,32,positive_weight_q70,positive_weight_q85,0.25,true,0.076071,0.25,29.664114,15,12,SAME_COMPONENT_PERSISTENT
GM019IG0065,260,positive_weight_q50,positive_weight_q70,0.303466,true,0.222378,0.303466,22.642951,268,257,SAME_COMPONENT_PERSISTENT
GM019IG0065,260,positive_weight_q70,positive_weight_q85,0.281337,true,0.292703,0.281337,55.348813,257,208,SAME_COMPONENT_PERSISTENT
GM019IG0066,260,positive_weight_q50,positive_weight_q70,0.424375,true,0.102277,0.424375,17.824939,403,372,COMPONENT_SPLIT_OR_MERGE
GM019IG0066,260,positive_weight_q70,positive_weight_q85,0,false,2.125127,0.296738,36.273748,372,271,COMPONENT_SPLIT_OR_MERGE
GM019IG0067,260,positive_weight_q50,positive_weight_q70,0.429101,true,0.140678,0.429101,19.462796,511,494,COMPONENT_SPLIT_OR_MERGE
GM019IG0067,260,positive_weight_q70,positive_weight_q85,0,false,2.164301,0.305795,36.281288,494,322,COMPONENT_SPLIT_OR_MERGE
GM019IG0068,262,positive_weight_q50,positive_weight_q70,0.305652,true,0.90608,0.305652,80.547842,602,555,COMPONENT_IDENTITY_SWITCH
GM019IG0068,262,positive_weight_q70,positive_weight_q85,0,false,2.229946,0.301348,15.870985,555,326,COMPONENT_IDENTITY_SWITCH
GM019IG0069,243,positive_weight_q50,positive_weight_q70,0.59633,true,0.017348,0.59633,5.016926,12,8,COMPONENT_IDENTITY_SWITCH
GM019IG0069,243,positive_weight_q70,positive_weight_q85,0.230769,true,0.052765,0.230769,23.761074,8,8,COMPONENT_IDENTITY_SWITCH
GM019IG0070,34,positive_weight_q50,positive_weight_q70,0.635965,true,0.048299,0.635965,31.14047,38,22,SAME_COMPONENT_PERSISTENT
GM019IG0070,34,positive_weight_q70,positive_weight_q85,0.331034,true,0.090354,0.331034,16.709747,22,18,SAME_COMPONENT_PERSISTENT
GM019IG0071,27,positive_weight_q50,positive_weight_q70,0.595745,true,0.014733,0.595745,5.588018,19,10,SAME_COMPONENT_PERSISTENT
GM019IG0071,27,positive_weight_q70,positive_weight_q85,0.464286,true,0.018018,0.464286,2.433148,10,11,SAME_COMPONENT_PERSISTENT
GM019IG0072,28,positive_weight_q50,positive_weight_q70,0.659459,true,0.01661,0.659459,1.9139,21,19,SAME_COMPONENT_PERSISTENT
GM019IG0072,28,positive_weight_q70,positive_weight_q85,0.540984,true,0.030747,0.540984,4.025447,19,9,SAME_COMPONENT_PERSISTENT
GM019IG0073,39,positive_weight_q50,positive_weight_q70,0.553858,true,0.229239,0.553858,40.496868,550,319,SAME_COMPONENT_PERSISTENT
GM019IG0073,39,positive_weight_q70,positive_weight_q85,0.43374,true,0.183203,0.43374,71.270767,319,152,SAME_COMPONENT_PERSISTENT
GM019IG0074,39,positive_weight_q50,positive_weight_q70,0.611702,true,0.018272,0.611702,0.912162,24,22,SAME_COMPONENT_PERSISTENT
GM019IG0074,39,positive_weight_q70,positive_weight_q85,0.26087,true,0.081639,0.26087,24.254857,22,9,SAME_COMPONENT_PERSISTENT
GM019IG0075,39,positive_weight_q50,positive_weight_q70,0.618182,true,0.014829,0.618182,19.140794,21,16,SAME_COMPONENT_PERSISTENT
GM019IG0075,39,positive_weight_q70,positive_weight_q85,0.509804,true,0.02596,0.509804,2.202738,16,10,SAME_COMPONENT_PERSISTENT
GM019IG0076,239,positive_weight_q50,positive_weight_q70,0.342529,true,0.255691,0.342529,3.576899,46,31,SAME_COMPONENT_PERSISTENT
GM019IG0076,239,positive_weight_q70,positive_weight_q85,0.436242,true,0.044588,0.436242,40.460811,31,28,SAME_COMPONENT_PERSISTENT
GM019IG0077,29,positive_weight_q50,positive_weight_q70,0.744361,true,0.002341,0.744361,1.477295,16,12,SAME_COMPONENT_PERSISTENT
GM019IG0077,29,positive_weight_q70,positive_weight_q85,0.30303,true,0.024588,0.30303,15.821936,12,7,SAME_COMPONENT_PERSISTENT
GM019IG0078,30,positive_weight_q50,positive_weight_q70,0.737288,true,0.01205,0.737288,5.259276,13,14,SAME_COMPONENT_PERSISTENT
GM019IG0078,30,positive_weight_q70,positive_weight_q85,0.528736,true,0.024842,0.528736,14.750508,14,7,SAME_COMPONENT_PERSISTENT
GM019IG0079,31,positive_weight_q50,positive_weight_q70,0.548387,true,0.039899,0.548387,60.601601,21,14,SAME_COMPONENT_PERSISTENT
GM019IG0079,31,positive_weight_q70,positive_weight_q85,0.558824,true,0.020912,0.558824,5.935005,14,5,SAME_COMPONENT_PERSISTENT
GM019IG0080,32,positive_weight_q50,positive_weight_q70,0.363098,true,0.466832,0.363098,81.241294,417,287,SAME_COMPONENT_PERSISTENT
GM019IG0080,32,positive_weight_q70,positive_weight_q85,0.585419,true,0.04243,0.585419,1.71388,287,249,SAME_COMPONENT_PERSISTENT
GM019IG0081,40,positive_weight_q50,positive_weight_q70,0.526316,true,0.051409,0.526316,0.031388,22,15,COMPONENT_IDENTITY_SWITCH
GM019IG0081,40,positive_weight_q70,positive_weight_q85,0.233333,true,0.078775,0.233333,39.229808,15,13,COMPONENT_IDENTITY_SWITCH
GM019IG0082,28,positive_weight_q50,positive_weight_q70,0.494024,true,0.079182,0.494024,0.841728,89,61,SAME_COMPONENT_PERSISTENT
GM019IG0082,28,positive_weight_q70,positive_weight_q85,0.564516,true,0.011522,0.564516,2.902333,61,28,SAME_COMPONENT_PERSISTENT
GM019IG0083,29,positive_weight_q50,positive_weight_q70,0.693727,true,0.013177,0.693727,3.25498,133,63,SAME_COMPONENT_PERSISTENT
GM019IG0083,29,positive_weight_q70,positive_weight_q85,0.501773,true,0.067802,0.501773,1.325768,63,32,SAME_COMPONENT_PERSISTENT
GM019IG0084,30,positive_weight_q50,positive_weight_q70,0.53516,true,0.065688,0.53516,3.594543,126,78,SAME_COMPONENT_PERSISTENT
GM019IG0084,30,positive_weight_q70,positive_weight_q85,0.494881,true,0.06463,0.494881,13.526992,78,38,SAME_COMPONENT_PERSISTENT
GM019IG0085,27,positive_weight_q50,positive_weight_q70,0.493808,true,0.078402,0.493808,3.529701,61,50,SAME_COMPONENT_PERSISTENT
GM019IG0085,27,positive_weight_q70,positive_weight_q85,0.448276,true,0.117536,0.448276,19.071196,50,20,SAME_COMPONENT_PERSISTENT
GM019IG0086,250,positive_weight_q50,positive_weight_q70,0.265615,true,0.79281,0.265615,86.527131,469,379,COMPONENT_IDENTITY_SWITCH
GM019IG0086,250,positive_weight_q70,positive_weight_q85,0.567416,true,0.127968,0.567416,27.65735,379,267,COMPONENT_IDENTITY_SWITCH
GM019IG0087,34,positive_weight_q50,positive_weight_q70,0.662162,true,0.005933,0.662162,1.916034,13,3,SAME_COMPONENT_PERSISTENT
GM019IG0087,34,positive_weight_q70,positive_weight_q85,0.428571,true,0.048588,0.428571,11.837004,3,4,SAME_COMPONENT_PERSISTENT
GM019IG0088,32,positive_weight_q50,positive_weight_q70,0.354348,true,0.46922,0.354348,85.250538,323,229,SAME_COMPONENT_PERSISTENT
GM019IG0088,32,positive_weight_q70,positive_weight_q85,0.608589,true,0.050055,0.608589,2.345297,229,219,SAME_COMPONENT_PERSISTENT
GM019IG0089,269,positive_weight_q50,positive_weight_q70,0.547285,true,0.145388,0.547285,19.241404,539,513,COMPONENT_IDENTITY_SWITCH
GM019IG0089,269,positive_weight_q70,positive_weight_q85,0.184,true,0.820592,0.184,20.463748,513,293,COMPONENT_IDENTITY_SWITCH
GM019IG0090,269,positive_weight_q50,positive_weight_q70,0.396952,true,0.665427,0.396952,58.397262,635,597,COMPONENT_IDENTITY_SWITCH
GM019IG0090,269,positive_weight_q70,positive_weight_q85,0.205524,true,0.728122,0.205524,20.743781,597,362,COMPONENT_IDENTITY_SWITCH
GM019IG0091,272,positive_weight_q50,positive_weight_q70,0.274281,true,0.513177,0.274281,26.098397,643,525,COMPONENT_SPLIT_OR_MERGE
GM019IG0091,272,positive_weight_q70,positive_weight_q85,0,false,1.658781,0.196025,70.306553,525,364,COMPONENT_SPLIT_OR_MERGE
GM019IG0092,272,positive_weight_q50,positive_weight_q70,0.51824,true,0.192917,0.51824,19.515749,833,762,COMPONENT_SPLIT_OR_MERGE
GM019IG0092,272,positive_weight_q70,positive_weight_q85,0,false,1.911291,0.136067,36.728342,762,511,COMPONENT_SPLIT_OR_MERGE
GM019IG0093,272,positive_weight_q50,positive_weight_q70,0.268104,true,0.550455,0.268104,23.308867,698,570,COMPONENT_SPLIT_OR_MERGE
GM019IG0093,272,positive_weight_q70,positive_weight_q85,0,false,1.658781,0.196025,70.306553,570,386,COMPONENT_SPLIT_OR_MERGE
GM019IG0094,270,positive_weight_q50,positive_weight_q70,0.358353,true,0.404531,0.358353,22.395482,738,601,COMPONENT_IDENTITY_SWITCH
