offset_axis,offset_value,region_count,mean_energy_mean,mean_energy_median,mean_energy_p90,total_energy_mean,total_energy_median,total_energy_p90,high_energy_pixel_fraction_mean,high_energy_pixel_fraction_median,high_energy_pixel_fraction_p90,response_occupancy_ratio_mean,response_occupancy_ratio_median,response_occupancy_ratio_p90,range_energy90_width_px_mean,range_energy90_width_px_median,range_energy90_width_px_p90,azimuth_energy90_width_px_mean,azimuth_energy90_width_px_median,azimuth_energy90_width_px_p90,inside_gt_energy_fraction_mean,inside_gt_energy_fraction_median,inside_gt_energy_fraction_p90,mask_contact_ratio_mean,mask_contact_ratio_median,mask_contact_ratio_p90,component_count_mean,component_count_median,component_count_p90,best_offset_for_axis,gt_centered_peak,interpretation
image_y,0.5,72,49.914042,51.175111,56.209739,632505.444444,640233.5,742123.1,0.218545,0.221648,0.297289,0.218545,0.221648,0.297289,54.563741,52.636006,70.271653,132.840884,129.650305,159.471721,0.560135,0.560098,0.579413,0,0,0,251.347222,248.5,322.3,0.25,false,"controlled translation surface, not a localization selector"
image_y,1,72,43.739161,43.738529,50.130962,554693.833333,551540,650393.4,0.040896,0.033924,0.07045,0.040896,0.033924,0.07045,86.642032,83.496361,112.758066,139.165547,138.69914,159.942775,0.014466,0.014249,0.016306,0,0,0,236.708333,237.5,312.2,0.25,false,"controlled translation surface, not a localization selector"
local_azimuth,-1,72,43.321443,43.854464,50.354554,551353.861111,558139.5,669150.6,0.072279,0.030075,0.177344,0.072279,0.030075,0.177344,75.560194,75.154256,103.84261,126.08936,128.247696,145.557848,0,0,0,0.029196,0,0.066753,192.152778,184.5,296.6,-0.25,false,"controlled translation surface, not a localization selector"
local_azimuth,-0.5,72,47.018454,47.472908,52.631776,596343.236111,606598,700327.7,0.136017,0.112453,0.226118,0.136017,0.112453,0.226118,66.439611,64.116641,84.134517,136.689254,141.582888,152.842907,0.33025,0.31059,0.489935,0,0,0,252.513889,240,361.6,-0.25,false,"controlled translation surface, not a localization selector"
local_azimuth,-0.25,72,48.75508,50.081049,54.249664,619187.513889,634154.5,715821.6,0.18478,0.17836,0.275269,0.18478,0.17836,0.275269,67.012206,65.536585,78.52954,122.766641,109.272235,165.16251,0.627539,0.609654,0.741988,0,0,0,276.097222,265,381.5,-0.25,false,"controlled translation surface, not a localization selector"
local_azimuth,0.25,72,47.930582,49.437591,53.60094,608974.986111,622471.5,703138.3,0.157876,0.180534,0.257638,0.157876,0.180534,0.257638,73.342935,69.500888,96.456851,124.478307,125.530891,137.299367,0.630382,0.632785,0.755478,0,0,0,303.027778,310,382.9,-0.25,false,"controlled translation surface, not a localization selector"
local_azimuth,0.5,72,46.517683,47.355688,52.572239,589278.75,586664.5,690909.7,0.122593,0.12089,0.18321,0.122593,0.12089,0.18321,66.172579,62.821849,85.483137,127.365518,129.665913,149.39685,0.331044,0.332448,0.501986,0,0,0,302.763889,305.5,374.9,-0.25,false,"controlled translation surface, not a localization selector"
local_azimuth,1,72,46.585617,45.15358,57.292946,589310.916667,584486,707434.6,0.130558,0.093337,0.260449,0.130558,0.093337,0.260449,79.868133,78.346774,94.808381,133.243049,129.606992,160.294536,0.000102,0,0,0,0,0,302.597222,304,380.9,-0.25,false,"controlled translation surface, not a localization selector"
local_range,-1,72,44.05837,43.584477,51.379404,558514.472222,557153.5,671722.1,0.049386,0.055811,0.070173,0.049386,0.055811,0.070173,65.377129,64.236884,88.653811,134.572982,136.283951,155.359234,0.000215,0,0,0,0,0,225.763889,221.5,280.9,-0.25,false,"controlled translation surface, not a localization selector"
local_range,-0.5,72,48.426268,50.536232,54.358669,613871.111111,634176,725013,0.172973,0.14912,0.290073,0.172973,0.14912,0.290073,84.4717,73.148574,132.104455,123.67439,128.151457,146.652135,0.302955,0.266463,0.521056,0,0,0,230,227.5,291.8,-0.25,false,"controlled translation surface, not a localization selector"
local_range,-0.25,72,50.112952,51.802244,56.485662,636041.402778,648243,749128.6,0.223761,0.222324,0.307849,0.223761,0.222324,0.307849,53.980495,51.560177,67.328057,130.546332,130.856312,148.632386,0.639007,0.630437,0.759472,0,0,0,269.472222,269,345.7,-0.25,false,"controlled translation surface, not a localization selector"
local_range,0.25,72,45.113598,45.823301,51.175707,571477.75,574331,673457.1,0.080172,0.07894,0.143823,0.080172,0.07894,0.143823,85.592836,80.424492,112.422174,138.889589,139.34427,159.50748,0.592181,0.579975,0.71515,0,0,0,310.277778,322.5,433,-0.25,false,"controlled translation surface, not a localization selector"
local_range,0.5,72,44.483121,43.796259,50.610107,564627.305556,562133.5,668406.7,0.058021,0.060677,0.083426,0.058021,0.060677,0.083426,89.449527,94.629033,106.454188,145.775588,149.387576,164.318696,0.237434,0.202443,0.430874,0,0,0,294.555556,303,388,-0.25,false,"controlled translation surface, not a localization selector"
local_range,1,72,46.283252,45.321417,53.361757,587109.902778,582484.5,693953.5,0.110577,0.11212,0.13841,0.110577,0.11212,0.13841,80.99869,76.515588,103.712582,144.042837,142.72333,165.821598,0,0,0,0,0,0,375.819444,387,448.4,-0.25,false,"controlled translation surface, not a localization selector"
storage_long_axis,-1,72,44.914042,44.429692,51.393648,570253.430556,575512,677311.9,0.073811,0.061391,0.116812,0.073811,0.061391,0.116812,80.682958,78.613312,97.548899,122.458173,125.386038,140.410847,0,0,0,0,0,0,216.763889,211,285,0.25,false,"controlled translation surface, not a localization selector"
storage_long_axis,-0.5,72,47.424934,47.869772,53.11509,602272.208333,613587.5,708667.8,0.146086,0.129807,0.227045,0.146086,0.129807,0.227045,89.403919,88.038097,120.479472,133.051272,131.453342,156.292094,0.511813,0.508236,0.537834,0,0,0,259.361111,241,359.7,0.25,false,"controlled translation surface, not a localization selector"
storage_long_axis,-0.25,72,48.952946,50.421284,54.456793,622112.916667,637563,725785.9,0.190575,0.195037,0.277752,0.190575,0.195037,0.277752,81.229847,78.179798,108.168195,126.979206,128.780796,164.623053,0.754013,0.752761,0.76871,0,0,0,272.263889,265.5,366.6,0.25,false,"controlled translation surface, not a localization selector"
storage_long_axis,0.25,72,49.343448,50.288927,55.890896,626280.347222,632705.5,739785.2,0.199374,0.199794,0.259666,0.199374,0.199794,0.259666,64.028602,60.069779,78.915278,119.51989,119.480885,131.649914,0.765109,0.765195,0.777232,0,0,0,298.333333,306,378.2,0.25,false,"controlled translation surface, not a localization selector"
storage_long_axis,0.5,72,47.848058,48.242541,54.621038,607529.152778,605802.5,714971.9,0.156525,0.161181,0.199494,0.156525,0.161181,0.199494,59.763133,58.272975,72.594315,112.594131,111.24786,130.619732,0.533925,0.532965,0.549987,0,0,0,283.416667,289.5,345.8,0.25,false,"controlled translation surface, not a localization selector"
storage_long_axis,1,72,44.059025,43.23894,51.368781,559010.180556,550585,661928.7,0.046905,0.043466,0.068185,0.046905,0.043466,0.068185,85.841583,84.239868,117.140075,142.433179,141.779277,161.691651,0.006409,0.00628,0.006932,0,0,0,255.180556,255.5,309.9,0.25,false,"controlled translation surface, not a localization selector"
storage_short_axis,-1,72,45.082606,44.409149,51.270105,571510.763889,567490.5,683088,0.077064,0.078882,0.098369,0.077064,0.078882,0.098369,86.973243,86.749043,106.02976,144.774247,142.684335,162.084182,0.000169,0,0,0,0,0,311.944444,307,393.7,0.25,false,"controlled translation surface, not a localization selector"
storage_short_axis,-0.5,72,44.588685,44.215153,50.973043,565344.097222,560432.5,664795.3,0.061878,0.062304,0.097686,0.061878,0.062304,0.097686,87.744128,86.565857,113.721337,140.107975,137.61852,162.479104,0.49882,0.498829,0.506469,0,0,0,299.277778,312.5,409,0.25,false,"controlled translation surface, not a localization selector"
storage_short_axis,-0.25,72,46.289453,46.694815,52.397493,587318.111111,586783.5,685086.2,0.118197,0.128841,0.173346,0.118197,0.128841,0.173346,80.81569,78.145487,107.975007,135.775839,137.581246,164.325361,0.748916,0.749599,0.757644,0,0,0,317.972222,325,427.7,0.25,false,"controlled translation surface, not a localization selector"
storage_short_axis,0.25,72,50.356133,51.806446,56.668537,638852.833333,648187.5,743796.7,0.23078,0.235835,0.309967,0.23078,0.235835,0.309967,58.73596,56.614659,75.715944,132.065395,130.099337,153.024279,0.77671,0.778358,0.788075,0,0,0,283.763889,277,362.9,0.25,false,"controlled translation surface, not a localization selector"
storage_short_axis,0.5,72,49.914042,51.175111,56.209739,632505.444444,640233.5,742123.1,0.218545,0.221648,0.297289,0.218545,0.221648,0.297289,54.563741,52.636006,70.271653,132.840884,129.650305,159.471721,0.560135,0.560098,0.579413,0,0,0,251.347222,248.5,322.3,0.25,false,"controlled translation surface, not a localization selector"
storage_short_axis,1,72,43.739161,43.738529,50.130962,554693.833333,551540,650393.4,0.040896,0.033924,0.07045,0.040896,0.033924,0.07045,86.642032,83.496361,112.758066,139.165547,138.69914,159.942775,0.014466,0.014249,0.016306,0,0,0,236.708333,237.5,312.2,0.25,false,"controlled translation surface, not a localization selector"
