blind_review_id,blind_frame_id,blind_object_id,review_object_type,candidate_role_summary,runtime_png
BRV_0021,BLIND_FRAME_015,BLIND_OBJECT_021,structure_candidate,background_arc_candidate,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0022,BLIND_FRAME_016,BLIND_OBJECT_022,structure_candidate,body_core_candidate;side_ridge_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0023,BLIND_FRAME_016,BLIND_OBJECT_023,structure_candidate,background_arc_candidate,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0024,BLIND_FRAME_017,BLIND_OBJECT_024,structure_candidate,body_core_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0025,BLIND_FRAME_017,BLIND_OBJECT_025,structure_candidate,background_arc_candidate,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0026,BLIND_FRAME_018,BLIND_OBJECT_026,structure_candidate,endpoint_hotspot_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0027,BLIND_FRAME_019,BLIND_OBJECT_027,structure_candidate,unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0028,BLIND_FRAME_020,BLIND_OBJECT_028,structure_candidate,endpoint_hotspot_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0029,BLIND_FRAME_021,BLIND_OBJECT_029,structure_candidate,unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0030,BLIND_FRAME_022,BLIND_OBJECT_030,structure_candidate,endpoint_hotspot_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0031,BLIND_FRAME_023,BLIND_OBJECT_031,structure_candidate,endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0032,BLIND_FRAME_024,BLIND_OBJECT_032,structure_candidate,endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0033,BLIND_FRAME_025,BLIND_OBJECT_033,structure_candidate,isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0034,BLIND_FRAME_026,BLIND_OBJECT_034,structure_candidate,endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0035,BLIND_FRAME_027,BLIND_OBJECT_035,structure_candidate,isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0036,BLIND_FRAME_028,BLIND_OBJECT_036,structure_candidate,isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0037,BLIND_FRAME_029,BLIND_OBJECT_037,structure_candidate,body_core_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0038,BLIND_FRAME_030,BLIND_OBJECT_038,structure_candidate,endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0039,BLIND_FRAME_031,BLIND_OBJECT_039,structure_candidate,endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0040,BLIND_FRAME_032,BLIND_OBJECT_040,structure_candidate,endpoint_hotspot_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0041,BLIND_FRAME_033,BLIND_OBJECT_041,structure_candidate,body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0042,BLIND_FRAME_034,BLIND_OBJECT_042,structure_candidate,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0043,BLIND_FRAME_035,BLIND_OBJECT_043,structure_candidate,body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0044,BLIND_FRAME_036,BLIND_OBJECT_044,structure_candidate,body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0045,BLIND_FRAME_037,BLIND_OBJECT_045,structure_candidate,endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0046,BLIND_FRAME_038,BLIND_OBJECT_046,structure_candidate,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0047,BLIND_FRAME_039,BLIND_OBJECT_047,structure_candidate,body_core_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0048,BLIND_FRAME_040,BLIND_OBJECT_048,structure_candidate,body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0049,BLIND_FRAME_041,BLIND_OBJECT_049,structure_candidate,body_core_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0050,BLIND_FRAME_042,BLIND_OBJECT_050,structure_candidate,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0051,BLIND_FRAME_043,BLIND_OBJECT_051,structure_candidate,body_core_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0052,BLIND_FRAME_044,BLIND_OBJECT_052,structure_candidate,body_core_candidate;isolated_small_atom;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0053,BLIND_FRAME_045,BLIND_OBJECT_053,structure_candidate,body_core_candidate;isolated_small_atom;side_ridge_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
BRV_0054,BLIND_FRAME_046,BLIND_OBJECT_054,structure_candidate,side_ridge_candidate;unresolved_atom,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
