blind_review_id,blind_frame_id,blind_object_id,response_box_id,raw_visible_structure,raw_vehicle_part_support,raw_background_support,raw_unresolved,raw_decisive_reason,raw_visual_confidence,raw_png
R2RAW_0016,R2_BLIND_FRAME_008,R2_BLIND_OBJECT_016,R2B0016,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0017,R2_BLIND_FRAME_009,R2_BLIND_OBJECT_017,R2B0017,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0018,R2_BLIND_FRAME_009,R2_BLIND_OBJECT_018,R2B0018,true,false,true,false,raw grayscale is dominated by long arc or diffuse linear background; no compact vehicle part,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0019,R2_BLIND_FRAME_009,R2_BLIND_OBJECT_019,R2B0019,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0020,R2_BLIND_FRAME_010,R2_BLIND_OBJECT_020,R2B0020,true,false,true,false,raw grayscale is dominated by long arc or diffuse linear background; no compact vehicle part,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0021,R2_BLIND_FRAME_011,R2_BLIND_OBJECT_021,R2B0021,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0022,R2_BLIND_FRAME_012,R2_BLIND_OBJECT_022,R2B0022,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0023,R2_BLIND_FRAME_012,R2_BLIND_OBJECT_023,R2B0023,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_001.png
R2RAW_0024,R2_BLIND_FRAME_013,R2_BLIND_OBJECT_024,R2B0024,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0025,R2_BLIND_FRAME_013,R2_BLIND_OBJECT_025,R2B0025,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0026,R2_BLIND_FRAME_014,R2_BLIND_OBJECT_026,R2B0026,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0027,R2_BLIND_FRAME_014,R2_BLIND_OBJECT_027,R2B0027,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0028,R2_BLIND_FRAME_015,R2_BLIND_OBJECT_028,R2B0028,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0029,R2_BLIND_FRAME_015,R2_BLIND_OBJECT_029,R2B0029,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0030,R2_BLIND_FRAME_016,R2_BLIND_OBJECT_030,R2B0030,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0031,R2_BLIND_FRAME_016,R2_BLIND_OBJECT_031,R2B0031,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0032,R2_BLIND_FRAME_017,R2_BLIND_OBJECT_032,R2B0032,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0033,R2_BLIND_FRAME_017,R2_BLIND_OBJECT_033,R2B0033,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0034,R2_BLIND_FRAME_018,R2_BLIND_OBJECT_034,R2B0034,true,false,true,false,raw grayscale is dominated by long arc or diffuse linear background; no compact vehicle part,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0035,R2_BLIND_FRAME_019,R2_BLIND_OBJECT_035,R2B0035,true,false,true,false,raw grayscale is dominated by long arc or diffuse linear background; no compact vehicle part,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0036,R2_BLIND_FRAME_020,R2_BLIND_OBJECT_036,R2B0036,true,false,true,false,raw grayscale is dominated by long arc or diffuse linear background; no compact vehicle part,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0037,R2_BLIND_FRAME_021,R2_BLIND_OBJECT_037,R2B0037,true,false,true,false,raw grayscale is dominated by long arc or diffuse linear background; no compact vehicle part,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0038,R2_BLIND_FRAME_022,R2_BLIND_OBJECT_038,R2B0038,true,false,true,false,raw grayscale is dominated by long arc or diffuse linear background; no compact vehicle part,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0039,R2_BLIND_FRAME_023,R2_BLIND_OBJECT_039,R2B0039,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0040,R2_BLIND_FRAME_024,R2_BLIND_OBJECT_040,R2B0040,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0041,R2_BLIND_FRAME_024,R2_BLIND_OBJECT_041,R2B0041,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_002.png
R2RAW_0042,R2_BLIND_FRAME_025,R2_BLIND_OBJECT_042,R2B0042,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0043,R2_BLIND_FRAME_026,R2_BLIND_OBJECT_043,R2B0043,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0044,R2_BLIND_FRAME_027,R2_BLIND_OBJECT_044,R2B0044,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0045,R2_BLIND_FRAME_028,R2_BLIND_OBJECT_045,R2B0045,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0046,R2_BLIND_FRAME_028,R2_BLIND_OBJECT_046,R2B0046,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0047,R2_BLIND_FRAME_029,R2_BLIND_OBJECT_047,R2B0047,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0048,R2_BLIND_FRAME_029,R2_BLIND_OBJECT_048,R2B0048,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0049,R2_BLIND_FRAME_030,R2_BLIND_OBJECT_049,R2B0049,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0050,R2_BLIND_FRAME_030,R2_BLIND_OBJECT_050,R2B0050,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0051,R2_BLIND_FRAME_031,R2_BLIND_OBJECT_051,R2B0051,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0052,R2_BLIND_FRAME_031,R2_BLIND_OBJECT_052,R2B0052,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0053,R2_BLIND_FRAME_032,R2_BLIND_OBJECT_053,R2B0053,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0054,R2_BLIND_FRAME_033,R2_BLIND_OBJECT_054,R2B0054,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0055,R2_BLIND_FRAME_033,R2_BLIND_OBJECT_055,R2B0055,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0056,R2_BLIND_FRAME_034,R2_BLIND_OBJECT_056,R2B0056,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0057,R2_BLIND_FRAME_034,R2_BLIND_OBJECT_057,R2B0057,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0058,R2_BLIND_FRAME_035,R2_BLIND_OBJECT_058,R2B0058,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0059,R2_BLIND_FRAME_035,R2_BLIND_OBJECT_059,R2B0059,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0060,R2_BLIND_FRAME_036,R2_BLIND_OBJECT_060,R2B0060,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0061,R2_BLIND_FRAME_036,R2_BLIND_OBJECT_061,R2B0061,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_003.png
R2RAW_0062,R2_BLIND_FRAME_037,R2_BLIND_OBJECT_062,R2B0062,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_004.png
R2RAW_0063,R2_BLIND_FRAME_037,R2_BLIND_OBJECT_063,R2B0063,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_004.png
R2RAW_0064,R2_BLIND_FRAME_037,R2_BLIND_OBJECT_064,R2B0064,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_004.png
R2RAW_0065,R2_BLIND_FRAME_038,R2_BLIND_OBJECT_065,R2B0065,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_004.png
R2RAW_0066,R2_BLIND_FRAME_038,R2_BLIND_OBJECT_066,R2B0066,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_004.png
R2RAW_0067,R2_BLIND_FRAME_039,R2_BLIND_OBJECT_067,R2B0067,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_004.png
R2RAW_0068,R2_BLIND_FRAME_039,R2_BLIND_OBJECT_068,R2B0068,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_004.png
R2RAW_0069,R2_BLIND_FRAME_040,R2_BLIND_OBJECT_069,R2B0069,true,true,false,false,raw grayscale shows compact multi-spot or edge response inside outline; vehicle-part support only,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_004.png
R2RAW_0070,R2_BLIND_FRAME_040,R2_BLIND_OBJECT_070,R2B0070,true,false,true,false,raw grayscale is dominated by long arc or diffuse linear background; no compact vehicle part,medium,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_004.png
R2RAW_0071,R2_BLIND_FRAME_041,R2_BLIND_OBJECT_071,R2B0071,false,false,false,true,raw grayscale has weak or mixed returns without decisive vehicle or background structure,low,outputs/wgv3_6a_a1_8a_r2_20260711/blind_raw_sheet_004.png
