pair_id,sar_frame,split,method,body_axis_proxy_deg,motion_heading_directed_deg,speed_px_per_sar_frame,along_track_residual_px,cross_track_residual_px,total_residual_px,support_frame_count,support_frames,posthoc_or_runtime,used_for_main_body_axis_proxy
WGV35A_PAIR_0025,333,calibration,history_only_line_tangent,179.243046,-0.756954,6.747487,2.061732,2.089483,2.935418,6,323;325;327;331;332;333,posthoc_diagnostic,false
WGV35A_PAIR_0025,333,calibration,robust_median_displacement_direction,12.439703,12.439703,5.823722,3.591978,3.256312,4.848286,13,325;327;331;332;333;334;335;336;337;338;339;340;341,posthoc_diagnostic,false
WGV35A_PAIR_0025,333,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,1.015497,,,,,,25,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0027,334,calibration,symmetric_local_line_tangent,179.666452,-0.333548,6.683176,2.496541,1.928121,3.15442,13,327;331;332;333;334;335;336;337;338;339;340;341;342,posthoc_diagnostic,true
WGV35A_PAIR_0027,334,calibration,local_quadratic_tangent,178.94771,-1.05229,6.833799,2.006716,1.731474,2.650455,13,327;331;332;333;334;335;336;337;338;339;340;341;342,posthoc_diagnostic,false
WGV35A_PAIR_0027,334,calibration,history_only_line_tangent,0.752205,0.752205,6.508148,2.166908,2.026246,2.966675,6,325;327;331;332;333;334,posthoc_diagnostic,false
WGV35A_PAIR_0027,334,calibration,robust_median_displacement_direction,4.996528,4.996528,6.716774,3.612652,2.844757,4.598249,13,327;331;332;333;334;335;336;337;338;339;340;341;342,posthoc_diagnostic,false
WGV35A_PAIR_0027,334,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,179.90342,,,,,,25,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0030,335,calibration,symmetric_local_line_tangent,179.47096,-0.52904,6.680982,2.407479,1.868605,3.047563,14,327;331;332;333;334;335;336;337;338;339;340;341;342;343,posthoc_diagnostic,true
WGV35A_PAIR_0030,335,calibration,local_quadratic_tangent,179.215247,-0.784753,6.744427,2.057012,1.770363,2.713943,14,327;331;332;333;334;335;336;337;338;339;340;341;342;343,posthoc_diagnostic,false
WGV35A_PAIR_0030,335,calibration,history_only_line_tangent,179.282856,-0.717144,6.821894,2.842141,2.130468,3.551994,7,325;327;331;332;333;334;335,posthoc_diagnostic,false
WGV35A_PAIR_0030,335,calibration,robust_median_displacement_direction,2.702624,2.702624,6.903178,3.574121,2.684633,4.470078,14,327;331;332;333;334;335;336;337;338;339;340;341;342;343,posthoc_diagnostic,false
WGV35A_PAIR_0030,335,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,179.58413,,,,,,26,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0033,336,calibration,symmetric_local_line_tangent,0.135745,0.135745,6.536745,2.151423,1.761834,2.780769,14,331;332;333;334;335;336;337;338;339;340;341;342;343;344,posthoc_diagnostic,true
WGV35A_PAIR_0033,336,calibration,local_quadratic_tangent,0.385901,0.385901,6.607072,2.123629,1.757711,2.756691,14,331;332;333;334;335;336;337;338;339;340;341;342;343;344,posthoc_diagnostic,false
WGV35A_PAIR_0033,336,calibration,history_only_line_tangent,175.91644,-4.08356,7.092902,2.596739,1.423297,2.96122,7,327;331;332;333;334;335;336,posthoc_diagnostic,false
WGV35A_PAIR_0033,336,calibration,robust_median_displacement_direction,2.702624,2.702624,6.903178,3.571099,2.664832,4.455791,14,331;332;333;334;335;336;337;338;339;340;341;342;343;344,posthoc_diagnostic,false
WGV35A_PAIR_0033,336,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,0.078778,,,,,,26,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0035,337,calibration,symmetric_local_line_tangent,179.754456,-0.245544,6.472768,2.157697,1.74475,2.774853,15,331;332;333;334;335;336;337;338;339;340;341;342;343;344;345,posthoc_diagnostic,true
WGV35A_PAIR_0035,337,calibration,local_quadratic_tangent,0.099305,0.099305,6.54341,2.075732,1.715387,2.692808,15,331;332;333;334;335;336;337;338;339;340;341;342;343;344;345,posthoc_diagnostic,false
WGV35A_PAIR_0035,337,calibration,history_only_line_tangent,176.741014,-3.258986,7.045211,2.436775,1.443926,2.832453,8,327;331;332;333;334;335;336;337,posthoc_diagnostic,false
WGV35A_PAIR_0035,337,calibration,robust_median_displacement_direction,1.406156,1.406156,6.693266,3.579248,2.54828,4.393717,15,331;332;333;334;335;336;337;338;339;340;341;342;343;344;345,posthoc_diagnostic,false
WGV35A_PAIR_0035,337,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,179.714309,,,,,,27,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0038,338,calibration,symmetric_local_line_tangent,179.513022,-0.486978,6.492254,2.098641,1.710533,2.707438,16,331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346,posthoc_diagnostic,true
WGV35A_PAIR_0038,338,calibration,local_quadratic_tangent,179.705747,-0.294253,6.512269,2.06374,1.660546,2.648856,16,331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346,posthoc_diagnostic,false
WGV35A_PAIR_0038,338,calibration,history_only_line_tangent,178.327313,-1.672687,6.911266,2.379452,1.464267,2.793898,8,331;332;333;334;335;336;337;338,posthoc_diagnostic,false
WGV35A_PAIR_0038,338,calibration,robust_median_displacement_direction,0.328208,0.328208,6.895613,3.538475,2.443854,4.300375,16,331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346,posthoc_diagnostic,false
WGV35A_PAIR_0038,338,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,179.50672,,,,,,28,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0041,339,calibration,symmetric_local_line_tangent,179.408812,-0.591188,6.504677,2.040746,1.664233,2.633308,17,331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347,posthoc_diagnostic,true
WGV35A_PAIR_0041,339,calibration,local_quadratic_tangent,179.408812,-0.591188,6.504677,2.026125,1.612531,2.589487,17,331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347,posthoc_diagnostic,false
WGV35A_PAIR_0041,339,calibration,history_only_line_tangent,0.009545,0.009545,6.803258,2.272519,1.608145,2.783967,9,331;332;333;334;335;336;337;338;339,posthoc_diagnostic,false
WGV35A_PAIR_0041,339,calibration,robust_median_displacement_direction,1.438247,1.438247,6.693359,3.41069,2.385039,4.161877,17,331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347,posthoc_diagnostic,false
WGV35A_PAIR_0041,339,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,179.512159,,,,,,29,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0044,340,calibration,symmetric_local_line_tangent,179.701939,-0.298061,6.442027,2.032843,1.752308,2.683847,17,332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348,posthoc_diagnostic,true
WGV35A_PAIR_0044,340,calibration,local_quadratic_tangent,179.701939,-0.298061,6.442027,2.020482,1.752283,2.67448,17,332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348,posthoc_diagnostic,false
WGV35A_PAIR_0044,340,calibration,history_only_line_tangent,2.077903,2.077903,6.759248,2.147259,1.930173,2.887263,10,331;332;333;334;335;336;337;338;339;340,posthoc_diagnostic,false
WGV35A_PAIR_0044,340,calibration,robust_median_displacement_direction,1.488443,1.488443,6.467682,3.393508,2.385361,4.147992,17,332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348,posthoc_diagnostic,false
WGV35A_PAIR_0044,340,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,179.856887,,,,,,29,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0048,341,calibration,symmetric_local_line_tangent,0.708955,0.708955,6.435934,2.033534,1.715739,2.660643,17,333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349,posthoc_diagnostic,true
WGV35A_PAIR_0048,341,calibration,local_quadratic_tangent,0.708955,0.708955,6.435934,1.988524,1.715092,2.62598,17,333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349,posthoc_diagnostic,false
WGV35A_PAIR_0048,341,calibration,history_only_line_tangent,1.343976,1.343976,6.577487,2.281563,1.892846,2.964523,11,331;332;333;334;335;336;337;338;339;340;341,posthoc_diagnostic,false
WGV35A_PAIR_0048,341,calibration,robust_median_displacement_direction,2.718414,2.718414,6.557379,3.331599,2.131284,3.954987,17,333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349,posthoc_diagnostic,false
WGV35A_PAIR_0048,341,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,0.808258,,,,,,29,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0051,342,calibration,symmetric_local_line_tangent,0.246471,0.246471,6.497061,2.264416,1.714149,2.84005,17,334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350,posthoc_diagnostic,true
WGV35A_PAIR_0051,342,calibration,local_quadratic_tangent,0.246471,0.246471,6.497061,2.241292,1.713197,2.82107,17,334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350,posthoc_diagnostic,false
WGV35A_PAIR_0051,342,calibration,history_only_line_tangent,0.927182,0.927182,6.389664,2.331737,1.912331,3.015627,11,332;333;334;335;336;337;338;339;340;341;342,posthoc_diagnostic,false
WGV35A_PAIR_0051,342,calibration,robust_median_displacement_direction,1.424837,1.424837,6.756339,3.559982,2.210365,4.190368,17,334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350,posthoc_diagnostic,false
WGV35A_PAIR_0051,342,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,0.320583,,,,,,29,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0053,343,calibration,symmetric_local_line_tangent,0.41966,0.41966,6.347488,2.210908,1.68742,2.781277,17,335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351,posthoc_diagnostic,true
WGV35A_PAIR_0053,343,calibration,local_quadratic_tangent,0.41966,0.41966,6.347488,2.175281,1.661913,2.737481,17,335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351,posthoc_diagnostic,false
WGV35A_PAIR_0053,343,calibration,history_only_line_tangent,1.6564,1.6564,6.477511,2.340304,1.707384,2.896926,11,333;334;335;336;337;338;339;340;341;342;343,posthoc_diagnostic,false
WGV35A_PAIR_0053,343,calibration,robust_median_displacement_direction,2.718414,2.718414,6.557379,3.563555,1.997622,4.085269,17,335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351,posthoc_diagnostic,false
WGV35A_PAIR_0053,343,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,0.550247,,,,,,29,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0056,344,calibration,symmetric_local_line_tangent,0.762201,0.762201,6.442917,1.976129,1.887718,2.732868,17,336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352,posthoc_diagnostic,true
WGV35A_PAIR_0056,344,calibration,local_quadratic_tangent,0.762201,0.762201,6.442917,1.974368,1.797429,2.669996,17,336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352,posthoc_diagnostic,false
WGV35A_PAIR_0056,344,calibration,history_only_line_tangent,0.54829,0.54829,6.468587,2.339411,1.728527,2.908719,11,334;335;336;337;338;339;340;341;342;343;344,posthoc_diagnostic,false
WGV35A_PAIR_0056,344,calibration,robust_median_displacement_direction,2.636327,2.636327,6.761406,3.219325,2.268052,3.938035,17,336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352,posthoc_diagnostic,false
WGV35A_PAIR_0056,344,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,0.826711,,,,,,29,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0060,345,calibration,symmetric_local_line_tangent,0.875059,0.875059,6.378268,1.866303,1.907618,2.668725,17,337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353,posthoc_diagnostic,true
WGV35A_PAIR_0060,345,calibration,local_quadratic_tangent,0.875059,0.875059,6.378268,1.852924,1.705947,2.518647,17,337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353,posthoc_diagnostic,false
WGV35A_PAIR_0060,345,calibration,history_only_line_tangent,0.374207,0.374207,6.176045,1.993288,1.758327,2.65799,11,335;336;337;338;339;340;341;342;343;344;345,posthoc_diagnostic,false
WGV35A_PAIR_0060,345,calibration,robust_median_displacement_direction,1.469249,1.469249,6.552154,3.145112,2.350208,3.92622,17,337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353,posthoc_diagnostic,false
WGV35A_PAIR_0060,345,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,0.887309,,,,,,29,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0063,346,calibration,symmetric_local_line_tangent,1.157978,1.157978,6.395617,1.875197,1.941529,2.69924,17,338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354,posthoc_diagnostic,true
WGV35A_PAIR_0063,346,calibration,local_quadratic_tangent,1.157978,1.157978,6.395617,1.846934,1.637961,2.468619,17,338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354,posthoc_diagnostic,false
WGV35A_PAIR_0063,346,calibration,history_only_line_tangent,178.585454,-1.414546,6.443295,1.69089,1.558692,2.299702,11,336;337;338;339;340;341;342;343;344;345;346,posthoc_diagnostic,false
WGV35A_PAIR_0063,346,calibration,robust_median_displacement_direction,2.718414,2.718414,6.557379,3.106409,2.349423,3.894813,17,338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354,posthoc_diagnostic,false
WGV35A_PAIR_0063,346,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,1.133751,,,,,,29,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0065,347,calibration,symmetric_local_line_tangent,0.828961,0.828961,6.438326,1.765431,1.963106,2.640176,17,339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355,posthoc_diagnostic,true
WGV35A_PAIR_0065,347,calibration,local_quadratic_tangent,0.828961,0.828961,6.438326,1.761245,1.726894,2.466606,17,339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355,posthoc_diagnostic,false
WGV35A_PAIR_0065,347,calibration,history_only_line_tangent,177.608983,-2.391017,6.362699,1.518689,1.406258,2.069777,11,337;338;339;340;341;342;343;344;345;346;347,posthoc_diagnostic,false
WGV35A_PAIR_0065,347,calibration,robust_median_displacement_direction,1.469249,1.469249,6.552154,3.065132,2.389621,3.886557,17,339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355,posthoc_diagnostic,false
WGV35A_PAIR_0065,347,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,0.754659,,,,,,29,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0068,348,calibration,symmetric_local_line_tangent,0.992332,0.992332,6.43951,1.764099,1.927516,2.612922,17,340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356,posthoc_diagnostic,true
WGV35A_PAIR_0068,348,calibration,local_quadratic_tangent,0.992332,0.992332,6.43951,1.741863,1.8384,2.532548,17,340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356,posthoc_diagnostic,false
WGV35A_PAIR_0068,348,calibration,history_only_line_tangent,178.31122,-1.68878,6.312937,1.54059,1.618676,2.23462,11,338;339;340;341;342;343;344;345;346;347;348,posthoc_diagnostic,false
WGV35A_PAIR_0068,348,calibration,robust_median_displacement_direction,1.477649,1.477649,6.514916,3.06097,2.313384,3.836832,17,340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356,posthoc_diagnostic,false
WGV35A_PAIR_0068,348,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,0.932754,,,,,,29,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0073,349,calibration,symmetric_local_line_tangent,1.272411,1.272411,6.557823,1.985426,1.733481,2.635692,17,341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357,posthoc_diagnostic,true
WGV35A_PAIR_0073,349,calibration,local_quadratic_tangent,1.272411,1.272411,6.557823,1.984735,1.666264,2.591449,17,341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357,posthoc_diagnostic,false
WGV35A_PAIR_0073,349,calibration,history_only_line_tangent,179.038916,-0.961084,6.412248,1.34454,1.820712,2.263356,11,339;340;341;342;343;344;345;346;347;348;349,posthoc_diagnostic,false
WGV35A_PAIR_0073,349,calibration,robust_median_displacement_direction,1.463498,1.463498,6.577896,3.215125,2.080476,3.829544,17,341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357,posthoc_diagnostic,false
WGV35A_PAIR_0073,349,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,1.217432,,,,,,29,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0076,350,calibration,symmetric_local_line_tangent,1.422754,1.422754,6.585634,2.056586,1.734321,2.690245,17,342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358,posthoc_diagnostic,true
WGV35A_PAIR_0076,350,calibration,local_quadratic_tangent,1.422754,1.422754,6.585634,1.982492,1.663763,2.588124,17,342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358,posthoc_diagnostic,false
WGV35A_PAIR_0076,350,calibration,history_only_line_tangent,179.232118,-0.767882,6.670131,1.799876,1.805009,2.549041,11,340;341;342;343;344;345;346;347;348;349;350,posthoc_diagnostic,false
WGV35A_PAIR_0076,350,calibration,robust_median_displacement_direction,1.463498,1.463498,6.577896,3.220788,2.263558,3.936644,17,342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358,posthoc_diagnostic,false
WGV35A_PAIR_0076,350,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,1.361937,,,,,,29,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0079,351,calibration,symmetric_local_line_tangent,1.575819,1.575819,6.530048,2.04095,1.725541,2.672633,17,343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359,posthoc_diagnostic,true
WGV35A_PAIR_0079,351,calibration,local_quadratic_tangent,1.575819,1.575819,6.530048,1.952595,1.621505,2.538091,17,343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359,posthoc_diagnostic,false
WGV35A_PAIR_0079,351,calibration,history_only_line_tangent,1.075921,1.075921,6.56137,2.096339,1.223742,2.427381,11,341;342;343;344;345;346;347;348;349;350;351,posthoc_diagnostic,false
WGV35A_PAIR_0079,351,calibration,robust_median_displacement_direction,1.482541,1.482541,6.493424,3.270967,2.250504,3.97039,17,343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359,posthoc_diagnostic,false
WGV35A_PAIR_0079,351,calibration,leave_one_frame_out_plus_center_perturbation_uncertainty,1.566663,,,,,,29,uncertainty_samples,posthoc_uncertainty_audit,false
WGV35A_PAIR_0082,352,calibration,symmetric_local_line_tangent,1.172808,1.172808,6.584545,2.042775,1.78409,2.712177,17,344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360,posthoc_diagnostic,true
