scene,sar_frame,image_path,exists,width,height,fan_nonzero_pixel_count,fan_nonzero_ratio,frame_valid_azimuth_min,frame_valid_azimuth_max,frame_valid_azimuth_bins,frame_valid_radial_pixel_min,frame_valid_radial_pixel_max,fan_mean_intensity,fan_max_intensity
GM_RM011,75,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000075.png,true,2308,1334,1865707,0.709822,-68,67,136,30,1332,24.40857,251
GM_RM011,85,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000085.png,true,2308,1334,1866666,0.710187,-69,67,137,30,1332,32.089878,244
GM_RM011,86,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000086.png,true,2308,1334,1866235,0.710023,-69,67,137,30,1332,31.351655,252
GM_RM011,100,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000100.png,true,2308,1334,1865079,0.709583,-67,66,134,32,1332,25.065772,251
GM_RM011,119,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000119.png,true,2308,1334,1865719,0.709827,-69,67,137,31,1332,24.112678,255
GM_RM011,150,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000150.png,true,2308,1334,1865169,0.709618,-69,67,137,31,1332,32.421347,250
GM_RM011,200,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000200.png,true,2308,1334,1865204,0.709631,-68,68,135,33,1332,41.419548,252
GM_RM011,250,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000250.png,true,2308,1334,1865714,0.709825,-67,69,137,31,1332,37.202694,255
GM_RM011,300,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000300.png,true,2308,1334,1865753,0.70984,-69,69,138,31,1332,37.592854,255
GM_RM011,350,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000350.png,true,2308,1334,1865128,0.709602,-66,67,134,32,1332,31.077664,251
GM_RM011,400,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000400.png,true,2308,1334,1865141,0.709607,-67,66,134,31,1332,21.819806,252
GM_RM011,450,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000450.png,true,2308,1334,1864587,0.709396,-68,68,136,24,1332,21.666325,250
GM_RM011,500,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000500.png,true,2308,1334,1864619,0.709408,-68,65,133,31,1332,23.969528,253
GM_RM011,550,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000550.png,true,2308,1334,1865253,0.70965,-69,65,135,31,1332,30.284781,255
GM_RM011,600,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000600.png,true,2308,1334,1864613,0.709406,-68,67,135,28,1332,28.588104,252
GM_RM011,650,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000650.png,true,2308,1334,1865157,0.709613,-68,66,134,24,1332,32.254369,249
GM_RM011,700,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000700.png,true,2308,1334,1865617,0.709788,-68,68,137,30,1332,23.438978,252
GM_RM011,765,D:/profile/research/data/GM_RM011/GM_RM011_SARframes_gray/000765.png,true,2308,1334,1865562,0.709767,-69,68,138,30,1332,31.300177,251
