plan_region_id,gt_pair_id,gt_instance_id,physical_vehicle_id,evaluation_pool,sar_frame,region_role,template_family,template_axis,template_operation,delta_m,rotation_deg,center_shift_range_m,center_shift_azimuth_m,edge_name,scale_axis,matched_background_offset_order,geometry_source,region_center_x,region_center_y,region_polygon_xy,gt_width_axis_image_deg,gt_long_axis_image_deg,mask_class,mask_context,linked_independent_geometry_ids,plan_stage_intensity_read,plan_stage_s1_r1_measurement_outcomes_read,background_selection_rule
WGV35A_PAIR_0204_S2A_011,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,center_shift,range,shift,0.45,0,0.45,0,,,,PLAN_STAGE_GEOMETRY_ONLY,1055.01,1191.57,"963.872,1155.52;1146.149,1155.52;1146.149,1227.62;963.872,1227.62",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_012,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,center_shift,azimuth,shift,-0.45,0,0,-0.45,,,,PLAN_STAGE_GEOMETRY_ONLY,1051.491,1212.489,"960.353,1176.439;1142.63,1176.439;1142.63,1248.539;960.353,1248.539",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_013,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,center_shift,azimuth,shift,0.45,0,0,0.45,,,,PLAN_STAGE_GEOMETRY_ONLY,1075.93,1195.089,"984.791,1159.039;1167.068,1159.039;1167.068,1231.139;984.791,1231.139",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_014,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,diagonal_center_shift,range+azimuth,shift,0.15,0,-0.15,-0.15,,,,PLAN_STAGE_GEOMETRY_ONLY,1062.537,1210.762,"971.399,1174.712;1153.676,1174.712;1153.676,1246.812;971.399,1246.812",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_015,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,diagonal_center_shift,range+azimuth,shift,0.15,0,-0.15,0.15,,,,PLAN_STAGE_GEOMETRY_ONLY,1070.684,1204.962,"979.545,1168.912;1161.822,1168.912;1161.822,1241.012;979.545,1241.012",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_016,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,diagonal_center_shift,range+azimuth,shift,0.15,0,0.15,-0.15,,,,PLAN_STAGE_GEOMETRY_ONLY,1056.737,1202.616,"965.599,1166.566;1147.876,1166.566;1147.876,1238.666;965.599,1238.666",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_017,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,diagonal_center_shift,range+azimuth,shift,0.15,0,0.15,0.15,,,,PLAN_STAGE_GEOMETRY_ONLY,1064.884,1196.816,"973.745,1160.766;1156.022,1160.766;1156.022,1232.866;973.745,1232.866",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_018,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,diagonal_center_shift,range+azimuth,shift,0.3,0,-0.3,-0.3,,,,PLAN_STAGE_GEOMETRY_ONLY,1061.364,1217.735,"970.226,1181.685;1152.503,1181.685;1152.503,1253.785;970.226,1253.785",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_019,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,diagonal_center_shift,range+azimuth,shift,0.3,0,-0.3,0.3,,,,PLAN_STAGE_GEOMETRY_ONLY,1077.657,1206.135,"986.518,1170.085;1168.795,1170.085;1168.795,1242.185;986.518,1242.185",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_020,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,diagonal_center_shift,range+azimuth,shift,0.3,0,0.3,-0.3,,,,PLAN_STAGE_GEOMETRY_ONLY,1049.764,1201.443,"958.626,1165.393;1140.903,1165.393;1140.903,1237.493;958.626,1237.493",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_021,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,diagonal_center_shift,range+azimuth,shift,0.3,0,0.3,0.3,,,,PLAN_STAGE_GEOMETRY_ONLY,1066.057,1189.843,"974.918,1153.793;1157.195,1153.793;1157.195,1225.893;974.918,1225.893",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_022,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,single_boundary_shift,range_near,near_outward,-0.15,0,0,0,range_near,,,PLAN_STAGE_GEOMETRY_ONLY,1065.161,1205.826,"1036.792,1330.034;938.506,1191.994;1093.53,1081.617;1191.815,1219.657",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_023,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,single_boundary_shift,range_near,near_inward,0.15,0,0,0,range_near,,,PLAN_STAGE_GEOMETRY_ONLY,1062.26,1201.752,"1030.991,1321.888;938.506,1191.994;1093.53,1081.617;1186.015,1211.511",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_024,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,single_boundary_shift,range_far,far_inward,-0.15,0,0,0,range_far,,,PLAN_STAGE_GEOMETRY_ONLY,1065.161,1205.826,"1033.891,1325.961;941.406,1196.067;1096.43,1085.69;1188.915,1215.584",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_025,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,single_boundary_shift,range_far,far_outward,0.15,0,0,0,range_far,,,PLAN_STAGE_GEOMETRY_ONLY,1062.26,1201.752,"1033.891,1325.961;935.606,1187.921;1090.629,1077.544;1188.915,1215.584",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_026,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,single_boundary_shift,azimuth_left,left_outward,-0.15,0,0,0,azimuth_left,,,PLAN_STAGE_GEOMETRY_ONLY,1061.674,1205.239,"1029.818,1328.861;934.433,1194.894;1093.53,1081.617;1188.915,1215.584",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_027,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,single_boundary_shift,azimuth_left,left_inward,0.15,0,0,0,azimuth_left,,,PLAN_STAGE_GEOMETRY_ONLY,1065.747,1202.339,"1037.965,1323.061;942.579,1189.094;1093.53,1081.617;1188.915,1215.584",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_028,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,single_boundary_shift,azimuth_right,right_inward,-0.15,0,0,0,azimuth_right,,,PLAN_STAGE_GEOMETRY_ONLY,1061.674,1205.239,"1033.891,1325.961;938.506,1191.994;1089.456,1084.517;1184.842,1218.484",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_029,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,single_boundary_shift,azimuth_right,right_outward,0.15,0,0,0,azimuth_right,,,PLAN_STAGE_GEOMETRY_ONLY,1065.747,1202.339,"1033.891,1325.961;938.506,1191.994;1097.603,1078.717;1192.988,1212.684",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_030,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,single_boundary_shift,range_near,near_outward,-0.3,0,0,0,range_near,,,PLAN_STAGE_GEOMETRY_ONLY,1066.611,1207.862,"1039.692,1334.107;938.506,1191.994;1093.53,1081.617;1194.715,1223.73",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_031,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,single_boundary_shift,range_near,near_inward,0.3,0,0,0,range_near,,,PLAN_STAGE_GEOMETRY_ONLY,1060.81,1199.716,"1028.091,1317.815;938.506,1191.994;1093.53,1081.617;1183.115,1207.438",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_032,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,single_boundary_shift,range_far,far_inward,-0.3,0,0,0,range_far,,,PLAN_STAGE_GEOMETRY_ONLY,1066.611,1207.862,"1033.891,1325.961;944.306,1200.14;1099.33,1089.763;1188.915,1215.584",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_033,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,single_boundary_shift,range_far,far_outward,0.3,0,0,0,range_far,,,PLAN_STAGE_GEOMETRY_ONLY,1060.81,1199.716,"1033.891,1325.961;932.706,1183.848;1087.729,1073.471;1188.915,1215.584",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
WGV35A_PAIR_0204_S2A_034,WGV35A_PAIR_0204,316,PV_GM19_WHITE_SUV_NEAR_FIELD,PRIMARY_EXACT_LINK,27,counterfactual,single_boundary_shift,azimuth_left,left_outward,-0.3,0,0,0,azimuth_left,,,PLAN_STAGE_GEOMETRY_ONLY,1059.637,1206.689,"1025.745,1331.761;930.36,1197.794;1093.53,1081.617;1188.915,1215.584",0,0,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE,SAR_MASK_S1_PARTIALLY_CENSORED_CENTER_INSIDE;no_local_bbox_boundary_hot_band;center_semantics_mask_censored_or_unconfirmed;bbox_bottom_within_110px_of_near_range_mask;observed_box_may_be_masked_response_center_not_full_vehicle_center,GM019IG0027;GM019IG0028;GM019IG0029;GM019IG0085,false,false,
