window_id,unit_id,unit_type,source_file,source_item_id,evidence_summary,interpretation,boundary_effect,forbidden_use
WGV16W003,WGV16W003_RU03,wgv1_5c_prior_sar_alignment,reports\oty2\samples\oty2_wgv1_5c_optical_thread_sar_evidence_alignment_20260709.csv,GM_RM011_WGV14T005,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,support=scene_level_posthoc_evidence_not_thread_aligned; decision=blocked_due_to_mapping_uncertainty,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W003,WGV16W003_RU04,wgv1_6_conservative_decision,reports\oty2\samples\oty2_wgv1_6_dual_evidence_window_summary_20260709.csv,GM_RM011_WGV14T005,optical_search_hint_sar_support_ambiguous,pre_sar_review_only; search prioritization only; no identity constraint,mapping unresolved or boundary/weak/blocked status preserved; no SAR-ready consumption,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W004,WGV16W004_RU01,optical_wgv1_4b_evidence,reports\oty2\samples\oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv,GM_RM011_WGV14C001,Temporal context edge rechecked as context-only; it must not be treated as same-vehicle identity evidence.,optical layer only; does not prove SAR identity,preserve context_only; block SAR consumption,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W004,WGV16W004_RU02,wgv1_5a_consumption_contract,reports\oty2\samples\oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv,GM_RM011_WGV12M005,class=boundary_preserved; status=pre_sar_only; mapping=unresolved_no_optical_to_sar_alignment_in_wgv1_5a,keep SAR exploration on both sides separated; inspect for independent SAR boundary support or competitor signal,hard pre-SAR boundary until SAR-internal evidence proves otherwise; default is separate hypotheses,"do not bridge the optical boundary, do not treat adjacent same-color vehicles as one SAR target, and do not smooth across the boundary"
WGV16W004,WGV16W004_RU03,wgv1_5c_prior_sar_alignment,reports\oty2\samples\oty2_wgv1_5c_optical_thread_sar_evidence_alignment_20260709.csv,GM_RM011_WGV12M005,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,support=scene_level_posthoc_evidence_not_thread_aligned; decision=blocked_due_to_mapping_uncertainty,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W004,WGV16W004_RU04,wgv1_6_conservative_decision,reports\oty2\samples\oty2_wgv1_6_dual_evidence_window_summary_20260709.csv,GM_RM011_WGV12M005,boundary_preserved_sar_mapping_blocked,boundary_review_only; keep sides separated; inspect SAR only for independent boundary support later,mapping unresolved or boundary/weak/blocked status preserved; no SAR-ready consumption,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W005,WGV16W005_RU01,optical_wgv1_4b_evidence,reports\oty2\samples\oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv,GM_RM011_WGV14C002,Temporal context edge rechecked as context-only; it must not be treated as same-vehicle identity evidence.,optical layer only; does not prove SAR identity,preserve context_only; block SAR consumption,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W005,WGV16W005_RU02,wgv1_5a_consumption_contract,reports\oty2\samples\oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv,GM_RM011_WGV12M016,class=boundary_preserved; status=pre_sar_only; mapping=unresolved_no_optical_to_sar_alignment_in_wgv1_5a,keep SAR exploration on both sides separated; inspect for independent SAR boundary support or competitor signal,hard pre-SAR boundary until SAR-internal evidence proves otherwise; default is separate hypotheses,"do not bridge the optical boundary, do not treat adjacent same-color vehicles as one SAR target, and do not smooth across the boundary"
WGV16W005,WGV16W005_RU03,wgv1_5c_prior_sar_alignment,reports\oty2\samples\oty2_wgv1_5c_optical_thread_sar_evidence_alignment_20260709.csv,GM_RM011_WGV12M016,scene-level prior SAR morphology exists but no inherited row provides optical_frame mapping for this WGV item,support=scene_level_posthoc_evidence_not_thread_aligned; decision=blocked_due_to_mapping_uncertainty,WGV1.5A SAR frame estimates are not_estimated_pre_sar and inherited SAR rows lack optical_frame alignment,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W005,WGV16W005_RU04,wgv1_6_conservative_decision,reports\oty2\samples\oty2_wgv1_6_dual_evidence_window_summary_20260709.csv,GM_RM011_WGV12M016,boundary_preserved_sar_mapping_blocked,boundary_review_only; keep sides separated; inspect SAR only for independent boundary support later,mapping unresolved or boundary/weak/blocked status preserved; no SAR-ready consumption,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W006,WGV16W006_RU01,optical_wgv1_4b_evidence,reports\oty2\samples\oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv,GM_RM017_WGV14T001,"The far white box truck/van is plausible across 118-148 and 156-157, but a black sedan is selected between the fragments and the object is distant/partly occluded.",optical layer only; does not prove SAR identity,keep weak; do not upgrade; no identity constraint,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W006,WGV16W006_RU02,wgv1_5a_consumption_contract,reports\oty2\samples\oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv,GM_RM017_WGV14T001,class=optical_search_hint_only; status=pre_sar_only; mapping=unresolved_no_optical_to_sar_alignment_in_wgv1_5a,order and prioritize SAR exploration; suggest a broad search interval or target family to inspect independently,hint cannot cross boundary_preserved or context_only edges; weak and long-window risky bridges remain advisory only,"do not constrain SAR identity, do not merge SAR targets, do not produce final boxes or SAR-ready annotations, and do not treat the optical hint as proof"
WGV16W006,WGV16W006_RU03,wgv1_5c_prior_sar_alignment,reports\oty2\samples\oty2_wgv1_5c_optical_thread_sar_evidence_alignment_20260709.csv,GM_RM017_WGV14T001,posthoc_overlap_rows=66; status_mix=associated_posthoc_weak=30;sar_structure_present_but_optical_ambiguous=18;rejected_for_temporal_instability=10;review_required=6;dropout_existence_support_only=2; temporal_mix=stable_cluster_tube=49;jumping_peak=10;diffuse_or_unstable_cluster_tube=7,support=posthoc_mixed_with_risk; decision=prior_sar_support_weak_or_ambiguous,not_blocked_but_not_sar_confirmed,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W006,WGV16W006_RU04,wgv1_6_conservative_decision,reports\oty2\samples\oty2_wgv1_6_dual_evidence_window_summary_20260709.csv,GM_RM017_WGV14T001,weak_optical_remains_weak,pre_sar_review_only; use as weak search-prior stress case; no upgrade,mapping unresolved or boundary/weak/blocked status preserved; no SAR-ready consumption,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W007,WGV16W007_RU01,optical_wgv1_4b_evidence,reports\oty2\samples\oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv,GM_RM017_WGV14T002,"The black sedan fragments are visually plausible and M010 is locally stable, but the 181-200 bridge is long and interleaved with white-SUV selections.",optical layer only; does not prove SAR identity,keep weak; mark the V004 bridge as identity risk; do not upgrade,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W007,WGV16W007_RU02,wgv1_5a_consumption_contract,reports\oty2\samples\oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv,GM_RM017_WGV14T002,class=optical_search_hint_only; status=pre_sar_only; mapping=unresolved_no_optical_to_sar_alignment_in_wgv1_5a,order and prioritize SAR exploration; suggest a broad search interval or target family to inspect independently,hint cannot cross boundary_preserved or context_only edges; weak and long-window risky bridges remain advisory only,"do not constrain SAR identity, do not merge SAR targets, do not produce final boxes or SAR-ready annotations, and do not treat the optical hint as proof"
WGV16W007,WGV16W007_RU03,wgv1_5c_prior_sar_alignment,reports\oty2\samples\oty2_wgv1_5c_optical_thread_sar_evidence_alignment_20260709.csv,GM_RM017_WGV14T002,posthoc_overlap_rows=896; status_mix=associated_posthoc_weak=528;rejected_for_temporal_instability=145;sar_structure_present_but_optical_ambiguous=130;review_required=70;dropout_existence_support_only=12; temporal_mix=stable_cluster_tube=691;diffuse_or_unstable_cluster_tube=138;jumping_peak=65;insufficient_temporal_samples=2,support=posthoc_mixed_with_risk; decision=prior_sar_support_weak_or_ambiguous,not_blocked_but_not_sar_confirmed,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W007,WGV16W007_RU04,wgv1_6_conservative_decision,reports\oty2\samples\oty2_wgv1_6_dual_evidence_window_summary_20260709.csv,GM_RM017_WGV14T002,weak_optical_remains_weak,pre_sar_review_only; use as weak search-prior stress case; no upgrade,mapping unresolved or boundary/weak/blocked status preserved; no SAR-ready consumption,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W008,WGV16W008_RU01,optical_wgv1_4b_evidence,reports\oty2\samples\oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv,GM_RM017_WGV14T003,"The white SUV is plausible across fragments, but M005 has black-sedan and box-truck competition and the selected box is narrow/ambiguous around frame 164.",optical layer only; does not prove SAR identity,keep weak; do not upgrade; no identity constraint,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W008,WGV16W008_RU02,wgv1_5a_consumption_contract,reports\oty2\samples\oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv,GM_RM017_WGV14T003,class=optical_search_hint_only; status=pre_sar_only; mapping=unresolved_no_optical_to_sar_alignment_in_wgv1_5a,order and prioritize SAR exploration; suggest a broad search interval or target family to inspect independently,hint cannot cross boundary_preserved or context_only edges; weak and long-window risky bridges remain advisory only,"do not constrain SAR identity, do not merge SAR targets, do not produce final boxes or SAR-ready annotations, and do not treat the optical hint as proof"
WGV16W008,WGV16W008_RU03,wgv1_5c_prior_sar_alignment,reports\oty2\samples\oty2_wgv1_5c_optical_thread_sar_evidence_alignment_20260709.csv,GM_RM017_WGV14T003,posthoc_overlap_rows=737; status_mix=associated_posthoc_weak=422;rejected_for_temporal_instability=117;sar_structure_present_but_optical_ambiguous=115;review_required=65;dropout_existence_support_only=8; temporal_mix=stable_cluster_tube=569;diffuse_or_unstable_cluster_tube=112;jumping_peak=56,support=posthoc_mixed_with_risk; decision=prior_sar_support_weak_or_ambiguous,not_blocked_but_not_sar_confirmed,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W008,WGV16W008_RU04,wgv1_6_conservative_decision,reports\oty2\samples\oty2_wgv1_6_dual_evidence_window_summary_20260709.csv,GM_RM017_WGV14T003,weak_optical_remains_weak,pre_sar_review_only; use as weak search-prior stress case; no upgrade,mapping unresolved or boundary/weak/blocked status preserved; no SAR-ready consumption,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W009,WGV16W009_RU01,optical_wgv1_4b_evidence,reports\oty2\samples\oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv,GM_RM017_WGV14V004,blocked identity-risk bridge; leakage check,optical layer only; does not prove SAR identity,blocked item must not influence SAR target construction,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W009,WGV16W009_RU02,wgv1_5a_consumption_contract,reports\oty2\samples\oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv,GM_RM017_WGV14V004,class=blocked_for_sar_consumption; status=blocked; mapping=unresolved_no_optical_to_sar_alignment_in_wgv1_5a,document as blocked risk or backlog item only,blocked item must not influence SAR target construction,"no SAR use for identity, search contraction, target merge, annotation, final box, GT box, selector, ranking, or runtime prediction"
WGV16W009,WGV16W009_RU03,wgv1_5c_prior_sar_alignment,reports\oty2\samples\oty2_wgv1_5c_optical_thread_sar_evidence_alignment_20260709.csv,GM_RM017_WGV14V004,posthoc_overlap_rows=381; status_mix=associated_posthoc_weak=275;rejected_for_temporal_instability=71;sar_structure_present_but_optical_ambiguous=12;dropout_existence_support_only=10;associated_posthoc_strong=6,support=blocked_optical_identity_risk_not_consumable; decision=blocked_due_to_identity_risk,blocked_for_sar_consumption in WGV1.5A,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
WGV16W009,WGV16W009_RU04,wgv1_6_conservative_decision,reports\oty2\samples\oty2_wgv1_6_dual_evidence_window_summary_20260709.csv,GM_RM017_WGV14V004,blocked_identity_risk_preserved,documentation_only_until_later_explicit_protocol,mapping unresolved or boundary/weak/blocked status preserved; no SAR-ready consumption,no SAR-ready annotations; no final annotations; no final boxes; no GT boxes; no revised annotations; no selector/ranking outputs; no runtime prediction artifacts; no identity truth claims
