pair_id,sar_frame,split,selected_center_x,selected_center_y,center_selection_status,delta_frame,velocity_px_per_sar_frame,raw_delta_heading_directed_deg,motion_heading_directed_deg,history_only_heading_directed_deg,local_quadratic_heading_directed_deg,median_displacement_heading_directed_deg,fit_residual_px,support_frame_count,trajectory_gap_size,local_displacement_sign_stability,heading_confidence,threshold_source,diagnostic_scope
WGV35A_PAIR_0027,334,calibration,907.7895,942.629,UNIQUE_GT_CENTER,1,6.683176,30.991029,-0.333548,-3.2343,-1.05229,4.996528,3.15442,13,1,0.916667,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0030,335,calibration,922.34,938.917,UNIQUE_GT_CENTER,1,6.680982,-14.311551,-0.52904,-4.346722,-0.784753,2.702624,3.047563,14,1,0.923077,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0033,336,calibration,921.75,940.5815,WEAK_CORRESPONDENCE_EXCLUDED,1,6.536745,109.517421,0.135745,-4.07725,0.385901,2.702624,2.780769,14,1,0.923077,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0035,337,calibration,931.1845,941.426,UNIQUE_GT_CENTER,1,6.472768,5.115022,-0.245544,-2.386533,0.099305,1.406156,2.774853,15,1,0.928571,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0038,338,calibration,939.9,941.11,UNIQUE_GT_CENTER,1,6.492254,-2.076477,-0.486978,-1.672687,-0.294253,0.328208,2.707438,16,1,0.933333,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0041,339,calibration,943.9145,943.403,UNIQUE_GT_CENTER,1,6.504677,29.734121,-0.591188,0.009545,-0.591188,1.438247,2.633308,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0044,340,calibration,950.81,945.983,UNIQUE_GT_CENTER,1,6.442027,20.513691,-0.298061,2.32878,-0.298061,1.488443,2.683847,17,1,0.9375,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0048,341,calibration,954.2055,941.303,UNIQUE_GT_CENTER,1,6.435934,-54.037831,0.708955,3.633897,0.708955,2.718414,2.660643,17,1,0.9375,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0051,342,calibration,960.6925,941.6285,UNIQUE_GT_CENTER,1,6.497061,2.872537,0.246471,2.413715,0.246471,1.424837,2.84005,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0053,343,calibration,970.145,940.871,UNIQUE_GT_CENTER,1,6.347488,-4.581751,0.41966,2.444813,0.41966,2.718414,2.781277,17,1,0.875,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0056,344,calibration,977.092,940.874,UNIQUE_GT_CENTER,1,6.442917,0.024743,0.762201,-0.228814,0.762201,2.636327,2.732868,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0060,345,calibration,980.185,940.116,UNIQUE_GT_CENTER,1,6.378268,-13.770058,0.875059,-2.378693,0.875059,1.469249,2.668725,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0063,346,calibration,989.475,940.1555,UNIQUE_GT_CENTER,1,6.395617,0.243614,1.157978,-3.705934,1.157978,2.718414,2.69924,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0065,347,calibration,995.919,940.452,UNIQUE_GT_CENTER,1,6.438326,2.634424,0.828961,-4.722654,0.828961,1.469249,2.640176,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0068,348,calibration,1000.25,943.5,UNIQUE_GT_CENTER,1,6.43951,35.136487,0.992332,-2.373485,0.992332,1.477649,2.612922,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0073,349,calibration,1006.863,944.274,UNIQUE_GT_CENTER,1,6.557823,6.675651,1.272411,2.321545,1.272411,1.463498,2.635692,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0076,350,calibration,1018.893,940.828,UNIQUE_GT_CENTER,1,6.585634,-15.984389,1.422754,1.781228,1.422754,1.463498,2.690245,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0079,351,calibration,1017.529,941.4945,UNIQUE_GT_CENTER,1,6.530048,153.958183,1.575819,2.117605,1.575819,1.482541,2.672633,17,1,0.9375,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0082,352,calibration,1027.3575,946.583,UNIQUE_GT_CENTER,1,6.584545,27.371915,1.172808,4.798168,1.172808,1.482541,2.712177,17,1,0.9375,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0085,353,calibration,1032.996,944.2655,UNIQUE_GT_CENTER,1,6.70188,-22.343327,0.820302,5.214117,0.820302,2.703438,2.775341,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0087,354,calibration,1040.45,944.803,UNIQUE_GT_CENTER,1,6.633217,4.124399,0.331072,5.025474,0.331072,2.738577,2.793546,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0090,355,calibration,1045.6575,942.1155,UNIQUE_GT_CENTER,1,6.802109,-27.29747,-0.698836,2.454497,-0.698836,1.700751,3.144801,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0094,356,calibration,1052.196,942.44,UNIQUE_GT_CENTER,1,6.925682,2.841208,-1.300931,0.000823,-1.300931,1.700751,3.065296,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0097,357,calibration,1063.929,940.219,UNIQUE_GT_CENTER,1,6.873498,-10.718984,-1.256327,-1.717829,-1.256327,1.825086,3.157883,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0100,358,calibration,1069.6455,943.937,UNIQUE_GT_CENTER,1,7.003785,33.039894,-1.020184,-0.258684,-1.020184,1.825086,3.439377,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0103,359,calibration,1072.523,943.8065,UNIQUE_GT_CENTER,1,7.15255,-2.596691,-1.132839,-1.246146,-1.132839,1.825086,2.968559,17,1,1,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0106,360,calibration,1081.56,941.827,UNIQUE_GT_CENTER,1,7.130064,-12.355158,-1.299735,-3.337507,-1.299735,0.030389,2.923808,17,1,1,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0109,361,guard,1090.856,942.248,UNIQUE_GT_CENTER,1,6.946169,2.593056,-0.68505,-1.629721,-0.68505,0.030389,3.731103,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0112,362,guard,1092.105,942.314,UNIQUE_GT_CENTER,1,6.922927,3.024826,-0.103412,-1.006783,-0.103412,0.030389,3.743211,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0115,363,guard,1107.7095,939.297,UNIQUE_GT_CENTER,1,6.814437,-10.942646,0.564499,-1.281764,0.564499,0.030389,3.871968,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0118,364,guard,1112.883,941.254,UNIQUE_GT_CENTER,1,6.823069,20.720322,0.377935,-1.612887,0.377935,-0.856005,3.902736,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0121,365,guard,1113.7395,942.0465,UNIQUE_GT_CENTER,1,6.776145,42.777386,0.586197,-1.295765,0.586197,0.034199,3.828436,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0123,366,guard,1129.813,941.987,UNIQUE_GT_CENTER,1,6.843342,-0.212093,0.45964,-2.216396,0.45964,0.030593,3.814155,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0126,367,guard,1132.548,943.3995,UNIQUE_GT_CENTER,1,6.805871,27.314245,1.427324,-0.331405,1.427324,2.290892,3.905471,17,1,0.9375,HIGH,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0130,368,guard,1139.548,942.787,UNIQUE_GT_CENTER,1,6.512041,-5.000645,2.168211,1.226812,2.168211,2.748178,4.42243,17,1,0.875,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0133,369,guard,1135.602,942.273,UNIQUE_GT_CENTER,1,6.625737,-172.578524,2.180427,1.544125,2.180427,0.036708,4.80381,17,1,0.875,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0135,370,guard,1150.939,943.927,UNIQUE_GT_CENTER,1,6.471811,6.155205,2.514032,2.897676,2.514032,3.263492,5.089184,17,1,0.8125,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0138,371,posthoc_diagnosis,1152.9075,943.743,UNIQUE_GT_CENTER,1,6.412588,-5.340046,2.290055,4.440302,2.290055,3.263492,4.950642,17,1,0.8125,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0140,372,posthoc_diagnosis,1167.105,941.444,UNIQUE_GT_CENTER,1,6.349223,-9.19806,1.502911,1.297956,1.502911,1.635091,5.06401,17,1,0.75,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0143,373,posthoc_diagnosis,1172.077,943.364,UNIQUE_GT_CENTER,1,6.364779,21.114692,1.029869,0.788435,1.029869,0.567101,5.066998,17,1,0.75,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0146,374,posthoc_diagnosis,1179.7,944.002,UNIQUE_GT_CENTER,1,6.078036,4.784168,0.476492,0.988318,0.476492,-0.044606,5.278188,17,1,0.6875,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0149,375,posthoc_diagnosis,1182.299,946.874,UNIQUE_GT_CENTER,1,6.374853,47.85666,-0.116279,2.416461,-0.116279,-0.540781,5.742478,17,1,0.6875,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0152,376,posthoc_diagnosis,1180.0355,945.461,UNIQUE_GT_CENTER,1,6.259236,-148.025344,-0.455373,3.666624,-0.455373,-0.855097,5.985915,17,1,0.625,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0156,377,posthoc_diagnosis,1204.215,944.267,UNIQUE_GT_CENTER,1,6.491079,-2.827008,-0.911724,2.828363,-0.911724,-0.514033,6.296942,17,1,0.6875,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0159,378,posthoc_diagnosis,1195.374,945.4285,UNIQUE_GT_CENTER,1,6.365673,172.515542,-1.53492,2.97658,-1.53492,-3.107314,6.006889,17,1,0.6875,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0162,379,posthoc_diagnosis,1211.993,942.7205,UNIQUE_GT_CENTER,1,6.341135,-9.254782,-1.729235,1.652422,-1.729235,-1.155986,6.015312,17,1,0.6875,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0165,380,posthoc_diagnosis,1209.306,943,UNIQUE_GT_CENTER,1,6.385459,174.061487,-2.558553,0.760874,-2.558553,-1.155986,6.15771,17,1,0.6875,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0168,381,posthoc_diagnosis,1220.1195,943.178,UNIQUE_GT_CENTER,1,6.494603,0.943055,-2.810218,-1.946535,-2.810218,-1.667715,6.038252,17,1,0.6875,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0170,382,posthoc_diagnosis,1217.126,941.929,UNIQUE_GT_CENTER,1,6.5801,-157.35228,-2.929278,-4.485743,-2.929278,-5.537963,5.965311,17,1,0.6875,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0172,383,posthoc_diagnosis,1241.6965,942,UNIQUE_GT_CENTER,1,6.540769,0.165564,-2.81455,-5.025252,-2.81455,-5.927628,6.089285,17,1,0.625,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0175,384,posthoc_diagnosis,1231.5515,941.773,UNIQUE_GT_CENTER,1,6.578706,-178.718189,-2.574351,-4.340574,-2.574351,-3.195175,6.0609,17,1,0.6875,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0178,385,posthoc_diagnosis,1253.75,941.4055,UNIQUE_GT_CENTER,1,6.484964,-0.948455,-2.184138,-3.813749,-2.184138,-0.960381,5.824371,17,1,0.6875,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0180,386,posthoc_diagnosis,1254.202,941.113,UNIQUE_GT_CENTER,1,6.542528,-32.907871,-1.621126,-3.331916,-1.621126,-0.960381,5.596132,17,1,0.6875,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0181,387,posthoc_diagnosis,1256.961,941.473,UNIQUE_GT_CENTER,1,6.428171,7.434071,-1.162503,-2.074339,-0.945842,1.474122,5.591336,16,1,0.666667,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0183,388,posthoc_diagnosis,1271.3645,937.6575,UNIQUE_GT_CENTER,1,6.554486,-14.836921,-1.087441,-3.691918,-0.538367,-0.960381,5.625998,15,1,0.714286,LOW,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0185,389,posthoc_diagnosis,1273.609,942.56,UNIQUE_GT_CENTER,1,6.438481,65.400384,-0.908416,-2.264843,0.079026,-4.703484,5.719327,14,1,0.692308,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0188,390,posthoc_diagnosis,1280.156,941.331,UNIQUE_GT_CENTER,1,6.428327,-10.631808,-0.507804,-1.180551,0.752881,-0.960381,5.922673,13,1,0.75,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0189,391,posthoc_diagnosis,1278.8,942.039,UNIQUE_GT_CENTER,1,5.984682,152.429863,-0.377195,-0.378014,1.632552,-4.703484,5.200452,12,1,0.727273,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0192,392,posthoc_diagnosis,1292.232,939.103,UNIQUE_GT_CENTER,1,6.264506,-12.329928,-0.039328,-1.075797,3.008305,0.415581,5.104288,11,1,0.8,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0193,393,posthoc_diagnosis,1301.839,940.8765,UNIQUE_GT_CENTER,1,5.655942,10.459332,0.422341,-0.533248,3.358947,7.434071,4.044953,10,1,0.777778,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
WGV35A_PAIR_0195,394,posthoc_diagnosis,1297.5875,942.3465,UNIQUE_GT_CENTER,1,5.91908,160.926645,0.889694,0.889694,4.74667,6.546889,4.053712,9,1,0.75,MEDIUM,calibration_sar_le_360,posthoc_not_causal_runtime_state
