from_frame,to_frame,split_from,split_to,delta_aspect_deg,delta_peak_body_long_m,delta_energy_centroid_body_long_m,delta_near_far_log_ratio,delta_component_layout_axis_deg,component_event_types,high_energy_sliding_class,causal_locality
343,344,calibration,calibration,0.967294,-0.000053,0.038267,0.03296,0.00677,COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
344,345,calibration,calibration,0.698269,0.11343,0.010873,0.006513,0.146897,COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
345,346,calibration,calibration,1.138725,-0.098616,-0.052735,0.004545,0.068192,COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
346,347,calibration,calibration,1.513124,-0.082781,-0.097616,-0.017609,-0.459619,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
347,348,calibration,calibration,0.135686,0.083149,-0.010636,0.026647,0.699329,COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
348,349,calibration,calibration,0.49401,-0.04512,0.044933,0.002018,-1.196133,COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
349,350,calibration,calibration,1.608608,-0.446908,-0.323595,-0.097693,-123.793116,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
350,351,calibration,calibration,-0.751451,-0.073313,-0.003049,-0.006715,9.79943,COMPONENT_CONTINUED;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
351,352,calibration,calibration,0.767047,-1.432165,-0.033156,-0.006122,23.267217,COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
352,353,calibration,calibration,0.50342,1.874355,0.405991,0.131339,92.29758,COMPONENT_APPEARED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
353,354,calibration,calibration,1.117774,-0.045593,-0.091561,-0.026923,0.03365,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
354,355,calibration,calibration,1.830225,0.013568,-0.030295,0.006197,0.568868,COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
355,356,calibration,calibration,1.493543,-0.084232,-0.028492,0.010153,-0.759253,COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
356,357,calibration,calibration,2.245729,-3.027911,-0.798526,0.012283,0.100515,COMPONENT_APPEARED;COMPONENT_DISAPPEARED,ABRUPT_UNEXPLAINED_JUMP,adjacent_or_nearby_frames_only
357,358,calibration,calibration,0.731795,0.081728,0.001103,-0.00814,-0.024911,COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
358,359,calibration,calibration,0.361868,-0.064318,-0.010782,0.011397,0.335858,COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
359,360,calibration,calibration,1.871862,2.590661,0.112775,0.033015,-0.163774,COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
360,361,calibration,guard,1.303949,0.068457,0.080572,-0.014211,-0.643595,COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
361,362,guard,guard,0.153316,-0.142949,-0.073971,-0.001581,0.437052,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
362,363,guard,guard,1.92316,-1.548202,0.102977,0.020602,0.776643,COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
363,364,guard,guard,0.941524,-0.081605,-0.006625,0.063662,-177.102479,COMPONENT_CONTINUED;COMPONENT_DISAPPEARED,SMOOTH_GRADUAL_CHANGE,adjacent_or_nearby_frames_only
364,365,guard,guard,-0.474606,0.934299,0.402034,-0.007955,175.707964,COMPONENT_APPEARED;COMPONENT_DISAPPEARED,PIECEWISE_GRADUAL_CHANGE,adjacent_or_nearby_frames_only
365,366,guard,guard,2.392342,-0.242818,-0.162449,-0.01236,-0.541141,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
366,367,guard,guard,-0.842481,-0.03429,0.033177,0.002483,1.216765,COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
367,368,guard,guard,0.678111,-0.322486,-0.073315,-0.074795,-96.54939,COMPONENT_APPEARED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
368,369,guard,guard,-0.088376,0.230849,0.005653,-0.015042,7.011623,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
369,370,guard,guard,0.909765,-0.440163,-0.128902,0.076165,-83.483043,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
370,371,guard,posthoc_diagnosis,0.255476,0.151605,0.027523,0.005325,173.717083,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
371,372,posthoc_diagnosis,posthoc_diagnosis,2.360321,-0.6178,-0.183734,-0.029934,1.353726,COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
372,373,posthoc_diagnosis,posthoc_diagnosis,-1.106504,0.023454,-0.079086,0.03009,-0.853001,COMPONENT_APPEARED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
373,374,posthoc_diagnosis,posthoc_diagnosis,-1.774555,-0.299021,-0.092111,-0.016963,0.207377,COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
374,375,posthoc_diagnosis,posthoc_diagnosis,-0.60867,0.098431,0.149972,-0.119659,-105.676567,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
375,376,posthoc_diagnosis,posthoc_diagnosis,0.249989,-0.053252,0.016596,-0.004948,-70.680149,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
376,377,posthoc_diagnosis,posthoc_diagnosis,-3.876101,0.723445,0.251926,-0.056762,52.588115,COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
377,378,posthoc_diagnosis,posthoc_diagnosis,0.453165,-0.405931,0.030491,-0.015364,36.277753,COMPONENT_CONTINUED;COMPONENT_MERGE,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
378,379,posthoc_diagnosis,posthoc_diagnosis,-2.267936,1.819446,-0.032549,0.00685,29.493026,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_DISAPPEARED,ABRUPT_UNEXPLAINED_JUMP,adjacent_or_nearby_frames_only
379,380,posthoc_diagnosis,posthoc_diagnosis,-0.302205,-1.782964,0.036034,-0.000366,-33.045261,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
380,381,posthoc_diagnosis,posthoc_diagnosis,-1.919274,1.709866,-0.007116,-0.002852,13.229291,COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
381,382,posthoc_diagnosis,posthoc_diagnosis,-0.831359,0.259992,0.093933,-0.025198,2.41939,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
382,383,posthoc_diagnosis,posthoc_diagnosis,-3.993228,-1.82519,-0.111019,0.02999,5.593364,COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
383,384,posthoc_diagnosis,posthoc_diagnosis,1.927538,0.640084,0.118042,-0.02696,-7.657001,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
384,385,posthoc_diagnosis,posthoc_diagnosis,-2.428707,1.650174,0.107192,0.089084,76.610561,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
385,386,posthoc_diagnosis,posthoc_diagnosis,0.422643,0.481929,-0.017469,0.005216,2.116555,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
386,387,posthoc_diagnosis,posthoc_diagnosis,0.590668,-0.111328,-0.050611,0.000838,-0.193252,COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
387,388,posthoc_diagnosis,posthoc_diagnosis,-2.472657,-2.827545,-0.180484,-0.102353,-72.788126,COMPONENT_APPEARED;COMPONENT_DISAPPEARED,ABRUPT_UNEXPLAINED_JUMP,adjacent_or_nearby_frames_only
388,389,posthoc_diagnosis,posthoc_diagnosis,-0.818808,0.249079,-0.028255,-0.015896,6.408777,COMPONENT_CONTINUED;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
389,390,posthoc_diagnosis,posthoc_diagnosis,0.476647,-0.301773,0.01196,0.007685,1.263148,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
390,391,posthoc_diagnosis,posthoc_diagnosis,-0.356885,0.057087,0.002432,0.003005,7.168563,COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
391,392,posthoc_diagnosis,posthoc_diagnosis,0.029431,-0.878772,-0.278918,0.082762,-119.410887,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
392,393,posthoc_diagnosis,posthoc_diagnosis,0.684327,2.07937,0.196527,-0.077921,121.346737,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
393,394,posthoc_diagnosis,posthoc_diagnosis,0.981186,-2.348165,-0.206067,0.061718,55.389923,COMPONENT_APPEARED;COMPONENT_CONTINUED;COMPONENT_DISAPPEARED;COMPONENT_MERGE;COMPONENT_SPLIT,STRUCTURAL_SPLIT_OR_MERGE,adjacent_or_nearby_frames_only
