independent_geometry_id,response_unit_id,sar_frame,measured_range_p80_width_m,measured_azimuth_p80_width_m,vehicle_projection_envelope_status,aspect_angle_candidate_deg,aspect_angle_compatible_interval_deg,best_scale_length_m,best_scale_width_m,projection_residual_m,required_missing_support_range_m,required_missing_support_azimuth_m,required_extra_spread_range_m,required_extra_spread_azimuth_m,response_axis_aspect_angle_error_deg,aspect_angle_identifiability_status,aspect_angle_compatible_segment_count,aspect_angle_compatible_total_span_deg,equivalent_minimum_count,vehicle_scale_semantic_note_cn
GM019IG0011,R21B00120,224,3.04308,2.957288,WITHIN_VEHICLE_PROJECTION_ENVELOPE,42,1-88,3,1.4,0.038205,0.123137,0.090507,0,0,10.797169,AXIS_NOT_RESOLVED,1,87,13,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0012,R21B00106,212,0.683209,0.81049,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.575964,0.716791,2.18951,0,0,25.13381,AXIS_NOT_RESOLVED,1,90,5,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0013,R21B00110,213,0.827352,0.920997,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.539107,0.572648,2.079003,0,0,4.783221,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0014,R21B00004,27,0.147279,0.278328,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.749033,1.252721,2.721672,0,0,6.592876,AXIS_NOT_RESOLVED,1,90,5,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0015,R21B00010,28,0.323675,0.391169,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.705535,1.076325,2.608831,0,0,3.589442,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0016,R21B00115,220,2.742872,3.047642,WITHIN_VEHICLE_PROJECTION_ENVELOPE,87,2-90,3,2.6,0.021245,0.010572,0.08432,0,0,7.744668,AXIS_NOT_RESOLVED,1,88,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0017,R21B00122,224,1.188316,1.363037,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.412648,0.211684,1.636963,0,0,33.736164,AXIS_NOT_RESOLVED,1,90,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0018,R21B00119,224,0.414833,0.386538,PARTIAL_SUPPORT_BELOW_ENVELOPE,0,0-90,3,1.4,0.694181,2.585167,1.013462,0,0,33.339581,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0019,R21B00124,227,2.900103,2.730669,WITHIN_VEHICLE_PROJECTION_ENVELOPE,3,0-89,3,2.6,0.058244,0.231859,0.022776,0,0,18.858323,AXIS_NOT_RESOLVED,1,89,5,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0020,R21B00127,227,2.956579,2.755534,WITHIN_VEHICLE_PROJECTION_ENVELOPE,3,0-89,3,2.6,0.045935,0.175383,0,0,0.002089,16.371856,AXIS_NOT_RESOLVED,1,89,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0021,R21B00113,216,0.510701,0.651516,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.627805,0.889299,2.348484,0,0,2.143232,AXIS_NOT_RESOLVED,1,90,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0022,R21B00046,34,0.364703,0.590601,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.655603,1.035297,2.409399,0,0,7.202678,AXIS_NOT_RESOLVED,1,90,3,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0023,R21B00128,228,2.906798,2.746338,WITHIN_VEHICLE_PROJECTION_ENVELOPE,3,0-89,3,2.6,0.056319,0.225164,0.007107,0,0,20.16326,AXIS_NOT_RESOLVED,1,89,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0024,R21B00126,227,0.393976,0.345009,PARTIAL_SUPPORT_BELOW_ENVELOPE,0,0-90,3,1.4,0.702868,2.606024,1.054991,0,0,19.585007,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0025,R21B00063,52,1.888214,3.314777,WITHIN_VEHICLE_PROJECTION_ENVELOPE,86,4-90,3.2,1.7,0.011702,0.030865,0,0,0.003986,13.115627,AXIS_NOT_RESOLVED,1,86,13,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0026,R21B00062,46,3.520641,2.905396,WITHIN_VEHICLE_PROJECTION_ENVELOPE,27,1-84,3.1,1.7,0.005329,0.013263,0.016686,0,0,2.599632,AXIS_NOT_RESOLVED,1,83,30,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0027,R21B00005,27,0.228727,0.321655,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.730813,1.171273,2.678345,0,0,9.195687,AXIS_NOT_RESOLVED,1,90,5,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0028,R21B00001,27,1.967561,3.310636,WITHIN_VEHICLE_PROJECTION_ENVELOPE,79,4-90,3.1,1.4,0.001834,0,0,0.001775,0.000459,3.166091,AXIS_NOT_RESOLVED,1,86,14,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0029,R21B00006,27,2.4587,3.34251,WITHIN_VEHICLE_PROJECTION_ENVELOPE,89,4-90,3.3,2.4,0.001854,0,0,0.001473,0.001126,12.816702,AXIS_NOT_RESOLVED,1,86,25,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0030,R21B00007,28,2.036065,3.423248,WITHIN_VEHICLE_PROJECTION_ENVELOPE,78,5-90,3.2,1.4,0.002491,0,0,0.001341,0.002099,2.412722,AXIS_NOT_RESOLVED,1,85,15,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0031,R21B00011,28,2.745413,3.439417,WITHIN_VEHICLE_PROJECTION_ENVELOPE,63,5-90,3.1,1.5,0.002454,0,0.003689,0.001532,0,9.280126,AXIS_NOT_RESOLVED,1,85,29,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0032,R21B00047,34,3.589837,3.656043,WITHIN_VEHICLE_PROJECTION_ENVELOPE,51,7-83,3,2.2,0.015103,0.007846,0.0599,0,0,5.122841,AXIS_NOT_RESOLVED,1,76,22,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0033,R21B00041,34,0.722438,0.700077,PARTIAL_SUPPORT_BELOW_ENVELOPE,0,0-90,3,1.4,0.595671,2.277562,0.699923,0,0,40.36551,AXIS_NOT_RESOLVED,1,90,7,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0034,R21B00118,224,0.662641,0.76443,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.588508,0.737359,2.235569,0,0,14.368708,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0035,R21B00012,29,1.835237,3.351522,WITHIN_VEHICLE_PROJECTION_ENVELOPE,82,5-90,3.2,1.4,0.006552,0,0.012178,0.003507,0,3.22555,AXIS_NOT_RESOLVED,1,85,11,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0036,R21B00015,29,3.025984,3.314943,WITHIN_VEHICLE_PROJECTION_ENVELOPE,81,4-88,3,2.6,0.014001,0.011309,0.054851,0,0,20.816579,AXIS_NOT_RESOLVED,1,84,16,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0037,R21B00016,30,1.901391,3.376294,WITHIN_VEHICLE_PROJECTION_ENVELOPE,90,5-90,3.4,1.9,0.007317,0,0.023706,0.001391,0,5.219683,AXIS_NOT_RESOLVED,1,85,13,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0038,R21B00022,30,3.026435,3.362559,WITHIN_VEHICLE_PROJECTION_ENVELOPE,81,5-88,3,2.6,0.003262,0.010858,0.007236,0,0,19.132344,AXIS_NOT_RESOLVED,1,83,13,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0039,R21B00021,30,3.126704,3.362164,WITHIN_VEHICLE_PROJECTION_ENVELOPE,50,5-87,3.2,1.4,0.011589,0.002679,0,0,0.010919,5.791042,AXIS_NOT_RESOLVED,1,82,14,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0040,R21B00031,31,2.804019,1.944564,WITHIN_VEHICLE_PROJECTION_ENVELOPE,0,0-90,3,2,0.050918,0.195981,0.055436,0,0,10.419322,AXIS_NOT_RESOLVED,1,90,5,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0041,R21B00024,31,3.168382,3.388287,WITHIN_VEHICLE_PROJECTION_ENVELOPE,52,5-87,3,1.7,0.007213,0.018221,0.02237,0,0,1.104467,AXIS_NOT_RESOLVED,1,82,11,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0042,R21B00020,30,0.356621,0.403468,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.699581,1.043379,2.596532,0,0,31.852865,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0043,R21B00026,31,0.350114,0.471889,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.684361,1.049886,2.528111,0,0,10.608119,AXIS_NOT_RESOLVED,1,90,5,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0044,R21B00125,227,0.955284,0.917808,PARTIAL_SUPPORT_BELOW_ENVELOPE,0,0-90,3,1.4,0.525201,2.044716,0.482192,0,0,55.995441,AXIS_NOT_RESOLVED,1,90,7,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0045,R21B00037,32,0.436594,0.515569,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.666171,0.963406,2.484432,0,0,22.117647,AXIS_NOT_RESOLVED,1,90,5,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0046,R21B00054,39,2.964638,2.853756,WITHIN_VEHICLE_PROJECTION_ENVELOPE,5,0-89,3,2.6,0.06482,0.250551,0,0,0.002182,66.235297,AXIS_NOT_RESOLVED,1,89,24,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0047,R21B00051,39,0.668859,0.578368,PARTIAL_SUPPORT_BELOW_ENVELOPE,0,0-90,3,1.4,0.617925,2.331141,0.821631,0,0,36.740321,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0048,R21B00055,39,1.119769,1.073255,PARTIAL_SUPPORT_BELOW_ENVELOPE,0,0-90,3,1.4,0.477103,1.880231,0.326745,0,0,42.761999,AXIS_NOT_RESOLVED,1,90,7,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0049,R21B00035,32,0.300609,0.402624,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.705116,1.099391,2.597376,0,0,12.740798,AXIS_NOT_RESOLVED,1,90,5,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0050,R21B00132,238,3.122298,2.847967,WITHIN_VEHICLE_PROJECTION_ENVELOPE,5,0-88,3,2.6,0.02324,0.092891,0.003607,0,0,0.082727,AXIS_NOT_RESOLVED,1,88,13,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0051,R21B00129,228,0.96141,0.974057,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.518219,0.43859,2.025943,0,0,35.62906,AXIS_NOT_RESOLVED,1,90,8,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0052,R21B00059,40,1.235584,1.146126,PARTIAL_SUPPORT_BELOW_ENVELOPE,0,0-90,3,1.4,0.445647,1.764416,0.253874,0,0,41.17413,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0053,R21B00137,243,2.93489,2.792214,WITHIN_VEHICLE_PROJECTION_ENVELOPE,4,0-89,3,2.6,0.059852,0.239169,0.010722,0,0,2.452281,AXIS_NOT_RESOLVED,1,89,17,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0054,R21B00133,238,0.31885,0.304803,PARTIAL_SUPPORT_BELOW_ENVELOPE,0,0-90,3,1.4,0.724052,2.68115,1.095197,0,0,6.839053,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0055,R21B00023,30,1.527434,1.706869,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.6,0.323792,0.072566,1.293131,0,0,10.545398,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0056,R21B00027,31,0.374854,0.459231,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.684947,1.025146,2.540769,0,0,17.194608,AXIS_NOT_RESOLVED,1,90,5,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0057,R21B00019,30,0.365503,0.444823,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.689162,1.034497,2.555177,0,0,5.231404,AXIS_NOT_RESOLVED,1,90,5,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0058,R21B00143,259,2.988701,2.219453,WITHIN_VEHICLE_PROJECTION_ENVELOPE,1,0-89,3,2.2,0.014759,0.049237,0.032569,0,0,5.077245,AXIS_NOT_RESOLVED,1,89,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0059,R21B00146,259,2.884904,2.669178,WITHIN_VEHICLE_PROJECTION_ENVELOPE,2,0-90,3,2.6,0.051703,0.204007,0.033937,0,0,1.001945,AXIS_NOT_RESOLVED,1,90,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0060,R21B00158,263,2.978189,2.639475,WITHIN_VEHICLE_PROJECTION_ENVELOPE,1,0-89,3,2.6,0.016972,0.06673,0.012486,0,0,10.520675,AXIS_NOT_RESOLVED,1,89,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0061,R21B00038,32,2.89048,2.804415,WITHIN_VEHICLE_PROJECTION_ENVELOPE,4,0-90,3,2.6,0.072373,0.283579,0,0,0.001479,17.584747,AXIS_NOT_RESOLVED,1,90,22,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0062,R21B00033,32,0.768762,0.667918,PARTIAL_SUPPORT_BELOW_ENVELOPE,0,0-90,3,1.4,0.587067,2.231238,0.732082,0,0,27.64288,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0063,R21B00045,34,0.66378,0.729875,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.596631,0.73622,2.270125,0,0,8.617543,AXIS_NOT_RESOLVED,1,90,7,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0064,R21B00036,32,0.372761,0.474779,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.681541,1.027238,2.525221,0,0,15.678849,AXIS_NOT_RESOLVED,1,90,5,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0065,R21B00150,260,1.307573,2.730028,WITHIN_VEHICLE_PROJECTION_ENVELOPE,90,0-90,3,1.4,0.071339,0.092427,0.269972,0,0,4.452433,AXIS_NOT_RESOLVED,1,90,3,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0066,R21B00154,260,2.585611,2.592511,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,2.6,0.101936,0.014389,0.407489,0,0,46.105344,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0067,R21B00153,260,2.856254,2.658039,WITHIN_VEHICLE_PROJECTION_ENVELOPE,1,0-90,3,2.6,0.053244,0.188665,0,0,0.006078,3.748909,AXIS_NOT_RESOLVED,1,90,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0068,R21B00157,262,3.037834,2.654864,WITHIN_VEHICLE_PROJECTION_ENVELOPE,1,0-88,3,2.6,0.004674,0.007085,0,0,0.002902,6.381569,AXIS_NOT_RESOLVED,1,88,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0069,R21B00138,243,0.31319,0.331185,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.720405,1.08681,2.668815,0,0,35.828078,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0070,R21B00044,34,0.448345,0.549913,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.657104,0.951654,2.450087,0,0,29.83627,AXIS_NOT_RESOLVED,1,90,5,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0071,R21B00003,27,0.316941,0.470443,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.687917,1.083059,2.529557,0,0,5.696195,AXIS_NOT_RESOLVED,1,90,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0072,R21B00009,28,0.32653,0.515534,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.676614,1.07347,2.484466,0,0,7.478554,AXIS_NOT_RESOLVED,1,90,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0073,R21B00053,39,2.377317,2.401747,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,2.4,0.149671,0.022683,0.598253,0,0,44.012551,AXIS_NOT_RESOLVED,1,90,7,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0074,R21B00052,39,0.399607,0.635672,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.641815,1.000393,2.364328,0,0,14.249612,AXIS_NOT_RESOLVED,1,90,3,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0075,R21B00050,39,0.437865,0.475485,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.675411,0.962135,2.524515,0,0,37.972699,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0076,R21B00135,239,0.763642,0.748451,PARTIAL_SUPPORT_BELOW_ENVELOPE,0,0-90,3,1.4,0.582334,2.236358,0.651549,0,0,35.720917,AXIS_NOT_RESOLVED,1,90,7,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0077,R21B00014,29,0.292095,0.457821,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.693277,1.107905,2.542179,0,0,2.975106,AXIS_NOT_RESOLVED,1,90,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0078,R21B00018,30,0.343662,0.429182,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.694845,1.056338,2.570818,0,0,15.590406,AXIS_NOT_RESOLVED,1,90,5,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0079,R21B00025,31,0.294932,0.363049,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.714785,1.105068,2.636951,0,0,1.401196,AXIS_NOT_RESOLVED,1,90,5,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0080,R21B00039,32,2.799272,2.180473,WITHIN_VEHICLE_PROJECTION_ENVELOPE,0,0-90,3,2.2,0.050419,0.200728,0.019527,0,0,12.375167,AXIS_NOT_RESOLVED,1,90,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0081,R21B00060,40,0.383021,0.560916,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.660652,1.016979,2.439084,0,0,19.493981,AXIS_NOT_RESOLVED,1,90,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0082,R21B00008,28,0.663142,1.006016,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.531444,0.736857,1.993984,0,0,14.101947,AXIS_NOT_RESOLVED,1,90,3,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0083,R21B00013,29,0.808957,1.044567,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.510701,0.591043,1.955433,0,0,18.340484,AXIS_NOT_RESOLVED,1,90,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0084,R21B00017,30,0.858526,1.104845,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.492748,0.541474,1.895155,0,0,11.160318,AXIS_NOT_RESOLVED,1,90,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0085,R21B00002,27,0.580902,0.984971,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.543787,0.819098,2.015029,0,0,13.894994,AXIS_NOT_RESOLVED,1,90,3,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0086,R21B00140,250,2.758745,2.238393,WITHIN_VEHICLE_PROJECTION_ENVELOPE,0,0-90,3,2.3,0.062249,0.241255,0.061607,0,0,8.676483,AXIS_NOT_RESOLVED,1,90,4,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
GM019IG0087,R21B00043,34,0.237976,0.267233,PARTIAL_SUPPORT_BELOW_ENVELOPE,90,0-90,3,1.4,0.742391,1.162024,2.732767,0,0,25.709187,AXIS_NOT_RESOLVED,1,90,6,车辆尺度为投影包络，不是精确匹配目标；局部支撑低于包络不能作为非车辆证据。
