plan_region_id,gt_pair_id,template_family,layout_strategy,selected_component_count,selected_energy_fraction,axis_image_deg,axis_to_range_signed_deg,axis_to_range_acute_deg,axis_ratio,axis_status,axis_to_gt_long_axis_error_deg
WGV35A_PAIR_0204_S2A_008,WGV35A_PAIR_0204,center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.889602,163.828824,-67.044659,67.044659,208026331.677018,AXIS_COMPONENT_LAYOUT_RESOLVED,16.171176
WGV35A_PAIR_0204_S2A_009,WGV35A_PAIR_0204,center_shift,DOMINANT_ONLY,1,0.86955,19.256186,-38.96857,38.96857,1.693661,AXIS_RESOLVED,19.256186
WGV35A_PAIR_0204_S2A_009,WGV35A_PAIR_0204,center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.86955,19.256186,-38.96857,38.96857,1.693661,AXIS_RESOLVED,19.256186
WGV35A_PAIR_0204_S2A_009,WGV35A_PAIR_0204,center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.92554,158.221868,-80.002888,80.002888,180653084.53714,AXIS_COMPONENT_LAYOUT_RESOLVED,21.778132
WGV35A_PAIR_0204_S2A_010,WGV35A_PAIR_0204,center_shift,DOMINANT_ONLY,1,0.80313,40.90739,-13.641911,13.641911,1.595769,AXIS_RESOLVED,40.90739
WGV35A_PAIR_0204_S2A_010,WGV35A_PAIR_0204,center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.80313,40.90739,-13.641911,13.641911,1.595769,AXIS_RESOLVED,40.90739
WGV35A_PAIR_0204_S2A_010,WGV35A_PAIR_0204,center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.883252,169.973878,-64.575424,64.575424,,AXIS_COMPONENT_LAYOUT_RESOLVED,10.026122
WGV35A_PAIR_0204_S2A_011,WGV35A_PAIR_0204,center_shift,DOMINANT_ONLY,1,0.889396,22.38753,-32.161429,32.161429,1.719925,AXIS_RESOLVED,22.38753
WGV35A_PAIR_0204_S2A_011,WGV35A_PAIR_0204,center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.889396,22.38753,-32.161429,32.161429,1.719925,AXIS_RESOLVED,22.38753
WGV35A_PAIR_0204_S2A_011,WGV35A_PAIR_0204,center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.889396,22.38753,-32.161429,32.161429,1.719925,AXIS_RESOLVED,22.38753
WGV35A_PAIR_0204_S2A_012,WGV35A_PAIR_0204,center_shift,DOMINANT_ONLY,1,0.791282,38.080274,-10.964885,10.964885,1.558852,AXIS_RESOLVED,38.080274
WGV35A_PAIR_0204_S2A_012,WGV35A_PAIR_0204,center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,2,0.872175,165.617631,-63.427528,63.427528,309331276.26723,AXIS_COMPONENT_LAYOUT_RESOLVED,14.382369
WGV35A_PAIR_0204_S2A_012,WGV35A_PAIR_0204,center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.872175,165.617631,-63.427528,63.427528,309331276.26723,AXIS_COMPONENT_LAYOUT_RESOLVED,14.382369
WGV35A_PAIR_0204_S2A_013,WGV35A_PAIR_0204,center_shift,DOMINANT_ONLY,1,0.879525,15.066614,-44.986471,44.986471,1.655329,AXIS_RESOLVED,15.066614
WGV35A_PAIR_0204_S2A_013,WGV35A_PAIR_0204,center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.879525,15.066614,-44.986471,44.986471,1.655329,AXIS_RESOLVED,15.066614
WGV35A_PAIR_0204_S2A_013,WGV35A_PAIR_0204,center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.930944,157.506885,-82.5462,82.5462,,AXIS_COMPONENT_LAYOUT_RESOLVED,22.493115
WGV35A_PAIR_0204_S2A_014,WGV35A_PAIR_0204,diagonal_center_shift,DOMINANT_ONLY,1,0.810389,33.191869,-19.45646,19.45646,1.535428,AXIS_RESOLVED,33.191869
WGV35A_PAIR_0204_S2A_014,WGV35A_PAIR_0204,diagonal_center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.810389,33.191869,-19.45646,19.45646,1.535428,AXIS_RESOLVED,33.191869
WGV35A_PAIR_0204_S2A_014,WGV35A_PAIR_0204,diagonal_center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.883147,164.92119,-67.72714,67.72714,,AXIS_COMPONENT_LAYOUT_RESOLVED,15.07881
WGV35A_PAIR_0204_S2A_015,WGV35A_PAIR_0204,diagonal_center_shift,DOMINANT_ONLY,1,0.845063,25.12528,-31.324638,31.324638,1.650889,AXIS_RESOLVED,25.12528
WGV35A_PAIR_0204_S2A_015,WGV35A_PAIR_0204,diagonal_center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.845063,25.12528,-31.324638,31.324638,1.650889,AXIS_RESOLVED,25.12528
WGV35A_PAIR_0204_S2A_015,WGV35A_PAIR_0204,diagonal_center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.908016,161.871369,-74.578549,74.578549,,AXIS_COMPONENT_LAYOUT_RESOLVED,18.128631
WGV35A_PAIR_0204_S2A_016,WGV35A_PAIR_0204,diagonal_center_shift,DOMINANT_ONLY,1,0.84642,26.321502,-26.445037,26.445037,1.734297,AXIS_RESOLVED,26.321502
WGV35A_PAIR_0204_S2A_016,WGV35A_PAIR_0204,diagonal_center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.84642,26.321502,-26.445037,26.445037,1.734297,AXIS_RESOLVED,26.321502
WGV35A_PAIR_0204_S2A_016,WGV35A_PAIR_0204,diagonal_center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.911399,159.933128,-72.833411,72.833411,133532632.949996,AXIS_COMPONENT_LAYOUT_RESOLVED,20.066872
WGV35A_PAIR_0204_S2A_017,WGV35A_PAIR_0204,diagonal_center_shift,DOMINANT_ONLY,1,0.870858,19.857078,-36.474603,36.474603,1.688382,AXIS_RESOLVED,19.857078
WGV35A_PAIR_0204_S2A_017,WGV35A_PAIR_0204,diagonal_center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.870858,19.857078,-36.474603,36.474603,1.688382,AXIS_RESOLVED,19.857078
WGV35A_PAIR_0204_S2A_017,WGV35A_PAIR_0204,diagonal_center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.926044,157.576497,-78.755184,78.755184,,AXIS_COMPONENT_LAYOUT_RESOLVED,22.423503
WGV35A_PAIR_0204_S2A_018,WGV35A_PAIR_0204,diagonal_center_shift,DOMINANT_ONLY,1,0.782584,45.463855,-5.158085,5.158085,1.502104,AXIS_RESOLVED,45.463855
WGV35A_PAIR_0204_S2A_018,WGV35A_PAIR_0204,diagonal_center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,2,0.871248,170.652357,-59.969583,59.969583,,AXIS_COMPONENT_LAYOUT_RESOLVED,9.347643
WGV35A_PAIR_0204_S2A_018,WGV35A_PAIR_0204,diagonal_center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.871248,170.652357,-59.969583,59.969583,,AXIS_COMPONENT_LAYOUT_RESOLVED,9.347643
WGV35A_PAIR_0204_S2A_019,WGV35A_PAIR_0204,diagonal_center_shift,DOMINANT_ONLY,1,0.838722,26.581649,-31.894679,31.894679,1.623117,AXIS_RESOLVED,26.581649
WGV35A_PAIR_0204_S2A_019,WGV35A_PAIR_0204,diagonal_center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.838722,26.581649,-31.894679,31.894679,1.623117,AXIS_RESOLVED,26.581649
WGV35A_PAIR_0204_S2A_019,WGV35A_PAIR_0204,diagonal_center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.903399,163.161035,-75.315294,75.315294,281809884.691175,AXIS_COMPONENT_LAYOUT_RESOLVED,16.838965
WGV35A_PAIR_0204_S2A_020,WGV35A_PAIR_0204,diagonal_center_shift,DOMINANT_ONLY,1,0.84359,28.347766,-22.747011,22.747011,1.817312,AXIS_RESOLVED,28.347766
WGV35A_PAIR_0204_S2A_020,WGV35A_PAIR_0204,diagonal_center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.84359,28.347766,-22.747011,22.747011,1.817312,AXIS_RESOLVED,28.347766
WGV35A_PAIR_0204_S2A_020,WGV35A_PAIR_0204,diagonal_center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,2,0.910691,159.051872,-72.042906,72.042906,,AXIS_COMPONENT_LAYOUT_RESOLVED,20.948128
WGV35A_PAIR_0204_S2A_021,WGV35A_PAIR_0204,diagonal_center_shift,DOMINANT_ONLY,1,0.905345,13.940665,-44.062771,44.062771,1.66396,AXIS_RESOLVED,13.940665
WGV35A_PAIR_0204_S2A_021,WGV35A_PAIR_0204,diagonal_center_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.905345,13.940665,-44.062771,44.062771,1.66396,AXIS_RESOLVED,13.940665
WGV35A_PAIR_0204_S2A_021,WGV35A_PAIR_0204,diagonal_center_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.905345,13.940665,-44.062771,44.062771,1.66396,AXIS_RESOLVED,13.940665
WGV35A_PAIR_0204_S2A_022,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.890924,49.698199,-4.850962,4.850962,1.580536,AXIS_RESOLVED,49.698199
WGV35A_PAIR_0204_S2A_022,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.890924,49.698199,-4.850962,4.850962,1.580536,AXIS_RESOLVED,49.698199
WGV35A_PAIR_0204_S2A_022,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.890924,49.698199,-4.850962,4.850962,1.580536,AXIS_RESOLVED,49.698199
WGV35A_PAIR_0204_S2A_023,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.892045,47.502003,-7.047065,7.047065,1.51328,AXIS_RESOLVED,47.502003
WGV35A_PAIR_0204_S2A_023,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.892045,47.502003,-7.047065,7.047065,1.51328,AXIS_RESOLVED,47.502003
WGV35A_PAIR_0204_S2A_023,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.892045,47.502003,-7.047065,7.047065,1.51328,AXIS_RESOLVED,47.502003
WGV35A_PAIR_0204_S2A_024,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.892466,49.463491,-5.08567,5.08567,1.504333,AXIS_RESOLVED,49.463491
WGV35A_PAIR_0204_S2A_024,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.892466,49.463491,-5.08567,5.08567,1.504333,AXIS_RESOLVED,49.463491
WGV35A_PAIR_0204_S2A_024,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.892466,49.463491,-5.08567,5.08567,1.504333,AXIS_RESOLVED,49.463491
WGV35A_PAIR_0204_S2A_025,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.892389,46.1359,-8.413168,8.413168,1.614095,AXIS_RESOLVED,46.1359
WGV35A_PAIR_0204_S2A_025,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.892389,46.1359,-8.413168,8.413168,1.614095,AXIS_RESOLVED,46.1359
WGV35A_PAIR_0204_S2A_025,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.892389,46.1359,-8.413168,8.413168,1.614095,AXIS_RESOLVED,46.1359
WGV35A_PAIR_0204_S2A_026,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.891173,48.716959,-4.912099,4.912099,1.546886,AXIS_RESOLVED,48.716959
WGV35A_PAIR_0204_S2A_026,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.891173,48.716959,-4.912099,4.912099,1.546886,AXIS_RESOLVED,48.716959
WGV35A_PAIR_0204_S2A_026,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.891173,48.716959,-4.912099,4.912099,1.546886,AXIS_RESOLVED,48.716959
WGV35A_PAIR_0204_S2A_027,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.891983,48.841929,-6.62724,6.62724,1.545773,AXIS_RESOLVED,48.841929
WGV35A_PAIR_0204_S2A_027,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.891983,48.841929,-6.62724,6.62724,1.545773,AXIS_RESOLVED,48.841929
WGV35A_PAIR_0204_S2A_027,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.891983,48.841929,-6.62724,6.62724,1.545773,AXIS_RESOLVED,48.841929
WGV35A_PAIR_0204_S2A_028,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.888293,49.160868,-4.46819,4.46819,1.668004,AXIS_RESOLVED,49.160868
WGV35A_PAIR_0204_S2A_028,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.888293,49.160868,-4.46819,4.46819,1.668004,AXIS_RESOLVED,49.160868
WGV35A_PAIR_0204_S2A_028,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.888293,49.160868,-4.46819,4.46819,1.668004,AXIS_RESOLVED,49.160868
WGV35A_PAIR_0204_S2A_029,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.896597,49.612431,-5.856738,5.856738,1.435377,AXIS_RESOLVED,49.612431
WGV35A_PAIR_0204_S2A_029,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.896597,49.612431,-5.856738,5.856738,1.435377,AXIS_RESOLVED,49.612431
WGV35A_PAIR_0204_S2A_029,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.896597,49.612431,-5.856738,5.856738,1.435377,AXIS_RESOLVED,49.612431
WGV35A_PAIR_0204_S2A_030,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.89223,50.043447,-4.505828,4.505828,1.63168,AXIS_RESOLVED,50.043447
WGV35A_PAIR_0204_S2A_030,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.89223,50.043447,-4.505828,4.505828,1.63168,AXIS_RESOLVED,50.043447
WGV35A_PAIR_0204_S2A_030,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.89223,50.043447,-4.505828,4.505828,1.63168,AXIS_RESOLVED,50.043447
WGV35A_PAIR_0204_S2A_031,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.876957,41.86749,-12.681472,12.681472,1.523303,AXIS_RESOLVED,41.86749
WGV35A_PAIR_0204_S2A_031,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.876957,41.86749,-12.681472,12.681472,1.523303,AXIS_RESOLVED,41.86749
WGV35A_PAIR_0204_S2A_031,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.876957,41.86749,-12.681472,12.681472,1.523303,AXIS_RESOLVED,41.86749
WGV35A_PAIR_0204_S2A_032,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.8934,49.982916,-4.566359,4.566359,1.467717,AXIS_RESOLVED,49.982916
WGV35A_PAIR_0204_S2A_032,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.8934,49.982916,-4.566359,4.566359,1.467717,AXIS_RESOLVED,49.982916
WGV35A_PAIR_0204_S2A_032,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.8934,49.982916,-4.566359,4.566359,1.467717,AXIS_RESOLVED,49.982916
WGV35A_PAIR_0204_S2A_033,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.891043,45.06309,-9.485872,9.485872,1.656297,AXIS_RESOLVED,45.06309
WGV35A_PAIR_0204_S2A_033,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.891043,45.06309,-9.485872,9.485872,1.656297,AXIS_RESOLVED,45.06309
WGV35A_PAIR_0204_S2A_033,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.891043,45.06309,-9.485872,9.485872,1.656297,AXIS_RESOLVED,45.06309
WGV35A_PAIR_0204_S2A_034,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.890943,48.781584,-3.927747,3.927747,1.546081,AXIS_RESOLVED,48.781584
WGV35A_PAIR_0204_S2A_034,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.890943,48.781584,-3.927747,3.927747,1.546081,AXIS_RESOLVED,48.781584
WGV35A_PAIR_0204_S2A_034,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.890943,48.781584,-3.927747,3.927747,1.546081,AXIS_RESOLVED,48.781584
WGV35A_PAIR_0204_S2A_035,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.892289,48.862919,-7.525984,7.525984,1.546444,AXIS_RESOLVED,48.862919
WGV35A_PAIR_0204_S2A_035,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.892289,48.862919,-7.525984,7.525984,1.546444,AXIS_RESOLVED,48.862919
WGV35A_PAIR_0204_S2A_035,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.892289,48.862919,-7.525984,7.525984,1.546444,AXIS_RESOLVED,48.862919
WGV35A_PAIR_0204_S2A_036,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.885487,49.462345,-3.246986,3.246986,1.793636,AXIS_RESOLVED,49.462345
WGV35A_PAIR_0204_S2A_036,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.885487,49.462345,-3.246986,3.246986,1.793636,AXIS_RESOLVED,49.462345
WGV35A_PAIR_0204_S2A_036,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.885487,49.462345,-3.246986,3.246986,1.793636,AXIS_RESOLVED,49.462345
WGV35A_PAIR_0204_S2A_037,WGV35A_PAIR_0204,single_boundary_shift,DOMINANT_ONLY,1,0.90086,50.381762,-6.00714,6.00714,1.345599,AXIS_RESOLVED,50.381762
WGV35A_PAIR_0204_S2A_037,WGV35A_PAIR_0204,single_boundary_shift,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.90086,50.381762,-6.00714,6.00714,1.345599,AXIS_RESOLVED,50.381762
WGV35A_PAIR_0204_S2A_037,WGV35A_PAIR_0204,single_boundary_shift,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.90086,50.381762,-6.00714,6.00714,1.345599,AXIS_RESOLVED,50.381762
WGV35A_PAIR_0204_S2A_038,WGV35A_PAIR_0204,scale_resize,DOMINANT_ONLY,1,0.892547,48.56503,-5.984233,5.984233,1.512957,AXIS_RESOLVED,48.56503
WGV35A_PAIR_0204_S2A_038,WGV35A_PAIR_0204,scale_resize,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.892547,48.56503,-5.984233,5.984233,1.512957,AXIS_RESOLVED,48.56503
WGV35A_PAIR_0204_S2A_038,WGV35A_PAIR_0204,scale_resize,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.892547,48.56503,-5.984233,5.984233,1.512957,AXIS_RESOLVED,48.56503
WGV35A_PAIR_0204_S2A_039,WGV35A_PAIR_0204,scale_resize,DOMINANT_ONLY,1,0.891991,48.45156,-6.097703,6.097703,1.582746,AXIS_RESOLVED,48.45156
WGV35A_PAIR_0204_S2A_039,WGV35A_PAIR_0204,scale_resize,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.891991,48.45156,-6.097703,6.097703,1.582746,AXIS_RESOLVED,48.45156
WGV35A_PAIR_0204_S2A_039,WGV35A_PAIR_0204,scale_resize,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.891991,48.45156,-6.097703,6.097703,1.582746,AXIS_RESOLVED,48.45156
WGV35A_PAIR_0204_S2A_040,WGV35A_PAIR_0204,scale_resize,DOMINANT_ONLY,1,0.889446,49.129755,-5.419209,5.419209,1.612951,AXIS_RESOLVED,49.129755
WGV35A_PAIR_0204_S2A_040,WGV35A_PAIR_0204,scale_resize,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.889446,49.129755,-5.419209,5.419209,1.612951,AXIS_RESOLVED,49.129755
WGV35A_PAIR_0204_S2A_040,WGV35A_PAIR_0204,scale_resize,COMPONENT_ENERGY_FRACTION_GE_5_PERCENT,1,0.889446,49.129755,-5.419209,5.419209,1.612951,AXIS_RESOLVED,49.129755
WGV35A_PAIR_0204_S2A_041,WGV35A_PAIR_0204,scale_resize,DOMINANT_ONLY,1,0.894361,49.435183,-5.113781,5.113781,1.490044,AXIS_RESOLVED,49.435183
WGV35A_PAIR_0204_S2A_041,WGV35A_PAIR_0204,scale_resize,TOP_COMPONENTS_TO_80_PERCENT_ENERGY,1,0.894361,49.435183,-5.113781,5.113781,1.490044,AXIS_RESOLVED,49.435183
