scene,independent_geometry_id,response_unit_id,member_response_unit_count,member_response_unit_ids,sar_frame,sar_gray_image_relpath,core_bbox,conservative_bbox,calibration_status,max_range_m,radial_grid_spacing_m_per_px,sar_fan_center_x_px,sar_fan_center_y_px,gt_file_opened,paired_annotations_opened,mask_audit_opened,generation_input_scope,response_center_x,response_center_y,absolute_range_m,range_unit_x,range_unit_y,azimuth_unit_x,azimuth_unit_y,background_mode,frozen_background_estimate,measured_background_subtracted_energy,measured_inner_energy_density,measured_outer_band_energy_density,measured_inner_outer_density_ratio,measured_component_count,measured_largest_component_pixels,measured_range_p50_width_m,measured_range_p80_width_m,measured_range_p90_width_m,measured_azimuth_p50_width_m,measured_azimuth_p80_width_m,measured_azimuth_p90_width_m,principal_axis_major_std_px,principal_axis_minor_std_px,principal_axis_ratio,response_axis_vector_x,response_axis_vector_y,response_axis_image_deg,response_axis_to_range_signed_deg,response_axis_to_range_acute_deg,response_axis_to_azimuth_acute_deg,range_azimuth_acute_complement_error_deg,axis_orientation_status,threshold_component_identity_status
GM_RM019,GM019IG0011,R21B00120,3,R21B00120;R21B00121;R21B00123,224,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000224.png,"1005,1126,1132,1240","1005,1126,1132,1240",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1068.5,1183,5.117266,-0.501244,-0.865306,0.865306,-0.501244,BASE_REGION_FROZEN_BACKGROUND,47,314657,11.606677,5.56596,2.085296,604,15057,1.679432,3.04308,3.721026,1.717579,2.957288,3.567645,38.206716,37.108552,1.029593,0.992288,0.123956,7.120478,-52.797169,52.797169,37.202831,0,AXIS_NEAR_ISOTROPIC,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0012,R21B00106,1,R21B00106,212,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000212.png,"1005,1210,1023,1240","1005,1210,1023,1240",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1014,1225,5.26082,-0.798355,-0.602188,0.602188,-0.798355,BASE_REGION_FROZEN_BACKGROUND,45,12763,11.314716,11.468912,0.986555,16,805,0.355838,0.683209,0.785307,0.416331,0.81049,0.919705,10.185134,7.796895,1.306306,-0.88426,0.466996,152.160539,-64.86619,64.86619,25.13381,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,COMPONENT_SPLIT_OR_MERGE
GM_RM019,GM019IG0013,R21B00110,1,R21B00110,213,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000213.png,"1005,1210,1023,1246","1005,1210,1023,1246",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1014,1228,5.207119,-0.806588,-0.591114,0.591114,-0.806588,BASE_REGION_FROZEN_BACKGROUND,2,73756,51.940845,41.53513,1.250528,1,1418,0.474516,0.827352,0.946854,0.558032,0.920997,1.045304,11.275109,9.894366,1.139548,-0.656313,0.754488,131.019313,-85.216779,85.216779,4.783221,0,AXIS_NEAR_ISOTROPIC,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0014,R21B00004,1,R21B00004,27,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,"1006,1131,1018,1137","1006,1131,1018,1137",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1012,1134,7.275576,-0.585521,-0.810657,0.810657,-0.585521,BASE_REGION_FROZEN_BACKGROUND,43,1870,11.835443,3.52,3.362342,4,100,0.066205,0.147279,0.220238,0.174295,0.278328,0.324271,3.595224,2.07863,1.729612,-0.738071,0.674723,137.567343,83.407124,83.407124,6.592876,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,SAME_COMPONENT_PERSISTENT
GM_RM019,GM019IG0015,R21B00010,1,R21B00010,28,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000028.png,"1006,1131,1024,1143","1006,1131,1024,1143",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1015,1137,7.149949,-0.583221,-0.812314,0.812314,-0.583221,BASE_REGION_FROZEN_BACKGROUND,40,3863,8.819635,3.164093,2.787413,13,282,0.132471,0.323675,0.429914,0.226827,0.391169,0.473643,5.176581,4.1683,1.241893,-0.847233,0.531221,147.912032,-86.410558,86.410558,3.589442,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,SAME_COMPONENT_PERSISTENT
GM_RM019,GM019IG0016,R21B00115,1,R21B00115,220,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000220.png,"1011,1126,1132,1240","1011,1126,1132,1240",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1071.5,1183,5.072752,-0.487901,-0.872899,0.872899,-0.487901,BASE_REGION_FROZEN_BACKGROUND,47,252601,9.881895,4.65345,2.123563,772,12777,1.465193,2.742872,3.37136,1.753143,3.047642,3.671658,37.766458,34.353118,1.09936,-0.948556,0.31661,161.541962,-79.255332,79.255332,10.744668,0,AXIS_NEAR_ISOTROPIC,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0017,R21B00122,1,R21B00122,224,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000224.png,"1011,1210,1065,1240","1011,1210,1065,1240",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1038,1225,4.70602,-0.739478,-0.67318,0.67318,-0.739478,BASE_REGION_FROZEN_BACKGROUND,44,38530,10.946023,10.912772,1.003047,37,2448,0.683737,1.188316,1.417809,0.68236,1.363037,1.535616,19.092077,13.417765,1.422896,-0.970503,0.241089,166.049164,-56.263836,56.263836,33.736164,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,SAME_COMPONENT_PERSISTENT
GM_RM019,GM019IG0018,R21B00119,1,R21B00119,224,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000224.png,"1011,1228,1029,1240","1011,1228,1029,1240",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1020,1234,4.955684,-0.81119,-0.584783,0.584783,-0.81119,BASE_REGION_FROZEN_BACKGROUND,46,5858,13.374429,4.689189,2.852184,6,319,0.187893,0.414833,0.481048,0.189019,0.386538,0.48784,5.196042,4.52304,1.148794,0.999087,0.042714,2.448084,-33.339581,33.339581,56.660419,0,AXIS_NEAR_ISOTROPIC,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0019,R21B00124,1,R21B00124,227,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000227.png,"1017,1126,1132,1234","1017,1126,1132,1234",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1074.5,1180,5.10887,-0.466835,-0.884344,0.884344,-0.466835,BASE_REGION_FROZEN_BACKGROUND,53,289879,12.772251,5.195122,2.458508,498,12964,1.581091,2.900103,3.504382,1.566188,2.730669,3.228139,36.222117,34.034433,1.064279,0.762526,0.646958,40.312621,-21.858323,21.858323,68.141677,0,AXIS_NEAR_ISOTROPIC,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0020,R21B00127,1,R21B00127,227,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000227.png,"1017,1126,1132,1240","1017,1126,1132,1240",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1074.5,1183,5.029454,-0.474207,-0.880414,0.880414,-0.474207,BASE_REGION_FROZEN_BACKGROUND,52,309590,12.866345,5.588994,2.302086,527,13731,1.627745,2.956579,3.594342,1.582812,2.755534,3.265261,36.948877,34.619332,1.06729,0.739391,0.673276,42.320444,-19.371856,19.371856,70.628144,0,AXIS_NEAR_ISOTROPIC,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0021,R21B00113,1,R21B00113,216,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000216.png,"1017,1216,1035,1240","1017,1216,1035,1240",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1026,1228,4.92135,-0.780274,-0.625438,0.625438,-0.780274,BASE_REGION_FROZEN_BACKGROUND,45,11262,12.915138,8.623188,1.497722,9,664,0.276253,0.510701,0.642409,0.374897,0.651516,0.763912,8.17691,6.585541,1.241646,-0.654181,0.756338,130.857587,-87.856768,87.856768,2.143232,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,SAME_COMPONENT_PERSISTENT
GM_RM019,GM019IG0022,R21B00046,1,R21B00046,34,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000034.png,"1018,1141,1042,1159","1018,1141,1042,1159",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1030,1150,6.572148,-0.566025,-0.824388,0.824388,-0.566025,BASE_REGION_FROZEN_BACKGROUND,33,5138,6.016393,2.390029,2.517288,31,375,0.098571,0.364703,0.550012,0.318197,0.590601,0.72757,7.529304,5.040543,1.493748,-0.746915,0.66492,138.323821,82.797322,82.797322,7.202678,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,SAME_COMPONENT_PERSISTENT
GM_RM019,GM019IG0023,R21B00128,2,R21B00128;R21B00131,228,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000228.png,"1023,1126,1132,1240","1023,1126,1132,1240",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1077.5,1183,4.987405,-0.460159,-0.887836,0.887836,-0.460159,BASE_REGION_FROZEN_BACKGROUND,48,276939,12.258277,4.654094,2.63387,572,12902,1.602003,2.906798,3.512422,1.590635,2.746338,3.223983,36.379387,34.310097,1.060311,0.772297,0.635261,39.439363,-23.16326,23.16326,66.83674,0,AXIS_NEAR_ISOTROPIC,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0024,R21B00126,2,R21B00126;R21B00130,227,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000227.png,"1023,1228,1041,1240","1023,1228,1041,1240",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1032,1234,4.668405,-0.783994,-0.620769,0.620769,-0.783994,BASE_REGION_FROZEN_BACKGROUND,50,5556,12.513514,4.513462,2.772487,9,311,0.247961,0.393976,0.459639,0.168572,0.345009,0.467504,5.344754,4.371646,1.222595,0.946721,0.322056,18.78729,-19.585007,19.585007,70.414993,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,SAME_COMPONENT_PERSISTENT
GM_RM019,GM019IG0025,R21B00063,2,R21B00063;R21B00066,52,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000052.png,"1024,1135,1193,1189","1024,1135,1193,1189",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1108.5,1162,5.238949,-0.260548,-0.965461,0.965461,-0.260548,BASE_REGION_FROZEN_BACKGROUND,37,112935,6.625308,4.150777,1.596161,707,7521,0.740313,1.888214,2.249111,1.712078,3.314777,4.14552,45.887042,20.235946,2.267601,0.999383,0.035127,2.013021,-72.884373,72.884373,17.115627,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,SAME_COMPONENT_PERSISTENT
GM_RM019,GM019IG0026,R21B00062,1,R21B00062,46,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000046.png,"1030,1135,1193,1255","1030,1135,1193,1255",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1111.5,1195,4.263127,-0.299076,-0.954229,0.954229,-0.299076,BASE_REGION_FROZEN_BACKGROUND,38,262960,8.41472,4.009315,2.098792,1094,16123,2.214952,3.520641,4.024399,1.537723,2.905396,3.729601,47.952981,37.928651,1.264294,0.731375,0.681976,42.998238,-29.599632,29.599632,60.400368,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,COMPONENT_SPLIT_OR_MERGE
GM_RM019,GM019IG0027,R21B00005,1,R21B00005,27,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,"1030,1221,1042,1233","1030,1221,1042,1233",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1036,1227,4.71076,-0.751471,-0.659766,0.659766,-0.751471,BASE_REGION_FROZEN_BACKGROUND,39,3066,10.645833,2.795871,3.807698,7,210,0.113256,0.228727,0.310651,0.191893,0.321655,0.39479,4.253481,3.065511,1.387528,-0.531197,0.847249,122.086349,80.804313,80.804313,9.195687,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,SAME_COMPONENT_PERSISTENT
GM_RM019,GM019IG0028,R21B00001,1,R21B00001,27,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,"1036,1131,1186,1203","1036,1131,1186,1203",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1111,1167,5.074698,-0.254202,-0.967151,0.967151,-0.254202,BASE_REGION_FROZEN_BACKGROUND,43,178569,10.143661,5.886444,1.723224,470,10410,1.043743,1.967561,2.424948,1.8415,3.310636,3.9259,40.735377,24.91659,1.63487,-0.923477,0.383654,157.439768,82.166091,82.166091,7.833909,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0029,R21B00006,1,R21B00006,27,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000027.png,"1036,1131,1186,1233","1036,1131,1186,1233",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1111,1182,4.64089,-0.277964,-0.960592,0.960592,-0.277964,BASE_REGION_FROZEN_BACKGROUND,41,229662,9.535083,5.434513,1.754542,756,12823,1.239784,2.4587,3.238874,1.791859,3.34251,3.988756,41.333519,31.850821,1.297722,-0.866414,0.499326,150.044577,76.183298,76.183298,13.816702,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0030,R21B00007,1,R21B00007,28,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000028.png,"1036,1131,1192,1203","1036,1131,1192,1203",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1114,1167,5.05257,-0.237503,-0.971387,0.971387,-0.237503,BASE_REGION_FROZEN_BACKGROUND,43,178599,9.896875,6.414326,1.542933,537,10331,1.069974,2.036065,2.464639,1.852808,3.423248,4.04883,41.51749,25.271625,1.64285,-0.918263,0.39597,156.673516,80.412722,80.412722,9.587278,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0031,R21B00011,1,R21B00011,28,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000028.png,"1036,1131,1192,1233","1036,1131,1192,1233",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1114,1182,4.616683,-0.259927,-0.965628,0.965628,-0.259927,BASE_REGION_FROZEN_BACKGROUND,41,238069,9.665029,5.556916,1.739279,902,12736,1.342548,2.745413,3.355903,1.763669,3.439417,4.112446,42.065004,33.345856,1.261476,-0.840703,0.541497,147.214403,72.280126,72.280126,17.719874,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0032,R21B00047,1,R21B00047,34,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000034.png,"1036,1135,1193,1267","1036,1135,1193,1267",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1114.5,1201,4.064575,-0.291543,-0.956558,0.956558,-0.291543,BASE_REGION_FROZEN_BACKGROUND,32,305331,9.407536,4.385445,2.145173,561,22211,2.094861,3.589837,4.271982,1.792859,3.656043,4.521794,45.588192,44.410497,1.026518,-0.483692,0.875239,118.926779,45.877159,45.877159,44.122841,0,AXIS_NEAR_ISOTROPIC,COMPONENT_IDENTITY_SWITCH
GM_RM019,GM019IG0033,R21B00041,1,R21B00041,34,D:/profile/research/data/GM_RM019/GM_RM019_SARframes_gray/000034.png,"1036,1219,1072,1243","1036,1219,1072,1243",PROJECT_CONFIRMED,40,0.03,1154,1330.6,false,false,false,sar_gray+s1_frozen_rows+local_response_units+boundary_variant_families+s1_r1_protocol+project_confirmed_calibration_only,1054,1231,4.234164,-0.708522,-0.705688,0.705688,-0.708522,BASE_REGION_FROZEN_BACKGROUND,38,10559,5.866111,3.38745,1.731719,72,781,0.340346,0.722438,0.93508,0.340856,0.700077,0.933549,12.11066,6.147718,1.969944,0.99689,0.078801,4.519669,-40.36551,40.36551,49.63449,0,AXIS_MULTI_COMPONENT_AMBIGUOUS,SAME_COMPONENT_PERSISTENT
