sar_frame,source_type,selected_source_frame,source_lag_frames,source_is_causal,source_shell_bbox,source_shell_boundary_contact_count,source_shell_staleness_risk,generation_provenance
80,historical_source_shell,77,3,true,"1146.523,1133.528,1391.813,1279.634",3,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
81,historical_source_shell,77,4,true,"1146.523,1133.528,1391.813,1279.634",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
212,historical_source_shell,212,0,true,"897.174,1126.205,1131.287,1280.449",1,low,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
213,historical_source_shell,212,1,true,"897.174,1126.205,1131.287,1280.449",1,low,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
216,historical_source_shell,212,4,true,"897.174,1126.205,1131.287,1280.449",1,low,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
220,historical_source_shell,212,8,true,"897.174,1126.205,1131.287,1280.449",1,low,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
224,historical_source_shell,212,12,true,"897.174,1126.205,1131.287,1280.449",1,low,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
227,historical_source_shell,212,15,true,"897.174,1126.205,1131.287,1280.449",1,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
228,historical_source_shell,212,16,true,"897.174,1126.205,1131.287,1280.449",1,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
238,historical_source_shell,238,0,true,"1003.74,1135.593,1217.86,1279.581",1,low,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
239,historical_source_shell,238,1,true,"1003.74,1135.593,1217.86,1279.581",1,low,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
243,historical_source_shell,238,5,true,"1003.74,1135.593,1217.86,1279.581",1,low,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
250,historical_source_shell,238,12,true,"1003.74,1135.593,1217.86,1279.581",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
259,historical_source_shell,238,21,true,"1003.74,1135.593,1217.86,1279.581",3,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
260,historical_source_shell,238,22,true,"1003.74,1135.593,1217.86,1279.581",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
262,historical_source_shell,238,24,true,"1003.74,1135.593,1217.86,1279.581",1,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
263,historical_source_shell,238,25,true,"1003.74,1135.593,1217.86,1279.581",1,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
269,historical_source_shell,269,0,true,"1107.765,1138.396,1331.455,1280.367",3,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
270,historical_source_shell,269,1,true,"1107.765,1138.396,1331.455,1280.367",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
271,historical_source_shell,269,2,true,"1107.765,1138.396,1331.455,1280.367",1,low,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
272,historical_source_shell,269,3,true,"1107.765,1138.396,1331.455,1280.367",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
273,historical_source_shell,273,0,true,"1115.612,1140.902,1339.192,1282.322",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
276,historical_source_shell,273,3,true,"1115.612,1140.902,1339.192,1282.322",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
278,historical_source_shell,273,5,true,"1115.612,1140.902,1339.192,1282.322",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
279,historical_source_shell,273,6,true,"1115.612,1140.902,1339.192,1282.322",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
280,historical_source_shell,273,7,true,"1115.612,1140.902,1339.192,1282.322",1,low,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
281,historical_source_shell,273,8,true,"1115.612,1140.902,1339.192,1282.322",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
284,historical_source_shell,273,11,true,"1115.612,1140.902,1339.192,1282.322",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
288,historical_source_shell,288,0,true,"1146.225,1138.411,1369.705,1282.411",1,low,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
289,historical_source_shell,288,1,true,"1146.225,1138.411,1369.705,1282.411",3,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
290,historical_source_shell,288,2,true,"1146.225,1138.411,1369.705,1282.411",2,high_lag_or_boundary_contact,a1_7r_source_shell_plus_sar_gray_recomputed_components_no_r1_r2_atoms
