counterfactual_id,counterfactual_group,sar_frame,split,center_x,center_y,total_background_subtracted_energy,energy_centroid_body_long_offset_m,energy_centroid_body_short_offset_m,near_far_energy_ratio,component_layout_axis_deg,significant_component_count,counterfactual_role
fixed_known_non_vehicle_N005_sar000321,fixed_known_non_vehicle_N005,321,calibration,1196.566369,1166.397906,31616,-0.084986,-0.053247,0.970982,0,1,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000321,fixed_linear_structure,321,calibration,1461.700834,848.735721,40075,-0.084517,-0.192109,0.970186,178.862009,16,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000321,fixed_strong_scatterer,321,calibration,1132.158395,1164.457828,31740,0.03917,-0.048677,0.960928,0,1,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000323,matched_strong_scatterer_background,323,calibration,997,850,66926,-0.122542,-0.179458,0.892985,179.058833,16,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000323,matched_linear_structure_background,323,calibration,1167,816,36906,0.408725,-0.038402,0.961073,5.279352,10,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000323,fixed_known_non_vehicle_N005,323,calibration,1196.566369,1166.397906,30611,-0.055669,-0.02343,0.985707,1.381791,0,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000323,fixed_linear_structure,323,calibration,1461.700834,848.735721,45067,0.052787,-0.167347,0.957875,0.027903,13,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000323,fixed_strong_scatterer,323,calibration,1132.158395,1164.457828,32812,-0.049012,-0.033322,0.959793,0,2,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000325,matched_strong_scatterer_background,325,calibration,1303,952,98229,0.201821,0.039138,1.015096,35.159361,15,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000325,matched_linear_structure_background,325,calibration,1167,816,32379,0.342446,0.184674,0.958927,39.022621,12,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000325,fixed_known_non_vehicle_N005,325,calibration,1196.566369,1166.397906,30511,0.04776,0.184714,0.967855,53.688885,0,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000325,fixed_linear_structure,325,calibration,1461.700834,848.735721,46783,0.220756,0.523481,0.915106,43.158638,15,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000325,fixed_strong_scatterer,325,calibration,1132.158395,1164.457828,33610,-0.107145,-0.287902,1.011808,63.206778,5,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000327,matched_strong_scatterer_background,327,calibration,1303,952,112950,-0.21431,0.118363,1.081748,20.651109,11,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000327,matched_linear_structure_background,327,calibration,1371,986,64832,-0.51197,-0.331803,1.024795,175.200276,10,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000327,fixed_known_non_vehicle_N005,327,calibration,1196.566369,1166.397906,31569,-0.103759,-0.047685,0.98368,0,1,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000327,fixed_linear_structure,327,calibration,1461.700834,848.735721,34611,0.106477,-0.154555,0.959456,141.923579,11,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000327,fixed_strong_scatterer,327,calibration,1132.158395,1164.457828,31348,0.037415,-0.01984,0.963544,0,2,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000331,matched_strong_scatterer_background,331,calibration,1337,952,75077,-0.436795,0.117887,1.127126,39.580606,11,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000331,matched_linear_structure_background,331,calibration,1371,986,50399,-0.556908,-0.306413,1.038334,179.630143,11,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000331,fixed_known_non_vehicle_N005,331,calibration,1196.566369,1166.397906,23213,-0.107797,-0.040008,0.984014,174.013082,0,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000331,fixed_linear_structure,331,calibration,1461.700834,848.735721,21038,0.348785,-0.185013,0.94159,160.632353,9,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000331,fixed_strong_scatterer,331,calibration,1132.158395,1164.457828,25564,-0.14245,0.058495,0.997522,148.808866,3,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000332,matched_strong_scatterer_background,332,calibration,1337,952,68865,-0.315019,-0.086257,1.022097,55.208337,14,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000332,matched_linear_structure_background,332,calibration,1371,986,47168,-0.544682,-0.474259,0.927964,22.642027,10,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000332,fixed_known_non_vehicle_N005,332,calibration,1196.566369,1166.397906,20242,-0.064075,-0.051322,0.980763,57.110504,0,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000332,fixed_linear_structure,332,calibration,1461.700834,848.735721,25625,-0.078861,-0.052179,0.980813,69.274286,11,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000332,fixed_strong_scatterer,332,calibration,1132.158395,1164.457828,23668,0.162749,0.350682,1.021261,0,2,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000333,matched_strong_scatterer_background,333,calibration,1371,952,43866,-0.233437,-0.105276,0.996312,44.635492,16,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000333,matched_linear_structure_background,333,calibration,1371,986,49141,-0.618543,-0.506484,0.931505,29.448802,17,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000333,fixed_known_non_vehicle_N005,333,calibration,1196.566369,1166.397906,14066,-0.089329,-0.119706,0.969604,58.862319,0,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000333,fixed_linear_structure,333,calibration,1461.700834,848.735721,17560,-0.042243,-0.024641,0.989358,62.17203,11,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000333,fixed_strong_scatterer,333,calibration,1132.158395,1164.457828,17191,0.205993,0.428034,1.028049,70.641482,4,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000334,matched_strong_scatterer_background,334,calibration,1371,952,57742,-0.259488,-0.148011,0.992084,44.487499,15,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000334,matched_linear_structure_background,334,calibration,1371,986,61494,-0.597751,-0.56979,0.917506,39.505843,8,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000334,fixed_known_non_vehicle_N005,334,calibration,1196.566369,1166.397906,20147,-0.100324,-0.160202,0.970672,61.213156,0,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000334,fixed_linear_structure,334,calibration,1461.700834,848.735721,22571,-0.015183,-0.03167,0.994096,56.439867,12,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000334,fixed_strong_scatterer,334,calibration,1132.158395,1164.457828,23873,0.101139,0.365117,1.0234,59.387698,5,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000335,matched_strong_scatterer_background,335,calibration,1371,952,66304,-0.306203,-0.135528,1.008958,42.862209,17,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000335,matched_linear_structure_background,335,calibration,1303,986,47186,0.123622,-0.558263,0.837867,62.60798,4,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000335,fixed_known_non_vehicle_N005,335,calibration,1196.566369,1166.397906,19225,-0.071276,-0.101923,0.9808,62.57938,0,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000335,fixed_linear_structure,335,calibration,1461.700834,848.735721,22069,0.039945,-0.03604,0.971318,51.706532,12,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000335,fixed_strong_scatterer,335,calibration,1132.158395,1164.457828,25947,0.091008,0.442081,1.028306,63.079948,11,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000336,matched_strong_scatterer_background,336,calibration,1371,952,68266,0.36695,0.101737,1.035129,50.222838,18,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000336,matched_linear_structure_background,336,calibration,1303,986,40259,-0.082938,0.504669,0.865093,23.992806,6,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000336,fixed_known_non_vehicle_N005,336,calibration,1196.566369,1166.397906,19206,0.054146,0.065346,0.980276,63.45745,0,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000336,fixed_linear_structure,336,calibration,1461.700834,848.735721,20456,-0.030183,0.03277,0.984791,51.905488,9,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000336,fixed_strong_scatterer,336,calibration,1132.158395,1164.457828,26447,-0.060938,-0.375358,1.023491,65.692835,8,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000336,matched_strong_scatterer_background,336,calibration,1235,680,60409,0.550028,0.620474,0.813134,0,2,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000336,matched_linear_structure_background,336,calibration,1235,680,60409,0.550028,0.620474,0.813134,0,2,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000336,fixed_known_non_vehicle_N005,336,calibration,1196.566369,1166.397906,19521,0.128189,0.085857,0.986355,0,1,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000336,fixed_linear_structure,336,calibration,1461.700834,848.735721,20382,-0.022515,0.028759,0.981059,51.905488,9,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000336,fixed_strong_scatterer,336,calibration,1132.158395,1164.457828,30906,-0.072698,-0.276936,1.020903,62.170371,7,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000337,matched_strong_scatterer_background,337,calibration,1371,952,91526,0.419776,-0.085817,1.136791,37.451125,11,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000337,matched_linear_structure_background,337,calibration,1303,986,84110,0.13562,0.102328,0.956528,165.04527,8,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000337,fixed_known_non_vehicle_N005,337,calibration,1196.566369,1166.397906,34329,0.241481,0.078118,0.988541,0,2,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000337,fixed_linear_structure,337,calibration,1461.700834,848.735721,19008,-0.239457,0.069727,0.956424,127.016272,4,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000337,fixed_strong_scatterer,337,calibration,1132.158395,1164.457828,36343,-0.094333,-0.00783,0.973689,144.588833,5,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000338,matched_strong_scatterer_background,338,calibration,1371,952,85999,0.254337,-0.087362,1.082943,29.51952,11,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000338,matched_linear_structure_background,338,calibration,1303,986,87851,0.045921,0.065382,0.969391,165.942194,11,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000338,fixed_known_non_vehicle_N005,338,calibration,1196.566369,1166.397906,40301,0.376896,0.086616,0.969374,154.255865,5,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000338,fixed_linear_structure,338,calibration,1461.700834,848.735721,23013,-0.140057,0.00509,0.978254,157.076403,6,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000338,fixed_strong_scatterer,338,calibration,1132.158395,1164.457828,41269,-0.227455,0.018563,0.953485,158.266969,7,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000339,matched_strong_scatterer_background,339,calibration,1371,952,101041,-0.105327,0.134498,1.07499,27.741449,6,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000339,matched_linear_structure_background,339,calibration,1303,986,96824,0.062947,-0.054977,0.975505,166.866606,12,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000339,fixed_known_non_vehicle_N005,339,calibration,1196.566369,1166.397906,49112,-0.560497,-0.045119,0.99256,149.04406,5,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000339,fixed_linear_structure,339,calibration,1461.700834,848.735721,24682,0.171249,0.021203,0.990084,43.513096,3,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000339,fixed_strong_scatterer,339,calibration,1132.158395,1164.457828,48455,0.284913,-0.008425,0.974402,153.475593,6,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000340,matched_strong_scatterer_background,340,calibration,1371,952,113952,-0.169484,-0.107762,1.034091,63.975033,11,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000340,matched_linear_structure_background,340,calibration,1337,986,51549,0.065268,-0.599821,0.853673,166.02034,6,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000340,fixed_known_non_vehicle_N005,340,calibration,1196.566369,1166.397906,43611,-0.273485,-0.110826,0.945843,0,2,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000340,fixed_linear_structure,340,calibration,1461.700834,848.735721,21803,-0.043448,-0.205849,0.978412,83.577666,4,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000340,fixed_strong_scatterer,340,calibration,1132.158395,1164.457828,50095,0.227521,0.359532,1.046491,108.854923,5,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000341,matched_strong_scatterer_background,341,calibration,1371,952,106787,-0.090622,-0.122956,1.008924,62.424518,11,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000341,matched_linear_structure_background,341,calibration,1337,986,50349,0.02824,-0.50249,0.887158,141.509414,5,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000341,fixed_known_non_vehicle_N005,341,calibration,1196.566369,1166.397906,30641,-0.190051,-0.070772,0.954218,0,1,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000341,fixed_linear_structure,341,calibration,1461.700834,848.735721,25868,-0.084635,-0.172685,0.986416,77.825955,6,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000341,fixed_strong_scatterer,341,calibration,1132.158395,1164.457828,42389,0.203524,0.506345,1.073257,86.106975,9,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000342,matched_strong_scatterer_background,342,calibration,1371,952,100597,0.099744,0.127064,1.038633,33.123055,8,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000342,matched_linear_structure_background,342,calibration,1337,986,96407,0.02644,-0.112921,0.952709,164.190955,14,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000342,fixed_known_non_vehicle_N005,342,calibration,1196.566369,1166.397906,46028,-0.278842,0.01585,0.993104,148.507795,5,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000342,fixed_linear_structure,342,calibration,1461.700834,848.735721,22036,-0.160765,-0.005652,0.998281,0,1,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000342,fixed_strong_scatterer,342,calibration,1132.158395,1164.457828,42919,0.290133,0.064624,1.004704,142.405357,3,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000343,matched_strong_scatterer_background,343,calibration,1371,952,94305,0.139984,0.138656,1.029845,29.987327,8,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000343,matched_linear_structure_background,343,calibration,1337,986,93991,0.162906,-0.112752,0.947964,163.794069,11,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000343,fixed_known_non_vehicle_N005,343,calibration,1196.566369,1166.397906,40142,-0.204461,0.027822,0.99919,149.791611,3,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000343,fixed_linear_structure,343,calibration,1461.700834,848.735721,25082,-0.184803,0.01114,1.000923,178.966062,6,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000343,fixed_strong_scatterer,343,calibration,1132.158395,1164.457828,37119,0.305329,0.080215,1.004247,0,2,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000344,matched_strong_scatterer_background,344,calibration,1371,952,99340,0.192913,0.155408,1.018262,15.87382,9,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000344,matched_linear_structure_background,344,calibration,1337,986,89397,0.293068,-0.117691,0.940632,161.804913,11,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000344,fixed_known_non_vehicle_N005,344,calibration,1196.566369,1166.397906,39811,-0.121943,0.035175,1.000843,144.449537,3,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000344,fixed_linear_structure,344,calibration,1461.700834,848.735721,22228,-0.346845,-0.00765,1.02069,164.015188,6,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000344,fixed_strong_scatterer,344,calibration,1132.158395,1164.457828,37170,0.318382,0.088921,1.009123,153.513457,4,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000345,matched_strong_scatterer_background,345,calibration,1371,952,104301,0.251078,0.174646,0.983846,4.486186,13,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000345,matched_linear_structure_background,345,calibration,1371,986,104128,-0.144272,-0.153108,0.942153,163.479156,15,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000345,fixed_known_non_vehicle_N005,345,calibration,1196.566369,1166.397906,37841,-0.149594,0.072347,0.992497,144.404738,4,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000345,fixed_linear_structure,345,calibration,1461.700834,848.735721,27209,-0.421245,-0.020109,1.042028,165.761411,6,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000345,fixed_strong_scatterer,345,calibration,1132.158395,1164.457828,34131,0.360658,0.121432,1.005245,150.010303,5,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000346,matched_strong_scatterer_background,346,calibration,1371,952,112289,0.344097,0.163175,0.937189,8.386486,11,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000346,matched_linear_structure_background,346,calibration,1371,986,113387,-0.034764,-0.142263,0.952757,164.460238,10,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000346,fixed_known_non_vehicle_N005,346,calibration,1196.566369,1166.397906,37447,-0.093071,0.072077,1.007424,144.759088,3,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000346,fixed_linear_structure,346,calibration,1461.700834,848.735721,29180,-0.566441,-0.003844,1.041792,179.504795,8,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000346,fixed_strong_scatterer,346,calibration,1132.158395,1164.457828,33656,0.352522,0.110575,1.000693,152.992251,4,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000347,matched_strong_scatterer_background,347,calibration,1371,986,100283,0.116486,-0.148141,0.948288,161.890851,11,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000347,matched_linear_structure_background,347,calibration,1371,986,100283,0.116486,-0.148141,0.948288,161.890851,11,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000347,fixed_known_non_vehicle_N005,347,calibration,1196.566369,1166.397906,37326,-0.105067,0.067816,0.995648,151.633722,4,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000347,fixed_linear_structure,347,calibration,1461.700834,848.735721,31549,-0.755131,0.03783,1.085737,41.690011,8,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000347,fixed_strong_scatterer,347,calibration,1132.158395,1164.457828,33928,0.375938,0.108355,0.989124,151.633722,4,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000348,matched_strong_scatterer_background,348,calibration,1371,986,98646,0.238399,-0.142419,0.947476,160.628153,8,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000348,matched_linear_structure_background,348,calibration,1371,986,98646,0.238399,-0.142419,0.947476,160.628153,8,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000348,fixed_known_non_vehicle_N005,348,calibration,1196.566369,1166.397906,42665,-0.044173,0.061805,1.013692,160.941971,4,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000348,fixed_linear_structure,348,calibration,1461.700834,848.735721,31489,-0.68634,0.049756,1.064858,49.829366,12,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000348,fixed_strong_scatterer,348,calibration,1132.158395,1164.457828,38584,0.254045,0.102941,1.009144,175.257745,3,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000349,matched_strong_scatterer_background,349,calibration,1371,952,101760,0.745859,0.103789,0.839509,24.934161,9,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000349,matched_linear_structure_background,349,calibration,1371,986,95371,0.337085,-0.131417,0.945725,156.668878,9,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000349,fixed_known_non_vehicle_N005,349,calibration,1196.566369,1166.397906,46250,-0.035891,0.08516,1.023775,159.621416,5,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000349,fixed_linear_structure,349,calibration,1461.700834,848.735721,33641,-0.62871,0.069393,1.071019,76.865501,6,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000349,fixed_strong_scatterer,349,calibration,1132.158395,1164.457828,41751,0.272509,0.108915,1.011796,171.259133,3,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000350,matched_strong_scatterer_background,350,calibration,1371,952,64759,0.299451,0.451449,1.005149,125.923011,8,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000350,matched_linear_structure_background,350,calibration,1405,986,90916,-0.030808,-0.774526,0.806779,103.151162,6,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000350,fixed_known_non_vehicle_N005,350,calibration,1196.566369,1166.397906,34457,-0.02021,0.265201,1.042717,95.63925,4,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000350,fixed_linear_structure,350,calibration,1461.700834,848.735721,35172,-0.22463,-0.355126,0.993024,52.347475,9,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000350,fixed_strong_scatterer,350,calibration,1132.158395,1164.457828,36315,0.196046,0.553562,1.054801,92.733757,7,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000351,matched_strong_scatterer_background,351,calibration,1405,986,80343,0.043007,-0.676079,0.850394,132.370775,4,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000351,matched_linear_structure_background,351,calibration,1405,986,80343,0.043007,-0.676079,0.850394,132.370775,4,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000351,fixed_known_non_vehicle_N005,351,calibration,1196.566369,1166.397906,35190,-0.012848,0.24834,1.034282,0,2,generated_from_real_sar_intensity_in_generate_stage
fixed_linear_structure_sar000351,fixed_linear_structure,351,calibration,1461.700834,848.735721,32333,-0.254564,-0.443168,0.975241,55.41137,12,generated_from_real_sar_intensity_in_generate_stage
fixed_strong_scatterer_sar000351,fixed_strong_scatterer,351,calibration,1132.158395,1164.457828,36347,0.200273,0.550127,1.054637,101.889153,9,generated_from_real_sar_intensity_in_generate_stage
matched_strong_scatterer_background_sar000352,matched_strong_scatterer_background,352,calibration,1371,1020,94840,-0.175754,0.264404,1.105298,83.902072,10,generated_from_real_sar_intensity_in_generate_stage
matched_linear_structure_background_sar000352,matched_linear_structure_background,352,calibration,1405,986,74509,0.088377,-0.55881,0.884644,116.433159,6,generated_from_real_sar_intensity_in_generate_stage
fixed_known_non_vehicle_N005_sar000352,fixed_known_non_vehicle_N005,352,calibration,1196.566369,1166.397906,38405,0.031563,0.271232,1.048119,100.548501,3,generated_from_real_sar_intensity_in_generate_stage
