family_id,sar_frame,family_member_bbox_variants,family_common_core_bbox,family_common_core_status,family_conservative_bbox,family_conservative_bbox_status,family_uncertain_envelope,family_boundary_reason_cn
R21R1F00022,32,"1072,1159,1096,1189","1072,1159,1096,1189",available_single_member_core,"1072,1159,1096,1189",single_consensus_bbox,"1048,1135,1192,1249",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00023,32,"1090,1135,1114,1147","1090,1135,1114,1147",available_single_member_core,"1090,1135,1114,1147",single_consensus_bbox,"1048,1135,1192,1249",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00024,32,"1048,1225,1060,1243","1048,1225,1060,1243",available_single_member_core,"1048,1225,1060,1243",single_consensus_bbox,"1048,1135,1192,1249",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00025,32,"1072,1219,1090,1237","1072,1219,1090,1237",available_single_member_core,"1072,1219,1090,1237",single_consensus_bbox,"1048,1135,1192,1249",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00026,32,"1048,1165,1072,1177","1048,1165,1072,1177",available_single_member_core,"1048,1165,1072,1177",single_consensus_bbox,"1048,1135,1192,1249",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00027,34,"1108,1135,1193,1267 | 1036,1135,1193,1267","1108,1135,1193,1267",available_shared_atoms,,common_core_only,"952,1135,1193,1267",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00028,34,"1036,1219,1072,1243","1036,1219,1072,1243",available_single_member_core,"1036,1219,1072,1243",single_consensus_bbox,"952,1135,1193,1267",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00029,34,"952,1153,988,1171","952,1153,988,1171",available_single_member_core,"952,1153,988,1171",single_consensus_bbox,"952,1141,1072,1243",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00030,34,"1102,1135,1120,1147","1102,1135,1120,1147",available_single_member_core,"1102,1135,1120,1147",single_consensus_bbox,"1018,1135,1193,1267",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00031,34,"1078,1219,1102,1237","1078,1219,1102,1237",available_single_member_core,"1078,1219,1102,1237",single_consensus_bbox,"1018,1135,1193,1267",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00032,34,"1072,1165,1102,1189","1072,1165,1102,1189",available_single_member_core,"1072,1165,1102,1189",single_consensus_bbox,"1018,1135,1193,1267",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00033,34,"1018,1141,1042,1159","1018,1141,1042,1159",available_single_member_core,"1018,1141,1042,1159",single_consensus_bbox,"952,1135,1120,1243",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00034,39,"1108,1165,1192,1276 | 1084,1165,1192,1276 | 1048,1165,1192,1276","1108,1165,1192,1276",available_shared_atoms,,common_core_only,"982,1141,1192,1276",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00035,39,"982,1141,1030,1153","982,1141,1030,1153",available_single_member_core,"982,1141,1030,1153",single_consensus_bbox,"982,1141,1114,1231",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00036,39,"1084,1213,1102,1231 | 1048,1207,1102,1231","1084,1213,1102,1231",available_shared_atoms,,common_core_only,"982,1141,1192,1276",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00037,39,"1048,1207,1078,1225","1048,1207,1078,1225",available_single_member_core,"1048,1207,1078,1225",single_consensus_bbox,"982,1141,1192,1276",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00038,39,"1084,1171,1114,1183","1084,1171,1114,1183",available_single_member_core,"1084,1171,1114,1183",single_consensus_bbox,"982,1141,1192,1276",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00039,40,"1114,1171,1193,1261 | 1114,1135,1193,1261","1114,1171,1193,1261",available_shared_atoms,,common_core_only,"994,1135,1193,1261",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00040,40,"994,1135,1090,1159","994,1135,1090,1159",available_single_member_core,"994,1135,1090,1159",single_consensus_bbox,"994,1135,1193,1261",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00041,40,"1138,1135,1168,1153","1138,1135,1168,1153",available_single_member_core,"1138,1135,1168,1153",single_consensus_bbox,"994,1135,1193,1261",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00042,40,"1054,1207,1108,1237","1054,1207,1108,1237",available_single_member_core,"1054,1207,1108,1237",single_consensus_bbox,"994,1135,1193,1261",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00043,40,"1090,1171,1114,1183","1090,1171,1114,1183",available_single_member_core,"1090,1171,1114,1183",single_consensus_bbox,"994,1135,1193,1261",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00044,46,"1030,1135,1193,1255","1030,1135,1193,1255",available_single_member_core,"1030,1135,1193,1255",single_consensus_bbox,"1030,1135,1193,1255",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00045,52,"1024,1135,1193,1189 | 1180,1135,1193,1147","1180,1135,1193,1147",available_member_intersection,,common_core_only,"1024,1135,1193,1207",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00046,52,"1144,1201,1168,1207","1144,1201,1168,1207",available_single_member_core,"1144,1201,1168,1207",single_consensus_bbox,"1024,1135,1193,1207",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00047,60,"1126,1207,1186,1243","1126,1207,1186,1243",available_single_member_core,"1126,1207,1186,1243",single_consensus_bbox,"1126,1207,1192,1267",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00048,60,"1162,1249,1192,1267","1162,1249,1192,1267",available_single_member_core,"1162,1249,1192,1267",single_consensus_bbox,"1126,1207,1192,1267",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00049,77,"1146,1133,1266,1163 | 1146,1133,1266,1271 | 1146,1133,1266,1187","1146,1133,1266,1163",available_shared_atoms,,common_core_only,"1146,1133,1332,1271",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00050,77,"1146,1187,1248,1271","1146,1187,1248,1271",available_single_member_core,"1146,1187,1248,1271",single_consensus_bbox,"1146,1133,1332,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00051,77,"1224,1169,1254,1187","1224,1169,1254,1187",available_single_member_core,"1224,1169,1254,1187",single_consensus_bbox,"1146,1133,1332,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00052,77,"1260,1151,1284,1187","1260,1151,1284,1187",available_single_member_core,"1260,1151,1284,1187",single_consensus_bbox,"1146,1133,1332,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00053,77,"1284,1133,1302,1145","1284,1133,1302,1145",available_single_member_core,"1284,1133,1302,1145",single_consensus_bbox,"1146,1133,1332,1199",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00054,77,"1296,1175,1332,1199","1296,1175,1332,1199",available_single_member_core,"1296,1175,1332,1199",single_consensus_bbox,"1146,1133,1332,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00055,78,"1170,1187,1248,1271 | 1170,1175,1260,1271","1170,1187,1248,1271",available_shared_atoms,,multiple_valid_bbox_variants,"1146,1133,1326,1271",族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。
R21R1F00056,78,"1224,1175,1260,1187","1224,1175,1260,1187",available_single_member_core,"1224,1175,1260,1187",single_consensus_bbox,"1170,1133,1326,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00057,78,"1290,1133,1308,1151","1290,1133,1308,1151",available_single_member_core,"1290,1133,1308,1151",single_consensus_bbox,"1224,1133,1326,1205",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00058,78,"1302,1175,1326,1199","1302,1175,1326,1199",available_single_member_core,"1302,1175,1326,1199",single_consensus_bbox,"1170,1133,1326,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00059,78,"1146,1247,1164,1271","1146,1247,1164,1271",available_single_member_core,"1146,1247,1164,1271",single_consensus_bbox,"1146,1187,1254,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00060,78,"1242,1193,1254,1205","1242,1193,1254,1205",available_single_member_core,"1242,1193,1254,1205",single_consensus_bbox,"1146,1133,1326,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00061,79,"1194,1187,1254,1241 | 1194,1175,1260,1241","1194,1187,1254,1241",available_shared_atoms,,common_core_only,"1146,1133,1308,1271",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00062,79,"1290,1133,1308,1145","1290,1133,1308,1145",available_single_member_core,"1290,1133,1308,1145",single_consensus_bbox,"1194,1133,1308,1241",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00063,79,"1230,1175,1260,1187","1230,1175,1260,1187",available_single_member_core,"1230,1175,1260,1187",single_consensus_bbox,"1170,1133,1308,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00064,79,"1170,1247,1206,1271 | 1170,1187,1254,1271","1170,1247,1206,1271",available_shared_atoms,,common_core_only,"1146,1133,1308,1271",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00065,79,"1242,1199,1260,1205","1242,1199,1260,1205",available_single_member_core,"1242,1199,1260,1205",single_consensus_bbox,"1170,1133,1308,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00066,79,"1146,1247,1164,1271","1146,1247,1164,1271",available_single_member_core,"1146,1247,1164,1271",single_consensus_bbox,"1146,1187,1254,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00067,80,"1146,1133,1266,1163 | 1146,1133,1266,1241 | 1146,1133,1266,1271","1146,1133,1266,1163",available_shared_atoms,,common_core_only,"1146,1133,1326,1271",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00068,80,"1200,1181,1260,1241","1200,1181,1260,1241",available_single_member_core,"1200,1181,1260,1241",single_consensus_bbox,"1146,1133,1326,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00069,80,"1146,1241,1212,1271","1146,1241,1212,1271",available_single_member_core,"1146,1241,1212,1271",single_consensus_bbox,"1146,1133,1266,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00070,80,"1272,1163,1290,1187","1272,1163,1290,1187",available_single_member_core,"1272,1163,1290,1187",single_consensus_bbox,"1146,1133,1326,1241",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00071,80,"1236,1175,1266,1187","1236,1175,1266,1187",available_single_member_core,"1236,1175,1266,1187",single_consensus_bbox,"1146,1133,1326,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00072,80,"1308,1175,1326,1199","1308,1175,1326,1199",available_single_member_core,"1308,1175,1326,1199",single_consensus_bbox,"1146,1133,1326,1241",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00073,81,"1200,1181,1260,1241 | 1176,1181,1260,1271","1200,1181,1260,1241",available_shared_atoms,,common_core_only,"1176,1133,1314,1271",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00074,81,"1302,1133,1314,1145","1302,1133,1314,1145",available_single_member_core,"1302,1133,1314,1145",single_consensus_bbox,"1200,1133,1314,1241",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00075,81,"1176,1241,1212,1271","1176,1241,1212,1271",available_single_member_core,"1176,1241,1212,1271",single_consensus_bbox,"1176,1175,1272,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00076,81,"1242,1175,1272,1187","1242,1175,1272,1187",available_single_member_core,"1242,1175,1272,1187",single_consensus_bbox,"1176,1133,1314,1271",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00077,212,"957,1126,1132,1240 | 1005,1210,1023,1240","1005,1210,1023,1240",available_member_intersection,,common_core_only,"957,1126,1132,1240",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00078,213,"981,1126,1132,1240 | 981,1126,1132,1246","981,1126,1132,1240",available_shared_atoms,,multiple_valid_bbox_variants,"963,1126,1132,1246",族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。
R21R1F00079,213,"963,1150,987,1180","963,1150,987,1180",available_single_member_core,"963,1150,987,1180",single_consensus_bbox,"963,1126,1132,1246",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00080,213,"1005,1210,1023,1246","1005,1210,1023,1246",available_single_member_core,"1005,1210,1023,1246",single_consensus_bbox,"963,1126,1132,1246",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00081,216,"975,1126,1131,1240 | 1017,1216,1035,1240","1017,1216,1035,1240",available_member_intersection,,common_core_only,"975,1126,1131,1240",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00082,220,"1011,1126,1132,1240","1011,1126,1132,1240",available_single_member_core,"1011,1126,1132,1240",single_consensus_bbox,"993,1126,1132,1240",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00083,220,"993,1156,1017,1174","993,1156,1017,1174",available_single_member_core,"993,1156,1017,1174",single_consensus_bbox,"993,1126,1132,1240",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00084,224,"1005,1126,1132,1234 | 1005,1126,1132,1240","1005,1126,1132,1234",available_shared_atoms,,multiple_valid_bbox_variants,"1005,1126,1132,1240",族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。
R21R1F00085,224,"1041,1210,1065,1240 | 1011,1210,1065,1240","1041,1210,1065,1240",available_shared_atoms,,common_core_only,"1005,1126,1132,1240",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00086,224,"1011,1228,1029,1240","1011,1228,1029,1240",available_single_member_core,"1011,1228,1029,1240",single_consensus_bbox,"1005,1126,1132,1240",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00087,227,"1017,1126,1132,1234 | 1017,1126,1132,1240","1017,1126,1132,1234",available_shared_atoms,,multiple_valid_bbox_variants,"1017,1126,1132,1240",族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。
R21R1F00088,227,"1047,1204,1077,1240","1047,1204,1077,1240",available_single_member_core,"1047,1204,1077,1240",single_consensus_bbox,"1017,1126,1132,1240",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00089,227,"1023,1228,1041,1240","1023,1228,1041,1240",available_single_member_core,"1023,1228,1041,1240",single_consensus_bbox,"1017,1126,1132,1240",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00090,228,"1023,1126,1132,1240 | 1053,1204,1083,1240","1053,1204,1083,1240",available_member_intersection,,common_core_only,"1023,1126,1132,1240",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00091,228,"1023,1228,1041,1240","1023,1228,1041,1240",available_single_member_core,"1023,1228,1041,1240",single_consensus_bbox,"1023,1126,1132,1240",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00092,238,"1051,1135,1177,1255","1051,1135,1177,1255",available_single_member_core,"1051,1135,1177,1255",single_consensus_bbox,"1051,1135,1177,1255",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00093,238,"1063,1231,1075,1243","1063,1231,1075,1243",available_single_member_core,"1063,1231,1075,1243",single_consensus_bbox,"1051,1135,1177,1255",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00094,239,"1051,1135,1177,1255","1051,1135,1177,1255",available_single_member_core,"1051,1135,1177,1255",single_consensus_bbox,"1051,1135,1177,1255",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00095,239,"1087,1201,1111,1237","1087,1201,1111,1237",available_single_member_core,"1087,1201,1111,1237",single_consensus_bbox,"1051,1135,1177,1255",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00096,239,"1063,1231,1075,1243","1063,1231,1075,1243",available_single_member_core,"1063,1231,1075,1243",single_consensus_bbox,"1051,1135,1177,1255",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00097,243,"1063,1135,1195,1249","1063,1135,1195,1249",available_single_member_core,"1063,1135,1195,1249",single_consensus_bbox,"1063,1135,1195,1249",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00098,243,"1075,1231,1087,1243","1075,1231,1087,1243",available_single_member_core,"1075,1231,1087,1243",single_consensus_bbox,"1063,1135,1195,1249",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00099,243,"1177,1165,1195,1177","1177,1165,1195,1177",available_single_member_core,"1177,1165,1195,1177",single_consensus_bbox,"1063,1135,1195,1249",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00100,250,"1099,1135,1201,1261","1099,1135,1201,1261",available_single_member_core,"1099,1135,1201,1261",single_consensus_bbox,"1099,1135,1218,1261",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00101,250,"1183,1165,1201,1189","1183,1165,1201,1189",available_single_member_core,"1183,1165,1201,1189",single_consensus_bbox,"1099,1135,1218,1261",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00102,250,"1195,1135,1218,1153","1195,1135,1218,1153",available_single_member_core,"1195,1135,1218,1153",single_consensus_bbox,"1099,1135,1218,1261",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00103,259,"1069,1135,1189,1255 | 1069,1135,1218,1255","1069,1135,1189,1255",available_shared_atoms,,multiple_valid_bbox_variants,"1069,1135,1218,1255",族内边界高度重叠但存在多个合法变体；本轮保留多边界，不强行排序。
R21R1F00104,259,"1189,1195,1218,1237 | 1189,1141,1218,1237","1189,1195,1218,1237",available_shared_atoms,,common_core_only,"1069,1135,1218,1255",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00105,259,"1189,1141,1218,1189","1189,1141,1218,1189",available_single_member_core,"1189,1141,1218,1189",single_consensus_bbox,"1069,1135,1218,1255",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00106,260,"1075,1135,1218,1195 | 1075,1135,1218,1255 | 1075,1135,1218,1237","1075,1135,1218,1195",available_shared_atoms,,common_core_only,"1075,1135,1218,1255",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00107,260,"1117,1201,1189,1255 | 1117,1201,1218,1255","1117,1201,1189,1255",available_shared_atoms,,common_core_only,"1075,1135,1218,1255",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00108,260,"1195,1201,1218,1237","1195,1201,1218,1237",available_single_member_core,"1195,1201,1218,1237",single_consensus_bbox,"1075,1135,1218,1255",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00109,262,"1075,1135,1218,1267","1075,1135,1218,1267",available_single_member_core,"1075,1135,1218,1267",single_consensus_bbox,"1075,1135,1218,1267",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00110,263,"1069,1135,1218,1261","1069,1135,1218,1261",available_single_member_core,"1069,1135,1218,1261",single_consensus_bbox,"1069,1135,1218,1261",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00111,269,"1107,1138,1245,1246 | 1227,1192,1245,1240 | 1107,1138,1245,1258","1107,1138,1245,1246",available_high_frequency_core,,common_core_only,"1107,1138,1281,1258",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00112,269,"1143,1204,1185,1258","1143,1204,1185,1258",available_single_member_core,"1143,1204,1185,1258",single_consensus_bbox,"1107,1138,1263,1258",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00113,269,"1251,1174,1263,1186","1251,1174,1263,1186",available_single_member_core,"1251,1174,1263,1186",single_consensus_bbox,"1107,1138,1281,1258",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00114,269,"1263,1138,1281,1150","1263,1138,1281,1150",available_single_member_core,"1263,1138,1281,1150",single_consensus_bbox,"1107,1138,1281,1246",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00115,269,"1245,1138,1257,1156","1245,1138,1257,1156",available_single_member_core,"1245,1138,1257,1156",single_consensus_bbox,"1107,1138,1281,1246",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00116,270,"1107,1138,1263,1240 | 1233,1192,1245,1234 | 1107,1138,1263,1258 | 1107,1138,1275,1240","1107,1138,1263,1240",available_high_frequency_core,,common_core_only,"1107,1138,1287,1258",族内成员共享核心结构，但保守边界存在不可排序差异；以共有核心解释，不输出单一保守框。
R21R1F00117,270,"1137,1204,1185,1258","1137,1204,1185,1258",available_single_member_core,"1137,1204,1185,1258",single_consensus_bbox,"1107,1138,1275,1258",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
R21R1F00118,270,"1245,1162,1275,1186","1245,1162,1275,1186",available_single_member_core,"1245,1162,1275,1186",single_consensus_bbox,"1107,1138,1287,1258",族内成员共享同一个保守响应边界，保守框可作为族级 raw/eval 对象。
