sar_frame,split,static_feasible_center_interval_width_m,static_feasible_range_extent_interval_width_m,static_feasible_azimuth_extent_interval_width_m,support_width_required_m,gt_response_region_contained_static,construction_basis
341,calibration,3.458235,5.56647,5.343776,2.108235,true,single_frame_static_structural_factor_intervals_no_best_candidate
342,calibration,4.745122,6.253489,8.140244,3.395122,true,single_frame_static_structural_factor_intervals_no_best_candidate
343,calibration,4.470762,5.861334,7.591524,3.120762,true,single_frame_static_structural_factor_intervals_no_best_candidate
344,calibration,4.431824,5.728804,7.513648,3.081824,true,single_frame_static_structural_factor_intervals_no_best_candidate
345,calibration,4.940706,6.313433,8.531412,3.590706,true,single_frame_static_structural_factor_intervals_no_best_candidate
346,calibration,4.954387,6.265026,8.558774,3.604387,true,single_frame_static_structural_factor_intervals_no_best_candidate
347,calibration,5.039593,6.359135,8.729186,3.689593,true,single_frame_static_structural_factor_intervals_no_best_candidate
348,calibration,5.00622,6.301094,8.66244,3.65622,true,single_frame_static_structural_factor_intervals_no_best_candidate
349,calibration,4.97052,6.190455,8.59104,3.62052,true,single_frame_static_structural_factor_intervals_no_best_candidate
350,calibration,3.220796,4.938482,5.091592,1.870796,true,single_frame_static_structural_factor_intervals_no_best_candidate
351,calibration,3.261084,4.987301,5.172168,1.911084,true,single_frame_static_structural_factor_intervals_no_best_candidate
352,calibration,3.27251,4.826765,5.19502,1.92251,true,single_frame_static_structural_factor_intervals_no_best_candidate
353,calibration,4.889252,5.920106,8.428504,3.539252,true,single_frame_static_structural_factor_intervals_no_best_candidate
354,calibration,4.913638,5.897849,8.477276,3.563638,true,single_frame_static_structural_factor_intervals_no_best_candidate
355,calibration,4.964116,5.911741,8.578232,3.614116,true,single_frame_static_structural_factor_intervals_no_best_candidate
356,calibration,4.894536,5.750281,8.439072,3.544536,true,single_frame_static_structural_factor_intervals_no_best_candidate
357,calibration,4.947775,5.694186,8.54555,3.597775,true,single_frame_static_structural_factor_intervals_no_best_candidate
358,calibration,4.891779,5.618668,8.433558,3.541779,true,single_frame_static_structural_factor_intervals_no_best_candidate
359,calibration,4.798556,5.480327,8.247112,3.448556,true,single_frame_static_structural_factor_intervals_no_best_candidate
360,calibration,4.80757,5.416998,8.26514,3.45757,true,single_frame_static_structural_factor_intervals_no_best_candidate
361,guard,4.656818,5.23532,7.963636,3.306818,true,single_frame_static_structural_factor_intervals_no_best_candidate
362,guard,4.710611,5.275175,8.071222,3.360611,true,single_frame_static_structural_factor_intervals_no_best_candidate
363,guard,4.556991,5.036862,7.763982,3.206991,true,single_frame_static_structural_factor_intervals_no_best_candidate
364,guard,4.328781,4.799825,7.307562,2.978781,true,single_frame_static_structural_factor_intervals_no_best_candidate
365,guard,4.113854,4.596548,6.877708,2.763854,true,single_frame_static_structural_factor_intervals_no_best_candidate
366,guard,3.994219,4.452418,6.638438,2.644219,true,single_frame_static_structural_factor_intervals_no_best_candidate
367,guard,4.167342,4.629929,6.984684,2.817342,true,single_frame_static_structural_factor_intervals_no_best_candidate
368,guard,3.2,3.819324,4.881069,1.681069,true,single_frame_static_structural_factor_intervals_no_best_candidate
369,guard,3.2,3.873306,5.007921,1.807921,true,single_frame_static_structural_factor_intervals_no_best_candidate
370,guard,4.231097,4.726832,7.112194,2.881097,true,single_frame_static_structural_factor_intervals_no_best_candidate
371,posthoc_diagnosis,4.289819,4.802613,7.229638,2.939819,true,single_frame_static_structural_factor_intervals_no_best_candidate
372,posthoc_diagnosis,4.468232,5.009551,7.586464,3.118232,true,single_frame_static_structural_factor_intervals_no_best_candidate
373,posthoc_diagnosis,4.485382,5.077365,7.620764,3.135382,true,single_frame_static_structural_factor_intervals_no_best_candidate
374,posthoc_diagnosis,4.57283,5.204912,7.79566,3.22283,true,single_frame_static_structural_factor_intervals_no_best_candidate
375,posthoc_diagnosis,3.271683,4.256795,5.193366,1.921683,true,single_frame_static_structural_factor_intervals_no_best_candidate
376,posthoc_diagnosis,3.317398,4.265095,5.284796,1.967398,true,single_frame_static_structural_factor_intervals_no_best_candidate
377,posthoc_diagnosis,3.300386,4.857476,5.250772,1.950386,true,single_frame_static_structural_factor_intervals_no_best_candidate
378,posthoc_diagnosis,3.297238,4.990057,5.244476,1.947238,true,single_frame_static_structural_factor_intervals_no_best_candidate
379,posthoc_diagnosis,3.289044,5.102785,5.228088,1.939044,true,single_frame_static_structural_factor_intervals_no_best_candidate
380,posthoc_diagnosis,3.318727,5.164069,5.287454,1.968727,true,single_frame_static_structural_factor_intervals_no_best_candidate
381,posthoc_diagnosis,3.282301,5.136608,5.214602,1.932301,true,single_frame_static_structural_factor_intervals_no_best_candidate
382,posthoc_diagnosis,3.319574,5.185406,5.289148,1.969574,true,single_frame_static_structural_factor_intervals_no_best_candidate
383,posthoc_diagnosis,3.311359,5.272718,5.246544,1.961359,true,single_frame_static_structural_factor_intervals_no_best_candidate
384,posthoc_diagnosis,3.426312,5.502624,5.338727,2.076312,true,single_frame_static_structural_factor_intervals_no_best_candidate
385,posthoc_diagnosis,5.11971,6.533533,8.88942,3.76971,true,single_frame_static_structural_factor_intervals_no_best_candidate
386,posthoc_diagnosis,5.215016,6.597692,9.080032,3.865016,true,single_frame_static_structural_factor_intervals_no_best_candidate
387,posthoc_diagnosis,5.108293,6.487196,8.866586,3.758293,true,single_frame_static_structural_factor_intervals_no_best_candidate
388,posthoc_diagnosis,4.009455,6.66891,5.935384,2.659455,true,single_frame_static_structural_factor_intervals_no_best_candidate
389,posthoc_diagnosis,4.054738,6.759476,5.953568,2.704738,true,single_frame_static_structural_factor_intervals_no_best_candidate
390,posthoc_diagnosis,4.019967,6.689934,5.885815,2.669967,true,single_frame_static_structural_factor_intervals_no_best_candidate
391,posthoc_diagnosis,4.105831,6.861662,6.065219,2.755831,true,single_frame_static_structural_factor_intervals_no_best_candidate
392,posthoc_diagnosis,4.970919,6.714813,8.591838,3.620919,true,single_frame_static_structural_factor_intervals_no_best_candidate
393,posthoc_diagnosis,4.104737,6.859474,6.004368,2.754737,true,single_frame_static_structural_factor_intervals_no_best_candidate
394,posthoc_diagnosis,4.645159,6.220374,7.940318,3.295159,true,single_frame_static_structural_factor_intervals_no_best_candidate
