region_id,scene,hypothesis_id,source_auto_node_id,region_role,control_family,sar_frame_start,sar_frame_end,azimuth_min,azimuth_max,valid_pixel_count,frame_count,mean_intensity,median_frame_mean_intensity,max_frame_mean_intensity,mean_nonzero_ratio,max_intensity,mean_top1pct_intensity,target_to_adjacent_mean_ratio,target_to_far_mean_ratio,target_to_temporal_mean_ratio,strongest_sar_frame,response_observation_status
WGV33C_WGV33B_H003_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H003,AUTO_GM_RM011_0003,same_time_far_azimuth_control,matched_background_control,8,48,47,62,208740,41,42.92561957,42.88275366,51.47257354,0.98804663,241,67.37362162,1.015982,1.063832,1.140356,22,background_control_observation_only
WGV33C_WGV33B_H003_TEMPORAL_CONTROL,GM_RM011,WGV33B_H003,AUTO_GM_RM011_0003,same_azimuth_temporal_control,temporal_background_control,49,89,-38.777,44.283,1286312,41,40.045102,42.4930841,51.14290623,0.99925097,255,89.44957378,1.015982,1.063832,1.140356,70,background_control_observation_only
WGV33C_WGV33B_H004_AUTO_RESPONSE,GM_RM011,WGV33B_H004,AUTO_GM_RM011_0004,automatic_feasible_field_response,automatic_response,22,48,-39.121,42.739,1267728,27,47.19777104,47.21660719,54.461685,0.99929831,255,105.75097427,1.016285,1.05779,1.215996,22,response_mixed_vs_controls_needs_sar_internal_followup
WGV33C_WGV33B_H004_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H004,AUTO_GM_RM011_0004,same_time_adjacent_azimuth_control,matched_background_control,22,48,-61,-42,284834,27,46.44145908,45.71029442,53.91298089,0.99384502,250,90.37761138,1.016285,1.05779,1.215996,31,background_control_observation_only
WGV33C_WGV33B_H004_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H004,AUTO_GM_RM011_0004,same_time_far_azimuth_control,matched_background_control,22,48,45,62,239813,27,44.61920855,44.29795716,51.72136623,0.98869335,241,70.93115959,1.016285,1.05779,1.215996,22,background_control_observation_only
WGV33C_WGV33B_H004_TEMPORAL_CONTROL,GM_RM011,WGV33B_H004,AUTO_GM_RM011_0004,same_azimuth_temporal_control,temporal_background_control,49,75,-39.121,42.739,1267728,27,38.8140984,39.40430282,51.17098384,0.99924549,255,87.26394513,1.016285,1.05779,1.215996,70,background_control_observation_only
WGV33C_WGV33B_H005_AUTO_RESPONSE,GM_RM011,WGV33B_H005,AUTO_GM_RM011_0005,automatic_feasible_field_response,automatic_response,27,86,-34.189,44.587,1219952,60,42.30577045,44.20576958,53.85387704,0.99925247,255,95.12903142,1.012772,1.065466,1.050908,31,response_not_elevated_vs_controls
WGV33C_WGV33B_H005_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H005,AUTO_GM_RM011_0005,same_time_adjacent_azimuth_control,matched_background_control,27,86,-61,-37,362291,60,41.77225876,43.63538841,54.2736005,0.99446062,255,85.54364247,1.012772,1.065466,1.050908,31,background_control_observation_only
WGV33C_WGV33B_H005_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H005,AUTO_GM_RM011_0005,same_time_far_azimuth_control,matched_background_control,27,86,47,62,208740,60,39.70634026,41.56637444,50.75662068,0.98439885,201,61.70443806,1.012772,1.065466,1.050908,31,background_control_observation_only
WGV33C_WGV33B_H005_TEMPORAL_CONTROL,GM_RM011,WGV33B_H005,AUTO_GM_RM011_0005,same_azimuth_temporal_control,temporal_background_control,87,146,-34.189,44.587,1219952,60,40.256413,40.17694795,49.90065019,0.99919838,255,86.36978006,1.012772,1.065466,1.050908,145,background_control_observation_only
WGV33C_WGV33B_H006_AUTO_RESPONSE,GM_RM011,WGV33B_H006,AUTO_GM_RM011_0006,automatic_feasible_field_response,automatic_response,29,119,-55.377,45.14,1556727,91,41.41305698,42.02688461,54.09374026,0.99933196,255,90.61518344,1.068695,2.390872,0.851043,31,response_mixed_vs_controls_needs_sar_internal_followup
WGV33C_WGV33B_H006_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H006,AUTO_GM_RM011_0006,same_time_adjacent_azimuth_control,matched_background_control,29,119,48,62,193248,91,38.75105035,39.35509294,50.59727914,0.98203766,204,60.39636049,1.068695,2.390872,0.851043,31,background_control_observation_only
WGV33C_WGV33B_H006_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H006,AUTO_GM_RM011_0006,same_time_far_azimuth_control,matched_background_control,29,119,-61,-60,6016,91,17.32131897,17.54803856,22.93600399,0.65953794,229,76.391461,1.068695,2.390872,0.851043,31,background_control_observation_only
WGV33C_WGV33B_H006_TEMPORAL_CONTROL,GM_RM011,WGV33B_H006,AUTO_GM_RM011_0006,same_azimuth_temporal_control,temporal_background_control,120,210,-55.377,45.14,1556727,91,48.66154497,49.98700414,59.52895787,0.99931082,255,100.28824766,1.068695,2.390872,0.851043,207,background_control_observation_only
WGV33C_WGV33B_H007_AUTO_RESPONSE,GM_RM011,WGV33B_H007,AUTO_GM_RM011_0007,automatic_feasible_field_response,automatic_response,37,75,-55.32,5.225,937661,39,41.40057873,44.49501686,52.86044743,0.99947146,255,92.2782914,1.028527,2.401462,1.001269,45,response_mixed_vs_controls_needs_sar_internal_followup
WGV33C_WGV33B_H007_ADJACENT_AZIMUTH_CONTROL,GM_RM011,WGV33B_H007,AUTO_GM_RM011_0007,same_time_adjacent_azimuth_control,matched_background_control,37,75,8,62,812778,39,40.2522961,42.9720428,51.4988607,0.99524906,255,84.69418471,1.028527,2.401462,1.001269,45,background_control_observation_only
WGV33C_WGV33B_H007_FAR_AZIMUTH_CONTROL,GM_RM011,WGV33B_H007,AUTO_GM_RM011_0007,same_time_far_azimuth_control,matched_background_control,37,75,-61,-60,6016,39,17.23974103,18.30086436,21.97490027,0.6696459,229,78.92391761,1.028527,2.401462,1.001269,70,background_control_observation_only
WGV33C_WGV33B_H007_TEMPORAL_CONTROL,GM_RM011,WGV33B_H007,AUTO_GM_RM011_0007,same_azimuth_temporal_control,temporal_background_control,76,114,-55.32,5.225,937661,39,41.34809404,41.06517174,48.32535533,0.99944187,255,88.41565423,1.028527,2.401462,1.001269,88,background_control_observation_only
