response_unit_id,sar_frame,range_p80_width_m,azimuth_p80_width_m,yaw_proxy_shape_class,vehicle_scale_yaw_feasible,best_yaw_deg,yaw_feasible_interval_deg,best_scale_length_m,best_scale_width_m,scale_yaw_residual_m,min_extra_blur_margin_m,calibration_status,interpretation_boundary_cn
R21B00036,32,0.310245,0.38029,near_isotropic,false,90,,3,1.4,2.837331,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00037,32,0.323996,0.465295,azimuth_dominant,false,90,,3,1.4,2.753637,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00038,32,2.56456,2.42394,near_isotropic,true,0,0-24;86-94;156-179,3,2.4,0.436097,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00039,32,2.627515,1.928505,range_dominant,true,0,0-18;162-179,3,1.9,0.373574,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00040,34,2.885476,1.715925,range_dominant,true,0,0-20;160-179,3,1.7,0.115626,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00041,34,0.595414,0.550947,near_isotropic,false,0,,3,1.4,2.550083,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00042,34,0.554817,0.624683,near_isotropic,false,90,,3,1.4,2.521204,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00043,34,0.215354,0.260597,near_isotropic,false,90,,3,1.4,2.984579,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00044,34,0.3309,0.426414,azimuth_dominant,false,90,,3,1.4,2.786811,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00045,34,0.554361,0.581859,near_isotropic,false,90,,3,1.4,2.56174,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00046,34,0.231815,0.48984,azimuth_dominant,false,90,,3,1.4,2.768675,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00047,34,2.848925,3.192998,near_isotropic,true,85,0-179,3,2.6,0.022349,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00048,39,2.120917,1.696374,range_dominant,false,0,,3,1.7,0.87909,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00049,39,0.560299,0.700692,azimuth_dominant,false,90,,3,1.4,2.447839,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00050,39,0.281264,0.352941,azimuth_dominant,false,90,,3,1.4,2.873759,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00051,39,0.585257,0.484393,near_isotropic,false,0,,3,1.4,2.582503,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00052,39,0.321164,0.524425,azimuth_dominant,false,90,,3,1.4,2.700437,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00053,39,2.13148,2.162408,near_isotropic,false,90,,3,2.1,0.838183,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00054,39,2.24678,2.659458,near_isotropic,true,90,63-117,3,2.2,0.34374,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00055,39,0.898563,0.924409,near_isotropic,false,90,,3,1.4,2.135303,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00056,40,1.709984,1.621555,near_isotropic,false,0,,3,1.6,1.290196,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00057,40,1.100542,1.750243,azimuth_dominant,false,90,,3,1.4,1.285134,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00058,40,0.122731,0.479993,azimuth_dominant,false,90,,3,1.4,2.825217,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00059,40,0.975555,0.904897,near_isotropic,false,0,,3,1.4,2.084108,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00060,40,0.304286,0.474336,azimuth_dominant,false,90,,3,1.4,2.753101,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00061,40,2.761564,1.619649,range_dominant,true,0,0-15;165-179,3,1.6,0.239244,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00062,46,3.121153,2.613152,near_isotropic,true,0,0-57;82-98;123-179,3.1,2.6,0.024909,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00063,52,1.605963,3.425067,azimuth_dominant,true,90,70-110,3.4,1.6,0.025766,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00064,52,0.182481,0.178255,near_isotropic,false,0,,3,1.4,3.071006,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00065,52,0.095201,0.390425,azimuth_dominant,false,90,,3,1.4,2.917598,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00066,52,1.605963,3.425067,azimuth_dominant,true,90,70-110,3.4,1.6,0.025766,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00067,60,0.670562,1.145476,azimuth_dominant,false,90,,3,1.4,1.992822,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00068,60,0.428987,0.680155,azimuth_dominant,false,90,,3,1.4,2.514865,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00069,77,0.826431,2.349122,azimuth_dominant,false,90,,3,1.4,0.867539,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00070,77,2.014742,1.996632,near_isotropic,false,0,,3,2,0.985264,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00071,77,0.350019,0.567965,azimuth_dominant,false,90,,3,1.4,2.64901,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00072,77,0.656863,0.618422,near_isotropic,false,0,,3,1.4,2.470051,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00073,77,0.213781,0.293296,azimuth_dominant,false,90,,3,1.4,2.955226,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00074,77,0.640605,0.641777,near_isotropic,false,90,,3,1.4,2.477478,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00075,77,3.178609,2.642778,near_isotropic,true,5,0-57;81-99;123-179,3,2.4,0.021401,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00076,77,0.944227,2.692866,azimuth_dominant,true,90,87-93,3,1.4,0.5496,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00077,78,1.890599,1.438515,range_dominant,false,0,,3,1.4,1.110069,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00078,78,0.340718,0.605382,azimuth_dominant,false,90,,3,1.4,2.618449,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00079,78,0.23221,0.358416,azimuth_dominant,false,90,,3,1.4,2.888201,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00080,78,0.441396,0.548452,near_isotropic,false,90,,3,1.4,2.632301,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00081,78,0.486656,0.397503,near_isotropic,false,0,,3,1.4,2.7059,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00082,78,0.233658,0.292944,azimuth_dominant,false,90,,3,1.4,2.947627,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00083,78,2.27008,1.536477,range_dominant,true,0,0,3,1.5,0.730831,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00084,79,0.890349,1.466532,azimuth_dominant,false,90,,3,1.4,1.615942,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00085,79,0.209479,0.318101,azimuth_dominant,false,90,,3,1.4,2.934267,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00086,79,0.301776,0.538242,azimuth_dominant,false,90,,3,1.4,2.695616,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00087,79,0.537908,0.780444,azimuth_dominant,false,90,,3,1.4,2.381099,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00088,79,0.204606,0.31136,azimuth_dominant,false,90,,3,1.4,2.942406,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00089,79,0.512464,0.364154,range_dominant,false,0,,3,1.4,2.694589,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00090,79,1.222727,1.50547,near_isotropic,false,90,,3,1.4,1.505006,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00091,79,1.953507,1.452027,range_dominant,false,0,,3,1.5,1.047592,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00092,80,0.863879,2.403194,azimuth_dominant,false,90,,3,1.4,0.802249,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00093,80,1.038132,1.42903,azimuth_dominant,false,90,,3,1.4,1.612108,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00094,80,0.770309,1.422565,azimuth_dominant,false,90,,3,1.4,1.698473,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00095,80,0.47098,0.434416,near_isotropic,false,0,,3,1.4,2.707082,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00096,80,0.317575,0.536077,azimuth_dominant,false,90,,3,1.4,2.6912,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00097,80,0.321582,0.513459,azimuth_dominant,false,90,,3,1.4,2.710327,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00098,80,2.373834,2.920934,near_isotropic,true,90,0-2;46-134;178-179,3,2.4,0.083283,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00099,80,3.261311,2.774227,near_isotropic,true,32,0-61;76-104;119-179,3,1.4,0.024878,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00100,81,0.978261,1.368905,azimuth_dominant,false,90,,3,1.4,1.684736,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00101,81,0.159533,0.262243,azimuth_dominant,false,90,,3,1.4,3.005674,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00102,81,0.64985,0.777084,near_isotropic,false,90,,3,1.4,2.346078,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00103,81,0.309466,0.543613,azimuth_dominant,false,90,,3,1.4,2.687583,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00104,81,2.069266,1.397027,range_dominant,false,0,,3,1.4,0.930739,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00105,212,2.667251,3.021702,near_isotropic,true,89,0-11;28-152;169-179,3,2.6,0.027799,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00106,212,0.438639,0.636129,azimuth_dominant,false,90,,3,1.4,2.551882,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00107,212,2.667251,3.021702,near_isotropic,true,89,0-11;28-152;169-179,3,2.6,0.027799,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00108,213,2.463234,2.824261,near_isotropic,true,90,0-5;41-139;175-179,3,2.5,0.179544,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00109,213,0.552775,0.662883,near_isotropic,false,90,,3,1.4,2.485942,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00110,213,0.557859,0.706537,azimuth_dominant,false,90,,3,1.4,2.44319,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00111,213,2.487074,2.830353,near_isotropic,true,90,0-5;38-142;175-179,3,2.5,0.170138,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00112,216,2.6884,2.899483,near_isotropic,true,90,0-14;23-157;166-179,3,2.6,0.133858,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00113,216,0.360962,0.534109,azimuth_dominant,false,90,,3,1.4,2.675858,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00114,216,2.6884,2.899483,near_isotropic,true,90,0-14;23-157;166-179,3,2.6,0.133858,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00115,220,2.435495,2.50192,near_isotropic,true,90,0-5;82-98;175-179,3,2.4,0.499343,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00116,220,0.376836,0.483926,azimuth_dominant,false,90,,3,1.4,2.716154,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00117,224,2.603472,2.602485,near_isotropic,true,0,0-13;20-70;77-103;110-160;167-179,3,2.6,0.396536,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00118,224,0.402479,0.635294,azimuth_dominant,false,90,,3,1.4,2.566492,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00119,224,0.358243,0.265985,range_dominant,false,0,,3,1.4,2.874868,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00120,224,2.616812,2.645778,near_isotropic,true,90,0-14;20-160;166-179,3,2.6,0.354621,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00121,224,2.616812,2.645778,near_isotropic,true,90,0-14;20-160;166-179,3,2.6,0.354621,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00122,224,0.833061,1.180972,azimuth_dominant,false,90,,3,1.4,1.90533,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00123,224,2.616812,2.645778,near_isotropic,true,90,0-14;20-160;166-179,3,2.6,0.354621,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00124,227,2.554417,2.411512,near_isotropic,true,0,0-13;17-21;86-94;159-163;167-179,3,2.4,0.445732,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00125,227,0.473996,0.713396,azimuth_dominant,false,90,,3,1.4,2.46699,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00126,227,0.33321,0.228374,range_dominant,false,0,,3,1.4,2.912812,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00127,227,2.592872,2.456461,near_isotropic,true,0,0-29;85-95;151-179,3,2.5,0.409449,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00128,228,2.554858,2.392611,near_isotropic,true,0,0-14;16-21;87-93;159-164;166-179,3,2.4,0.445204,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
R21B00129,228,0.469422,0.735058,azimuth_dominant,false,90,,3,1.4,2.44866,0,PROJECT_CONFIRMED,yaw为静态响应代理量，不是真实车辆朝向；尺度-yaw一致性不是selector或车辆确认。
