lineage_edge_id,source_atom_id,target_atom_id,source_sar_frame,target_sar_frame,centroid_distance_px,radial_drift,azimuth_drift,orientation_difference,energy_ratio,role_compatibility,edge_status,blocked_reason
R21LE00024,R21A00020,R21A00023,31,32,64.377061,23.086502,22.273434,26.944236,1.58427,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00025,R21A00019,R21A00022,31,32,66.323289,60.463425,7.984396,81.273209,17.126162,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00026,R21A00021,R21A00022,31,32,69.26699,7.543198,29.556457,33.429595,34.350538,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00027,R21A00018,R21A00025,31,32,84.610428,6.338715,34.031931,13.372322,37.897672,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00028,R21A00025,R21A00029,32,34,2.937914,1.776718,1.017075,67.517568,2.258885,true,unique_continuation,
R21LE00029,R21A00026,R21A00032,32,34,8.668494,5.596687,3.038906,62.12397,1.357766,true,unique_continuation,
R21LE00030,R21A00026,R21A00029,32,34,23.258702,12.516617,8.366238,60.685345,2.573473,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00031,R21A00025,R21A00032,32,34,34.678663,19.890022,12.422218,10.326884,1.191789,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00032,R21A00026,R21A00033,32,34,47.52968,35.744797,12.49114,54.398222,1.34904,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00033,R21A00023,R21A00032,32,34,50.487868,45.749123,8.588322,30.881577,1.449871,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00034,R21A00022,R21A00033,32,34,51.0032,26.473694,15.991239,19.313909,24.796378,true,unique_continuation,
R21LE00035,R21A00022,R21A00032,32,34,59.657558,14.86779,25.443473,27.039658,24.637018,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00036,R21A00023,R21A00029,32,34,60.146708,27.635818,19.993465,88.072261,1.30727,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00037,R21A00023,R21A00028,32,34,60.23823,36.150101,17.99753,0.334505,14.257801,true,unique_continuation,
R21LE00038,R21A00022,R21A00031,32,34,60.757995,57.285507,5.270025,77.695381,19.439757,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00039,R21A00025,R21A00033,32,34,61.554094,21.451462,21.874453,2.601135,1.18413,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00040,R21A00026,R21A00028,32,34,67.154853,4.002335,29.624757,30.907889,28.067714,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00041,R21A00024,R21A00028,32,34,70.370258,64.784195,8.521952,89.618742,17.200856,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00042,R21A00025,R21A00034,32,34,84.891984,78.521118,10.501274,30.108554,1.212481,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00043,R21A00032,R21A00039,34,39,7.713903,1.141968,3.579967,28.988832,1.005948,true,unique_continuation,
R21LE00044,R21A00034,R21A00038,34,39,14.74365,13.355331,1.565323,36.84032,2.052006,true,unique_continuation,
R21LE00045,R21A00029,R21A00040,34,39,17.922149,3.650558,7.099998,12.921452,2.702713,true,unique_continuation,
R21LE00046,R21A00032,R21A00040,34,39,23.966879,21.763863,4.305145,70.112136,1.425953,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00047,R21A00029,R21A00039,34,39,38.281598,16.971336,14.985111,28.201852,1.906646,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00048,R21A00033,R21A00040,34,39,41.799282,19.577621,13.75738,77.837885,1.416789,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00049,R21A00033,R21A00039,34,39,42.67738,40.199516,5.872267,36.714581,1.000517,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00050,R21A00030,R21A00038,34,39,51.192094,19.148666,11.233101,16.187068,1.006376,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00051,R21A00028,R21A00039,34,39,52.23873,8.457054,23.005884,60.204914,20.794931,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00052,R21A00032,R21A00035,34,39,69.20668,6.488411,33.921328,31.816741,20.26144,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00053,R21A00028,R21A00040,34,39,75.435939,12.164841,30.890996,78.671782,29.477273,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00054,R21A00033,R21A00035,34,39,75.576618,47.829895,24.469094,24.090993,20.392497,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00055,R21A00034,R21A00040,34,39,77.076652,76.647278,2.384201,50.330465,1.013373,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00056,R21A00033,R21A00038,34,39,83.190621,70.424988,12.938501,64.34774,1.429237,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00057,R21A00031,R21A00039,34,39,83.830705,71.01133,16.593481,46.276129,1.27489,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00058,R21A00039,R21A00045,39,40,9.653931,7.974434,2.293489,40.137742,2.087148,true,unique_continuation,
R21LE00059,R21A00040,R21A00045,39,40,18.058508,12.647461,5.591623,0.985562,2.958578,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00060,R21A00038,R21A00043,39,40,36.357623,17.267807,8.295109,6.756411,3.503621,true,unique_continuation,
R21LE00061,R21A00039,R21A00042,39,40,64.231019,5.058701,30.970559,56.95227,17.558314,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00062,R21A00040,R21A00043,39,40,76.712242,72.734802,9.113987,20.246556,7.094575,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00063,R21A00035,R21A00044,39,40,78.24444,77.258881,1.116374,88.543238,6.562614,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00064,R21A00044,R21A00047,40,46,49.120704,42.560013,4.155948,35.464894,10.52398,true,unique_continuation,
R21LE00065,R21A00047,R21A00048,46,52,35.934691,34.135788,5.132823,36.541584,1.751663,true,unique_continuation,
R21LE00066,R21A00047,R21A00050,46,52,69.158379,45.88765,14.82102,0.405577,37.30608,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00067,R21A00048,R21A00053,52,60,79.754441,78.028381,11.122165,9.087341,2.436303,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00068,R21A00057,R21A00063,77,78,1.859583,0.779694,0.56403,1.561859,1.095217,true,unique_continuation,
R21LE00069,R21A00058,R21A00063,77,78,31.005655,22.312088,6.761747,83.770149,1.159733,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00070,R21A00057,R21A00062,77,78,49.446149,48.376534,1.069164,1.661746,6.599879,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00071,R21A00056,R21A00063,77,78,55.209881,53.248055,3.98081,38.631194,7.493578,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00072,R21A00055,R21A00063,77,78,57.143974,16.064697,17.933665,7.451632,14.143933,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00073,R21A00059,R21A00063,77,78,66.974884,62.950836,6.440123,29.093429,1.265695,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00074,R21A00057,R21A00064,77,78,71.643637,66.147446,7.743742,33.431553,1.217627,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00075,R21A00058,R21A00062,77,78,75.860821,71.468315,8.394941,86.993754,8.382897,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00076,R21A00055,R21A00062,77,78,77.166098,65.220924,16.300471,4.228027,1.956744,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00077,R21A00063,R21A00071,78,79,6.483501,3.155853,1.853298,0.541133,1.479685,true,unique_continuation,
R21LE00078,R21A00063,R21A00069,78,79,43.338204,42.093033,0.074944,24.009001,6.129982,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00079,R21A00062,R21A00072,78,79,44.169065,44.556252,2.393303,16.006909,13.483271,true,unique_continuation,
R21LE00080,R21A00062,R21A00071,78,79,54.054721,52.31208,3.486492,2.682472,10.695609,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00081,R21A00064,R21A00071,78,79,65.106228,62.211899,5.326414,32.410827,1.330931,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00082,R21A00063,R21A00070,78,79,73.63497,67.928772,7.949686,37.409201,1.227841,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00083,R21A00071,R21A00080,79,80,3.747967,1.943176,1.036291,1.05915,1.107471,true,unique_continuation,
R21LE00084,R21A00072,R21A00077,79,80,10.293213,3.027847,7.837402,23.163628,1.87691,true,unique_continuation,
R21LE00085,R21A00071,R21A00078,79,80,34.200418,21.284927,8.253645,86.136861,1.295872,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00086,R21A00071,R21A00076,79,80,44.036045,42.976685,0.101576,22.501046,10.997051,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00087,R21A00069,R21A00080,79,80,49.01735,47.192062,2.814646,23.490984,8.190237,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00088,R21A00072,R21A00076,79,80,54.26537,53.891647,5.778219,9.176608,13.86328,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00089,R21A00071,R21A00075,79,80,58.262017,13.987335,18.389212,7.260658,23.647117,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00090,R21A00069,R21A00077,79,80,58.340848,54.647293,11.938843,34.389325,6.09221,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00091,R21A00070,R21A00080,79,80,65.483205,62.829742,5.060097,36.891185,1.088166,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00092,R21A00069,R21A00075,79,80,72.974192,59.236221,16.610857,31.810792,2.607051,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00093,R21A00069,R21A00078,79,80,73.346629,66.533813,10.032,61.586727,6.999494,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00094,R21A00077,R21A00085,80,81,11.636792,2.204803,9.17384,25.501725,1.553504,true,unique_continuation,
R21LE00095,R21A00080,R21A00083,80,81,44.495338,43.418396,0.025677,23.232373,9.838462,true,unique_continuation,
R21LE00096,R21A00076,R21A00085,80,81,54.587423,54.714691,4.441782,6.838511,11.47453,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00097,R21A00077,R21A00083,80,81,63.885271,58.420959,14.779165,34.130713,7.318222,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00098,R21A00078,R21A00083,80,81,67.002266,62.760147,7.191677,61.845338,8.408091,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00099,R21A00080,R21A00084,80,81,70.722237,66.909622,6.24353,39.866023,1.003254,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00100,R21A00075,R21A00083,80,81,75.544844,55.462555,19.45118,31.552181,2.170295,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00101,R21A00088,R21A00091,212,213,2.485178,2.13707,0.372787,1.217717,1.103192,true,unique_continuation,
R21LE00102,R21A00087,R21A00091,212,213,63.018599,10.878052,20.05183,54.942515,40.142416,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00103,R21A00088,R21A00089,212,213,66.998107,5.531235,21.367188,23.212405,44.814069,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00104,R21A00088,R21A00090,212,213,69.351471,65.632126,6.148159,12.299309,1.150914,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00105,R21A00091,R21A00093,213,216,11.652519,10.418701,1.825832,13.719541,1.007642,true,unique_continuation,
R21LE00106,R21A00089,R21A00093,213,216,60.083599,18.087006,19.168568,8.275147,40.932635,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00107,R21A00091,R21A00092,213,216,68.649681,4.299149,22.364025,35.413721,40.126685,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00108,R21A00090,R21A00093,213,216,79.440825,78.187897,3.949539,2.637949,1.051231,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00109,R21A00093,R21A00095,216,220,68.563556,58.875107,10.45013,45.018499,1.053998,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00110,R21A00093,R21A00094,216,220,75.576504,11.524872,25.318354,15.363987,36.501274,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00111,R21A00094,R21A00097,220,224,54.085096,29.627991,16.536543,21.783229,14.471889,true,unique_continuation,
R21LE00112,R21A00095,R21A00098,220,224,73.048861,57.926041,13.254879,19.273248,1.182781,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00113,R21A00095,R21A00097,220,224,77.318312,76.978226,1.66832,38.599257,2.658413,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00114,R21A00094,R21A00098,220,224,83.83149,10.575806,28.123102,79.655734,45.504234,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00115,R21A00097,R21A00100,224,227,9.8523,6.263519,3.02491,4.788794,1.312984,true,unique_continuation,
R21LE00116,R21A00098,R21A00100,224,227,46.597669,25.315704,14.611469,53.08371,4.12844,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00117,R21A00096,R21A00100,224,227,50.55513,33.600159,14.587824,33.959293,12.795385,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00118,R21A00097,R21A00099,224,227,57.720805,22.99411,19.723749,56.206038,17.894512,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00119,R21A00100,R21A00103,227,228,2.697798,2.321671,0.544476,2.563468,1.027692,true,unique_continuation,
R21LE00120,R21A00100,R21A00102,227,228,51.398732,29.428177,16.250832,49.914576,12.510256,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00121,R21A00099,R21A00103,227,228,51.99178,31.5793,16.154364,58.431364,13.261643,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00122,R21A00102,R21A00105,228,238,38.189559,28.142273,10.302032,12.281708,1.127797,true,unique_continuation,
R21LE00123,R21A00113,R21A00118,250,259,66.168036,42.440361,19.373028,32.458916,38.924854,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00124,R21A00117,R21A00121,259,260,3.490474,1.284622,1.529633,2.302922,1.069803,true,unique_continuation,
R21LE00125,R21A00116,R21A00119,259,260,27.687701,28.710617,0.663232,64.103519,1.601436,true,unique_continuation,
R21LE00126,R21A00118,R21A00121,259,260,50.920522,46.971901,7.978785,17.157833,2.029502,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00127,R21A00118,R21A00119,259,260,54.036427,0.588638,18.260402,82.496302,14.536599,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00128,R21A00116,R21A00121,259,260,63.516633,17.672646,26.902418,16.242346,11.470516,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00129,R21A00117,R21A00119,259,260,75.830131,47.667885,24.709554,82.648786,6.695295,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00130,R21A00118,R21A00120,259,260,78.534529,69.139587,16.049809,53.28361,10.849708,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00131,R21A00119,R21A00122,260,262,32.924002,29.785904,5.223067,49.860749,2.031648,true,unique_continuation,
R21LE00132,R21A00121,R21A00122,260,262,49.79904,16.597359,21.016119,30.485116,14.551975,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00133,R21A00123,R21A00124,263,269,18.545717,5.988098,7.128392,0.769723,1.053189,true,unique_continuation,
R21LE00134,R21A00123,R21A00126,263,269,77.652586,1.949982,32.824382,31.449839,14.237761,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00135,R21A00126,R21A00132,269,270,3.734542,2.970215,0.969433,1.894084,1.113174,true,unique_continuation,
R21LE00136,R21A00124,R21A00131,269,270,46.991306,48.874184,4.983888,45.142656,4.775719,true,unique_continuation,
R21LE00137,R21A00126,R21A00133,269,270,48.82449,48.57959,1.731186,84.116657,2.242368,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00138,R21A00125,R21A00130,269,270,53.185768,53.875977,8.466765,19.8401,4.519658,true,unique_continuation,
R21LE00139,R21A00126,R21A00130,269,270,57.866865,12.537842,23.388625,57.644976,14.606848,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00140,R21A00124,R21A00132,269,270,65.225382,4.967865,26.665423,34.113646,13.470537,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00141,R21A00126,R21A00131,269,270,72.919415,40.936104,30.679878,77.362218,3.139851,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00142,R21A00125,R21A00132,269,270,78.596048,44.30835,32.824823,79.37916,2.903274,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00143,R21A00132,R21A00137,270,271,3.489691,2.739059,0.838211,3.807544,1.142071,true,unique_continuation,
R21LE00144,R21A00133,R21A00137,270,271,43.989371,42.870316,3.53883,82.203197,2.185631,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00145,R21A00130,R21A00136,270,271,50.640189,52.669701,5.592378,22.676385,5.081129,true,unique_continuation,
R21LE00146,R21A00131,R21A00135,270,271,53.782126,54.221245,8.88246,5.644636,4.165988,true,unique_continuation,
R21LE00147,R21A00132,R21A00135,270,271,56.242565,10.314926,22.766851,73.611666,11.75071,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00148,R21A00130,R21A00137,270,271,62.921181,6.828568,25.196269,55.731516,14.986033,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00149,R21A00132,R21A00136,270,271,73.697418,43.102074,29.950436,82.215445,2.582458,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00150,R21A00131,R21A00137,270,271,80.135208,46.645378,32.487522,75.448757,3.22136,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00151,R21A00137,R21A00141,271,272,4.131762,1.275146,1.574707,1.431161,1.056857,true,unique_continuation,
R21LE00152,R21A00136,R21A00139,271,272,50.327553,51.178642,7.68814,34.866664,4.326573,true,unique_continuation,
R21LE00153,R21A00135,R21A00140,271,272,50.941563,53.412773,4.580626,6.623024,4.440388,true,unique_continuation,
R21LE00154,R21A00137,R21A00139,271,272,57.851934,5.337509,23.100507,43.541236,12.760581,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00155,R21A00135,R21A00141,271,272,62.776592,6.30072,25.17977,68.372961,12.698171,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00156,R21A00137,R21A00140,271,272,73.238915,45.836906,28.185689,76.427146,3.022291,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00157,R21A00136,R21A00141,271,272,80.654415,47.11628,32.363354,76.97674,2.790682,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00158,R21A00139,R21A00145,272,273,3.614182,0.387299,1.266141,0.504825,1.105668,true,unique_continuation,
R21LE00159,R21A00141,R21A00146,272,273,4.147484,3.895844,0.580166,5.863045,1.339592,true,unique_continuation,
R21LE00160,R21A00141,R21A00145,272,273,58.377745,3.675064,23.409073,41.605251,10.920171,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00161,R21A00139,R21A00146,272,273,64.288313,0.166519,25.25538,47.973121,16.174356,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00162,R21A00140,R21A00146,272,273,80.621672,51.007896,30.340562,80.859031,3.83083,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00163,R21A00145,R21A00149,273,276,8.556014,6.604874,2.295731,21.553188,1.325318,true,unique_continuation,
R21LE00164,R21A00146,R21A00151,273,276,11.156333,9.529144,2.169399,1.773864,1.106044,true,unique_continuation,
R21LE00165,R21A00146,R21A00149,273,276,55.726156,6.384094,21.693508,69.021485,19.387518,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00166,R21A00145,R21A00151,273,276,69.37347,9.749924,26.158638,45.694433,13.226031,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00167,R21A00146,R21A00150,273,276,70.168831,44.351349,25.404386,74.70335,3.222997,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00168,R21A00149,R21A00155,276,278,48.692688,52.035698,0.807289,1.249536,5.588402,true,unique_continuation,
R21LE00169,R21A00150,R21A00154,276,278,57.307613,59.530426,5.383632,1.125646,5.974366,true,unique_continuation,
R21LE00170,R21A00151,R21A00154,276,278,59.979452,5.649933,22.190153,71.80384,17.409216,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00171,R21A00151,R21A00155,276,278,77.510678,55.180748,24.670197,68.497157,3.136621,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00172,R21A00154,R21A00158,278,279,57.536089,61.247398,1.297562,3.617755,5.1245,true,unique_continuation,
R21LE00173,R21A00155,R21A00157,278,279,57.921301,61.297462,2.027065,5.581008,5.036649,true,unique_continuation,
R21LE00174,R21A00157,R21A00162,279,280,56.126874,59.980377,0.351318,4.533427,4.917266,true,unique_continuation,
R21LE00175,R21A00158,R21A00161,279,280,57.997022,61.89193,1.495647,7.763885,4.184799,true,unique_continuation,
R21LE00176,R21A00161,R21A00165,280,281,55.461199,59.468925,1.035166,8.324177,4.529957,true,unique_continuation,
R21LE00177,R21A00162,R21A00164,280,281,56.357328,60.879211,0.20763,1.150165,4.339037,true,unique_continuation,
R21LE00178,R21A00161,R21A00166,280,281,73.040517,5.934875,25.799955,77.6824,26.541201,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00179,R21A00164,R21A00169,281,284,51.497323,54.684975,5.31863,23.019782,6.153808,true,unique_continuation,
R21LE00180,R21A00165,R21A00168,281,284,60.770087,65.512962,0.49161,5.477921,4.374066,true,unique_continuation,
R21LE00181,R21A00166,R21A00168,281,284,68.815194,0.109161,24.27318,80.528656,25.62783,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00182,R21A00166,R21A00169,281,284,77.123863,59.898766,20.573441,77.786363,4.229097,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00183,R21A00168,R21A00174,284,288,49.175988,52.46386,6.418989,64.724997,7.697643,true,unique_continuation,
R21LE00184,R21A00169,R21A00173,284,288,68.065712,71.264885,2.715401,27.529374,4.939333,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00185,R21A00174,R21A00179,288,289,41.312667,38.478386,7.837078,73.547265,4.693617,true,unique_continuation,
R21LE00186,R21A00173,R21A00178,288,289,58.865182,62.867775,2.03701,55.988004,7.136007,true,unique_continuation,
R21LE00187,R21A00174,R21A00177,288,289,62.114651,66.05793,0.848499,59.43909,5.805258,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00188,R21A00178,R21A00183,289,290,5.744857,5.001251,1.431013,5.58704,1.168715,true,unique_continuation,
R21LE00189,R21A00179,R21A00184,289,290,5.979987,2.514526,4.207338,6.57613,1.531915,true,unique_continuation,
R21LE00190,R21A00178,R21A00184,289,290,48.170791,41.845955,14.077578,77.230796,2.693889,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00191,R21A00179,R21A00183,289,290,48.889386,44.33268,11.301252,76.241705,3.531064,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00192,R21A00177,R21A00183,289,290,56.410333,60.203636,2.615675,62.13353,7.716558,true,possible_continuation,nonunique_or_wide_temporal_candidate
R21LE00193,R21A00178,R21A00182,289,290,62.423333,66.59333,1.51907,60.627303,6.454527,true,possible_continuation,nonunique_or_wide_temporal_candidate
