comparison_id,comparison_type,measurement_region_type,group_a,group_b,metric,n_a,n_b,valid_a,valid_b,median_a,median_b,q1_a,q3_a,q1_b,q3_b,min_a,max_a,min_b,max_b,median_difference_a_minus_b,cliffs_delta,overlap_coefficient,spearman_rho,paired_sample_count,interpretation_cn
PC0018,positive_vs_registered_background_nonpositive,conservative_response_region,gt_local_positive_control,registered_background_counterexample_nonpositive,principal_axis_angle_to_range_deg,47,104,47,104,59.097068,60.835224,36.009918,74.407112,39.367232,77.387064,9.107767,89.843145,1.967456,86.556204,-1.738156,-0.015957,0.525982,,,正向 GT 事后控制对背景/孤立反例上下文；非训练式分布对照。
PC0019,positive_vs_registered_background_nonpositive,conservative_response_region,gt_local_positive_control,registered_background_counterexample_nonpositive,background_subtracted_energy,47,104,47,104,66262,134966.5,7911.5,175949,3539.5,198911,2264,275985,540,267150,-68704.5,0.018412,0.640548,,,正向 GT 事后控制对背景/孤立反例上下文；非训练式分布对照。
PC0020,boundary_vs_non_boundary,conservative_response_region,boundary_censored_response,non_boundary_response,range_p80_width,142,108,142,108,72.062851,15.7496,27.867422,86.612341,10.121945,24.251449,3.377877,117.960428,3.17338,104.038429,56.313251,0.567553,0.427621,,,边界接触对非边界对象；用于判断边界条件是否系统性改变测量。
PC0021,boundary_vs_non_boundary,conservative_response_region,boundary_censored_response,non_boundary_response,azimuth_p80_width,142,108,142,108,83.466935,18.323315,35.235666,100.928977,12.730666,32.36374,6.662681,128.131846,3.280664,114.168887,65.14362,0.593245,0.440923,,,边界接触对非边界对象；用于判断边界条件是否系统性改变测量。
PC0022,boundary_vs_non_boundary,conservative_response_region,boundary_censored_response,non_boundary_response,range_to_azimuth_p80_ratio,142,108,142,108,0.860466,0.821099,0.692094,1.053887,0.656479,1.065305,0.35064,2.571239,0.24384,1.795309,0.039366,0.045644,0.801122,,,边界接触对非边界对象；用于判断边界条件是否系统性改变测量。
PC0023,boundary_vs_non_boundary,conservative_response_region,boundary_censored_response,non_boundary_response,principal_axis_ratio,142,108,142,108,1.391498,1.570429,1.189848,1.665404,1.29932,2.069355,1.017918,5.098624,1.004836,5.071322,-0.17893,-0.201356,0.788602,,,边界接触对非边界对象；用于判断边界条件是否系统性改变测量。
PC0024,boundary_vs_non_boundary,conservative_response_region,boundary_censored_response,non_boundary_response,principal_axis_angle_to_range_deg,142,108,142,108,59.544009,61.632565,35.86711,77.336427,41.578295,72.943062,0.073472,89.843145,1.967456,89.877486,-2.088556,0.011476,0.757303,,,边界接触对非边界对象；用于判断边界条件是否系统性改变测量。
PC0025,boundary_vs_non_boundary,conservative_response_region,boundary_censored_response,non_boundary_response,background_subtracted_energy,142,108,142,108,132011.5,5896.5,21997.75,184220.5,3618.75,25603.25,1280,275985,540,313613,126115,0.550209,0.428404,,,边界接触对非边界对象；用于判断边界条件是否系统性改变测量。
PC0026,boundary_vs_non_boundary,conservative_response_region,boundary_censored_response,non_boundary_response,energy_centroid_offset_px,142,108,142,108,6.174436,1.378288,2.347621,9.227093,0.941669,2.676253,0.049082,17.58136,0.212673,25.723163,4.796148,0.489567,0.502087,,,边界接触对非边界对象；用于判断边界条件是否系统性改变测量。
PC0027,gt_bbox_spearman_control,conservative_response_region,gt_local_positive_control,matched_gt_bbox,range_p80_width_vs_matched_gt_bbox_width_px,47,47,47,47,,,,,,,,,,,,,,-0.102091,47,响应距离向 p80 与 GT 图像宽的斯皮尔曼秩相关；GT 框只作事后对照，不代表真实散射支撑。
PC0028,gt_bbox_spearman_control,conservative_response_region,gt_local_positive_control,matched_gt_bbox,range_p80_width_vs_matched_gt_bbox_height_px,47,47,47,47,,,,,,,,,,,,,,0.058554,47,响应距离向 p80 与 GT 图像高的斯皮尔曼秩相关；GT 框只作事后对照，不代表真实散射支撑。
PC0029,gt_bbox_spearman_control,conservative_response_region,gt_local_positive_control,matched_gt_bbox,azimuth_p80_width_vs_matched_gt_bbox_width_px,47,47,47,47,,,,,,,,,,,,,,-0.013212,47,响应方位向 p80 与 GT 图像宽的斯皮尔曼秩相关；GT 框只作事后对照，不代表真实散射支撑。
PC0030,gt_bbox_spearman_control,conservative_response_region,gt_local_positive_control,matched_gt_bbox,azimuth_p80_width_vs_matched_gt_bbox_height_px,47,47,47,47,,,,,,,,,,,,,,0.147084,47,响应方位向 p80 与 GT 图像高的斯皮尔曼秩相关；GT 框只作事后对照，不代表真实散射支撑。
