pair_id,sar_frame,split,body_axis_proxy_deg,motion_heading_directed_deg,raw_directed_curvature_deg,axial_curvature_deg,raw_vs_smoothed_axial_difference_deg,history_vs_symmetric_axial_difference_deg,speed_px_per_sar_frame,fit_residual_px,support_frame_count,duplicate_conflict_status,trajectory_gap_size,local_displacement_sign_stability,heading_confidence,confidence_rule_version,calibration_min_speed_px_per_sar_frame,calibration_max_fit_residual_px,calibration_max_axial_curvature_deg,axis_semantics
WGV35A_PAIR_0068,348,calibration,0.992332,0.992332,28.460836,28.460836,34.144155,3.365817,6.43951,2.612922,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0073,349,calibration,1.272411,1.272411,22.66004,22.66004,5.40324,1.049135,6.557823,2.635692,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0076,350,calibration,1.422754,1.422754,169.942572,10.057428,17.407143,0.358474,6.585634,2.690245,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0079,351,calibration,1.575819,1.575819,126.586268,53.413732,27.617635,0.541786,6.530048,2.672633,17,UNIQUE_GT_CENTER,1,0.9375,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0082,352,calibration,1.172808,1.172808,49.715243,49.715243,26.199107,3.62536,6.584545,2.712177,17,UNIQUE_GT_CENTER,1,0.9375,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0085,353,calibration,0.820302,0.820302,26.467726,26.467726,23.163629,4.393815,6.70188,2.775341,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0087,354,calibration,0.331072,0.331072,31.421869,31.421869,3.793327,4.694403,6.633217,2.793546,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0090,355,calibration,179.301164,-0.698836,30.138678,30.138678,26.598634,3.153333,6.802109,3.144801,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0094,356,calibration,178.699069,-1.300931,13.560192,13.560192,4.142139,1.301754,6.925682,3.065296,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0097,357,calibration,178.743673,-1.256327,43.758878,43.758878,9.462657,0.461502,6.873498,3.157883,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0100,358,calibration,178.979816,-1.020184,35.636586,35.636586,34.060078,0.7615,7.003785,3.439377,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0103,359,calibration,178.867161,-1.132839,9.758467,9.758467,1.463853,0.113307,7.15255,2.968559,17,UNIQUE_GT_CENTER,1,1,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0106,360,calibration,178.700265,-1.299735,14.948215,14.948215,11.055423,2.037772,7.130064,2.923808,17,UNIQUE_GT_CENTER,1,1,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0109,361,guard,179.31495,-0.68505,0.43177,0.43177,3.278106,0.944671,6.946169,3.731103,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0112,362,guard,179.896588,-0.103412,13.967471,13.967471,3.128238,0.90337,6.922927,3.743211,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0115,363,guard,0.564499,0.564499,31.662968,31.662968,11.507145,1.846263,6.814437,3.871968,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0118,364,guard,0.377935,0.377935,22.057064,22.057064,20.342387,1.990823,6.823069,3.902736,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0121,365,guard,0.586197,0.586197,42.989479,42.989479,42.191189,1.881962,6.776145,3.828436,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0123,366,guard,0.45964,0.45964,27.526338,27.526338,0.671733,2.676036,6.843342,3.814155,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0126,367,guard,1.427324,1.427324,32.31489,32.31489,25.886921,1.758729,6.805871,3.905471,17,UNIQUE_GT_CENTER,1,0.9375,HIGH,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0130,368,guard,2.168211,2.168211,167.57788,12.42212,7.168855,0.941399,6.512041,4.42243,17,UNIQUE_GT_CENTER,1,0.875,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0133,369,guard,2.180427,2.180427,178.733729,1.266271,5.241049,0.636302,6.625737,4.80381,17,UNIQUE_GT_CENTER,1,0.875,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0135,370,guard,2.514032,2.514032,11.49525,11.49525,3.641173,0.383644,6.471811,5.089184,17,UNIQUE_GT_CENTER,1,0.8125,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0138,371,posthoc_diagnosis,2.290055,2.290055,3.858015,3.858015,7.630101,2.150247,6.412588,4.950642,17,UNIQUE_GT_CENTER,1,0.8125,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0140,372,posthoc_diagnosis,1.502911,1.502911,30.312752,30.312752,10.700971,0.204955,6.349223,5.06401,17,UNIQUE_GT_CENTER,1,0.75,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0143,373,posthoc_diagnosis,1.029869,1.029869,16.330524,16.330524,20.084822,0.241435,6.364779,5.066998,17,UNIQUE_GT_CENTER,1,0.75,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0146,374,posthoc_diagnosis,0.476492,0.476492,43.072492,43.072492,4.307676,0.511825,6.078036,5.278188,17,UNIQUE_GT_CENTER,1,0.6875,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0149,375,posthoc_diagnosis,179.883721,-0.116279,164.117997,15.882003,47.972939,2.532741,6.374853,5.742478,17,UNIQUE_GT_CENTER,1,0.6875,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0152,376,posthoc_diagnosis,179.544627,-0.455373,145.198336,34.801664,32.430029,4.121997,6.259236,5.985915,17,UNIQUE_GT_CENTER,1,0.625,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0156,377,posthoc_diagnosis,179.088276,-0.911724,175.34255,4.65745,1.915283,3.740087,6.491079,6.296942,17,UNIQUE_GT_CENTER,1,0.6875,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0159,378,posthoc_diagnosis,178.46508,-1.53492,178.229675,1.770325,5.949537,4.511501,6.365673,6.006889,17,UNIQUE_GT_CENTER,1,0.6875,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0162,379,posthoc_diagnosis,178.270765,-1.729235,176.683731,3.316269,7.525548,3.381657,6.341135,6.015312,17,UNIQUE_GT_CENTER,1,0.6875,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0165,380,posthoc_diagnosis,177.441447,-2.558553,173.118432,6.881568,3.37996,3.319427,6.385459,6.15771,17,UNIQUE_GT_CENTER,1,0.6875,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0168,381,posthoc_diagnosis,177.189782,-2.810218,158.295335,21.704665,3.753273,0.863682,6.494603,6.038252,17,UNIQUE_GT_CENTER,1,0.6875,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0170,382,posthoc_diagnosis,177.070722,-2.929278,157.517844,22.482156,25.576998,1.556465,6.5801,5.965311,17,UNIQUE_GT_CENTER,1,0.6875,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0172,383,posthoc_diagnosis,177.18545,-2.81455,178.883753,1.116247,2.980114,2.210703,6.540769,6.089285,17,UNIQUE_GT_CENTER,1,0.625,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0175,384,posthoc_diagnosis,177.425649,-2.574351,177.769734,2.230266,3.856162,1.766223,6.578706,6.0609,17,UNIQUE_GT_CENTER,1,0.6875,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0178,385,posthoc_diagnosis,177.815862,-2.184138,31.959416,31.959416,1.235683,1.629612,6.484964,5.824371,17,UNIQUE_GT_CENTER,1,0.6875,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0180,386,posthoc_diagnosis,178.378874,-1.621126,40.341942,40.341942,31.286745,1.71079,6.542528,5.596132,17,UNIQUE_GT_CENTER,1,0.6875,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0181,387,posthoc_diagnosis,178.837497,-1.162503,22.270992,22.270992,8.596574,0.911837,6.428171,5.591336,16,UNIQUE_GT_CENTER,1,0.666667,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0183,388,posthoc_diagnosis,178.912559,-1.087441,80.237305,80.237305,13.749481,2.604477,6.554486,5.625998,15,UNIQUE_GT_CENTER,1,0.714286,LOW,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0185,389,posthoc_diagnosis,179.091584,-0.908416,76.032192,76.032192,66.3088,1.356426,6.438481,5.719327,14,UNIQUE_GT_CENTER,1,0.692308,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0188,390,posthoc_diagnosis,179.492196,-0.507804,163.061671,16.938329,10.124004,0.672747,6.428327,5.922673,13,UNIQUE_GT_CENTER,1,0.75,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0189,391,posthoc_diagnosis,179.622805,-0.377195,164.75979,15.24021,27.192943,0.000819,5.984682,5.200452,12,UNIQUE_GT_CENTER,1,0.727273,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0192,392,posthoc_diagnosis,179.960672,-0.039328,22.78926,22.78926,12.290599,1.036468,6.264506,5.104288,11,UNIQUE_GT_CENTER,1,0.8,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0193,393,posthoc_diagnosis,0.422341,0.422341,150.467313,29.532687,10.036992,0.955589,5.655942,4.044953,10,UNIQUE_GT_CENTER,1,0.777778,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
WGV35A_PAIR_0195,394,posthoc_diagnosis,0.889694,0.889694,0,0,19.963049,0,5.91908,4.053712,9,UNIQUE_GT_CENTER,1,0.75,MEDIUM,e0_r1_r1_axial_confidence_v1_calibration_frozen,3.150741,3.962468,45,body_axis_180_degree_period
