boundary_family_id,source_r1_family_ids,sar_frame,member_response_unit_ids,shared_core_atom_ids,family_relation,common_core_bbox,boundary_variants,uncertain_envelope,boundary_status,member_count,boundary_semantic_note_cn
R21R11BF00018,R21R1F00018,31,R21B00024;R21B00028;R21B00029;R21B00030,R21A00018,exact_duplicate_boundary_family,"1042.000,1135.000,1193.000,1249.000","1042,1135,1193,1249","1042.000,1135.000,1193.000,1249.000",single_consensus_bbox,4,成员共享核心且边界重复，是同一局部响应核心的重复边界表达。
R21R11BF00019,R21R1F00018,31,R21B00025;R21B00031,R21A00019,shared_actual_core_boundary_family,"1090.000,1135.000,1114.000,1147.000","1042,1135,1114,1243 | 1090,1135,1114,1147","1042.000,1135.000,1193.000,1249.000",multiple_boundary_variants,2,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00020,R21R1F00019,31,R21B00026,R21A00020,single_local_response_unit,"1042.000,1225.000,1060.000,1243.000","1042,1225,1060,1243","1042.000,1135.000,1193.000,1249.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00021,R21R1F00020,31,R21B00027,R21A00021,single_local_response_unit,"1066.000,1219.000,1084.000,1237.000","1066,1219,1084,1237","1042.000,1135.000,1193.000,1249.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00022,R21R1F00021,32,R21B00032;R21B00038;R21B00039,R21A00022,same_nonempty_core_boundary_family,"1102.000,1135.000,1192.000,1249.000","1072,1135,1192,1249 | 1090,1135,1192,1249 | 1102,1135,1192,1249","1048.000,1135.000,1192.000,1249.000",multiple_boundary_variants,3,成员共享相同非空核心，仅边界表达不同。
R21R11BF00023,R21R1F00022,32,R21B00033,R21A00023,single_local_response_unit,"1072.000,1159.000,1096.000,1189.000","1072,1159,1096,1189","1048.000,1135.000,1192.000,1249.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00024,R21R1F00023,32,R21B00034,R21A00024,single_local_response_unit,"1090.000,1135.000,1114.000,1147.000","1090,1135,1114,1147","1048.000,1135.000,1192.000,1249.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00025,R21R1F00024,32,R21B00035,R21A00025,single_local_response_unit,"1048.000,1225.000,1060.000,1243.000","1048,1225,1060,1243","1048.000,1135.000,1192.000,1249.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00026,R21R1F00025,32,R21B00036,R21A00026,single_local_response_unit,"1072.000,1219.000,1090.000,1237.000","1072,1219,1090,1237","1048.000,1135.000,1192.000,1249.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00027,R21R1F00026,32,R21B00037,R21A00027,single_local_response_unit,"1048.000,1165.000,1072.000,1177.000","1048,1165,1072,1177","1048.000,1135.000,1192.000,1249.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00028,R21R1F00027,34,R21B00040;R21B00047,R21A00028,shared_actual_core_boundary_family,"1108.000,1135.000,1193.000,1267.000","1036,1135,1193,1267 | 1108,1135,1193,1267","952.000,1135.000,1193.000,1267.000",multiple_boundary_variants,2,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00029,R21R1F00028,34,R21B00041,R21A00029,single_local_response_unit,"1036.000,1219.000,1072.000,1243.000","1036,1219,1072,1243","952.000,1135.000,1193.000,1267.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00030,R21R1F00029,34,R21B00042,R21A00030,single_local_response_unit,"952.000,1153.000,988.000,1171.000","952,1153,988,1171","952.000,1141.000,1072.000,1243.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00031,R21R1F00030,34,R21B00043,R21A00031,single_local_response_unit,"1102.000,1135.000,1120.000,1147.000","1102,1135,1120,1147","1018.000,1135.000,1193.000,1267.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00032,R21R1F00031,34,R21B00044,R21A00032,single_local_response_unit,"1078.000,1219.000,1102.000,1237.000","1078,1219,1102,1237","1018.000,1135.000,1193.000,1267.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00033,R21R1F00032,34,R21B00045,R21A00033,single_local_response_unit,"1072.000,1165.000,1102.000,1189.000","1072,1165,1102,1189","1018.000,1135.000,1193.000,1267.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00034,R21R1F00033,34,R21B00046,R21A00034,single_local_response_unit,"1018.000,1141.000,1042.000,1159.000","1018,1141,1042,1159","952.000,1135.000,1120.000,1243.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00035,R21R1F00034,39,R21B00048;R21B00053;R21B00054,R21A00035,shared_actual_core_boundary_family,"1108.000,1165.000,1192.000,1276.000","1048,1165,1192,1276 | 1084,1165,1192,1276 | 1108,1165,1192,1276","982.000,1141.000,1192.000,1276.000",multiple_boundary_variants,3,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00036,R21R1F00035,39,R21B00049,R21A00038,single_local_response_unit,"982.000,1141.000,1030.000,1153.000","982,1141,1030,1153","982.000,1141.000,1114.000,1231.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00037,R21R1F00036,39,R21B00050;R21B00055,R21A00039,shared_actual_core_boundary_family,"1084.000,1213.000,1102.000,1231.000","1048,1207,1102,1231 | 1084,1213,1102,1231","982.000,1141.000,1192.000,1276.000",multiple_boundary_variants,2,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00038,R21R1F00037,39,R21B00051,R21A00040,single_local_response_unit,"1048.000,1207.000,1078.000,1225.000","1048,1207,1078,1225","982.000,1141.000,1192.000,1276.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00039,R21R1F00038,39,R21B00052,R21A00041,single_local_response_unit,"1084.000,1171.000,1114.000,1183.000","1084,1171,1114,1183","982.000,1141.000,1192.000,1276.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00040,R21R1F00039,40,R21B00056;R21B00061,R21A00042,shared_actual_core_boundary_family,"1114.000,1171.000,1193.000,1261.000","1114,1135,1193,1261 | 1114,1171,1193,1261","994.000,1135.000,1193.000,1261.000",multiple_boundary_variants,2,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00041,R21R1F00040,40,R21B00057,R21A00043,single_local_response_unit,"994.000,1135.000,1090.000,1159.000","994,1135,1090,1159","994.000,1135.000,1193.000,1261.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00042,R21R1F00041,40,R21B00058,R21A00044,single_local_response_unit,"1138.000,1135.000,1168.000,1153.000","1138,1135,1168,1153","994.000,1135.000,1193.000,1261.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00043,R21R1F00042,40,R21B00059,R21A00045,single_local_response_unit,"1054.000,1207.000,1108.000,1237.000","1054,1207,1108,1237","994.000,1135.000,1193.000,1261.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00044,R21R1F00043,40,R21B00060,R21A00046,single_local_response_unit,"1090.000,1171.000,1114.000,1183.000","1090,1171,1114,1183","994.000,1135.000,1193.000,1261.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00045,R21R1F00044,46,R21B00062,R21A00047,single_local_response_unit,"1030.000,1135.000,1193.000,1255.000","1030,1135,1193,1255","1030.000,1135.000,1193.000,1255.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00046,R21R1F00045,52,R21B00063;R21B00066,R21A00048,exact_duplicate_boundary_family,"1024.000,1135.000,1193.000,1189.000","1024,1135,1193,1189","1024.000,1135.000,1193.000,1207.000",single_consensus_bbox,2,成员共享核心且边界重复，是同一局部响应核心的重复边界表达。
R21R11BF00047,R21R1F00045,52,R21B00064,R21A00050,single_local_response_unit,"1180.000,1135.000,1193.000,1147.000","1180,1135,1193,1147","1024.000,1135.000,1193.000,1207.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00048,R21R1F00046,52,R21B00065,R21A00051,single_local_response_unit,"1144.000,1201.000,1168.000,1207.000","1144,1201,1168,1207","1024.000,1135.000,1193.000,1207.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00049,R21R1F00047,60,R21B00067,R21A00053,single_local_response_unit,"1126.000,1207.000,1186.000,1243.000","1126,1207,1186,1243","1126.000,1207.000,1192.000,1267.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00050,R21R1F00048,60,R21B00068,R21A00054,single_local_response_unit,"1162.000,1249.000,1192.000,1267.000","1162,1249,1192,1267","1126.000,1207.000,1192.000,1267.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00051,R21R1F00049,77,R21B00069;R21B00075;R21B00076,R21A00055,shared_actual_core_boundary_family,"1146.000,1133.000,1266.000,1163.000","1146,1133,1266,1163 | 1146,1133,1266,1187 | 1146,1133,1266,1271","1146.000,1133.000,1332.000,1271.000",multiple_boundary_variants,3,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00052,R21R1F00050,77,R21B00070,R21A00056,single_local_response_unit,"1146.000,1187.000,1248.000,1271.000","1146,1187,1248,1271","1146.000,1133.000,1332.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00053,R21R1F00051,77,R21B00071,R21A00057,single_local_response_unit,"1224.000,1169.000,1254.000,1187.000","1224,1169,1254,1187","1146.000,1133.000,1332.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00054,R21R1F00052,77,R21B00072,R21A00058,single_local_response_unit,"1260.000,1151.000,1284.000,1187.000","1260,1151,1284,1187","1146.000,1133.000,1332.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00055,R21R1F00053,77,R21B00073,R21A00059,single_local_response_unit,"1284.000,1133.000,1302.000,1145.000","1284,1133,1302,1145","1146.000,1133.000,1332.000,1199.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00056,R21R1F00054,77,R21B00074,R21A00060,single_local_response_unit,"1296.000,1175.000,1332.000,1199.000","1296,1175,1332,1199","1146.000,1133.000,1332.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00057,R21R1F00055,78,R21B00077;R21B00083,R21A00062,same_nonempty_core_boundary_family,"1170.000,1187.000,1248.000,1271.000","1170,1175,1260,1271 | 1170,1187,1248,1271","1146.000,1133.000,1326.000,1271.000",multiple_boundary_variants,2,成员共享相同非空核心，仅边界表达不同。
R21R11BF00058,R21R1F00056,78,R21B00078,R21A00063,single_local_response_unit,"1224.000,1175.000,1260.000,1187.000","1224,1175,1260,1187","1170.000,1133.000,1326.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00059,R21R1F00057,78,R21B00079,R21A00064,single_local_response_unit,"1290.000,1133.000,1308.000,1151.000","1290,1133,1308,1151","1224.000,1133.000,1326.000,1205.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00060,R21R1F00058,78,R21B00080,R21A00065,single_local_response_unit,"1302.000,1175.000,1326.000,1199.000","1302,1175,1326,1199","1170.000,1133.000,1326.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00061,R21R1F00059,78,R21B00081,R21A00066,single_local_response_unit,"1146.000,1247.000,1164.000,1271.000","1146,1247,1164,1271","1146.000,1187.000,1254.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00062,R21R1F00060,78,R21B00082,R21A00067,single_local_response_unit,"1242.000,1193.000,1254.000,1205.000","1242,1193,1254,1205","1146.000,1133.000,1326.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00063,R21R1F00061;R21R1F00064,79,R21B00084;R21B00090;R21B00091,R21A00069,shared_actual_core_boundary_family,"1194.000,1187.000,1254.000,1241.000","1170,1187,1254,1271 | 1194,1175,1260,1241 | 1194,1187,1254,1241","1146.000,1133.000,1308.000,1271.000",multiple_boundary_variants,3,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00064,R21R1F00062,79,R21B00085,R21A00070,single_local_response_unit,"1290.000,1133.000,1308.000,1145.000","1290,1133,1308,1145","1194.000,1133.000,1308.000,1241.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00065,R21R1F00063,79,R21B00086,R21A00071,single_local_response_unit,"1230.000,1175.000,1260.000,1187.000","1230,1175,1260,1187","1170.000,1133.000,1308.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00066,R21R1F00064,79,R21B00087,R21A00072,single_local_response_unit,"1170.000,1247.000,1206.000,1271.000","1170,1247,1206,1271","1146.000,1175.000,1260.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00067,R21R1F00065,79,R21B00088,R21A00073,single_local_response_unit,"1242.000,1199.000,1260.000,1205.000","1242,1199,1260,1205","1170.000,1133.000,1308.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00068,R21R1F00066,79,R21B00089,R21A00074,single_local_response_unit,"1146.000,1247.000,1164.000,1271.000","1146,1247,1164,1271","1146.000,1187.000,1254.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00069,R21R1F00067,80,R21B00092;R21B00098;R21B00099,R21A00075,shared_actual_core_boundary_family,"1146.000,1133.000,1266.000,1163.000","1146,1133,1266,1163 | 1146,1133,1266,1241 | 1146,1133,1266,1271","1146.000,1133.000,1326.000,1271.000",multiple_boundary_variants,3,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00070,R21R1F00068,80,R21B00093,R21A00076,single_local_response_unit,"1200.000,1181.000,1260.000,1241.000","1200,1181,1260,1241","1146.000,1133.000,1326.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00071,R21R1F00069,80,R21B00094,R21A00077,single_local_response_unit,"1146.000,1241.000,1212.000,1271.000","1146,1241,1212,1271","1146.000,1133.000,1266.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00072,R21R1F00070,80,R21B00095,R21A00078,single_local_response_unit,"1272.000,1163.000,1290.000,1187.000","1272,1163,1290,1187","1146.000,1133.000,1326.000,1241.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00073,R21R1F00071,80,R21B00096,R21A00080,single_local_response_unit,"1236.000,1175.000,1266.000,1187.000","1236,1175,1266,1187","1146.000,1133.000,1326.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00074,R21R1F00072,80,R21B00097,R21A00081,single_local_response_unit,"1308.000,1175.000,1326.000,1199.000","1308,1175,1326,1199","1146.000,1133.000,1326.000,1241.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00075,R21R1F00073,81,R21B00100;R21B00104,R21A00083,shared_actual_core_boundary_family,"1200.000,1181.000,1260.000,1241.000","1176,1181,1260,1271 | 1200,1181,1260,1241","1176.000,1133.000,1314.000,1271.000",multiple_boundary_variants,2,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00076,R21R1F00074,81,R21B00101,R21A00084,single_local_response_unit,"1302.000,1133.000,1314.000,1145.000","1302,1133,1314,1145","1200.000,1133.000,1314.000,1241.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00077,R21R1F00075,81,R21B00102,R21A00085,single_local_response_unit,"1176.000,1241.000,1212.000,1271.000","1176,1241,1212,1271","1176.000,1175.000,1272.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00078,R21R1F00076,81,R21B00103,R21A00086,single_local_response_unit,"1242.000,1175.000,1272.000,1187.000","1242,1175,1272,1187","1176.000,1133.000,1314.000,1271.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00079,R21R1F00077,212,R21B00105;R21B00107,R21A00087,exact_duplicate_boundary_family,"957.000,1126.000,1132.000,1240.000","957,1126,1132,1240","957.000,1126.000,1132.000,1240.000",single_consensus_bbox,2,成员共享核心且边界重复，是同一局部响应核心的重复边界表达。
R21R11BF00080,R21R1F00077,212,R21B00106,R21A00088,single_local_response_unit,"1005.000,1210.000,1023.000,1240.000","1005,1210,1023,1240","957.000,1126.000,1132.000,1240.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00081,R21R1F00078,213,R21B00108;R21B00111,R21A00089,same_nonempty_core_boundary_family,"981.000,1126.000,1132.000,1240.000","981,1126,1132,1240 | 981,1126,1132,1246","963.000,1126.000,1132.000,1246.000",multiple_boundary_variants,2,成员共享相同非空核心，仅边界表达不同。
R21R11BF00082,R21R1F00079,213,R21B00109,R21A00090,single_local_response_unit,"963.000,1150.000,987.000,1180.000","963,1150,987,1180","963.000,1126.000,1132.000,1246.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00083,R21R1F00080,213,R21B00110,R21A00091,single_local_response_unit,"1005.000,1210.000,1023.000,1246.000","1005,1210,1023,1246","963.000,1126.000,1132.000,1246.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00084,R21R1F00081,216,R21B00112;R21B00114,R21A00092,exact_duplicate_boundary_family,"975.000,1126.000,1131.000,1240.000","975,1126,1131,1240","975.000,1126.000,1131.000,1240.000",single_consensus_bbox,2,成员共享核心且边界重复，是同一局部响应核心的重复边界表达。
R21R11BF00085,R21R1F00081,216,R21B00113,R21A00093,single_local_response_unit,"1017.000,1216.000,1035.000,1240.000","1017,1216,1035,1240","975.000,1126.000,1131.000,1240.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00086,R21R1F00082,220,R21B00115,R21A00094,single_local_response_unit,"1011.000,1126.000,1132.000,1240.000","1011,1126,1132,1240","993.000,1126.000,1132.000,1240.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00087,R21R1F00083,220,R21B00116,R21A00095,single_local_response_unit,"993.000,1156.000,1017.000,1174.000","993,1156,1017,1174","993.000,1126.000,1132.000,1240.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00088,R21R1F00084,224,R21B00117;R21B00120;R21B00121;R21B00123,R21A00096,shared_actual_core_boundary_family,"1005.000,1126.000,1132.000,1234.000","1005,1126,1132,1234 | 1005,1126,1132,1240","1005.000,1126.000,1132.000,1240.000",multiple_boundary_variants,4,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00089,R21R1F00085,224,R21B00118;R21B00122,R21A00097,shared_actual_core_boundary_family,"1041.000,1210.000,1065.000,1240.000","1011,1210,1065,1240 | 1041,1210,1065,1240","1005.000,1126.000,1132.000,1240.000",multiple_boundary_variants,2,成员共享实际核心原子且满足严格空间关系；不同物理部件关系已移出到 same-object candidate edge。
R21R11BF00090,R21R1F00086,224,R21B00119,R21A00098,single_local_response_unit,"1011.000,1228.000,1029.000,1240.000","1011,1228,1029,1240","1005.000,1126.000,1132.000,1240.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00091,R21R1F00087,227,R21B00124;R21B00127,R21A00099,same_nonempty_core_boundary_family,"1017.000,1126.000,1132.000,1234.000","1017,1126,1132,1234 | 1017,1126,1132,1240","1017.000,1126.000,1132.000,1240.000",multiple_boundary_variants,2,成员共享相同非空核心，仅边界表达不同。
R21R11BF00092,R21R1F00088,227,R21B00125,R21A00100,single_local_response_unit,"1047.000,1204.000,1077.000,1240.000","1047,1204,1077,1240","1017.000,1126.000,1132.000,1240.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
R21R11BF00093,R21R1F00089,227,R21B00126,R21A00101,single_local_response_unit,"1023.000,1228.000,1041.000,1240.000","1023,1228,1041,1240","1017.000,1126.000,1132.000,1240.000",single_consensus_bbox,1,单个冻结 response-box 成员，仅作为局部响应单元，不等价于完整车辆。
