"factor_id","window_id","scene","factor_type","connected_node_ids","source_file","factor_claim_cn","factor_support_state","permission_gate","blocked_reason","notes"
"F_GM011_T004_GEOM","GM_RM011_WGV14T004","GM_RM011","geometry_feasibility_factor","N_GM011_T004_THREAD;N_GM011_T004_GEOM","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","GM_RM011缺少直接映射源。","insufficient_evidence","feasible_domain_only","missing_direct_gm011_azimuth_source","No offset band."
"F_GM011_T004_COMP","GM_RM011_WGV14T004","GM_RM011","competitor_risk_factor","N_GM011_T004_BOUND;N_GM011_T004_STATE","reports/oty2/samples/oty2_wgv1_8_gm011_optical_behavior_observation_20260709.csv","中段竞争和主体切换风险削弱跨模态身份解释。","ambiguous","boundary_protection","multi_vehicle_context","Competition is explicit."
"F_GM011_T004_PERM","GM_RM011_WGV14T004","GM_RM011","evidence_permission_factor","N_GM011_T004_PERM;N_GM011_T004_REL","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","T004仍为pre_sar_only。","blocked","permission_gate","sar_consumption_blocked","Independent SAR evidence required."
"F_GM011_T004_MECH","GM_RM011_WGV14T004","GM_RM011","mechanism_explanation_factor","N_GM011_T004_STATE;N_GM011_T004_SARMORPH;N_GM011_T004_REL","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","光学强但SAR映射未闭合，可建机制关系但不可消费。","weak_support","posthoc_mechanism_only","mapping_unresolved","Meaningful but unresolved."
"F_GM011_T005_STATE","GM_RM011_WGV14T005","GM_RM011","optical_state_factor","N_GM011_T005_THREAD;N_GM011_T005_STATE","reports/oty2/samples/oty2_wgv1_8_gm011_optical_behavior_observation_20260709.csv","长窗存在近场截断和可见未框间隙。","supports","pre_sar_only","none","State is useful for mechanism reading."
"F_GM011_T005_CONT","GM_RM011_WGV14T005","GM_RM011","optical_continuity_factor","N_GM011_T005_THREAD;N_GM011_T005_BOUND","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","长窗视觉稳定但被M016竞争约束为search_hint_only。","weak_support","search_hint_only","M016_competitor_boundary","No identity constraint."
"F_GM011_T005_MORPH","GM_RM011_WGV14T005","GM_RM011","sar_morphology_factor","N_GM011_T005_SARMORPH","reports/oty2/samples/oty2_wgv1_8_gm011_sar_gt_local_mechanism_reading_20260709.csv","稀疏corner_hotspot和side_ridge只能支持结构词汇。","weak_support","posthoc_sar_mechanism_only","sparse_traceable_rows","Not long-window identity."
"F_GM011_T005_GEOM","GM_RM011_WGV14T005","GM_RM011","geometry_feasibility_factor","N_GM011_T005_THREAD;N_GM011_T005_GEOM","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","长窗没有GM011直接映射源。","insufficient_evidence","feasible_domain_only","missing_direct_gm011_mapping_source","No SAR consumption."
"F_GM011_T005_COMP","GM_RM011_WGV14T005","GM_RM011","competitor_risk_factor","N_GM011_T005_BOUND;N_GM011_T005_STATE","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","M016同色SUV竞争阻止身份消费。","blocked","boundary_protection","same_color_competitor_near_M016","Hard risk preserved."
"F_GM011_T005_PERM","GM_RM011_WGV14T005","GM_RM011","evidence_permission_factor","N_GM011_T005_PERM;N_GM011_T005_REL","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","搜索提示只能排序人工检查优先级，不能证明SAR身份。","blocked","permission_gate","search_hint_not_identity_constraint","No promotion."
"F_GM011_T005_MECH","GM_RM011_WGV14T005","GM_RM011","mechanism_explanation_factor","N_GM011_T005_STATE;N_GM011_T005_SARMORPH;N_GM011_T005_REL","reports/oty2/samples/oty2_wgv1_8_gm011_optical_sar_physical_mechanism_links_20260709.csv","可解释可见未框间隙和稀疏SAR支持，但仍模糊。","ambiguous","posthoc_mechanism_only","competitor_risk","Search hint only."
"F_GM011_M005_BOUND","GM_RM011_M005","GM_RM011","boundary_preservation_factor","N_GM011_M005_BOUND;N_GM011_M005_STATE","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","M005清楚保留不同车辆边界。","supports","boundary_protection","none","Boundary support is positive evidence."
"F_GM011_M005_MORPH","GM_RM011_M005","GM_RM011","sar_morphology_factor","N_GM011_M005_SARMORPH","reports/oty2/samples/oty2_wgv1_8_gm011_sar_gt_local_mechanism_reading_20260709.csv","M005附近SAR参考混合neighbor/background风险。","weak_support","posthoc_boundary_reference_only","neighbor_background_mixed","No bridge."
"F_GM011_M005_GEOM","GM_RM011_M005","GM_RM011","geometry_feasibility_factor","N_GM011_M005_GEOM;N_GM011_M005_BOUND","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","所有偏移都被边界或竞争体阻断。","blocked","boundary_feasible_domain_only","boundary_or_competitor_block","Geometry preserves boundary."
"F_GM011_M005_PERM","GM_RM011_M005","GM_RM011","evidence_permission_factor","N_GM011_M005_PERM;N_GM011_M005_REL","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","M005权限只允许边界审计。","blocked","permission_gate","boundary_relaxation_forbidden","No bridge."
"F_GM011_M005_BLOCK","GM_RM011_M005","GM_RM011","contradiction_or_blocking_factor","N_GM011_M005_BOUND;N_GM011_M005_REL","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","任何跨M005同车关系都被边界阻断。","blocked","boundary_protection","blocked_by_boundary","Boundary is preserved."
"F_GM011_M016_BOUND","GM_RM011_M016","GM_RM011","boundary_preservation_factor","N_GM011_M016_BOUND;N_GM011_M016_STATE","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","M016清楚分隔右侧白车和左侧白SUV。","supports","boundary_protection","none","Hard boundary."
"F_GM011_M016_MORPH","GM_RM011_M016","GM_RM011","sar_morphology_factor","N_GM011_M016_SARMORPH","reports/oty2/samples/oty2_wgv1_8_gm011_sar_gt_local_mechanism_reading_20260709.csv","M016缺少可追溯SAR GT-local候选。","insufficient_evidence","posthoc_boundary_reference_only","no_traceable_sar_gt_local_rows","Insufficient SAR evidence strengthens block."
"F_GM011_M016_GEOM","GM_RM011_M016","GM_RM011","geometry_feasibility_factor","N_GM011_M016_GEOM;N_GM011_M016_BOUND","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","M016映射被边界或竞争阻断。","blocked","boundary_feasible_domain_only","boundary_or_competitor_block","No mapping closure."
"F_GM011_M016_COMP","GM_RM011_M016","GM_RM011","competitor_risk_factor","N_GM011_M016_BOUND;N_GM011_M016_STATE","reports/oty2/samples/oty2_wgv1_8_gm011_optical_behavior_observation_20260709.csv","286-292同色SUV竞争很强。","blocked","boundary_protection","same_color_competitor","No relaxation."
"F_GM011_M016_PERM","GM_RM011_M016","GM_RM011","evidence_permission_factor","N_GM011_M016_PERM;N_GM011_M016_REL","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","M016权限只允许边界阻断。","blocked","permission_gate","boundary_relaxation_forbidden","Independent boundary evidence required later."
"F_GM011_M016_BLOCK","GM_RM011_M016","GM_RM011","contradiction_or_blocking_factor","N_GM011_M016_BOUND;N_GM011_M016_REL","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","任何跨M016同车关系都与已知边界冲突。","blocked","boundary_protection","blocked_by_boundary","Boundary preserved."
"F_GM017_T001_STATE","GM_RM017_WGV14T001","GM_RM017","optical_state_factor","N_GM017_T001_THREAD;N_GM017_T001_STATE","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","远处白车/厢车和黑车穿插导致光学弱。","weak_support","pre_sar_only","optical_ambiguous","No upgrade."
"F_GM017_T001_CONT","GM_RM017_WGV14T001","GM_RM017","optical_continuity_factor","N_GM017_T001_THREAD;N_GM017_T001_BOUND","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","T001为weak_but_usable搜索提示。","weak_support","search_hint_only","context_edges_nearby","Weak remains weak."
"F_GM017_T001_MORPH","GM_RM017_WGV14T001","GM_RM017","sar_morphology_factor","N_GM017_T001_SARMORPH","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","后验SAR重叠同时包含vehicle-like和unknown/competitor风险。","ambiguous","posthoc_sar_mechanism_only","posthoc_mixed_with_risk","No SAR confirmation."
"F_GM017_T001_DRIFT","GM_RM017_WGV14T001","GM_RM017","sar_temporal_drift_factor","N_GM017_T001_SARDT;N_GM017_T001_GEOM","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","-12..+12均为模糊后验重叠带。","ambiguous","posthoc_proxy_only","no_unique_offset","No selected offset."
"F_GM017_T001_GEOM","GM_RM017_WGV14T001","GM_RM017","geometry_feasibility_factor","N_GM017_T001_THREAD;N_GM017_T001_GEOM","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","GM017有方位代理但只产生模糊可行域。","ambiguous","feasible_domain_only","azimuth_temporal_mapping_ambiguous","Proxy only."
"F_GM017_T001_COMP","GM_RM017_WGV14T001","GM_RM017","competitor_risk_factor","N_GM017_T001_BOUND;N_GM017_T001_SARMORPH","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","黑车穿插和competitor_or_multi_target_signal阻止升级。","ambiguous","boundary_protection","competitor_risk","Conservative validation."
"F_GM017_T001_PERM","GM_RM017_WGV14T001","GM_RM017","evidence_permission_factor","N_GM017_T001_PERM;N_GM017_T001_REL","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","后验重叠不能升级弱光学身份。","blocked","permission_gate","weak_thread_upgrade_forbidden","No promotion."
"F_GM017_T001_MECH","GM_RM017_WGV14T001","GM_RM017","mechanism_explanation_factor","N_GM017_T001_STATE;N_GM017_T001_SARMORPH;N_GM017_T001_REL","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","可建弱后验机制关系，但只作为审计。","weak_support","posthoc_mechanism_only","weak_optical","Weak-posthoc only."
"F_GM017_T002_STATE","GM_RM017_WGV14T002","GM_RM017","optical_state_factor","N_GM017_T002_THREAD;N_GM017_T002_STATE","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","长桥接和白SUV穿插导致身份风险。","weak_support","pre_sar_only","long_bridge_identity_risk","No upgrade."
"F_GM017_T002_CONT","GM_RM017_WGV14T002","GM_RM017","optical_continuity_factor","N_GM017_T002_THREAD;N_GM017_T002_BOUND","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","T002为弱搜索提示，V004桥接风险保留。","weak_support","search_hint_only","identity_risk_bridge","Weak remains weak."
"F_GM017_T002_MORPH","GM_RM017_WGV14T002","GM_RM017","sar_morphology_factor","N_GM017_T002_SARMORPH","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","T002有大量后验重叠但风险行也多。","ambiguous","posthoc_sar_mechanism_only","risk_status_rows_high","Posthoc overlap is not confirmation."
"F_GM017_T002_DRIFT","GM_RM017_WGV14T002","GM_RM017","sar_temporal_drift_factor","N_GM017_T002_SARDT;N_GM017_T002_GEOM","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","方位时间带全范围模糊，没有唯一偏移。","ambiguous","posthoc_proxy_only","no_unique_offset","No runtime offset."
"F_GM017_T002_GEOM","GM_RM017_WGV14T002","GM_RM017","geometry_feasibility_factor","N_GM017_T002_THREAD;N_GM017_T002_GEOM","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","GM017方位代理只允许独立SAR探索优先。","ambiguous","feasible_domain_only","ambiguous_offset_band","No localization."
"F_GM017_T002_COMP","GM_RM017_WGV14T002","GM_RM017","competitor_risk_factor","N_GM017_T002_BOUND;N_GM017_T002_STATE;N_GM017_T002_SARMORPH","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","competitor和background风险显著。","ambiguous","boundary_protection","competitor_or_background_risk","Blocks upgrade."
"F_GM017_T002_PERM","GM_RM017_WGV14T002","GM_RM017","evidence_permission_factor","N_GM017_T002_PERM;N_GM017_T002_REL","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","权限保持pre_sar_only。","blocked","permission_gate","weak_thread_upgrade_forbidden","No SAR consumption."
"F_GM017_T002_MECH","GM_RM017_WGV14T002","GM_RM017","mechanism_explanation_factor","N_GM017_T002_STATE;N_GM017_T002_SARMORPH;N_GM017_T002_REL","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","可解释dropout/弱支持，但不升级。","weak_support","posthoc_mechanism_only","weak_optical_and_risk","Weak-posthoc only."
"F_GM017_T003_STATE","GM_RM017_WGV14T003","GM_RM017","optical_state_factor","N_GM017_T003_THREAD;N_GM017_T003_STATE","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","主框修复存在竞争，保持弱。","weak_support","pre_sar_only","primary_repair_competition","No upgrade."
"F_GM017_T003_CONT","GM_RM017_WGV14T003","GM_RM017","optical_continuity_factor","N_GM017_T003_THREAD;N_GM017_T003_BOUND","reports/oty2/samples/oty2_yolo26l_wgv1_4b_thread_stability_summary_20260709.csv","T003视觉可用但仍是搜索提示。","weak_support","search_hint_only","competition_context","Weak remains weak."
"F_GM017_T003_MORPH","GM_RM017_WGV14T003","GM_RM017","sar_morphology_factor","N_GM017_T003_SARMORPH","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","T003后验重叠为混合风险。","ambiguous","posthoc_sar_mechanism_only","posthoc_mixed_with_risk","No identity support."
"F_GM017_T003_DRIFT","GM_RM017_WGV14T003","GM_RM017","sar_temporal_drift_factor","N_GM017_T003_SARDT;N_GM017_T003_GEOM","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","方位时间映射模糊。","ambiguous","posthoc_proxy_only","no_unique_offset","No selected offset."
"F_GM017_T003_GEOM","GM_RM017_WGV14T003","GM_RM017","geometry_feasibility_factor","N_GM017_T003_THREAD;N_GM017_T003_GEOM","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","几何代理域不能选择对象。","ambiguous","feasible_domain_only","azimuth_temporal_mapping_ambiguous","Search priority only."
"F_GM017_T003_COMP","GM_RM017_WGV14T003","GM_RM017","competitor_risk_factor","N_GM017_T003_BOUND;N_GM017_T003_STATE","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","M005主框修复有黑车和厢车竞争。","ambiguous","boundary_protection","multi_vehicle_competition","Blocks upgrade."
"F_GM017_T003_PERM","GM_RM017_WGV14T003","GM_RM017","evidence_permission_factor","N_GM017_T003_PERM;N_GM017_T003_REL","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","弱线程权限保持搜索提示。","blocked","permission_gate","weak_thread_upgrade_forbidden","No SAR identity."
"F_GM017_T003_MECH","GM_RM017_WGV14T003","GM_RM017","mechanism_explanation_factor","N_GM017_T003_STATE;N_GM017_T003_SARMORPH;N_GM017_T003_REL","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","图可以表示弱后验支持而不升级。","weak_support","posthoc_mechanism_only","weak_optical","Conservative validation."
"F_GM017_V004_STATE","GM_RM017_WGV14V004","GM_RM017","optical_state_factor","N_GM017_V004_THREAD;N_GM017_V004_STATE","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","V004为长桥接身份风险。","blocked","blocked_for_sar_consumption","identity_risk","No identity instantiation."
"F_GM017_V004_CONT","GM_RM017_WGV14V004","GM_RM017","optical_continuity_factor","N_GM017_V004_THREAD;N_GM017_V004_BOUND","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","V004不允许作为同车连续证据消费。","blocked","blocked_for_sar_consumption","identity_risk","Blocked."
"F_GM017_V004_MORPH","GM_RM017_WGV14V004","GM_RM017","sar_morphology_factor","N_GM017_V004_SARMORPH","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","后验重叠存在但不能覆盖blocked状态。","ambiguous","posthoc_sar_mechanism_only","blocked_identity_risk","Overlap is not proof."
"F_GM017_V004_DRIFT","GM_RM017_WGV14V004","GM_RM017","sar_temporal_drift_factor","N_GM017_V004_SARDT;N_GM017_V004_GEOM","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","偏移行被身份风险阻断。","blocked","blocked_for_sar_consumption","all_offsets_blocked","No offset use."
"F_GM017_V004_GEOM","GM_RM017_WGV14V004","GM_RM017","geometry_feasibility_factor","N_GM017_V004_THREAD;N_GM017_V004_GEOM","reports/oty2/samples/oty2_wgv1_7_window_mapping_decisions_20260709.csv","几何代理不能解除身份风险。","blocked","boundary_feasible_domain_only","mapping_blocked_by_boundary_or_competitor","No consumption."
"F_GM017_V004_COMP","GM_RM017_WGV14V004","GM_RM017","competitor_risk_factor","N_GM017_V004_BOUND;N_GM017_V004_STATE","reports/oty2/samples/oty2_yolo26l_wgv1_4b_edge_boundary_stress_summary_20260709.csv","长桥接和白SUV上下文构成身份风险。","blocked","identity_risk_block","interleaved_competitor_context","Hard block."
"F_GM017_V004_PERM","GM_RM017_WGV14V004","GM_RM017","evidence_permission_factor","N_GM017_V004_PERM;N_GM017_V004_REL","reports/oty2/samples/oty2_yolo26l_wgv1_5a_optical_to_sar_consumption_contract_20260709.csv","V004权限为blocked。","blocked","permission_gate","blocked_for_sar_consumption","No SAR use."
"F_GM017_V004_BLOCK","GM_RM017_WGV14V004","GM_RM017","contradiction_or_blocking_factor","N_GM017_V004_SARMORPH;N_GM017_V004_PERM;N_GM017_V004_REL","reports/oty2/samples/oty2_wgv1_6_dual_evidence_window_summary_20260709.csv","后验重叠与blocked身份风险冲突，权限阻断胜出。","blocked","permission_gate","blocked_by_identity_risk","Blocked remains blocked."
