family_id,sar_frame,member_core_subgraph_ids,member_response_box_ids,family_relation,distinct_core_member_sets,conservative_bbox_variants,uncertain_envelope_variants,family_runtime_states,family_shared_evidence,family_unresolved_difference
R21F00011,46,R21C00062,R21B00062,single_member_family,1,"1030,1135,1193,1255","1030,1135,1193,1255",vehicle_response_box_possible:1,R21A00047,
R21F00012,52,R21C00063;R21C00064;R21C00065;R21C00066,R21B00063;R21B00064;R21B00065;R21B00066,nested_boundary_variant,4,"1024,1135,1193,1189 | 1144,1201,1168,1207 | 1180,1135,1193,1147","1024,1135,1193,1207",unresolved:3;vehicle_part_box_only:1,R21A00048;R21A00050;R21A00051,members differ by core membership or uncertain envelope
R21F00013,60,R21C00067,R21B00067,single_member_family,1,"1126,1207,1186,1243","1126,1207,1192,1267",vehicle_response_box_possible:1,R21A00053,
R21F00014,60,R21C00068,R21B00068,single_member_family,1,"1162,1249,1192,1267","1126,1207,1192,1267",unresolved:1,R21A00054,
R21F00015,77,R21C00069;R21C00070;R21C00071;R21C00072;R21C00073;R21C00074;R21C00075;R21C00076,R21B00069;R21B00070;R21B00071;R21B00072;R21B00073;R21B00074;R21B00075;R21B00076,distinct_core_same_response,8,"1146,1133,1266,1163 | 1146,1133,1266,1187 | 1146,1133,1266,1271 | 1146,1187,1248,1271 | 1224,1169,1254,1187 | 1260,1151,1284,1187 | 1284,1133,1302,1145 | 1296,1175,1332,1199","1146,1133,1332,1199 | 1146,1133,1332,1271",unresolved:6;vehicle_part_box_only:1;vehicle_response_box_possible:1,R21A00055;R21A00056;R21A00057;R21A00058;R21A00059;R21A00060,members differ by core membership or uncertain envelope
R21F00016,78,R21C00077;R21C00078;R21C00079;R21C00080;R21C00081;R21C00082;R21C00083,R21B00077;R21B00078;R21B00079;R21B00080;R21B00081;R21B00082;R21B00083,spatially_distinct_hypothesis,7,"1146,1247,1164,1271 | 1170,1175,1260,1271 | 1170,1187,1248,1271 | 1224,1175,1260,1187 | 1242,1193,1254,1205 | 1290,1133,1308,1151 | 1302,1175,1326,1199","1146,1133,1326,1271 | 1146,1175,1326,1271 | 1146,1187,1254,1271 | 1170,1133,1326,1271 | 1224,1133,1326,1205",unresolved:4;vehicle_part_box_only:1;vehicle_response_box_possible:2,R21A00062;R21A00063;R21A00064;R21A00065;R21A00066;R21A00067,members differ by core membership or uncertain envelope
R21F00017,79,R21C00084;R21C00085;R21C00086;R21C00087;R21C00088;R21C00089;R21C00090;R21C00091,R21B00084;R21B00085;R21B00086;R21B00087;R21B00088;R21B00089;R21B00090;R21B00091,spatially_distinct_hypothesis,8,"1146,1247,1164,1271 | 1170,1187,1254,1271 | 1170,1247,1206,1271 | 1194,1175,1260,1241 | 1194,1187,1254,1241 | 1230,1175,1260,1187 | 1242,1199,1260,1205 | 1290,1133,1308,1145","1146,1133,1308,1271 | 1146,1175,1260,1271 | 1146,1187,1254,1271 | 1170,1133,1308,1271 | 1194,1133,1308,1241",unresolved:5;vehicle_part_box_only:1;vehicle_response_box_possible:2,R21A00069;R21A00070;R21A00071;R21A00072;R21A00073;R21A00074,members differ by core membership or uncertain envelope
R21F00018,80,R21C00092;R21C00093;R21C00094;R21C00095;R21C00096;R21C00097;R21C00098;R21C00099,R21B00092;R21B00093;R21B00094;R21B00095;R21B00096;R21B00097;R21B00098;R21B00099,spatially_distinct_hypothesis,8,"1146,1133,1266,1163 | 1146,1133,1266,1241 | 1146,1133,1266,1271 | 1146,1241,1212,1271 | 1200,1181,1260,1241 | 1236,1175,1266,1187 | 1272,1163,1290,1187 | 1308,1175,1326,1199","1146,1133,1266,1271 | 1146,1133,1326,1241 | 1146,1133,1326,1271",unresolved:3;vehicle_part_box_only:3;vehicle_response_box_possible:2,R21A00075;R21A00076;R21A00077;R21A00078;R21A00080;R21A00081,members differ by core membership or uncertain envelope
R21F00019,81,R21C00100;R21C00101;R21C00102;R21C00103;R21C00104,R21B00100;R21B00101;R21B00102;R21B00103;R21B00104,distinct_core_same_response,5,"1176,1181,1260,1271 | 1176,1241,1212,1271 | 1200,1181,1260,1241 | 1242,1175,1272,1187 | 1302,1133,1314,1145","1176,1133,1314,1271 | 1176,1175,1272,1271 | 1200,1133,1314,1241",unresolved:4;vehicle_response_box_possible:1,R21A00083;R21A00084;R21A00085;R21A00086,members differ by core membership or uncertain envelope
R21F00020,212,R21C00105;R21C00106;R21C00107,R21B00105;R21B00106;R21B00107,nested_boundary_variant,3,"1005,1210,1023,1240 | 957,1126,1132,1240","957,1126,1132,1240",unresolved:2;vehicle_part_box_only:1,R21A00087;R21A00088,members differ by core membership or uncertain envelope
R21F00021,213,R21C00108;R21C00109;R21C00110;R21C00111,R21B00108;R21B00109;R21B00110;R21B00111,distinct_core_same_response,4,"1005,1210,1023,1246 | 963,1150,987,1180 | 981,1126,1132,1240 | 981,1126,1132,1246","963,1126,1132,1246",unresolved:3;vehicle_part_box_only:1,R21A00089;R21A00090;R21A00091,members differ by core membership or uncertain envelope
R21F00022,216,R21C00112;R21C00113;R21C00114,R21B00112;R21B00113;R21B00114,nested_boundary_variant,3,"1017,1216,1035,1240 | 975,1126,1131,1240","975,1126,1131,1240",unresolved:2;vehicle_part_box_only:1,R21A00092;R21A00093,members differ by core membership or uncertain envelope
R21F00023,220,R21C00115;R21C00116,R21B00115;R21B00116,distinct_core_same_response,2,"1011,1126,1132,1240 | 993,1156,1017,1174","993,1126,1132,1240",unresolved:2,R21A00094;R21A00095,members differ by core membership or uncertain envelope
R21F00024,224,R21C00117;R21C00118;R21C00119;R21C00120;R21C00121;R21C00122;R21C00123,R21B00117;R21B00118;R21B00119;R21B00120;R21B00121;R21B00122;R21B00123,nested_boundary_variant,7,"1005,1126,1132,1234 | 1005,1126,1132,1240 | 1011,1210,1065,1240 | 1011,1228,1029,1240 | 1041,1210,1065,1240","1005,1126,1132,1240",unresolved:5;vehicle_part_box_only:2,R21A00096;R21A00097;R21A00098,members differ by core membership or uncertain envelope
R21F00025,227,R21C00124;R21C00125;R21C00126;R21C00127,R21B00124;R21B00125;R21B00126;R21B00127,spatially_distinct_hypothesis,4,"1017,1126,1132,1234 | 1017,1126,1132,1240 | 1023,1228,1041,1240 | 1047,1204,1077,1240","1017,1126,1132,1240",unresolved:3;vehicle_part_box_only:1,R21A00099;R21A00100;R21A00101,members differ by core membership or uncertain envelope
R21F00026,228,R21C00128;R21C00129;R21C00130;R21C00131,R21B00128;R21B00129;R21B00130;R21B00131,nested_boundary_variant,4,"1023,1126,1132,1240 | 1023,1228,1041,1240 | 1053,1204,1083,1240","1023,1126,1132,1240",unresolved:3;vehicle_response_box_possible:1,R21A00102;R21A00103;R21A00104,members differ by core membership or uncertain envelope
R21F00027,238,R21C00132;R21C00133,R21B00132;R21B00133,nested_boundary_variant,2,"1051,1135,1177,1255 | 1063,1231,1075,1243","1051,1135,1177,1255",unresolved:1;vehicle_response_box_possible:1,R21A00105;R21A00106,members differ by core membership or uncertain envelope
R21F00028,239,R21C00134;R21C00135;R21C00136,R21B00134;R21B00135;R21B00136,nested_boundary_variant,3,"1051,1135,1177,1255 | 1063,1231,1075,1243 | 1087,1201,1111,1237","1051,1135,1177,1255",unresolved:1;vehicle_response_box_possible:2,R21A00107;R21A00108;R21A00109,members differ by core membership or uncertain envelope
R21F00029,243,R21C00137;R21C00138;R21C00139,R21B00137;R21B00138;R21B00139,nested_boundary_variant,3,"1063,1135,1195,1249 | 1075,1231,1087,1243 | 1177,1165,1195,1177","1063,1135,1195,1249",unresolved:2;vehicle_response_box_possible:1,R21A00110;R21A00111;R21A00112,members differ by core membership or uncertain envelope
R21F00030,250,R21C00140;R21C00141;R21C00142,R21B00140;R21B00141;R21B00142,nested_boundary_variant,3,"1099,1135,1201,1261 | 1183,1165,1201,1189 | 1195,1135,1218,1153","1099,1135,1218,1261",unresolved:2;vehicle_response_box_possible:1,R21A00113;R21A00114;R21A00115,members differ by core membership or uncertain envelope
R21F00031,259,R21C00143;R21C00144;R21C00145;R21C00146;R21C00147;R21C00148;R21C00149,R21B00143;R21B00144;R21B00145;R21B00146;R21B00147;R21B00148;R21B00149,nested_boundary_variant,7,"1069,1135,1189,1255 | 1069,1135,1218,1255 | 1189,1141,1218,1189 | 1189,1141,1218,1237 | 1189,1195,1218,1237","1069,1135,1218,1255",unresolved:1;vehicle_part_box_only:1;vehicle_response_box_possible:2;vehicle_response_box_supported:3,R21A00116;R21A00117;R21A00118,members differ by core membership or uncertain envelope
R21F00032,260,R21C00150;R21C00151;R21C00152;R21C00153;R21C00154;R21C00155;R21C00156,R21B00150;R21B00151;R21B00152;R21B00153;R21B00154;R21B00155;R21B00156,nested_boundary_variant,7,"1075,1135,1218,1195 | 1075,1135,1218,1237 | 1075,1135,1218,1255 | 1117,1201,1189,1255 | 1117,1201,1218,1255 | 1195,1201,1218,1237","1075,1135,1218,1255",unresolved:3;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:2,R21A00119;R21A00120;R21A00121,members differ by core membership or uncertain envelope
R21F00033,262,R21C00157,R21B00157,single_member_family,1,"1075,1135,1218,1267","1075,1135,1218,1267",vehicle_response_box_possible:1,R21A00122,
R21F00034,263,R21C00158,R21B00158,single_member_family,1,"1069,1135,1218,1261","1069,1135,1218,1261",vehicle_response_box_possible:1,R21A00123,
R21F00035,269,R21C00159;R21C00160;R21C00161;R21C00162;R21C00163;R21C00164;R21C00165;R21C00166,R21B00159;R21B00160;R21B00161;R21B00162;R21B00163;R21B00164;R21B00165;R21B00166,distinct_core_same_response,8,"1107,1138,1245,1246 | 1107,1138,1245,1258 | 1143,1204,1185,1258 | 1227,1192,1245,1240 | 1245,1138,1257,1156 | 1251,1174,1263,1186 | 1263,1138,1281,1150","1107,1138,1263,1258 | 1107,1138,1281,1246 | 1107,1138,1281,1258",unresolved:6;vehicle_part_box_only:1;vehicle_response_box_possible:1,R21A00124;R21A00125;R21A00126;R21A00127;R21A00128;R21A00129,members differ by core membership or uncertain envelope
R21F00036,270,R21C00167;R21C00168;R21C00169;R21C00170;R21C00171;R21C00172;R21C00173;R21C00174,R21B00167;R21B00168;R21B00169;R21B00170;R21B00171;R21B00172;R21B00173;R21B00174,distinct_core_same_response,8,"1107,1138,1263,1240 | 1107,1138,1263,1258 | 1107,1138,1275,1240 | 1137,1204,1185,1258 | 1233,1192,1245,1234 | 1245,1162,1275,1186 | 1269,1138,1287,1150","1107,1138,1275,1258 | 1107,1138,1287,1240 | 1107,1138,1287,1258",unresolved:6;vehicle_part_box_only:1;vehicle_response_box_possible:1,R21A00130;R21A00131;R21A00132;R21A00133;R21A00134,members differ by core membership or uncertain envelope
R21F00037,271,R21C00175;R21C00176;R21C00177;R21C00178;R21C00179;R21C00180;R21C00181;R21C00182,R21B00175;R21B00176;R21B00177;R21B00178;R21B00179;R21B00180;R21B00181;R21B00182,nested_boundary_variant,8,"1107,1138,1287,1240 | 1107,1138,1287,1252 | 1143,1198,1251,1252 | 1143,1210,1197,1252 | 1233,1198,1251,1240 | 1245,1174,1275,1192","1107,1138,1287,1252",unresolved:4;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:2,R21A00135;R21A00136;R21A00137;R21A00138,members differ by core membership or uncertain envelope
R21F00038,272,R21C00183;R21C00184;R21C00185;R21C00186;R21C00187;R21C00188;R21C00189;R21C00190,R21B00183;R21B00184;R21B00185;R21B00186;R21B00187;R21B00188;R21B00189;R21B00190,spatially_distinct_hypothesis,8,"1107,1138,1251,1240 | 1107,1138,1251,1270 | 1107,1138,1257,1240 | 1143,1210,1197,1270 | 1227,1144,1251,1156 | 1239,1198,1257,1240 | 1257,1138,1287,1156 | 1257,1168,1281,1192","1107,1138,1281,1270 | 1107,1138,1287,1240 | 1107,1138,1287,1270",unresolved:6;vehicle_part_box_only:1;vehicle_response_box_possible:1,R21A00139;R21A00140;R21A00141;R21A00142;R21A00143;R21A00144,members differ by core membership or uncertain envelope
R21F00039,273,R21C00191;R21C00192;R21C00195,R21B00191;R21B00192;R21B00195,nested_boundary_variant,3,"1115,1140,1259,1266 | 1241,1194,1259,1236","1115,1140,1289,1266",vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:1,R21A00145;R21A00146,members differ by core membership or uncertain envelope
R21F00040,273,R21C00193;R21C00194,R21B00193;R21B00194,distinct_core_same_response,2,"1259,1140,1289,1152 | 1265,1170,1283,1188","1115,1140,1289,1266",unresolved:2,R21A00147;R21A00148,members differ by core membership or uncertain envelope
R21F00041,276,R21C00196;R21C00197;R21C00198;R21C00199;R21C00200;R21C00201;R21C00202;R21C00203,R21B00196;R21B00197;R21B00198;R21B00199;R21B00200;R21B00201;R21B00202;R21B00203,nested_boundary_variant,8,"1115,1140,1271,1242 | 1157,1194,1271,1242 | 1157,1212,1211,1242 | 1175,1254,1211,1266 | 1253,1194,1271,1236 | 1271,1140,1283,1152","1115,1140,1271,1266 | 1115,1140,1283,1242 | 1115,1140,1283,1266",unresolved:5;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:1,R21A00149;R21A00150;R21A00151;R21A00152;R21A00153,members differ by core membership or uncertain envelope
R21F00042,278,R21C00204;R21C00205;R21C00206;R21C00207,R21B00204;R21B00205;R21B00206;R21B00207,spatially_distinct_hypothesis,4,"1121,1140,1277,1236 | 1121,1140,1277,1266 | 1163,1212,1217,1266 | 1277,1140,1289,1158","1121,1140,1277,1266 | 1121,1140,1289,1236 | 1121,1140,1289,1266",unresolved:3;vehicle_response_box_possible:1,R21A00154;R21A00155;R21A00156,members differ by core membership or uncertain envelope
R21F00043,279,R21C00208;R21C00209;R21C00210;R21C00211;R21C00212,R21B00208;R21B00209;R21B00210;R21B00211;R21B00212,distinct_core_same_response,5,"1115,1140,1283,1236 | 1115,1140,1283,1266 | 1163,1212,1217,1266 | 1259,1140,1289,1158 | 1289,1170,1313,1200","1115,1140,1283,1266 | 1115,1140,1313,1236 | 1115,1140,1313,1266",unresolved:4;vehicle_response_box_possible:1,R21A00157;R21A00158;R21A00159;R21A00160,members differ by core membership or uncertain envelope
R21F00044,280,R21C00213;R21C00214;R21C00215;R21C00216,R21B00213;R21B00214;R21B00215;R21B00216,nested_boundary_variant,4,"1115,1140,1277,1236 | 1115,1140,1277,1266 | 1163,1212,1223,1266 | 1265,1146,1277,1158","1115,1140,1277,1236 | 1115,1140,1277,1266",unresolved:3;vehicle_response_box_possible:1,R21A00161;R21A00162;R21A00163,members differ by core membership or uncertain envelope
R21F00045,281,R21C00217;R21C00218;R21C00219;R21C00220;R21C00221;R21C00222;R21C00223;R21C00224,R21B00217;R21B00218;R21B00219;R21B00220;R21B00221;R21B00222;R21B00223;R21B00224,nested_boundary_variant,8,"1115,1140,1283,1236 | 1115,1140,1283,1266 | 1169,1200,1283,1266 | 1169,1212,1223,1266 | 1265,1140,1301,1158 | 1271,1200,1283,1230","1115,1140,1283,1266 | 1115,1140,1301,1236 | 1115,1140,1301,1266",unresolved:4;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:2,R21A00164;R21A00165;R21A00166;R21A00167,members differ by core membership or uncertain envelope
R21F00046,284,R21C00225;R21C00226;R21C00227;R21C00228;R21C00229;R21C00230,R21B00225;R21B00226;R21B00227;R21B00228;R21B00229;R21B00230,distinct_core_same_response,6,"1115,1140,1301,1236 | 1115,1140,1301,1266 | 1175,1206,1235,1266 | 1283,1200,1289,1218 | 1301,1140,1307,1146 | 1319,1194,1331,1200","1115,1140,1301,1266 | 1115,1140,1331,1236 | 1115,1140,1331,1266",unresolved:5;vehicle_response_box_possible:1,R21A00168;R21A00169;R21A00170;R21A00171;R21A00172,members differ by core membership or uncertain envelope
R21F00047,288,R21C00231;R21C00232;R21C00233;R21C00234;R21C00235,R21B00231;R21B00232;R21B00233;R21B00234;R21B00235,distinct_core_same_response,5,"1146,1138,1308,1228 | 1146,1138,1308,1240 | 1170,1246,1206,1270 | 1200,1192,1224,1240 | 1230,1228,1248,1240","1146,1138,1308,1270",unresolved:4;vehicle_response_box_possible:1,R21A00173;R21A00174;R21A00175;R21A00176,members differ by core membership or uncertain envelope
R21F00048,289,R21C00236;R21C00237;R21C00238;R21C00239;R21C00240;R21C00241;R21C00242;R21C00243,R21B00236;R21B00237;R21B00238;R21B00239;R21B00240;R21B00241;R21B00242;R21B00243,spatially_distinct_hypothesis,8,"1146,1138,1308,1228 | 1146,1138,1308,1240 | 1146,1138,1308,1270 | 1146,1210,1224,1270 | 1146,1246,1206,1270 | 1200,1210,1224,1240 | 1242,1228,1248,1240 | 1320,1138,1344,1150","1146,1138,1308,1270 | 1146,1138,1344,1228 | 1146,1138,1344,1270",unresolved:5;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:1,R21A00177;R21A00178;R21A00179;R21A00180;R21A00181,members differ by core membership or uncertain envelope
R21F00049,290,R21C00244;R21C00245;R21C00246;R21C00247;R21C00248;R21C00249;R21C00250,R21B00244;R21B00245;R21B00246;R21B00247;R21B00248;R21B00249;R21B00250,nested_boundary_variant,7,"1146,1138,1314,1228 | 1146,1138,1314,1240 | 1146,1138,1314,1282 | 1146,1192,1236,1282 | 1146,1246,1206,1282 | 1206,1192,1236,1240","1146,1138,1314,1282",unresolved:3;vehicle_part_box_only:2;vehicle_response_box_possible:2,R21A00182;R21A00183;R21A00184,members differ by core membership or uncertain envelope
