evidence_id,scene,vehicle_ids,frame_domain,frame_range,evidence_type,description,path,source_review_path,sha256,size_bytes
gm17_pv004_sar_337_446_contact_p03,GM_RM017,GM_RM017:PV004,sar,337-446,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p03.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv004_sar_337_446_contact_p03.png,A7B876790708EBD258E376683DB1FFBB5DED1041614DBB1DC565BAD77A8450E2,835550
gm17_pv004_sar_337_446_contact_p04,GM_RM017,GM_RM017:PV004,sar,337-446,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p04.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm17_pv004_sar_337_446_contact_p04.png,895B006BA9532F660F085B46AA7ACA0023F9E7CF0274589433889555FBCA4F79,380116
gm19_multivehicle_sar_20_60_contact_p01,GM_RM019,GM_RM019:PV001;GM_RM019:PV002,sar,20-60,multivehicle_full_context_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p01.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm19_multivehicle_sar_20_60_contact_p01.png,4A122D6CC62BE37D8A33455227F4D8BA1671ECD811A0551C00DE7E9D22F13F83,420991
gm19_multivehicle_sar_20_60_contact_p02,GM_RM019,GM_RM019:PV001;GM_RM019:PV002,sar,20-60,multivehicle_full_context_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p02.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm19_multivehicle_sar_20_60_contact_p02.png,42C6CC1F89ECF21FB5840830B5AC6964408E1F4189C393B7E2D875B38CC8F286,407086
gm19_multivehicle_sar_20_60_contact_p03,GM_RM019,GM_RM019:PV001;GM_RM019:PV002,sar,20-60,multivehicle_full_context_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p03.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm19_multivehicle_sar_20_60_contact_p03.png,9D2A1AD7901293446F44E7E774185CA8F19B4638A145223A05B6EFFFA5AE16D8,429321
gm19_multivehicle_sar_20_60_contact_p04,GM_RM019,GM_RM019:PV001;GM_RM019:PV002,sar,20-60,multivehicle_full_context_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p04.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm19_multivehicle_sar_20_60_contact_p04.png,A87CD8D3CA4261A1C65290B73AAA1C223A32E2D3DF72742A21A4425A0EE7AA11,187455
gm19_pv001_optical_0_14_contact_p01,GM_RM019,GM_RM019:PV001,optical,0-14,optical_lifecycle_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_optical_0_14_contact_p01.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm19_pv001_optical_0_14_contact_p01.png,67A4086B8B259623EA6B0D9EABADAAECB44C268B90A459636DBED906E5CF97CC,343523
gm19_pv001_sar_0_35_contact_p01,GM_RM019,GM_RM019:PV001,sar,0-35,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p01.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm19_pv001_sar_0_35_contact_p01.png,658BF429D033A9C679289511562EEF57673E677E489A8E75D77E867F3971A03A,588593
gm19_pv001_sar_0_35_contact_p02,GM_RM019,GM_RM019:PV001,sar,0-35,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p02.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm19_pv001_sar_0_35_contact_p02.png,5EBAEE7391463E7ADCDEACB948CDE2CFA61A80C1F59DA8F2E8CB748BA0D30534,101866
gm19_pv002_optical_5_43_contact_p01,GM_RM019,GM_RM019:PV002,optical,5-43,optical_lifecycle_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_optical_5_43_contact_p01.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm19_pv002_optical_5_43_contact_p01.png,81CA968B4D59A143C25C32376306766CA3827FB68FDC2BA1A5C42FF56A9AD968,689242
gm19_pv002_optical_5_43_contact_p02,GM_RM019,GM_RM019:PV002,optical,5-43,optical_lifecycle_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_optical_5_43_contact_p02.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm19_pv002_optical_5_43_contact_p02.png,CF30D930DA2C6091B90AA5F09A819DE2D6B045C1E1A856FE43A94213E8CFFDF0,167056
gm19_pv002_sar_10_90_contact_p01,GM_RM019,GM_RM019:PV002,sar,10-90,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_sar_10_90_contact_p01.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm19_pv002_sar_10_90_contact_p01.png,8839006D11D171B69FFC95B6E01B3D229A0FE82FADB85C8840B159A231112555,625719
gm19_pv002_sar_10_90_contact_p02,GM_RM019,GM_RM019:PV002,sar,10-90,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_sar_10_90_contact_p02.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm19_pv002_sar_10_90_contact_p02.png,4BB9B73CCB2D4CFBE532E70FDDF57FDF6788F434F855D4BA798B09F35D598590,636802
gm19_pv002_sar_10_90_contact_p03,GM_RM019,GM_RM019:PV002,sar,10-90,vehicle_timeline_contact,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_sar_10_90_contact_p03.png,D:\profile\research\workspace\output\oty2_rsa2_o0_open_book_review_20260718\contacts\gm19_pv002_sar_10_90_contact_p03.png,298D281871605F2EFB4CFB80936D2C18A117F0073EF77C70778AE8F64E1A2D2A,383337
gm19_pv002_vehicle_coordinate_and_background_risk,GM_RM019,GM_RM019:PV002,sar,27;31;77;88,vehicle_coordinate_manual_review,Raw local crop and GT-aligned observation aid; manual neutral labels only; no extraction or classifier.,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_vehicle_coordinate_and_background_risk.png,D:/profile/research/workspace/output/oty2_rsa2_o0_open_book_review_20260718/frame_panels,E64CAF9DA5F57376AE0EAEF39D58B079356E687ADB59FCF46CC22F47ACBADAF9,348888
