scene,canonical_vehicle_id,segment_id,sar_frame_index,review_status,visible_response_body,gt_motion_visual_relation,response_long_axis,response_offset_from_gt_center,intensity_and_morphology,world_fixed_background,intermittent_hotspots,boundary_and_uncertainty
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,340,REVIEWED,"强横向条带覆盖框下半部","与GT右移方向相容，尚需运动估计","近水平","下侧","强且紧致，局部接近饱和","竖线在车辆坐标中进一步靠近","上半部短亮段间歇出现","右端与固定背景的分离难度上升"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,341,REVIEWED,"强横向条带持续","与GT右移方向相容，尚需运动估计","近水平","下侧","强，宽度与内部纹理变化","竖线和右下弯折结构世界固定","框中心附近有短亮点","框下缘强响应可能包含旁瓣/背景混合"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,342,REVIEWED,"强横向条带持续","与GT右移方向相容，尚需运动估计","近水平","下侧","强，右端和下缘更亮","固定竖线接近框右侧","上半部出现较明显短亮段","上侧热点归属未决"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,343,REVIEWED,"强横向条带持续并伴随中心热点","与GT右移方向相容，尚需运动估计","近水平","下侧为主","强，内部出现局部峰值","竖线与右侧亮结点世界固定","框中上部热点增强","车辆响应与右侧结构开始更明显邻近"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,344,REVIEWED,"强横向条带持续","与GT右移方向相容，尚需运动估计","近水平","下侧","强，条带上方出现短亮纹理","固定竖线靠近GT邻域","上半部多段短亮结构","多分量响应，不能用单亮点代表"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,345,REVIEWED,"强横向条带持续","与GT右移方向相容，尚需运动估计","近水平","下侧","强，中心至右侧纹理变化明显","竖线与弯折背景保持世界位置","上半部短条带较明显","框外右侧高亮结构造成混合"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,346,REVIEWED,"强横向条带持续","与GT右移方向相容，尚需运动估计","近水平略倾斜","下侧","强，宽条带内部不均匀","竖线在车辆坐标中向中心方向滑动","框中部零散亮点","GT框角度变化和背景邻近共同影响外观"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,347,REVIEWED,"强横向条带持续","与GT右移方向相容，尚需运动估计","近水平略倾斜","下侧","强，右端局部增强","固定竖线已很接近GT框右部","上侧与右侧热点增加","进入明显混合前沿"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,348,REVIEWED,"强横向条带仍在","与GT右移方向相容但受背景混合","近水平","下侧","强，框内出现更多局部亮块","竖线及右侧复杂结构进入紧邻区域","上半部亮块更明显","优先视为车辆响应与世界背景混合区"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,349,REVIEWED,"下半部强条带仍可辨","与GT右移方向相容但受竖线穿越影响","近水平","下侧","强但被竖向结构切入","世界固定竖线穿过或紧贴框内左/中部","框内上侧短亮段持续","车辆/背景分离最困难帧之一"
GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,350,REVIEWED,"下半部强条带持续","与GT右移方向相容但受背景混合","近水平","下侧","强，条带与周围结构边界不清","固定竖线与右侧亮结构继续重叠邻近","框上侧局部亮块","不能由框内亮度直接完成归属"
