reveal_id,forward_case_id,scene,canonical_vehicle_id,split_role,optical_frame,sar_frame,gt_found,gt_quality,gt_identity_link,gt_theta_deg,gt_radius_px,gt_axis_deg,gt_long_axis_px,gt_short_axis_px,azimuth_covered,radius_covered,heading_covered,scale_covered,joint_center_covered,o2_shifted_control_excluded,rotated_90_control_excluded,same_size_wrong_radial_control_excluded,neighbor_swap_excluded,forward_area_reduction_fraction,reveal_state,failure_layer,scientific_interpretation
G1R0011,G1F0011,GM_RM019,GM_RM019:PV004,HELDOUT_CROSS_SCENE,166,346,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
G1R0012,G1F0012,GM_RM019,GM_RM019:PV004,HELDOUT_CROSS_SCENE,183,382,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
G1R0013,G1F0013,GM_RM011,GM_RM011:PV002,ADDITIONAL_STRESS_HELDOUT,0,0,true,usable,linked_detection_overlap_high,33.534936,213.989000,48.000000,145.119000,70.695000,true,true,true,true,true,false,false,false,true,0.000000,UNRESOLVED,forward_unbounded;o2_shifted_wrong_distance;same_size_wrong_radial;wrong_heading,GT revealed after byte-frozen forward intervals; forward file not modified
G1R0014,G1F0014,GM_RM011,GM_RM011:PV002,ADDITIONAL_STRESS_HELDOUT,2,5,true,usable,linked_detection_overlap_high,38.100724,229.354000,-29.000000,147.827000,78.740000,true,true,true,true,true,false,false,false,true,0.000000,UNRESOLVED,forward_unbounded;o2_shifted_wrong_distance;same_size_wrong_radial;wrong_heading,GT revealed after byte-frozen forward intervals; forward file not modified
G1R0015,G1F0015,GM_RM011,GM_RM011:PV002,ADDITIONAL_STRESS_HELDOUT,4,9,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
G1R0016,G1F0016,GM_RM011,GM_RM011:PV006,ADDITIONAL_STRESS_HELDOUT,110,230,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
G1R0017,G1F0017,GM_RM011,GM_RM011:PV006,ADDITIONAL_STRESS_HELDOUT,125,261,true,diagnostic_only,linked_detection_overlap_high,10.003139,136.429000,0.000000,185.464000,84.489000,true,true,true,true,true,true,false,false,true,0.000000,UNRESOLVED,forward_unbounded;same_size_wrong_radial;wrong_heading,GT revealed after byte-frozen forward intervals; forward file not modified
G1R0018,G1F0018,GM_RM011,GM_RM011:PV006,ADDITIONAL_STRESS_HELDOUT,140,292,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
G1R0019,G1F0019,GM_RM011,GM_RM011:PV007,ADDITIONAL_STRESS_HELDOUT,116,242,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
G1R0020,G1F0020,GM_RM011,GM_RM011:PV007,ADDITIONAL_STRESS_HELDOUT,134,280,true,diagnostic_only,linked_detection_overlap_high,-22.127108,193.977000,2.000000,190.707000,79.429000,true,true,true,true,true,true,true,false,true,0.000000,UNRESOLVED,forward_unbounded;same_size_wrong_radial,GT revealed after byte-frozen forward intervals; forward file not modified
G1R0021,G1F0021,GM_RM011,GM_RM011:PV007,ADDITIONAL_STRESS_HELDOUT,151,315,true,usable,linked_detection_overlap_high,43.076411,166.419000,9.000000,142.840000,70.111000,true,true,true,true,true,true,false,false,false,0.000000,UNRESOLVED,forward_unbounded;same_size_wrong_radial;wrong_heading;neighbor,GT revealed after byte-frozen forward intervals; forward file not modified
G1R0022,G1F0022,GM_RM011,GM_RM011:PV010,ADDITIONAL_STRESS_HELDOUT,211,440,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
G1R0023,G1F0023,GM_RM011,GM_RM011:PV010,ADDITIONAL_STRESS_HELDOUT,228,475,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
G1R0024,G1F0024,GM_RM011,GM_RM011:PV010,ADDITIONAL_STRESS_HELDOUT,245,511,false,missing_same_frame,unknown,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.000000,UNRESOLVED,missing_same_frame_GT,No GT interpolation or nearest-frame substitution was performed
