scene,failure_id,canonical_vehicle_id,frame_start,frame_end,failure_type,detector_sources,tracker_ids,p1c_global_vehicle_ids,visual_ground_truth,current_observation_behavior,identity_consequence,root_cause_layer,recommended_future_mechanism,severity,notes
GM_RM011,GM_RM011:P1E_F0015,,154,154,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0016,,197,197,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0017,,210,210,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0018,,216,217,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0019,,233,234,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0020,,239,242,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0021,,247,248,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0022,,250,250,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0023,,260,261,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0024,,267,270,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0025,,282,283,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0026,,305,306,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0027,,316,316,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0028,,341,341,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0029,,351,352,non_vehicle_detection,YOLO11l,,,Canonical frame state and full optical context.,YOLO11l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0030,,5,5,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0031,,19,19,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0032,,38,38,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0033,,143,143,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0034,,145,145,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0035,,154,154,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0036,,210,210,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0037,,216,216,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0038,,233,234,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0039,,237,239,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0040,,242,242,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0041,,250,250,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0042,,261,261,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0043,,270,270,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0044,,282,283,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0045,,305,305,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0046,,316,316,non_vehicle_detection,YOLO26l,,,Canonical frame state and full optical context.,YOLO26l produced non_vehicle_detection observations.,Stable false observations can create a false vehicle thread.,observation_entity,Vehicle-specific multi-frame objectness and background rejection.,high,
GM_RM011,GM_RM011:P1E_F0047,GM_RM011:PV001,2,3,only_partial_vehicle_box,YOLO11l,,GM_RM011:GV001,Canonical frame state and full optical context.,YOLO11l produced only_partial_vehicle_box observations.,Appearance and shape prototypes are contaminated by truncation.,observation_entity,Visibility-conditioned prototype admission and part-aware aggregation.,medium,
GM_RM011,GM_RM011:P1E_F0048,GM_RM011:PV001,5,5,only_partial_vehicle_box,YOLO11l,,GM_RM011:GV001,Canonical frame state and full optical context.,YOLO11l produced only_partial_vehicle_box observations.,Appearance and shape prototypes are contaminated by truncation.,observation_entity,Visibility-conditioned prototype admission and part-aware aggregation.,medium,
GM_RM011,GM_RM011:P1E_F0049,GM_RM011:PV001,7,11,only_partial_vehicle_box,YOLO11l,,GM_RM011:GV001,Canonical frame state and full optical context.,YOLO11l produced only_partial_vehicle_box observations.,Appearance and shape prototypes are contaminated by truncation.,observation_entity,Visibility-conditioned prototype admission and part-aware aggregation.,medium,
GM_RM011,GM_RM011:P1E_F0050,GM_RM011:PV001,0,1,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV001,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0051,GM_RM011:PV001,6,10,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV001,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0052,GM_RM011:PV001,12,16,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV001,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0053,GM_RM011:PV001,18,35,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV001,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0054,GM_RM011:PV001,9,15,same_vehicle_multiple_boxes,YOLO26l,,GM_RM011:GV001,Canonical frame state and full optical context.,YOLO26l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0055,GM_RM011:PV001,17,17,same_vehicle_multiple_boxes,YOLO26l,,GM_RM011:GV001,Canonical frame state and full optical context.,YOLO26l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0056,GM_RM011:PV002,4,4,mixed_subject_box,YOLO11l,,GM_RM011:GV002,Canonical frame state and full optical context.,YOLO11l produced mixed_subject_box observations.,One crop contains competing subjects and can cause identity mixture.,observation_entity,Multi-subject purity filtering before tracklet construction.,medium,
GM_RM011,GM_RM011:P1E_F0057,GM_RM011:PV002,0,4,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV002,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0058,GM_RM011:PV003,54,54,mixed_subject_box,YOLO26l,,GM_RM011:GV003,Canonical frame state and full optical context.,YOLO26l produced mixed_subject_box observations.,One crop contains competing subjects and can cause identity mixture.,observation_entity,Multi-subject purity filtering before tracklet construction.,medium,
GM_RM011,GM_RM011:P1E_F0059,GM_RM011:PV003,20,51,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV003,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0060,GM_RM011:PV003,55,55,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV003,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0061,GM_RM011:PV003,20,20,same_vehicle_multiple_boxes,YOLO26l,,GM_RM011:GV003,Canonical frame state and full optical context.,YOLO26l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0062,GM_RM011:PV003,23,30,same_vehicle_multiple_boxes,YOLO26l,,GM_RM011:GV003,Canonical frame state and full optical context.,YOLO26l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0063,GM_RM011:PV003,51,51,same_vehicle_multiple_boxes,YOLO26l,,GM_RM011:GV003,Canonical frame state and full optical context.,YOLO26l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0064,GM_RM011:PV004,39,45,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV004,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0065,GM_RM011:PV004,47,48,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV004,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0066,GM_RM011:PV004,50,55,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV004,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0067,GM_RM011:PV004,54,54,same_vehicle_multiple_boxes,YOLO26l,,GM_RM011:GV004,Canonical frame state and full optical context.,YOLO26l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0068,GM_RM011:PV005,110,111,mixed_subject_box,YOLO11l,,GM_RM011:GV005,Canonical frame state and full optical context.,YOLO11l produced mixed_subject_box observations.,One crop contains competing subjects and can cause identity mixture.,observation_entity,Multi-subject purity filtering before tracklet construction.,medium,
GM_RM011,GM_RM011:P1E_F0069,GM_RM011:PV005,126,127,mixed_subject_box,YOLO11l,,GM_RM011:GV005,Canonical frame state and full optical context.,YOLO11l produced mixed_subject_box observations.,One crop contains competing subjects and can cause identity mixture.,observation_entity,Multi-subject purity filtering before tracklet construction.,medium,
GM_RM011,GM_RM011:P1E_F0070,GM_RM011:PV005,130,130,mixed_subject_box,YOLO11l,,GM_RM011:GV005,Canonical frame state and full optical context.,YOLO11l produced mixed_subject_box observations.,One crop contains competing subjects and can cause identity mixture.,observation_entity,Multi-subject purity filtering before tracklet construction.,medium,
GM_RM011,GM_RM011:P1E_F0071,GM_RM011:PV005,87,109,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV005,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0072,GM_RM011:PV005,112,125,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV005,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0073,GM_RM011:PV005,97,97,same_vehicle_multiple_boxes,YOLO26l,,GM_RM011:GV005,Canonical frame state and full optical context.,YOLO26l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0074,GM_RM011:PV005,106,108,same_vehicle_multiple_boxes,YOLO26l,,GM_RM011:GV005,Canonical frame state and full optical context.,YOLO26l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0075,GM_RM011:PV006,110,110,mixed_subject_box,YOLO26l,,GM_RM011:GV006,Canonical frame state and full optical context.,YOLO26l produced mixed_subject_box observations.,One crop contains competing subjects and can cause identity mixture.,observation_entity,Multi-subject purity filtering before tracklet construction.,medium,
GM_RM011,GM_RM011:P1E_F0076,GM_RM011:PV006,118,123,mixed_subject_box,YOLO26l,,GM_RM011:GV006,Canonical frame state and full optical context.,YOLO26l produced mixed_subject_box observations.,One crop contains competing subjects and can cause identity mixture.,observation_entity,Multi-subject purity filtering before tracklet construction.,medium,
GM_RM011,GM_RM011:P1E_F0077,GM_RM011:PV006,126,130,mixed_subject_box,YOLO26l,,GM_RM011:GV006,Canonical frame state and full optical context.,YOLO26l produced mixed_subject_box observations.,One crop contains competing subjects and can cause identity mixture.,observation_entity,Multi-subject purity filtering before tracklet construction.,medium,
GM_RM011,GM_RM011:P1E_F0078,GM_RM011:PV006,114,115,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV006,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0079,GM_RM011:PV006,124,125,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV006,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0080,GM_RM011:PV006,131,133,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV006,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0081,GM_RM011:PV007,116,123,mixed_subject_box,YOLO11l,,GM_RM011:GV007,Canonical frame state and full optical context.,YOLO11l produced mixed_subject_box observations.,One crop contains competing subjects and can cause identity mixture.,observation_entity,Multi-subject purity filtering before tracklet construction.,medium,
GM_RM011,GM_RM011:P1E_F0082,GM_RM011:PV007,135,140,mixed_subject_box,YOLO11l,,GM_RM011:GV007,Canonical frame state and full optical context.,YOLO11l produced mixed_subject_box observations.,One crop contains competing subjects and can cause identity mixture.,observation_entity,Multi-subject purity filtering before tracklet construction.,medium,
GM_RM011,GM_RM011:P1E_F0083,GM_RM011:PV007,150,150,mixed_subject_box,YOLO11l,,GM_RM011:GV007,Canonical frame state and full optical context.,YOLO11l produced mixed_subject_box observations.,One crop contains competing subjects and can cause identity mixture.,observation_entity,Multi-subject purity filtering before tracklet construction.,medium,
GM_RM011,GM_RM011:P1E_F0084,GM_RM011:PV007,134,134,only_partial_vehicle_box,YOLO11l,,GM_RM011:GV007,Canonical frame state and full optical context.,YOLO11l produced only_partial_vehicle_box observations.,Appearance and shape prototypes are contaminated by truncation.,observation_entity,Visibility-conditioned prototype admission and part-aware aggregation.,medium,
GM_RM011,GM_RM011:P1E_F0085,GM_RM011:PV007,134,134,only_partial_vehicle_box,YOLO26l,,GM_RM011:GV007,Canonical frame state and full optical context.,YOLO26l produced only_partial_vehicle_box observations.,Appearance and shape prototypes are contaminated by truncation.,observation_entity,Visibility-conditioned prototype admission and part-aware aggregation.,medium,
GM_RM011,GM_RM011:P1E_F0086,GM_RM011:PV007,124,134,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV007,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0087,GM_RM011:PV007,141,149,same_vehicle_multiple_boxes,YOLO11l,,GM_RM011:GV007,Canonical frame state and full optical context.,YOLO11l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0088,GM_RM011:PV007,129,129,same_vehicle_multiple_boxes,YOLO26l,,GM_RM011:GV007,Canonical frame state and full optical context.,YOLO26l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0089,GM_RM011:PV007,131,132,same_vehicle_multiple_boxes,YOLO26l,,GM_RM011:GV007,Canonical frame state and full optical context.,YOLO26l produced same_vehicle_multiple_boxes observations.,Parallel observations can create redundant tracklets or source competition.,observation_entity,Same-frame observation grouping with one preferred subject observation.,medium,
GM_RM011,GM_RM011:P1E_F0090,GM_RM011:PV008,135,135,mixed_subject_box,YOLO11l,,GM_RM011:GV008,Canonical frame state and full optical context.,YOLO11l produced mixed_subject_box observations.,One crop contains competing subjects and can cause identity mixture.,observation_entity,Multi-subject purity filtering before tracklet construction.,medium,
GM_RM011,GM_RM011:P1E_F0091,GM_RM011:PV008,150,151,mixed_subject_box,YOLO11l,,GM_RM011:GV008,Canonical frame state and full optical context.,YOLO11l produced mixed_subject_box observations.,One crop contains competing subjects and can cause identity mixture.,observation_entity,Multi-subject purity filtering before tracklet construction.,medium,
