response_field_id,scene,canonical_vehicle_id,benchmark_role,input_tier,segment_id,sar_frame_index,sar_time_sec,source_gt_ids,source_gt_count,source_gt_quality_distribution,raw_anchor_center_x_px,raw_anchor_center_y_px,raw_anchor_width_px,raw_anchor_height_px,raw_anchor_angle_deg,smoothed_anchor_center_x_px,smoothed_anchor_center_y_px,smoothed_anchor_width_px,smoothed_anchor_height_px,smoothed_anchor_angle_deg,gt_center_spread_px,gt_size_spread_px,crop_expansion,raw_crop_polygon_global_px,smoothed_crop_polygon_global_px,global_roi_x1,global_roi_y1,global_roi_x2,global_roi_y2,radial_unit_x,radial_unit_y,tangential_unit_x,tangential_unit_y,raw_half_extent_radial_px,raw_half_extent_tangential_px,smoothed_half_extent_radial_px,smoothed_half_extent_tangential_px,thread_raw_p05,thread_raw_p50,thread_raw_p95,thread_raw_p99,local_background_median,local_background_mad,raw_min,raw_max,raw_mean,analysis_valid_mask_fraction,coordinate_inverse_error_px,raw_image_path,raw_image_sha256,low_threshold_component_count,multi_threshold_component_count,single_threshold_only_component_count,gt_is_vehicle_response_mask,lineage_status,notes
S1L-FIELD-GM_RM011-GM_RM011_PV001-000011,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,11,0.220000000,GM_RM011|000011|GM_RM011|000011.png|000005.png|1|O1:car:0.84,1,gold:1,1148.642000,1245.802000,129.942000,63.440000,172.000000,1151.009500,1244.802000,129.942000,63.440000,172.000000,0.000000,0.000000,1.750000,"1035.304,1317.131;1270.057,1302.298;1261.980,1174.473;1027.227,1189.306","1034.537,1316.000;1272.156,1307.718;1267.482,1173.604;1029.863,1181.886",1023,1169,1278,1323,-0.063060,-0.998010,0.998010,-0.063060,36.594177,67.205909,38.341546,67.932390,0.000000,50.000000,108.000000,144.000000,45.000000,13.000000,0,251,50.038298,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000011.png,b9542c1e7711e0a2098feea35c3d7cefbf92a5f2829e279f8d7d169b7b3172bf,13,5,8,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000012,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,12,0.240000000,GM_RM011|000012|GM_RM011|000012.png|000006.png|1|O1:car:0.21;GM_RM011|000012|GM_RM011|000012.png|000006.png|2|O2:car:0.76,2,usable:2,1151.009500,1245.183500,129.137500,63.143500,169.500000,1151.009500,1245.183500,129.942000,63.440000,170.000000,2.118867,0.857399,1.750000,"1033.662,1320.672;1273.350,1312.280;1268.357,1169.695;1028.669,1178.087","1033.245,1320.134;1273.727,1311.715;1268.774,1170.233;1028.292,1178.652",1024,1165,1279,1326,-0.034989,-0.999388,0.999388,-0.034989,40.763553,68.524246,40.448228,68.751287,0.000000,50.000000,108.000000,144.000000,48.000000,21.000000,0,255,54.271543,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000012.png,a8da5aa3b483239b3ee76ca5b30c48979acc6f242ee27a9b7030856b5df54f45,15,6,9,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000013,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,13,0.260000000,GM_RM011|000013|GM_RM011|000013.png|000006.png|1|O1:car:0.21;GM_RM011|000013|GM_RM011|000013.png|000006.png|2|O2:car:0.76,2,usable:2,1152.009500,1244.183500,131.637500,66.643500,170.000000,1152.009500,1245.802000,131.637500,64.143500,169.500000,2.409688,4.109031,1.750000,"1031.105,1322.017;1276.369,1316.368;1272.914,1166.350;1027.650,1171.999","1031.128,1322.397;1276.352,1316.641;1272.891,1169.207;1027.667,1174.963",1023,1162,1282,1328,-0.023028,-0.999735,0.999735,-0.023028,42.873784,70.093927,42.135644,70.083199,0.000000,50.000000,108.000000,144.000000,46.000000,23.000000,0,249,51.623200,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000013.png,a5f624965a1b7c10553480904b00d9b7b16b6e1987303e114182eff9ce8c9401,11,6,5,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000014,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,14,0.280000000,GM_RM011|000014|GM_RM011|000014.png|000007.png|1|O1:car:0.76;GM_RM011|000014|GM_RM011|000014.png|000007.png|2|O2:car:0.31,2,usable:2,1152.009500,1247.683500,131.637500,64.143500,168.000000,1152.009500,1247.683500,131.637500,64.143500,169.500000,0.386133,3.761866,1.750000,"1030.322,1327.027;1277.364,1321.097;1273.697,1168.340;1026.655,1174.270","1031.187,1324.287;1276.368,1318.401;1272.832,1171.080;1027.651,1176.966",1022,1164,1283,1333,-0.023999,-0.999712,0.999712,-0.023999,43.657299,70.603684,42.103788,70.071909,0.000000,50.000000,108.000000,144.000000,46.000000,32.000000,0,255,50.853703,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000014.png,094f604a0725f7f9ca8892780e64b06862a4858ee6111bfb8c239b8bde0b6bee,10,6,4,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000015,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,15,0.300000000,GM_RM011|000015|GM_RM011|000015.png|000007.png|1|O1:car:0.76;GM_RM011|000015|GM_RM011|000015.png|000007.png|2|O2:car:0.31,2,usable:2,1152.009500,1247.683500,131.637500,64.143500,168.000000,1152.009500,1247.683500,131.637500,64.143500,170.000000,0.386133,3.761866,1.750000,"1030.322,1327.027;1277.364,1321.097;1273.697,1168.340;1026.655,1174.270","1031.494,1323.362;1276.018,1317.492;1272.525,1172.005;1028.001,1177.875",1022,1164,1283,1333,-0.023999,-0.999712,0.999712,-0.023999,43.657299,70.603684,41.579491,69.884104,0.000000,50.000000,108.000000,144.000000,40.000000,26.000000,0,244,43.842895,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000015.png,b00d3e87ff1a4377abc7b8fa2cb6314eff1aa984b7b8eeecc0b9cc1700a6296c,13,5,8,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000016,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,16,0.320000000,GM_RM011|000016|GM_RM011|000016.png|000008.png|1|O1:car:0.36;GM_RM011|000016|GM_RM011|000016.png|000008.png|2|O2:car:0.72,2,usable:2,1155.509500,1249.183500,131.637500,64.143500,170.000000,1155.509500,1248.565000,131.637500,64.143500,170.000000,0.632533,3.761866,1.750000,"1030.288,1324.058;1277.869,1328.649;1280.731,1174.309;1033.150,1169.718","1030.304,1323.443;1277.876,1327.999;1280.715,1173.687;1033.143,1169.131",1026,1165,1286,1334,0.018537,-0.999828,0.999828,0.018537,44.104759,70.749609,44.096622,70.746975,0.000000,50.000000,108.000000,144.000000,41.000000,31.000000,0,253,45.235274,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000016.png,10f7e8cc3a566ee563a1bba8494bc8ca36ccadcb571d25293cf7201d48c09049,16,7,9,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000017,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,17,0.340000000,GM_RM011|000017|gm_rm011_00013;GM_RM011|000017|GM_RM011|000017.png|000008.png|1|O1:car:0.36;GM_RM011|000017|GM_RM011|000017.png|000008.png|2|O2:car:0.72,3,usable:3,1156.377000,1248.565000,130.160000,64.847000,170.666546,1156.377000,1248.683500,131.637500,64.847000,170.666546,5.038151,5.173000,1.750000,"1031.566,1322.399;1276.703,1329.502;1281.188,1174.731;1036.051,1167.628","1030.286,1322.726;1277.963,1329.913;1282.468,1174.641;1034.791,1167.454",1026,1163,1288,1334,0.028963,-0.999580,0.999580,0.028963,44.238831,70.068668,44.382063,70.794705,0.000000,50.000000,108.000000,144.000000,40.000000,31.000000,0,255,44.328718,1.000000,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000017.png,dd022e9b80945618b7fb0011e5929f0b4904b6e00e410fc3a09f6c682044614f,17,7,10,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000018,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,18,0.360000000,GM_RM011|000018|GM_RM011|000018.png|000009.png|1|O1:car:0.66;GM_RM011|000018|GM_RM011|000018.png|000009.png|2|O2:car:0.51,2,usable:2,1165.009500,1248.683500,132.637500,65.143500,173.500000,1165.009500,1249.183500,132.080000,65.143500,172.667089,1.372625,2.711758,1.750000,"1028.521,1314.742;1279.213,1348.435;1301.498,1182.625;1050.806,1148.932","1028.356,1316.506;1278.875,1350.382;1301.663,1181.861;1051.144,1147.985",1024,1143,1307,1334,0.133201,-0.991089,0.991089,0.133201,47.800444,72.270422,48.587098,72.228407,0.000000,50.000000,108.000000,144.000000,43.000000,32.000000,0,250,45.646091,0.989848,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000018.png,8204e4fcca53e2465d7030d131012a45ee63659c1063b4ee83f7183af64baf2c,20,9,11,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000019,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,19,0.380000000,GM_RM011|000019|gm_rm011_00014;GM_RM011|000019|GM_RM011|000019.png|000009.png|1|O1:car:0.66;GM_RM011|000019|GM_RM011|000019.png|000009.png|2|O2:car:0.51,3,usable:3,1166.377000,1249.802000,132.080000,65.440000,172.667089,1166.377000,1249.565000,132.080000,65.143500,173.500000,5.438159,3.306608,1.750000,"1027.779,1316.552;1278.638,1354.980;1304.975,1183.052;1054.116,1144.624","1028.485,1314.774;1278.516,1352.963;1304.269,1184.356;1054.238,1146.167",1023,1140,1310,1334,0.151418,-0.988470,0.988470,0.151418,49.695517,72.510278,48.731985,72.265798,0.000000,50.000000,108.000000,144.000000,48.000000,38.000000,0,253,51.605885,0.988919,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000019.png,edecddc6049e1ddce63bd5b4bd99c945e41007de5fe215f637e6e0b044eaef7d,17,7,10,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000020,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,20,0.400000000,GM_RM011|000020|GM_RM011|000020.png|000010.png|1|O1:car:0.65;GM_RM011|000020|GM_RM011|000020.png|000010.png|2|O2:car:0.45,2,usable:2,1167.009500,1249.683500,132.637500,65.143500,174.000000,1167.009500,1249.683500,132.637500,65.143500,173.666546,0.643505,2.711758,1.750000,"1028.161,1313.779;1278.770,1354.071;1305.858,1185.588;1055.249,1145.296","1027.931,1314.313;1278.821,1354.650;1306.088,1185.054;1055.198,1144.717",1023,1140,1312,1334,0.158738,-0.987321,0.987321,0.158738,48.756177,72.522332,49.078346,72.603302,0.000000,50.000000,108.000000,144.000000,51.000000,37.000000,0,249,53.594193,0.989584,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000020.png,bfd1ca3ae964522a6b2a5c74b3a5ef6ecca3605fbb406978e653675e9d46c857,15,6,9,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000021,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,21,0.420000000,GM_RM011|000021|gm_rm011_00015;GM_RM011|000021|GM_RM011|000021.png|000010.png|1|O1:car:0.65;GM_RM011|000021|GM_RM011|000021.png|000010.png|2|O2:car:0.45,3,usable:3,1169.642000,1249.565000,131.080000,65.440000,173.666546,1168.377000,1249.802000,132.080000,65.143500,173.666546,3.314264,5.080000,1.750000,"1028.603,1312.688;1277.055,1360.647;1310.681,1186.442;1062.229,1138.483","1028.068,1313.557;1278.082,1358.044;1308.686,1186.047;1058.672,1141.560",1024,1134,1316,1334,0.189529,-0.981875,0.981875,0.189529,50.691650,72.296721,49.913993,72.554553,0.000000,50.000000,108.000000,144.000000,55.000000,40.000000,0,248,58.307621,0.989156,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000021.png,6177064c9a336c2903e21f12304204211ae0370f623fee13add89b64f1ae6376,14,8,6,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000022,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,22,0.440000000,GM_RM011|000022|GM_RM011|000022.png|000011.png|1|O1:car:0.47;GM_RM011|000022|GM_RM011|000022.png|000011.png|2|O2:car:0.65,2,usable:2,1169.509500,1250.183500,132.637500,65.143500,174.000000,1169.009500,1250.183500,132.637500,65.143500,174.000000,1.195031,2.711758,1.750000,"1027.474,1312.721;1278.099,1361.058;1311.545,1187.646;1060.920,1139.309","1027.581,1313.037;1278.242,1359.822;1310.438,1187.330;1059.777,1140.545",1023,1135,1317,1334,0.189375,-0.981905,0.981905,0.189375,50.459531,72.926726,50.134712,72.854203,0.000000,50.000000,108.000000,144.000000,58.000000,43.000000,0,250,60.835967,0.988946,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000022.png,2d01b9ef7fa846a15aff025d74727026e381dae78c853223e6290cb194c07384,10,7,3,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
S1L-FIELD-GM_RM011-GM_RM011_PV001-000023,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,23,0.460000000,GM_RM011|000023|gm_rm011_00016;GM_RM011|000023|GM_RM011|000023.png|000011.png|1|O1:car:0.47;GM_RM011|000023|GM_RM011|000023.png|000011.png|2|O2:car:0.65,3,usable:3,1168.377000,1250.461000,129.942000,64.847000,173.666546,1169.509500,1250.183500,131.080000,65.143500,173.666546,1.739000,5.391000,1.750000,"1029.899,1313.706;1276.234,1357.899;1306.855,1187.216;1060.520,1143.023","1028.609,1313.087;1276.911,1360.975;1310.410,1187.280;1062.108,1139.392",1024,1135,1316,1334,0.176582,-0.984286,0.984286,0.176582,49.544943,71.505197,50.541742,72.250874,0.000000,50.000000,108.000000,144.000000,55.000000,40.000000,0,253,58.446333,0.989018,0.000000,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000023.png,2e2159567205880f35c6ae3ede4196dc99d48e54474ef2ba44daf6e25acb6d8a,15,7,8,false,INDEX_ALIGNED_DISPLAY_DERIVATION_SUPPORTED,all original GT rows retained as anchor evidence; field reconstructed once per unique vehicle/frame
