temporal_event_id,scene,canonical_vehicle_id,benchmark_role,input_tier,segment_id,sar_frame_from,sar_frame_to,frame_gap,event_type,source_observation_ids,target_observation_ids,global_displacement_px,raw_local_displacement_px,smoothed_local_displacement_px,relative_intensity_change,shape_change,correspondence_cost,threshold_support_count,global_coordinate_supported,raw_gt_local_supported,smoothed_gt_local_supported,crop_or_gt_jitter_artifact,threshold_artifact,background_like,major_event,notes
S1L-EVT-0000034,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,12,13,1,stable_persistence,S1L-OBS-0000108,S1L-OBS-0000122,0.948819,1.860805,2.461430,0.011942,0.060625,0.056302,3,true,true,true,false,false,false,true,
S1L-EVT-0000035,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,12,13,1,stable_persistence,S1L-OBS-0000109,S1L-OBS-0000123,1.091345,1.420477,0.247021,0.005080,0.110610,0.053388,3,true,true,true,false,false,false,true,
S1L-EVT-0000036,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,12,13,1,stable_persistence,S1L-OBS-0000110,S1L-OBS-0000124,5.079613,7.523008,5.927547,-0.021316,0.502407,0.381482,2,true,true,true,false,false,false,true,
S1L-EVT-0000037,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,12,13,1,stable_persistence,S1L-OBS-0000114,S1L-OBS-0000126,3.151308,4.209230,3.756589,-0.027985,0.219322,0.154253,3,true,true,true,false,false,false,true,
S1L-EVT-0000038,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,12,13,1,stable_persistence,S1L-OBS-0000116,S1L-OBS-0000128,1.398187,3.074616,1.893937,-0.025074,0.071176,0.063017,2,true,true,true,false,false,false,true,
S1L-EVT-0000039,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,13,14,1,stable_persistence,S1L-OBS-0000122,S1L-OBS-0000130,1.291890,4.768182,3.159193,0.029294,0.037140,0.086190,3,true,true,true,false,false,false,true,
S1L-EVT-0000040,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,13,14,1,stable_persistence,S1L-OBS-0000123,S1L-OBS-0000131,0.782937,3.078198,1.516661,-0.006397,0.107113,0.064025,3,true,true,true,false,false,false,true,
S1L-EVT-0000041,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,13,14,1,stable_persistence,S1L-OBS-0000124,S1L-OBS-0000132,7.503317,4.171162,5.669583,-0.006315,0.029501,0.137616,2,true,true,true,false,false,false,true,
S1L-EVT-0000042,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,13,14,1,stable_persistence,S1L-OBS-0000126,S1L-OBS-0000135,0.056153,3.477240,1.860272,0.005571,0.033053,0.038963,3,true,true,true,false,false,false,true,
S1L-EVT-0000043,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,13,14,1,stable_persistence,S1L-OBS-0000128,S1L-OBS-0000137,1.935091,1.683672,0.369424,0.010401,0.086328,0.095286,2,true,true,true,false,false,false,true,
S1L-EVT-0000044,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,14,15,1,stable_persistence,S1L-OBS-0000130,S1L-OBS-0000143,2.728089,2.728089,2.728089,-0.047384,0.510826,0.337622,2,true,true,true,false,false,false,true,
S1L-EVT-0000045,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,14,15,1,stable_persistence,S1L-OBS-0000131,S1L-OBS-0000144,3.519578,3.519578,3.519578,-0.024466,0.554376,0.259814,3,true,true,true,false,false,false,true,
S1L-EVT-0000046,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,14,15,1,stable_persistence,S1L-OBS-0000135,S1L-OBS-0000149,13.344548,13.344548,13.344548,-0.023281,1.068320,0.621403,3,true,true,true,false,false,false,true,
S1L-EVT-0000047,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,14,15,1,unresolved_correspondence,S1L-OBS-0000137,S1L-OBS-0000146,70.634258,70.634258,70.634258,-0.008372,0.330007,1.529928,2,true,true,true,false,false,false,true,
S1L-EVT-0000048,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,14,15,1,death,S1L-OBS-0000132,,,,,,,,2,false,true,true,false,false,false,true,
S1L-EVT-0000049,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,15,16,1,global_motion_consistent,S1L-OBS-0000143,S1L-OBS-0000154,5.698546,2.613332,2.059169,-0.008739,0.026668,0.083259,2,true,true,true,false,false,false,true,
S1L-EVT-0000050,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,15,16,1,global_motion_consistent,S1L-OBS-0000144,S1L-OBS-0000155,2.323179,2.265147,2.057737,0.022235,0.188401,0.104655,3,true,true,true,false,false,false,true,
S1L-EVT-0000051,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,15,16,1,global_motion_consistent,S1L-OBS-0000146,S1L-OBS-0000166,7.453980,3.550589,3.963910,0.042122,0.698567,0.356069,3,true,true,true,false,false,false,true,
S1L-EVT-0000052,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,15,16,1,global_motion_consistent,S1L-OBS-0000149,S1L-OBS-0000163,1.416072,1.857668,1.401865,0.011091,0.343027,0.162248,3,true,true,true,false,false,false,true,
S1L-EVT-0000053,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,15,16,1,birth,,S1L-OBS-0000160,,,,,,,2,false,true,true,false,false,false,true,
S1L-EVT-0000054,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,15,16,1,birth,,S1L-OBS-0000162,,,,,,,2,false,true,true,false,false,false,true,
S1L-EVT-0000055,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,16,17,1,stable_persistence,S1L-OBS-0000154,S1L-OBS-0000173,5.305620,4.250596,4.091576,0.002377,0.035718,0.098575,2,true,true,true,false,false,false,true,
S1L-EVT-0000056,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,16,17,1,stable_persistence,S1L-OBS-0000155,S1L-OBS-0000174,4.140212,3.101456,3.053956,-0.018148,0.077709,0.091959,3,true,true,true,false,false,false,true,
S1L-EVT-0000057,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,16,17,1,unresolved_correspondence,S1L-OBS-0000160,S1L-OBS-0000172,113.859605,114.403461,114.689190,0.002101,0.194156,2.163781,2,true,true,true,false,false,false,true,
S1L-EVT-0000058,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,16,17,1,stable_persistence,S1L-OBS-0000162,S1L-OBS-0000181,2.146665,3.339633,2.659046,0.005481,0.159065,0.122256,2,true,true,true,false,false,false,true,
S1L-EVT-0000059,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,16,17,1,stable_persistence,S1L-OBS-0000163,S1L-OBS-0000183,2.517465,2.203962,1.919951,0.001196,0.117329,0.089604,3,true,true,true,false,false,false,true,
S1L-EVT-0000060,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,16,17,1,stable_persistence,S1L-OBS-0000166,S1L-OBS-0000184,3.955749,3.429435,3.191248,-0.019914,0.245122,0.248423,2,true,true,true,false,false,false,true,
S1L-EVT-0000061,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,17,18,1,unresolved_correspondence,S1L-OBS-0000172,S1L-OBS-0000195,33.501873,47.823941,47.592968,0.102634,0.336472,0.922275,2,true,true,true,false,false,false,true,
S1L-EVT-0000062,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,17,18,1,global_motion_consistent,S1L-OBS-0000173,S1L-OBS-0000190,6.672684,5.212315,5.406863,0.022874,0.293761,0.164239,2,true,true,true,false,false,false,true,
S1L-EVT-0000063,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,17,18,1,global_motion_consistent,S1L-OBS-0000174,S1L-OBS-0000191,3.347693,7.580434,7.568680,0.001443,0.027652,0.094387,3,true,true,true,false,false,false,true,
S1L-EVT-0000064,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,17,18,1,global_motion_consistent,S1L-OBS-0000181,S1L-OBS-0000198,4.217998,11.227972,10.955317,0.034065,0.216223,0.170655,2,true,true,true,false,false,false,true,
S1L-EVT-0000065,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,17,18,1,stable_persistence,S1L-OBS-0000183,S1L-OBS-0000201,2.036994,4.504634,4.534546,0.014785,0.057498,0.143859,3,true,true,true,false,false,false,true,
S1L-EVT-0000066,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,17,18,1,global_motion_consistent,S1L-OBS-0000184,S1L-OBS-0000202,6.978188,4.211924,4.615361,-0.013446,0.200671,0.333650,2,true,true,true,false,false,false,true,
S1L-EVT-0000067,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,17,18,1,birth,,S1L-OBS-0000196,,,,,,,2,false,true,true,false,false,false,true,
S1L-EVT-0000068,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,17,18,1,dominant_component_switch,S1L-OBS-0000183,S1L-OBS-0000198,101.735386,107.702235,107.733337,0.022443,2.610886,3.008406,2,true,true,true,false,false,false,true,
S1L-EVT-0000069,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,18,19,1,stable_persistence,S1L-OBS-0000190,S1L-OBS-0000211,4.831931,2.934850,2.902035,-0.012621,0.397302,0.312980,2,true,true,true,false,false,false,true,
S1L-EVT-0000070,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,18,19,1,stable_persistence,S1L-OBS-0000191,S1L-OBS-0000210,5.877080,6.915569,7.244847,0.023117,0.873573,0.429219,3,true,true,true,false,false,false,true,
S1L-EVT-0000071,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,18,19,1,stable_persistence,S1L-OBS-0000198,S1L-OBS-0000216,27.822905,26.583474,26.524460,0.000450,0.245122,0.690735,2,true,true,true,false,false,false,true,
S1L-EVT-0000072,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,18,19,1,stable_persistence,S1L-OBS-0000201,S1L-OBS-0000217,15.806489,15.087252,14.872248,-0.029157,0.770964,0.534850,3,true,true,true,false,false,false,true,
S1L-EVT-0000073,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,18,19,1,unresolved_correspondence,S1L-OBS-0000202,S1L-OBS-0000219,75.047317,76.082845,76.106616,-0.022253,0.250051,1.594025,2,true,true,true,false,false,false,true,
S1L-EVT-0000074,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,18,19,1,death,S1L-OBS-0000195,,,,,,,,2,false,true,true,false,false,false,true,
S1L-EVT-0000075,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,18,19,1,death,S1L-OBS-0000196,,,,,,,,2,false,true,true,false,false,false,true,
S1L-EVT-0000076,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,19,20,1,stable_persistence,S1L-OBS-0000210,S1L-OBS-0000227,2.280883,1.579899,1.520882,0.007877,0.121361,0.075222,3,true,true,true,false,false,false,true,
S1L-EVT-0000077,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,19,20,1,stable_persistence,S1L-OBS-0000211,S1L-OBS-0000228,4.921507,4.088072,4.035401,-0.030127,0.239673,0.277340,2,true,true,true,false,false,false,true,
S1L-EVT-0000078,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,19,20,1,stable_persistence,S1L-OBS-0000216,S1L-OBS-0000233,4.153129,3.340090,3.403795,-0.009552,0.553385,0.270220,3,true,true,true,false,false,false,true,
S1L-EVT-0000079,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,19,20,1,stable_persistence,S1L-OBS-0000217,S1L-OBS-0000234,3.211630,3.633159,3.697722,-0.022574,0.259893,0.169016,3,true,true,true,false,false,false,true,
S1L-EVT-0000080,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,19,20,1,death,S1L-OBS-0000219,,,,,,,,2,false,true,true,false,false,false,true,
S1L-EVT-0000081,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,20,21,1,stable_persistence,S1L-OBS-0000227,S1L-OBS-0000241,1.183311,2.909457,1.397152,0.030699,0.147405,0.076193,3,true,true,true,false,false,false,true,
S1L-EVT-0000082,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,20,21,1,stable_persistence,S1L-OBS-0000228,S1L-OBS-0000242,2.357395,1.832131,1.293303,0.020254,0.207639,0.152342,2,true,true,true,false,false,false,true,
S1L-EVT-0000083,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,20,21,1,stable_persistence,S1L-OBS-0000233,S1L-OBS-0000247,2.260007,3.011853,1.768687,0.042571,0.661398,0.267469,3,true,true,true,false,false,false,true,
S1L-EVT-0000084,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,20,21,1,stable_persistence,S1L-OBS-0000234,S1L-OBS-0000248,2.394110,1.014329,1.628541,0.013719,0.315638,0.148225,3,true,true,true,false,false,false,true,
S1L-EVT-0000085,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,21,22,1,unresolved_correspondence,S1L-OBS-0000241,S1L-OBS-0000254,90.427241,90.402295,91.225147,-0.132862,3.240130,2.924844,2,true,true,true,false,false,false,true,
S1L-EVT-0000086,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,21,22,1,stable_persistence,S1L-OBS-0000242,S1L-OBS-0000256,3.076974,3.396300,2.549269,-0.004453,0.085942,0.088297,2,true,true,true,false,false,false,true,
S1L-EVT-0000087,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,21,22,1,stable_persistence,S1L-OBS-0000247,S1L-OBS-0000260,2.512847,2.725172,1.968752,-0.024501,0.264843,0.133054,3,true,true,true,false,false,false,true,
S1L-EVT-0000088,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,21,22,1,stable_persistence,S1L-OBS-0000248,S1L-OBS-0000255,15.245353,15.754848,15.762456,0.028550,0.669820,0.540758,3,true,true,true,false,false,false,true,
S1L-EVT-0000089,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,22,23,1,stable_persistence,S1L-OBS-0000254,S1L-OBS-0000263,3.590242,5.749535,2.737054,0.022205,0.251314,0.180978,2,true,true,true,false,false,false,true,
S1L-EVT-0000090,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,22,23,1,stable_persistence,S1L-OBS-0000255,S1L-OBS-0000265,5.502531,4.869811,5.722625,-0.016261,0.416558,0.273750,3,true,true,true,false,false,false,true,
S1L-EVT-0000091,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,22,23,1,stable_persistence,S1L-OBS-0000256,S1L-OBS-0000264,31.661995,30.203868,32.298636,0.096271,1.657668,1.339725,2,true,true,true,false,false,false,true,
S1L-EVT-0000092,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,22,23,1,stable_persistence,S1L-OBS-0000260,S1L-OBS-0000273,2.185800,2.829135,2.219471,-0.021161,0.381014,0.169931,3,true,true,true,false,false,false,true,
S1L-EVT-0000093,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,22,23,1,dominant_component_switch,S1L-OBS-0000260,S1L-OBS-0000264,98.204690,99.636893,97.604673,-0.009189,0.792051,2.133566,3,true,true,true,false,false,false,true,
S1L-EVT-0000094,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,23,24,1,stable_persistence,S1L-OBS-0000263,S1L-OBS-0000287,28.173612,29.065358,27.655816,0.010198,0.496437,0.675181,2,true,true,true,false,false,false,true,
S1L-EVT-0000095,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,23,24,1,stable_persistence,S1L-OBS-0000264,S1L-OBS-0000284,1.931193,2.249319,1.699614,-0.024945,0.802002,0.360708,3,true,true,true,false,false,false,true,
S1L-EVT-0000096,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,23,24,1,stable_persistence,S1L-OBS-0000265,S1L-OBS-0000290,17.159814,17.637044,16.998101,0.012985,1.830638,1.141711,3,true,true,true,false,false,false,true,
S1L-EVT-0000097,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,23,24,1,stable_persistence,S1L-OBS-0000273,S1L-OBS-0000289,4.504551,3.617477,5.148805,0.004953,0.650588,0.327760,3,true,true,true,false,false,false,true,
S1L-EVT-0000098,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,23,24,1,merge,S1L-OBS-0000264;S1L-OBS-0000265,S1L-OBS-0000290,53.675457,54.233668,53.429570,-0.020175,0.079296,1.134479,3,true,true,true,false,false,false,true,
S1L-EVT-0000099,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,23,24,1,birth,,S1L-OBS-0000286,,,,,,,3,false,true,true,false,false,false,true,
S1L-EVT-0000100,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,23,24,1,birth,,S1L-OBS-0000291,,,,,,,3,false,true,true,false,false,false,true,
S1L-EVT-0000101,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,23,24,1,birth,,S1L-OBS-0000293,,,,,,,2,false,true,true,false,false,false,true,
S1L-EVT-0000102,GM_RM011,GM_RM011:PV001,development,A,S0MV-GM_RM011-PV001-SEG01,23,24,1,birth,,S1L-OBS-0000295,,,,,,,2,false,true,true,false,false,false,true,
