case_id,frame,coordinate_family,channel,formula,high_value_semantics,skeleton_count,skeleton_median_raw,background_median_raw,vertical_line_median_raw,fan_arc_median_raw,clutter_median_raw,unresolved_median_raw,black_or_transform_border_median_raw,weak_frame_skeleton_median_raw,strong_frame_skeleton_median_raw,name_matches_formula,evidence_card
PV002_337_341,339,RAW_SAR_DISPLAY,tangential_gradient_normal_response,abs(grad(I) dot tangential_unit),gradient normal component along the fan tangential direction; high on edges locally radial from the fan origin,1477,20.066917419,20.575607300,20.083513260,19.581327438,25.985328674,25.243801117,,18.151230812,21.020992279,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\tangential_gradient_normal_response.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_w2_median,per-pixel median over the selected aligned stack window,per-pixel median over the selected aligned stack window,1477,50.000000000,50.000000000,50.000000000,48.000000000,55.000000000,57.000000000,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_w2_median.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_w2_max,per-pixel maximum over the selected aligned stack window,per-pixel maximum over the selected aligned stack window,1477,60.000000000,60.000000000,60.000000000,59.000000000,78.000000000,76.000000000,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_w2_max.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_w2_min,per-pixel minimum over the selected aligned stack window,per-pixel minimum over the selected aligned stack window,1477,39.000000000,39.000000000,39.000000000,38.000000000,40.500000000,43.000000000,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_w2_min.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_w2_mad,per-pixel median absolute deviation over the selected aligned stack window,per-pixel median absolute deviation over the selected aligned stack window,1477,5.000000000,5.000000000,5.000000000,5.000000000,8.000000000,7.000000000,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_w2_mad.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_w2_gradient_persistence,absolute mean x-gradient sign times mean x-gradient magnitude,absolute mean x-gradient sign times mean x-gradient magnitude,1477,6.039999962,6.280000210,6.360000134,5.639999866,7.880000114,8.000000000,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_w2_gradient_persistence.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_w2_high_intensity_pixel_frequency,fraction of valid frames where the pixel exceeds that frame's valid-fan 80th percentile,fraction of valid frames where the pixel exceeds that frame's valid-fan 80th percentile,1477,0.400000006,0.400000006,0.400000006,0.400000006,0.600000024,0.600000024,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_w2_high_intensity_pixel_frequency.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_w2_legacy_per_pixel_rank_frequency,fraction of frames above the pixel's own temporal 75th percentile; historical diagnostic only,fraction of frames above the pixel's own temporal 75th percentile; historical diagnostic only,1477,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_w2_legacy_per_pixel_rank_frequency.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_adjacent_positive_change,"max(I_t-I_tminus1,0)","max(I_t-I_tminus1,0)",1477,8.000000000,7.000000000,8.000000000,7.000000000,10.500000000,10.000000000,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_adjacent_positive_change.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_adjacent_negative_change,"max(I_tminus1-I_t,0)","max(I_tminus1-I_t,0)",1477,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_adjacent_negative_change.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_w4_median,per-pixel median over the selected aligned stack window,per-pixel median over the selected aligned stack window,1477,50.000000000,50.000000000,50.000000000,48.000000000,55.000000000,57.000000000,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_w4_median.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_w4_max,per-pixel maximum over the selected aligned stack window,per-pixel maximum over the selected aligned stack window,1477,60.000000000,60.000000000,60.000000000,59.000000000,78.000000000,76.000000000,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_w4_max.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_w4_min,per-pixel minimum over the selected aligned stack window,per-pixel minimum over the selected aligned stack window,1477,39.000000000,39.000000000,39.000000000,38.000000000,40.500000000,43.000000000,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_w4_min.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_w4_mad,per-pixel median absolute deviation over the selected aligned stack window,per-pixel median absolute deviation over the selected aligned stack window,1477,5.000000000,5.000000000,5.000000000,5.000000000,8.000000000,7.000000000,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_w4_mad.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_w4_gradient_persistence,absolute mean x-gradient sign times mean x-gradient magnitude,absolute mean x-gradient sign times mean x-gradient magnitude,1477,6.039999962,6.280000210,6.360000134,5.639999866,7.880000114,8.000000000,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_w4_gradient_persistence.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_w4_high_intensity_pixel_frequency,fraction of valid frames where the pixel exceeds that frame's valid-fan 80th percentile,fraction of valid frames where the pixel exceeds that frame's valid-fan 80th percentile,1477,0.400000006,0.400000006,0.400000006,0.400000006,0.600000024,0.600000024,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_w4_high_intensity_pixel_frequency.png
PV002_337_341,339,RAW_SAR_DISPLAY,temporal_w4_legacy_per_pixel_rank_frequency,fraction of frames above the pixel's own temporal 75th percentile; historical diagnostic only,fraction of frames above the pixel's own temporal 75th percentile; historical diagnostic only,1477,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\RAW_SAR_DISPLAY\temporal_w4_legacy_per_pixel_rank_frequency.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,raw_display_intensity,I,high displayed grayscale intensity; not a unique scatterer or vehicle centre,1477,52.000000000,53.000000000,53.000000000,51.000000000,59.000000000,60.000000000,0.000000000,44.000000000,53.000000000,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\raw_display_intensity.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,local_contrast_31,I - boxmean_31(I),brighter than the 31x31 local mean,1477,-0.139438629,-1.210197449,-1.838710785,-1.316337585,-0.165973663,-0.930282593,-5.000000000,-0.335067749,-0.231010437,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\local_contrast_31.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,local_z_31,(I - boxmean_31(I)) / local_std_31(I),positive local standardized brightness anomaly,1477,-0.014000726,-0.115407497,-0.159996241,-0.132761061,-0.018376712,-0.073456317,-0.393267810,-0.046857934,-0.028593201,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\local_z_31.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,highpass_sigma9,I - GaussianSigma9(I),fine structure brighter than a sigma-9 smooth background,1477,-0.389957428,-1.158210754,-1.816135406,-1.348133087,-0.219791412,-0.798915863,-4.530793190,-0.507204056,-0.494873047,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\highpass_sigma9.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,sobel_x_abs_gradient_component,abs(dI/dx),strong left-right intensity change; vertical-edge normal response,1477,20.000000000,20.000000000,20.000000000,18.000000000,24.000000000,25.000000000,0.000000000,16.500000000,20.000000000,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\sobel_x_abs_gradient_component.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,sobel_y_abs_gradient_component,abs(dI/dy),strong up-down intensity change; horizontal-edge normal response,1477,20.000000000,20.000000000,20.000000000,19.000000000,27.000000000,25.000000000,0.000000000,17.500000000,20.000000000,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\sobel_y_abs_gradient_component.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,gradient_magnitude_sobel,"hypot(dI/dx,dI/dy)",strong intensity boundary in any direction,1477,34.985710144,35.693138123,34.205261230,33.941123962,42.544094086,43.174064636,0.000000000,29.830155373,34.985710144,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\gradient_magnitude_sobel.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,multiscale_laplacian_bright_ridge,"max(0,-(dxx+dyy)) at sigma 1.5 and 3.5",negative multiscale Laplacian consistent with a locally bright ridge; not a full Hessian eigenvalue ridge detector,1477,0.532020569,0.408691406,0.361106873,0.362350464,0.688781738,0.552894592,0.000000000,0.316963196,0.545677185,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\multiscale_laplacian_bright_ridge.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,structure_tensor_orientation_coherence,sqrt((Jxx-Jyy)^2+4Jxy^2)/(Jxx+Jyy),"locally anisotropic gradient orientation, independent of target ownership",1477,0.197696000,0.161169559,0.134967312,0.169914126,0.165675640,0.179548517,0.802921653,0.175454870,0.197696000,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\structure_tensor_orientation_coherence.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,radial_gradient_normal_response,abs(grad(I) dot radial_unit),gradient normal component along the fan radial direction; high on edges locally tangent to a fan arc,1477,20.117858887,20.935701370,20.789371490,19.453765869,25.287042618,25.267684937,0.000000000,17.491939545,20.117858887,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\radial_gradient_normal_response.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,tangential_gradient_normal_response,abs(grad(I) dot tangential_unit),gradient normal component along the fan tangential direction; high on edges locally radial from the fan origin,1477,19.468029022,19.912857056,19.474853516,18.814706802,24.486213684,24.279521942,0.000000000,16.694002151,19.468029022,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\tangential_gradient_normal_response.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_w2_median,per-pixel median over the selected aligned stack window,per-pixel median over the selected aligned stack window,1477,50.000000000,50.000000000,50.000000000,49.000000000,55.000000000,58.000000000,0.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_w2_median.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_w2_max,per-pixel maximum over the selected aligned stack window,per-pixel maximum over the selected aligned stack window,1477,58.000000000,58.000000000,59.000000000,56.000000000,65.000000000,68.000000000,0.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_w2_max.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_w2_min,per-pixel minimum over the selected aligned stack window,per-pixel minimum over the selected aligned stack window,1477,40.000000000,40.000000000,40.000000000,40.000000000,44.000000000,46.000000000,0.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_w2_min.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_w2_mad,per-pixel median absolute deviation over the selected aligned stack window,per-pixel median absolute deviation over the selected aligned stack window,1477,5.000000000,4.000000000,5.000000000,4.000000000,5.000000000,5.000000000,0.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_w2_mad.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_w2_gradient_persistence,absolute mean x-gradient sign times mean x-gradient magnitude,absolute mean x-gradient sign times mean x-gradient magnitude,1477,6.559999943,6.480000019,6.199999809,5.840000153,8.979999542,9.239999771,0.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_w2_gradient_persistence.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_w2_high_intensity_pixel_frequency,fraction of valid frames where the pixel exceeds that frame's valid-fan 80th percentile,fraction of valid frames where the pixel exceeds that frame's valid-fan 80th percentile,1477,0.400000006,0.400000006,0.400000006,0.200000003,0.600000024,0.800000012,0.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_w2_high_intensity_pixel_frequency.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_w2_legacy_per_pixel_rank_frequency,fraction of frames above the pixel's own temporal 75th percentile; historical diagnostic only,fraction of frames above the pixel's own temporal 75th percentile; historical diagnostic only,1477,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,1.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_w2_legacy_per_pixel_rank_frequency.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_adjacent_positive_change,"max(I_t-I_tminus1,0)","max(I_t-I_tminus1,0)",1477,8.000000000,8.000000000,8.000000000,7.000000000,9.000000000,10.000000000,0.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_adjacent_positive_change.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_adjacent_negative_change,"max(I_tminus1-I_t,0)","max(I_tminus1-I_t,0)",1477,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_adjacent_negative_change.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_w4_median,per-pixel median over the selected aligned stack window,per-pixel median over the selected aligned stack window,1477,50.000000000,50.000000000,50.000000000,49.000000000,55.000000000,58.000000000,0.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_w4_median.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_w4_max,per-pixel maximum over the selected aligned stack window,per-pixel maximum over the selected aligned stack window,1477,58.000000000,58.000000000,59.000000000,56.000000000,65.000000000,68.000000000,0.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_w4_max.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_w4_min,per-pixel minimum over the selected aligned stack window,per-pixel minimum over the selected aligned stack window,1477,40.000000000,40.000000000,40.000000000,40.000000000,44.000000000,46.000000000,0.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_w4_min.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_w4_mad,per-pixel median absolute deviation over the selected aligned stack window,per-pixel median absolute deviation over the selected aligned stack window,1477,5.000000000,4.000000000,5.000000000,4.000000000,5.000000000,5.000000000,0.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_w4_mad.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_w4_gradient_persistence,absolute mean x-gradient sign times mean x-gradient magnitude,absolute mean x-gradient sign times mean x-gradient magnitude,1477,6.559999943,6.480000019,6.199999809,5.840000153,8.979999542,9.239999771,0.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_w4_gradient_persistence.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_w4_high_intensity_pixel_frequency,fraction of valid frames where the pixel exceeds that frame's valid-fan 80th percentile,fraction of valid frames where the pixel exceeds that frame's valid-fan 80th percentile,1477,0.400000006,0.400000006,0.400000006,0.200000003,0.600000024,0.800000012,0.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_w4_high_intensity_pixel_frequency.png
PV002_337_341,339,WORLD_STABILIZED_IMAGE_STACK,temporal_w4_legacy_per_pixel_rank_frequency,fraction of frames above the pixel's own temporal 75th percentile; historical diagnostic only,fraction of frames above the pixel's own temporal 75th percentile; historical diagnostic only,1477,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,0.400000006,1.000000000,,,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\WORLD_STABILIZED_IMAGE_STACK\temporal_w4_legacy_per_pixel_rank_frequency.png
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,raw_display_intensity,I,high displayed grayscale intensity; not a unique scatterer or vehicle centre,1477,52.000000000,52.000000000,52.000000000,51.000000000,58.000000000,60.000000000,0.000000000,44.000000000,53.000000000,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\GT_ALIGNED_RESEARCH_STACK\raw_display_intensity.png
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,local_contrast_31,I - boxmean_31(I),brighter than the 31x31 local mean,1477,-0.320499420,-1.227886200,-1.526535034,-1.366283417,-0.638917923,-1.280956268,-2.915192604,-0.279396057,-1.078044891,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\GT_ALIGNED_RESEARCH_STACK\local_contrast_31.png
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,local_z_31,(I - boxmean_31(I)) / local_std_31(I),positive local standardized brightness anomaly,1477,-0.044020370,-0.157461837,-0.177705482,-0.184318632,-0.062542140,-0.116820797,-0.296735078,-0.039468993,-0.134505332,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\GT_ALIGNED_RESEARCH_STACK\local_z_31.png
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,highpass_sigma9,I - GaussianSigma9(I),fine structure brighter than a sigma-9 smooth background,1477,-0.503269196,-1.383251190,-1.638999939,-1.527172089,-0.590757370,-1.154632568,-2.663085938,-0.416345596,-1.008903503,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\GT_ALIGNED_RESEARCH_STACK\highpass_sigma9.png
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,sobel_x_abs_gradient_component,abs(dI/dx),strong left-right intensity change; vertical-edge normal response,1477,15.000000000,16.000000000,15.000000000,15.000000000,20.000000000,19.000000000,0.000000000,17.000000000,15.000000000,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\GT_ALIGNED_RESEARCH_STACK\sobel_x_abs_gradient_component.png
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,sobel_y_abs_gradient_component,abs(dI/dy),strong up-down intensity change; horizontal-edge normal response,1477,18.000000000,18.000000000,18.000000000,16.000000000,23.000000000,22.000000000,0.000000000,15.500000000,18.000000000,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\GT_ALIGNED_RESEARCH_STACK\sobel_y_abs_gradient_component.png
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,gradient_magnitude_sobel,"hypot(dI/dx,dI/dy)",strong intensity boundary in any direction,1477,28.844409943,29.832868576,28.425340652,27.856777191,36.687873840,36.055511475,0.000000000,28.315409660,28.844409943,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\GT_ALIGNED_RESEARCH_STACK\gradient_magnitude_sobel.png
PV002_337_341,339,GT_ALIGNED_RESEARCH_STACK,multiscale_laplacian_bright_ridge,"max(0,-(dxx+dyy)) at sigma 1.5 and 3.5",negative multiscale Laplacian consistent with a locally bright ridge; not a full Hessian eigenvalue ridge detector,1477,0.478370667,0.392791748,0.300231934,0.344863892,0.584262848,0.540821075,0.000000000,0.446357727,0.343460083,true,D:\profile\research\workspace\output\oty2_rsa0_r2_20260717\evidence_cards\channels\PV002_337_341\GT_ALIGNED_RESEARCH_STACK\multiscale_laplacian_bright_ridge.png
