case_id,coordinate_family,channel,median_skeleton_minus_background,mean_background_activation,frame_level_skeleton_hit_rate,failure_mode
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w2_local_response_frequency,0.000000,0.036103,0.000000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w2_gradient_persistence,-0.006061,0.359473,0.400000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w2_local_component_continuity,0.000000,0.522893,1.000000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w4_median_sar_display,0.000000,0.879422,1.000000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w4_max_sar_display,0.000000,0.857235,1.000000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w4_min_sar_display,0.000000,0.827280,1.000000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w4_mad_sar_display,0.100000,0.555049,1.000000,skeleton_signal_retained
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w4_local_response_frequency,0.000000,0.035959,0.000000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w4_gradient_persistence,0.007885,0.374158,0.400000,background_competes_with_target
PV002_330_350,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w4_local_component_continuity,0.000000,0.571577,1.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,display_raw_8bit,-0.020833,0.788161,0.200000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,display_local_contrast,-0.002932,0.516947,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,display_local_z,-0.002944,0.533025,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,display_multiscale_highpass,0.000460,0.519597,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,gradient_magnitude_sobel,-0.009834,0.435768,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,sobel_x_abs_gradient_component,0.000000,0.378895,0.200000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,sobel_y_abs_gradient_component,-0.016949,0.321562,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,multiscale_hessian_bright_ridge,0.012827,0.165891,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,structure_tensor_orientation_coherence,-0.011926,0.210209,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,radial_directional_gradient_response,-0.012685,0.308352,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,tangential_directional_gradient_response,-0.005262,0.419202,0.600000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_w2_median_sar_display,-0.016393,0.840084,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_w2_max_sar_display,-0.014925,0.828566,0.200000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_w2_min_sar_display,0.000000,0.802499,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_w2_mad_sar_display,0.000000,0.412429,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_adjacent_positive_change_tminus1_to_t,0.000000,0.208027,0.200000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_adjacent_negative_change_tminus1_to_t,0.000000,0.139854,0.200000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_w2_local_response_frequency,0.000000,0.036324,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_w2_gradient_persistence,-0.018182,0.351562,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_w2_local_component_continuity,0.000000,0.454021,0.200000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_w4_median_sar_display,-0.018182,0.859762,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_w4_max_sar_display,-0.012821,0.828710,0.200000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_w4_min_sar_display,-0.020833,0.811826,0.200000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_w4_mad_sar_display,0.000000,0.529466,0.400000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_w4_local_response_frequency,0.000000,0.038094,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_w4_gradient_persistence,-0.024242,0.365150,0.000000,background_competes_with_target
PV002_330_350,OPTICAL_PROXY_CONDITIONED,temporal_w4_local_component_continuity,0.000000,0.498012,0.200000,background_competes_with_target
PV002_330_350,SAR_DISPLAY_WORLD_STABILIZED,display_raw_8bit,0.000000,0.825811,0.600000,background_competes_with_target
PV002_330_350,SAR_DISPLAY_WORLD_STABILIZED,display_local_contrast,0.034240,0.466178,0.200000,skeleton_signal_retained
PV002_330_350,SAR_DISPLAY_WORLD_STABILIZED,display_local_z,0.030217,0.483537,0.000000,skeleton_signal_retained
PV002_330_350,SAR_DISPLAY_WORLD_STABILIZED,display_multiscale_highpass,0.028938,0.465081,0.200000,background_competes_with_target
PV002_330_350,SAR_DISPLAY_WORLD_STABILIZED,gradient_magnitude_sobel,0.000000,0.447481,0.400000,background_competes_with_target
PV002_330_350,SAR_DISPLAY_WORLD_STABILIZED,sobel_x_abs_gradient_component,-0.018868,0.380010,0.400000,background_competes_with_target
PV002_330_350,SAR_DISPLAY_WORLD_STABILIZED,sobel_y_abs_gradient_component,0.000000,0.337259,0.400000,background_competes_with_target
PV002_330_350,SAR_DISPLAY_WORLD_STABILIZED,multiscale_hessian_bright_ridge,0.016421,0.176558,0.200000,background_competes_with_target
PV002_330_350,SAR_DISPLAY_WORLD_STABILIZED,structure_tensor_orientation_coherence,0.048201,0.228751,0.000000,skeleton_signal_retained
PV002_330_350,SAR_DISPLAY_WORLD_STABILIZED,radial_directional_gradient_response,-0.005469,0.323095,0.400000,background_competes_with_target
PV002_330_350,SAR_DISPLAY_WORLD_STABILIZED,tangential_directional_gradient_response,-0.014642,0.420024,0.400000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,display_raw_8bit,0.000000,0.791107,0.600000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,display_local_contrast,0.031690,0.502716,0.400000,skeleton_signal_retained
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,display_local_z,0.027965,0.518433,0.400000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,display_multiscale_highpass,0.029642,0.504396,0.400000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,gradient_magnitude_sobel,0.003473,0.447587,0.400000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,sobel_x_abs_gradient_component,0.038462,0.373759,0.400000,skeleton_signal_retained
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,sobel_y_abs_gradient_component,-0.016393,0.343235,0.400000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,multiscale_hessian_bright_ridge,0.033234,0.166288,0.400000,skeleton_signal_retained
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,structure_tensor_orientation_coherence,0.000973,0.208610,0.000000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,radial_directional_gradient_response,-0.013603,0.327698,0.400000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,tangential_directional_gradient_response,0.046466,0.415892,0.800000,skeleton_signal_retained
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w2_median_sar_display,0.018868,0.855288,0.600000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w2_max_sar_display,0.000000,0.841128,0.600000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w2_min_sar_display,0.000000,0.813908,0.400000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w2_mad_sar_display,0.000000,0.432257,0.800000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_adjacent_positive_change_tminus1_to_t,0.000000,0.192211,0.400000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_adjacent_negative_change_tminus1_to_t,0.000000,0.160422,0.400000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w2_local_response_frequency,0.000000,0.042188,0.000000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w2_gradient_persistence,0.000000,0.350728,0.400000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w2_local_component_continuity,0.000000,0.490662,1.000000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w4_median_sar_display,0.000000,0.882066,0.800000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w4_max_sar_display,0.000000,0.844028,0.800000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w4_min_sar_display,0.000000,0.823698,0.400000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w4_mad_sar_display,0.000000,0.521191,0.600000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w4_local_response_frequency,0.000000,0.044654,0.000000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w4_gradient_persistence,-0.007752,0.367440,0.400000,background_competes_with_target
PV003_360_384,GT_CONDITIONED_RESEARCH_ORACLE,temporal_w4_local_component_continuity,0.000000,0.541568,1.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,display_raw_8bit,-0.016949,0.750435,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,display_local_contrast,-0.009166,0.530397,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,display_local_z,-0.010438,0.536662,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,display_multiscale_highpass,-0.009513,0.531075,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,gradient_magnitude_sobel,-0.009236,0.392513,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,sobel_x_abs_gradient_component,0.000000,0.347223,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,sobel_y_abs_gradient_component,0.000000,0.282942,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,multiscale_hessian_bright_ridge,-0.005062,0.142594,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,structure_tensor_orientation_coherence,-0.007744,0.194371,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,radial_directional_gradient_response,-0.001517,0.270698,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,tangential_directional_gradient_response,0.006281,0.388175,0.200000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_w2_median_sar_display,0.000000,0.814892,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_w2_max_sar_display,0.000000,0.792263,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_w2_min_sar_display,0.000000,0.776317,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_w2_mad_sar_display,0.000000,0.378842,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_adjacent_positive_change_tminus1_to_t,0.000000,0.173326,0.200000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_adjacent_negative_change_tminus1_to_t,0.000000,0.145785,0.200000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_w2_local_response_frequency,0.000000,0.047186,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_w2_gradient_persistence,0.000000,0.317258,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_w2_local_component_continuity,0.000000,0.344315,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_w4_median_sar_display,-0.020833,0.840513,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_w4_max_sar_display,0.000000,0.789329,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_w4_min_sar_display,0.000000,0.788476,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_w4_mad_sar_display,0.000000,0.456156,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_w4_local_response_frequency,0.000000,0.049979,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_w4_gradient_persistence,-0.005357,0.325139,0.000000,background_competes_with_target
PV003_360_384,OPTICAL_PROXY_CONDITIONED,temporal_w4_local_component_continuity,0.000000,0.379789,0.000000,background_competes_with_target
PV003_360_384,SAR_DISPLAY_WORLD_STABILIZED,display_raw_8bit,0.000000,0.809220,0.400000,background_competes_with_target
PV003_360_384,SAR_DISPLAY_WORLD_STABILIZED,display_local_contrast,0.028718,0.484341,0.400000,background_competes_with_target
PV003_360_384,SAR_DISPLAY_WORLD_STABILIZED,display_local_z,0.030205,0.498735,0.400000,skeleton_signal_retained
PV003_360_384,SAR_DISPLAY_WORLD_STABILIZED,display_multiscale_highpass,0.023237,0.485125,0.400000,background_competes_with_target
PV003_360_384,SAR_DISPLAY_WORLD_STABILIZED,gradient_magnitude_sobel,-0.001558,0.433423,0.400000,background_competes_with_target
PV003_360_384,SAR_DISPLAY_WORLD_STABILIZED,sobel_x_abs_gradient_component,0.018519,0.361861,0.400000,background_competes_with_target
PV003_360_384,SAR_DISPLAY_WORLD_STABILIZED,sobel_y_abs_gradient_component,-0.013889,0.338349,0.400000,background_competes_with_target
PV003_360_384,SAR_DISPLAY_WORLD_STABILIZED,multiscale_hessian_bright_ridge,0.036073,0.165489,0.400000,skeleton_signal_retained
PV003_360_384,SAR_DISPLAY_WORLD_STABILIZED,structure_tensor_orientation_coherence,0.013315,0.250994,0.000000,background_competes_with_target
PV003_360_384,SAR_DISPLAY_WORLD_STABILIZED,radial_directional_gradient_response,-0.011589,0.326841,0.400000,background_competes_with_target
PV003_360_384,SAR_DISPLAY_WORLD_STABILIZED,tangential_directional_gradient_response,0.007647,0.397015,0.400000,background_competes_with_target
