case_id,scene,canonical_vehicle_id,benchmark_role,optical_frame,sar_frame,pairing_basis,pairing_assumption_status,alpha_deg,beta_deg,radius_px,theta_deg,u_axis_deg,rho_axis_deg,tau_axis_deg,gt_quality_status,identity_link_confidence,optical_pose_review,optical_pose_source,optical_visibility_state,optical_truncation,optical_occlusion,sar_gt_valid_fraction,local_patch_valid_fraction,near_origin_state,fan_or_invalid_boundary_state,background_competition,continuous_window_id,grammar_eligibility,lineage_eligibility,identifiability_status,ineligibility_reason,sar_gray_path,optical_path,evidence_role,gt_usage_boundary
ELIG_GM_RM011_PV001_S0010,GM_RM011,GM_RM011:PV001,development,5,10,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,84.874323,5.125677,86.907336,-2.874323,-8.000000,87.125677,-2.874323,gold,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,full_visible,true,none,1.000000000,0.864803,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000010.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000005.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0011,GM_RM011,GM_RM011:PV001,development,5,11,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,85.615453,4.384547,84.967105,-3.615453,-8.000000,86.384547,-3.615453,gold,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,full_visible,true,none,1.000000000,0.856377,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000011.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000005.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0012,GM_RM011,GM_RM011:PV001,development,6,12,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,82.068309,7.931691,87.050131,-1.068309,-9.000000,88.931691,-1.068309,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.866736,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000012.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000006.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0013,GM_RM011,GM_RM011:PV001,development,6,13,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,79.106438,10.893562,84.050671,-1.106438,-12.000000,88.893562,-1.106438,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.857106,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000013.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000006.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0014,GM_RM011,GM_RM011:PV001,development,7,14,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,79.631283,10.368717,82.831570,-1.631283,-12.000000,88.368717,-1.631283,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.852060,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000014.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000007.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0015,GM_RM011,GM_RM011:PV001,development,7,15,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,79.631283,10.368717,82.831570,-1.631283,-12.000000,88.368717,-1.631283,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.852060,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000015.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000007.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0016,GM_RM011,GM_RM011:PV001,development,8,16,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,79.038351,10.961649,82.046556,0.961649,-10.000000,-89.038351,0.961649,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.846678,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000016.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000008.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0017,GM_RM011,GM_RM011:PV001,development,8,17,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,78.340294,11.659706,82.069430,1.659706,-10.000000,-88.340294,1.659706,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.846678,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000017.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000008.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0018,GM_RM011,GM_RM011:PV001,development,9,18,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,74.420231,15.579769,82.963434,8.579769,-7.000000,-81.420231,8.579769,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.843970,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000018.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000009.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0019,GM_RM011,GM_RM011:PV001,development,9,19,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,74.915121,15.084879,79.881374,5.084879,-10.000000,-84.915121,5.084879,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.836204,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000019.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000009.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0020,GM_RM011,GM_RM011:PV001,development,10,20,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,74.315958,15.684042,81.974760,8.684042,-7.000000,-81.315958,8.684042,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.839757,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000020.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000010.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0021,GM_RM011,GM_RM011:PV001,development,10,21,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,70.247845,19.752155,84.504383,12.752155,-7.000000,-77.247845,12.752155,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.845579,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000021.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000010.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0022,GM_RM011,GM_RM011:PV001,development,11,22,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,72.816345,17.183655,81.316046,10.183655,-7.000000,-79.816345,10.183655,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.835556,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000022.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000011.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0023,GM_RM011,GM_RM011:PV001,development,11,23,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,72.816345,17.183655,81.316046,10.183655,-7.000000,-79.816345,10.183655,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.835556,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000023.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000011.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0024,GM_RM011,GM_RM011:PV001,development,12,24,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,74.043424,15.956576,82.298171,10.956576,-5.000000,-79.043424,10.956576,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.837523,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000024.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000012.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0025,GM_RM011,GM_RM011:PV001,development,12,25,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,70.936821,19.063179,83.511114,12.063179,-7.000000,-77.936821,12.063179,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.842431,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000025.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000012.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0026,GM_RM011,GM_RM011:PV001,development,12,26,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,74.728480,15.271520,82.113975,10.271520,-5.000000,-79.728480,10.271520,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.837523,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000026.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000012.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
ELIG_GM_RM011_PV001_S0027,GM_RM011,GM_RM011:PV001,development,13,27,24/50fps_common_frame0_operational_mapping,UNFROZEN_COMMON_START_ASSUMPTION,69.159333,20.840667,82.874986,10.840667,-10.000000,-79.159333,10.840667,usable,high,SIDE_DOMINANT_BUT_TRUNCATED,direct continuous optical review,partial_visible,true,none,1.000000000,0.843970,NEAR_ORIGIN,LOCAL_PATCH_BOUNDARY_AFFECTED,"near-origin fan arcs, radial strong lines and invalid-boundary competition",GM11_PV001_NEAR_ORIGIN,IDENTIFIABILITY_PRESSURE_ONLY,LINEAGE_NOT_ESTABLISHED,NOT_IDENTIFIABLE_NEAR_ORIGIN_BOUNDARY,near-origin fan/invalid-boundary structures dominate,D:\profile\research\data\GM_RM011\GM_RM011_SARframes_gray\000027.png,D:\profile\research\data\GM_RM011\GM_RM011_frames\000013.png,research-period aspect and identifiability audit,research geometry only; not response mask and not runtime input
