model,group,half_width_deg,anchor_count,full_gt_interval_coverage_fraction,gt_intersection_mask_interval_coverage_fraction,mean_mask_clipped_corridor_width_deg,mean_corridor_expansion_over_gt_width,median_corridor_expansion_over_gt_width
old_linear,scene:GM_RM017,1.000,65,0.000000000,0.000000000,2.000000000,0.081837082,0.078692321
old_linear,scene:GM_RM017,2.000,65,0.000000000,0.000000000,4.000000000,0.163674163,0.157384641
old_linear,scene:GM_RM017,3.000,65,0.000000000,0.000000000,6.000000000,0.245511245,0.236076962
old_linear,scene:GM_RM017,5.000,65,0.000000000,0.000000000,10.000000000,0.409185409,0.393461603
old_linear,scene:GM_RM017,8.000,65,0.000000000,0.000000000,16.000000000,0.654696654,0.629538565
old_linear,scene:GM_RM017,10.000,65,0.015384615,0.015384615,20.000000000,0.818370817,0.786923206
old_linear,scene:GM_RM017,15.000,65,0.646153846,0.646153846,30.000000000,1.227556226,1.180384809
old_linear,scene:GM_RM017,20.000,65,1.000000000,1.000000000,40.000000000,1.636741634,1.573846412
old_linear,scene:GM_RM017,40.000,65,1.000000000,1.000000000,80.000000000,3.273483268,3.147692823
development_complete_linear,complete_all,0.500,65,0.000000000,0.000000000,1.000000000,0.040918541,0.039346160
development_complete_linear,complete_all,1.000,65,0.000000000,0.000000000,2.000000000,0.081837082,0.078692321
development_complete_linear,complete_all,2.000,65,0.000000000,0.000000000,4.000000000,0.163674163,0.157384641
development_complete_linear,complete_all,3.000,65,0.000000000,0.000000000,6.000000000,0.245511245,0.236076962
development_complete_linear,complete_all,5.000,65,0.000000000,0.000000000,10.000000000,0.409185409,0.393461603
development_complete_linear,complete_all,8.000,65,0.000000000,0.000000000,16.000000000,0.654696654,0.629538565
development_complete_linear,complete_all,10.000,65,0.000000000,0.000000000,20.000000000,0.818370817,0.786923206
development_complete_linear,complete_all,15.000,65,0.815384615,0.815384615,30.000000000,1.227556226,1.180384809
development_complete_linear,complete_all,20.000,65,1.000000000,1.000000000,40.000000000,1.636741634,1.573846412
development_complete_linear,complete_all,40.000,65,1.000000000,1.000000000,80.000000000,3.273483268,3.147692823
development_complete_linear,development_complete,0.500,20,0.000000000,0.000000000,1.000000000,0.035244697,0.035108515
development_complete_linear,development_complete,1.000,20,0.000000000,0.000000000,2.000000000,0.070489395,0.070217030
development_complete_linear,development_complete,2.000,20,0.000000000,0.000000000,4.000000000,0.140978790,0.140434060
development_complete_linear,development_complete,3.000,20,0.000000000,0.000000000,6.000000000,0.211468185,0.210651090
development_complete_linear,development_complete,5.000,20,0.000000000,0.000000000,10.000000000,0.352446975,0.351085150
development_complete_linear,development_complete,8.000,20,0.000000000,0.000000000,16.000000000,0.563915160,0.561736240
development_complete_linear,development_complete,10.000,20,0.000000000,0.000000000,20.000000000,0.704893949,0.702170300
development_complete_linear,development_complete,15.000,20,0.500000000,0.500000000,30.000000000,1.057340924,1.053255450
development_complete_linear,development_complete,20.000,20,1.000000000,1.000000000,40.000000000,1.409787899,1.404340600
development_complete_linear,development_complete,40.000,20,1.000000000,1.000000000,80.000000000,2.819575798,2.808681200
development_complete_linear,heldout_complete,0.500,45,0.000000000,0.000000000,1.000000000,0.043440249,0.042247274
development_complete_linear,heldout_complete,1.000,45,0.000000000,0.000000000,2.000000000,0.086880498,0.084494549
development_complete_linear,heldout_complete,2.000,45,0.000000000,0.000000000,4.000000000,0.173760996,0.168989097
development_complete_linear,heldout_complete,3.000,45,0.000000000,0.000000000,6.000000000,0.260641494,0.253483646
development_complete_linear,heldout_complete,5.000,45,0.000000000,0.000000000,10.000000000,0.434402490,0.422472743
development_complete_linear,heldout_complete,8.000,45,0.000000000,0.000000000,16.000000000,0.695043984,0.675956389
development_complete_linear,heldout_complete,10.000,45,0.000000000,0.000000000,20.000000000,0.868804981,0.844945486
development_complete_linear,heldout_complete,15.000,45,0.955555556,0.955555556,30.000000000,1.303207471,1.267418229
development_complete_linear,heldout_complete,20.000,45,1.000000000,1.000000000,40.000000000,1.737609961,1.689890972
development_complete_linear,heldout_complete,40.000,45,1.000000000,1.000000000,80.000000000,3.475219922,3.379781943
development_complete_linear,mask_clipped_diagnostic,0.500,0,,,,,
development_complete_linear,mask_clipped_diagnostic,1.000,0,,,,,
development_complete_linear,mask_clipped_diagnostic,2.000,0,,,,,
development_complete_linear,mask_clipped_diagnostic,3.000,0,,,,,
development_complete_linear,mask_clipped_diagnostic,5.000,0,,,,,
development_complete_linear,mask_clipped_diagnostic,8.000,0,,,,,
development_complete_linear,mask_clipped_diagnostic,10.000,0,,,,,
development_complete_linear,mask_clipped_diagnostic,15.000,0,,,,,
development_complete_linear,mask_clipped_diagnostic,20.000,0,,,,,
development_complete_linear,mask_clipped_diagnostic,40.000,0,,,,,
development_complete_linear,pose:left_side_dominant,0.500,65,0.000000000,0.000000000,1.000000000,0.040918541,0.039346160
development_complete_linear,pose:left_side_dominant,1.000,65,0.000000000,0.000000000,2.000000000,0.081837082,0.078692321
development_complete_linear,pose:left_side_dominant,2.000,65,0.000000000,0.000000000,4.000000000,0.163674163,0.157384641
development_complete_linear,pose:left_side_dominant,3.000,65,0.000000000,0.000000000,6.000000000,0.245511245,0.236076962
development_complete_linear,pose:left_side_dominant,5.000,65,0.000000000,0.000000000,10.000000000,0.409185409,0.393461603
development_complete_linear,pose:left_side_dominant,8.000,65,0.000000000,0.000000000,16.000000000,0.654696654,0.629538565
development_complete_linear,pose:left_side_dominant,10.000,65,0.000000000,0.000000000,20.000000000,0.818370817,0.786923206
development_complete_linear,pose:left_side_dominant,15.000,65,0.815384615,0.815384615,30.000000000,1.227556226,1.180384809
development_complete_linear,pose:left_side_dominant,20.000,65,1.000000000,1.000000000,40.000000000,1.636741634,1.573846412
development_complete_linear,pose:left_side_dominant,40.000,65,1.000000000,1.000000000,80.000000000,3.273483268,3.147692823
development_complete_linear,scene:GM_RM017,0.500,65,0.000000000,0.000000000,1.000000000,0.040918541,0.039346160
development_complete_linear,scene:GM_RM017,1.000,65,0.000000000,0.000000000,2.000000000,0.081837082,0.078692321
development_complete_linear,scene:GM_RM017,2.000,65,0.000000000,0.000000000,4.000000000,0.163674163,0.157384641
development_complete_linear,scene:GM_RM017,3.000,65,0.000000000,0.000000000,6.000000000,0.245511245,0.236076962
development_complete_linear,scene:GM_RM017,5.000,65,0.000000000,0.000000000,10.000000000,0.409185409,0.393461603
development_complete_linear,scene:GM_RM017,8.000,65,0.000000000,0.000000000,16.000000000,0.654696654,0.629538565
development_complete_linear,scene:GM_RM017,10.000,65,0.000000000,0.000000000,20.000000000,0.818370817,0.786923206
development_complete_linear,scene:GM_RM017,15.000,65,0.815384615,0.815384615,30.000000000,1.227556226,1.180384809
development_complete_linear,scene:GM_RM017,20.000,65,1.000000000,1.000000000,40.000000000,1.636741634,1.573846412
development_complete_linear,scene:GM_RM017,40.000,65,1.000000000,1.000000000,80.000000000,3.273483268,3.147692823
centered_linear,complete_all,0.500,65,0.000000000,0.000000000,1.000000000,0.040918541,0.039346160
centered_linear,complete_all,1.000,65,0.000000000,0.000000000,2.000000000,0.081837082,0.078692321
centered_linear,complete_all,2.000,65,0.000000000,0.000000000,4.000000000,0.163674163,0.157384641
centered_linear,complete_all,3.000,65,0.000000000,0.000000000,6.000000000,0.245511245,0.236076962
centered_linear,complete_all,5.000,65,0.000000000,0.000000000,10.000000000,0.409185409,0.393461603
centered_linear,complete_all,8.000,65,0.000000000,0.000000000,16.000000000,0.654696654,0.629538565
centered_linear,complete_all,10.000,65,0.000000000,0.000000000,20.000000000,0.818370817,0.786923206
centered_linear,complete_all,15.000,65,0.815384615,0.815384615,30.000000000,1.227556226,1.180384809
centered_linear,complete_all,20.000,65,1.000000000,1.000000000,40.000000000,1.636741634,1.573846412
centered_linear,complete_all,40.000,65,1.000000000,1.000000000,80.000000000,3.273483268,3.147692823
centered_linear,development_complete,0.500,20,0.000000000,0.000000000,1.000000000,0.035244697,0.035108515
centered_linear,development_complete,1.000,20,0.000000000,0.000000000,2.000000000,0.070489395,0.070217030
centered_linear,development_complete,2.000,20,0.000000000,0.000000000,4.000000000,0.140978790,0.140434060
centered_linear,development_complete,3.000,20,0.000000000,0.000000000,6.000000000,0.211468185,0.210651090
centered_linear,development_complete,5.000,20,0.000000000,0.000000000,10.000000000,0.352446975,0.351085150
centered_linear,development_complete,8.000,20,0.000000000,0.000000000,16.000000000,0.563915160,0.561736240
centered_linear,development_complete,10.000,20,0.000000000,0.000000000,20.000000000,0.704893949,0.702170300
centered_linear,development_complete,15.000,20,0.500000000,0.500000000,30.000000000,1.057340924,1.053255450
centered_linear,development_complete,20.000,20,1.000000000,1.000000000,40.000000000,1.409787899,1.404340600
centered_linear,development_complete,40.000,20,1.000000000,1.000000000,80.000000000,2.819575798,2.808681200
centered_linear,heldout_complete,0.500,45,0.000000000,0.000000000,1.000000000,0.043440249,0.042247274
centered_linear,heldout_complete,1.000,45,0.000000000,0.000000000,2.000000000,0.086880498,0.084494549
centered_linear,heldout_complete,2.000,45,0.000000000,0.000000000,4.000000000,0.173760996,0.168989097
centered_linear,heldout_complete,3.000,45,0.000000000,0.000000000,6.000000000,0.260641494,0.253483646
centered_linear,heldout_complete,5.000,45,0.000000000,0.000000000,10.000000000,0.434402490,0.422472743
centered_linear,heldout_complete,8.000,45,0.000000000,0.000000000,16.000000000,0.695043984,0.675956389
centered_linear,heldout_complete,10.000,45,0.000000000,0.000000000,20.000000000,0.868804981,0.844945486
centered_linear,heldout_complete,15.000,45,0.955555556,0.955555556,30.000000000,1.303207471,1.267418229
centered_linear,heldout_complete,20.000,45,1.000000000,1.000000000,40.000000000,1.737609961,1.689890972
centered_linear,heldout_complete,40.000,45,1.000000000,1.000000000,80.000000000,3.475219922,3.379781943
centered_linear,mask_clipped_diagnostic,0.500,0,,,,,
centered_linear,mask_clipped_diagnostic,1.000,0,,,,,
centered_linear,mask_clipped_diagnostic,2.000,0,,,,,
centered_linear,mask_clipped_diagnostic,3.000,0,,,,,
centered_linear,mask_clipped_diagnostic,5.000,0,,,,,
centered_linear,mask_clipped_diagnostic,8.000,0,,,,,
centered_linear,mask_clipped_diagnostic,10.000,0,,,,,
centered_linear,mask_clipped_diagnostic,15.000,0,,,,,
centered_linear,mask_clipped_diagnostic,20.000,0,,,,,
centered_linear,mask_clipped_diagnostic,40.000,0,,,,,
centered_linear,pose:left_side_dominant,0.500,65,0.000000000,0.000000000,1.000000000,0.040918541,0.039346160
centered_linear,pose:left_side_dominant,1.000,65,0.000000000,0.000000000,2.000000000,0.081837082,0.078692321
centered_linear,pose:left_side_dominant,2.000,65,0.000000000,0.000000000,4.000000000,0.163674163,0.157384641
centered_linear,pose:left_side_dominant,3.000,65,0.000000000,0.000000000,6.000000000,0.245511245,0.236076962
centered_linear,pose:left_side_dominant,5.000,65,0.000000000,0.000000000,10.000000000,0.409185409,0.393461603
centered_linear,pose:left_side_dominant,8.000,65,0.000000000,0.000000000,16.000000000,0.654696654,0.629538565
centered_linear,pose:left_side_dominant,10.000,65,0.000000000,0.000000000,20.000000000,0.818370817,0.786923206
centered_linear,pose:left_side_dominant,15.000,65,0.815384615,0.815384615,30.000000000,1.227556226,1.180384809
centered_linear,pose:left_side_dominant,20.000,65,1.000000000,1.000000000,40.000000000,1.636741634,1.573846412
centered_linear,pose:left_side_dominant,40.000,65,1.000000000,1.000000000,80.000000000,3.273483268,3.147692823
centered_linear,scene:GM_RM017,0.500,65,0.000000000,0.000000000,1.000000000,0.040918541,0.039346160
centered_linear,scene:GM_RM017,1.000,65,0.000000000,0.000000000,2.000000000,0.081837082,0.078692321
centered_linear,scene:GM_RM017,2.000,65,0.000000000,0.000000000,4.000000000,0.163674163,0.157384641
centered_linear,scene:GM_RM017,3.000,65,0.000000000,0.000000000,6.000000000,0.245511245,0.236076962
centered_linear,scene:GM_RM017,5.000,65,0.000000000,0.000000000,10.000000000,0.409185409,0.393461603
centered_linear,scene:GM_RM017,8.000,65,0.000000000,0.000000000,16.000000000,0.654696654,0.629538565
centered_linear,scene:GM_RM017,10.000,65,0.000000000,0.000000000,20.000000000,0.818370817,0.786923206
centered_linear,scene:GM_RM017,15.000,65,0.815384615,0.815384615,30.000000000,1.227556226,1.180384809
centered_linear,scene:GM_RM017,20.000,65,1.000000000,1.000000000,40.000000000,1.636741634,1.573846412
centered_linear,scene:GM_RM017,40.000,65,1.000000000,1.000000000,80.000000000,3.273483268,3.147692823
pinhole_los,complete_all,0.500,65,0.000000000,0.000000000,1.000000000,0.040918541,0.039346160
pinhole_los,complete_all,1.000,65,0.000000000,0.000000000,2.000000000,0.081837082,0.078692321
pinhole_los,complete_all,2.000,65,0.000000000,0.000000000,4.000000000,0.163674163,0.157384641
pinhole_los,complete_all,3.000,65,0.000000000,0.000000000,6.000000000,0.245511245,0.236076962
pinhole_los,complete_all,5.000,65,0.000000000,0.000000000,10.000000000,0.409185409,0.393461603
pinhole_los,complete_all,8.000,65,0.000000000,0.000000000,16.000000000,0.654696654,0.629538565
pinhole_los,complete_all,10.000,65,0.000000000,0.000000000,20.000000000,0.818370817,0.786923206
pinhole_los,complete_all,15.000,65,0.861538462,0.861538462,30.000000000,1.227556226,1.180384809
pinhole_los,complete_all,20.000,65,1.000000000,1.000000000,40.000000000,1.636741634,1.573846412
pinhole_los,complete_all,40.000,65,1.000000000,1.000000000,80.000000000,3.273483268,3.147692823
pinhole_los,development_complete,0.500,20,0.000000000,0.000000000,1.000000000,0.035244697,0.035108515
pinhole_los,development_complete,1.000,20,0.000000000,0.000000000,2.000000000,0.070489395,0.070217030
pinhole_los,development_complete,2.000,20,0.000000000,0.000000000,4.000000000,0.140978790,0.140434060
pinhole_los,development_complete,3.000,20,0.000000000,0.000000000,6.000000000,0.211468185,0.210651090
pinhole_los,development_complete,5.000,20,0.000000000,0.000000000,10.000000000,0.352446975,0.351085150
pinhole_los,development_complete,8.000,20,0.000000000,0.000000000,16.000000000,0.563915160,0.561736240
pinhole_los,development_complete,10.000,20,0.000000000,0.000000000,20.000000000,0.704893949,0.702170300
pinhole_los,development_complete,15.000,20,0.650000000,0.650000000,30.000000000,1.057340924,1.053255450
pinhole_los,development_complete,20.000,20,1.000000000,1.000000000,40.000000000,1.409787899,1.404340600
pinhole_los,development_complete,40.000,20,1.000000000,1.000000000,80.000000000,2.819575798,2.808681200
pinhole_los,heldout_complete,0.500,45,0.000000000,0.000000000,1.000000000,0.043440249,0.042247274
pinhole_los,heldout_complete,1.000,45,0.000000000,0.000000000,2.000000000,0.086880498,0.084494549
pinhole_los,heldout_complete,2.000,45,0.000000000,0.000000000,4.000000000,0.173760996,0.168989097
pinhole_los,heldout_complete,3.000,45,0.000000000,0.000000000,6.000000000,0.260641494,0.253483646
pinhole_los,heldout_complete,5.000,45,0.000000000,0.000000000,10.000000000,0.434402490,0.422472743
pinhole_los,heldout_complete,8.000,45,0.000000000,0.000000000,16.000000000,0.695043984,0.675956389
pinhole_los,heldout_complete,10.000,45,0.000000000,0.000000000,20.000000000,0.868804981,0.844945486
pinhole_los,heldout_complete,15.000,45,0.955555556,0.955555556,30.000000000,1.303207471,1.267418229
pinhole_los,heldout_complete,20.000,45,1.000000000,1.000000000,40.000000000,1.737609961,1.689890972
pinhole_los,heldout_complete,40.000,45,1.000000000,1.000000000,80.000000000,3.475219922,3.379781943
pinhole_los,mask_clipped_diagnostic,0.500,0,,,,,
pinhole_los,mask_clipped_diagnostic,1.000,0,,,,,
pinhole_los,mask_clipped_diagnostic,2.000,0,,,,,
pinhole_los,mask_clipped_diagnostic,3.000,0,,,,,
pinhole_los,mask_clipped_diagnostic,5.000,0,,,,,
pinhole_los,mask_clipped_diagnostic,8.000,0,,,,,
pinhole_los,mask_clipped_diagnostic,10.000,0,,,,,
pinhole_los,mask_clipped_diagnostic,15.000,0,,,,,
pinhole_los,mask_clipped_diagnostic,20.000,0,,,,,
pinhole_los,mask_clipped_diagnostic,40.000,0,,,,,
pinhole_los,pose:left_side_dominant,0.500,65,0.000000000,0.000000000,1.000000000,0.040918541,0.039346160
pinhole_los,pose:left_side_dominant,1.000,65,0.000000000,0.000000000,2.000000000,0.081837082,0.078692321
pinhole_los,pose:left_side_dominant,2.000,65,0.000000000,0.000000000,4.000000000,0.163674163,0.157384641
pinhole_los,pose:left_side_dominant,3.000,65,0.000000000,0.000000000,6.000000000,0.245511245,0.236076962
pinhole_los,pose:left_side_dominant,5.000,65,0.000000000,0.000000000,10.000000000,0.409185409,0.393461603
pinhole_los,pose:left_side_dominant,8.000,65,0.000000000,0.000000000,16.000000000,0.654696654,0.629538565
pinhole_los,pose:left_side_dominant,10.000,65,0.000000000,0.000000000,20.000000000,0.818370817,0.786923206
pinhole_los,pose:left_side_dominant,15.000,65,0.861538462,0.861538462,30.000000000,1.227556226,1.180384809
pinhole_los,pose:left_side_dominant,20.000,65,1.000000000,1.000000000,40.000000000,1.636741634,1.573846412
pinhole_los,pose:left_side_dominant,40.000,65,1.000000000,1.000000000,80.000000000,3.273483268,3.147692823
pinhole_los,scene:GM_RM017,0.500,65,0.000000000,0.000000000,1.000000000,0.040918541,0.039346160
pinhole_los,scene:GM_RM017,1.000,65,0.000000000,0.000000000,2.000000000,0.081837082,0.078692321
pinhole_los,scene:GM_RM017,2.000,65,0.000000000,0.000000000,4.000000000,0.163674163,0.157384641
pinhole_los,scene:GM_RM017,3.000,65,0.000000000,0.000000000,6.000000000,0.245511245,0.236076962
pinhole_los,scene:GM_RM017,5.000,65,0.000000000,0.000000000,10.000000000,0.409185409,0.393461603
pinhole_los,scene:GM_RM017,8.000,65,0.000000000,0.000000000,16.000000000,0.654696654,0.629538565
pinhole_los,scene:GM_RM017,10.000,65,0.000000000,0.000000000,20.000000000,0.818370817,0.786923206
pinhole_los,scene:GM_RM017,15.000,65,0.861538462,0.861538462,30.000000000,1.227556226,1.180384809
pinhole_los,scene:GM_RM017,20.000,65,1.000000000,1.000000000,40.000000000,1.636741634,1.573846412
pinhole_los,scene:GM_RM017,40.000,65,1.000000000,1.000000000,80.000000000,3.273483268,3.147692823
