scene,canonical_vehicle_id,benchmark_role,sar_frame_index,sar_gt_id,bbox,bbox_width_px,bbox_height_px,bbox_width_meter,bbox_height_meter,center_x_px,center_y_px,center_x_meter,center_y_meter,center_radius_px,center_theta_deg,valid_mask_fraction,validity_basis,fan_geometry_fraction,touches_invalid_region,touches_fan_geometry_outside,touches_image_boundary,neighbor_vehicle_overlap_risk,neighbor_rotated_overlap_ratio,center_jump_from_previous,center_jump_per_sar_frame,size_jump_from_previous,aspect_jump_from_previous,gt_quality_status,quality_evidence,identity_link_status,identity_link_confidence,optical_frame_index,optical_visibility_state,optical_full_vehicle_visible,multi_vehicle_competition,notes,gt_valid_mask_fraction,gt_inside_valid_mask,gt_touches_valid_mask_boundary,gt_clipped_by_valid_mask,optical_vehicle_full_visibility,optical_vehicle_boundary_truncation,optical_pose_group,sar_response_completeness,mapping_anchor_eligibility,mapping_exclusion_reason
GM_RM011,GM_RM011:PV001,development,5,GM_RM011|000005|GM_RM011|000005.png|000002.png|1|O1:car:0.96,"[1151.642,1246.802,131.942,63.440,1.000]",131.942,63.440,,,1151.642,1246.802,,,83.831,-1.611826,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,1.000,1.000,0.046084,0.015995,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,2,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV002,development,5,GM_RM011|000005|GM_RM011|000005.png|000002.png|2|O2:car:0.81,"[1295.522,1150.115,78.740,147.827,-29.000]",78.740,147.827,,,1295.522,1150.115,,,229.354,38.100724,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,1.414,1.414,0.000000,0.000000,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,2,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,6,GM_RM011|000006|GM_RM011|000006.png|000003.png|1|O1:car:0.96,"[1152.642,1247.802,133.942,63.440,1.000]",133.942,63.440,,,1152.642,1247.802,,,82.809,-0.939645,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,1.414,1.414,0.015044,0.015044,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,3,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV002,development,6,GM_RM011|000006|GM_RM011|000006.png|000003.png|2|O2:car:0.86,"[1296.522,1147.115,78.740,147.827,-29.000]",78.740,147.827,,,1296.522,1147.115,,,232.334,37.838279,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,3.162,3.162,0.000000,0.000000,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,3,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,7,GM_RM011|000007|GM_RM011|000007.png|000003.png|1|O1:car:0.96,"[1152.642,1246.802,135.942,65.440,1.000]",135.942,65.440,,,1152.642,1246.802,,,83.809,-0.928433,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,1.000,1.000,0.045861,0.016218,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,3,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV002,development,7,GM_RM011|000007|GM_RM011|000007.png|000003.png|2|O2:car:0.86,"[1293.522,1144.115,78.740,147.827,-36.000]",78.740,147.827,,,1293.522,1144.115,,,232.901,36.802639,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.000000,4.243,4.243,0.000000,0.000000,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,3,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,8,GM_RM011|000008|GM_RM011|000008.png|000004.png|1|O1:car:0.86,"[1152.642,1244.802,137.942,67.440,1.000]",137.942,67.440,,,1152.642,1244.802,,,85.809,-0.906795,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,false,0.000000,2.000,2.000,0.044710,0.015500,usable,identity=linked_detection_overlap_moderate:moderate;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=false;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_moderate,moderate,4,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,9,GM_RM011|000009|GM_RM011|000009.png|000004.png|1|O1:car:0.86,"[1152.642,1244.802,137.942,67.440,1.000]",137.942,67.440,,,1152.642,1244.802,,,85.809,-0.906795,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,false,0.000000,0.000,0.000,0.000000,0.000000,usable,identity=linked_detection_overlap_moderate:moderate;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=false;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_moderate,moderate,4,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,10,GM_RM011|000010|GM_RM011|000010.png|000005.png|1|O1:car:0.84,"[1149.642,1243.802,129.942,63.440,-8.000]",129.942,63.440,,,1149.642,1243.802,,,86.907,-2.874323,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,false,0.000000,3.162,3.162,0.120889,0.001399,gold,identity=linked_detection_overlap_high:high;optical_visibility=full_visible;fan_fraction=1.000000;neighbor_risk=false;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,5,full_visible,true,false,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,left_side_dominant,sar_gt_azimuth_support_usable_but_optical_proxy_invalid,pose_or_geometry_diagnostic,optical_vehicle_not_fully_visible_after_direct_review;direct_optical_review_vehicle_extent_is_cut_by_left_and_bottom_image_edges;reference_bbox_is_within_8px_of_image_boundary
GM_RM011,GM_RM011:PV001,development,11,GM_RM011|000011|GM_RM011|000011.png|000005.png|1|O1:car:0.84,"[1148.642,1245.802,129.942,63.440,-8.000]",129.942,63.440,,,1148.642,1245.802,,,84.967,-3.615453,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,false,0.000000,2.236,2.236,0.000000,0.000000,gold,identity=linked_detection_overlap_high:high;optical_visibility=full_visible;fan_fraction=1.000000;neighbor_risk=false;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,5,full_visible,true,false,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,left_side_dominant,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,12,GM_RM011|000012|GM_RM011|000012.png|000006.png|1|O1:car:0.21,"[1149.642,1246.802,129.942,63.440,-12.000]",129.942,63.440,,,1149.642,1246.802,,,83.911,-2.977043,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.943253,1.414,1.414,0.000000,0.000000,usable,identity=linked_detection_overlap_moderate:moderate;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_moderate,moderate,6,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,12,GM_RM011|000012|GM_RM011|000012.png|000006.png|2|O2:car:0.76,"[1152.377,1243.565,128.333,62.847,351.000]",128.333,62.847,,,1152.377,1243.565,,,87.050,-1.068309,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.943253,4.238,4.238,0.021851,0.003068,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,6,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,13,GM_RM011|000013|GM_RM011|000013.png|000006.png|1|O1:car:0.21,"[1151.642,1241.802,127.942,68.440,352.000]",127.942,68.440,,,1151.642,1241.802,,,88.829,-1.521112,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.902905,1.910,1.910,0.082203,0.088306,usable,identity=linked_detection_overlap_moderate:moderate;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_moderate,moderate,6,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,13,GM_RM011|000013|GM_RM011|000013.png|000006.png|2|O2:car:0.76,"[1152.377,1246.565,135.333,64.847,-12.000]",135.333,64.847,,,1152.377,1246.565,,,84.051,-1.106438,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.902905,4.819,4.819,0.002235,0.110088,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,6,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,14,GM_RM011|000014|GM_RM011|000014.png|000007.png|1|O1:car:0.76,"[1151.642,1247.802,127.942,63.440,-12.000]",127.942,63.440,,,1151.642,1247.802,,,82.832,-1.631283,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,1.000001,1.439,1.439,0.078097,0.034225,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,7,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,14,GM_RM011|000014|GM_RM011|000014.png|000007.png|2|O2:car:0.31,"[1152.377,1247.565,135.333,64.847,-12.000]",135.333,64.847,,,1152.377,1247.565,,,83.051,-1.119759,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,1.000001,0.772,0.772,0.078097,0.034225,usable,identity=linked_detection_overlap_moderate:moderate;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_moderate,moderate,7,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,15,GM_RM011|000015|GM_RM011|000015.png|000007.png|1|O1:car:0.76,"[1151.642,1247.802,127.942,63.440,-12.000]",127.942,63.440,,,1151.642,1247.802,,,82.832,-1.631283,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,1.000001,0.772,0.772,0.078097,0.034225,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,7,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,15,GM_RM011|000015|GM_RM011|000015.png|000007.png|2|O2:car:0.31,"[1152.377,1247.565,135.333,64.847,-12.000]",135.333,64.847,,,1152.377,1247.565,,,83.051,-1.119759,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,1.000001,0.772,0.772,0.078097,0.034225,usable,identity=linked_detection_overlap_moderate:moderate;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_moderate,moderate,7,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,16,GM_RM011|000016|GM_RM011|000016.png|000008.png|1|O1:car:0.36,"[1155.642,1249.802,127.942,63.440,-10.000]",127.942,63.440,,,1155.642,1249.802,,,80.815,1.164221,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.991160,3.958,3.958,0.078097,0.034225,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,8,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,16,GM_RM011|000016|GM_RM011|000016.png|000008.png|2|O2:car:0.72,"[1155.377,1248.565,135.333,64.847,-10.000]",135.333,64.847,,,1155.377,1248.565,,,82.047,0.961649,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.991160,1.265,1.265,0.078097,0.034225,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,8,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
GM_RM011,GM_RM011:PV001,development,17,GM_RM011|000017|gm_rm011_00013,"[1154.280,1243.984,130.160,67.327,172.000]",130.160,67.327,,,1154.280,1243.984,,,86.616,0.185217,1.000000000,deterministic_shared_imaging_valid_mask,1.000000000,false,false,false,true,0.931336,5.038,5.038,0.001443,0.076505,usable,identity=linked_detection_overlap_high:high;optical_visibility=partial_visible;fan_fraction=1.000000;neighbor_risk=true;jump_outlier=false;visual_review=direct_contact_sheet_and_case_atlas,linked_detection_overlap_high,high,8,partial_visible,false,true,meter fields remain blank; imaging_valid_mask is fixed geometry; GT is not a vehicle-response mask,1.000000000,true,false,false,false,true,pose_unstable,not_established_for_formal_mapping,pose_or_geometry_diagnostic,not_nearest_hard_sync_row_or_not_in_prior_visual_anchor_scope
