example_id,scene,vehicle_id,sar_frame,optical_frame,observation_instance_id,observation_type,direct_visual_description,pixel_geometry,metric_geometry,gt_reference_status,optical_presence_status,sar_attribution_status,evidence_layer,relation_type,related_instance_id,relation_basis,counterevidence,uncertainty_state,allowed_conclusion,forbidden_conclusion,canonical_evidence_path,source_evidence_path,reviewer_note
SR011,GM_RM017,GM_RM017:PV003,394,189,GM17_PV003_F394_R01,SARLocalResponseInstance,最后一个直接 GT 锚点内仍只有不完整弱响应。,weak lower/central band,partial local response,usable/high,PRESENT_PARTIAL,SUPPORTED_LOCAL_ONLY,DIRECT_OBSERVATION,,,,,,直接 SAR 几何支持止于 394。,从 394 自动外推 395-417 的 SAR 真值。,docs/reviews/assets/20260718_rsa2_o1_canonical/E06_GT_GAP_IS_NOT_SAR_OBSERVATION.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p03.png,
SR012,GM_RM017,GM_RM017:PV003,417,200,GM17_PV003_F417_U01,UnknownOrConflictState,光学车辆仍到达生命周期末端，但本帧无直接 SAR GT。,review crop helper anchored to frame 394 only,not reliably measurable,absent/interpolated_review_crop_only,PRESENT_PARTIAL_EXIT,UNKNOWN,UNKNOWN,,,,,NO_DIRECT_SAR_GT;OPTICAL_PRESENT_SAR_ATTRIBUTION_UNKNOWN;RESPONSE_BOUNDARY_UNKNOWN,保存 GT 缺口和归属未知。,插值得到 SAR 中心、边界或像素所有权。,docs/reviews/assets/20260718_rsa2_o1_canonical/E06_GT_GAP_IS_NOT_SAR_OBSERVATION.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p04.png,
SR013,GM_RM017,GM_RM017:PV004,337,162,GM17_PV004_F337_R01,SARLocalResponseInstance,首个 PV004 框内几乎没有清晰车辆尺度主响应。,isolated weak speck only,below approx 0.9 m apparent extent,usable/high,PRESENT_PARTIAL_ENTRY,UNRESOLVED,DIRECT_OBSERVATION,,,,,LOCAL_RESPONSE_PRESENT_OWNER_UNKNOWN,PV004 是 PV002 固定长带的直接反例。,车辆必须具有统一主带或固定部件数量。,docs/reviews/assets/20260718_rsa2_o1_canonical/E02_GM17_CROSS_VEHICLE_NON_TEMPLATE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p01.png,
SR014,GM_RM017,GM_RM017:PV004,394,189,GM17_PV004_F394_R01,SARLocalResponseInstance,长有效 GT 区间末端仍无稳定车辆尺度响应。,weak central return,not a complete vehicle response,usable/high,PRESENT_FULL,UNRESOLVED,DIRECT_OBSERVATION,,,,,RESPONSE_BOUNDARY_UNKNOWN,394 是直接 GT 锚点。,缺少主带等于车辆异常或不可见。,docs/reviews/assets/20260718_rsa2_o1_canonical/E06_GT_GAP_IS_NOT_SAR_OBSERVATION.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p02.png,
SR015,GM_RM017,GM_RM017:PV004,429,206,GM17_PV004_F429_G01_G02,GTGeometryReference,usable 主框与 diagnostic duplicate 同帧存在。,two centers separated by 158.1 px,approx 4.74 m separation,duplicate/conflicting,PRESENT_PARTIAL,UNRESOLVED,UNKNOWN,,,,,DUPLICATE_SAME_ID_BOX;IDENTITY_LINK_CONFLICT,直接 GT 在 429 恢复但身份/几何仍冲突。,将任一框内亮点自动归属 PV004。,docs/reviews/assets/20260718_rsa2_o1_canonical/E06_GT_GAP_IS_NOT_SAR_OBSERVATION.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p04.png,
SR016,GM_RM017,GM_RM017:PV004,438,210,GM17_PV004_F438_G01_G02,GTGeometryReference,晚期 duplicate 冲突再次出现。,two centers separated by 170.7 px,approx 5.12 m separation,duplicate/conflicting,PRESENT_PARTIAL,UNRESOLVED,UNKNOWN,,,,,DUPLICATE_SAME_ID_BOX;IDENTITY_LINK_CONFLICT,冲突需跨帧保留。,把重复框当一车正常移动。,docs/reviews/assets/20260718_rsa2_o1_canonical/E04_GM17_IDENTITY_GEOMETRY_CONFLICT_335_337.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p04.png,
SR017,GM_RM017,GM_RM017:PV004,446,214,GM17_PV004_F446_U01,UnknownOrConflictState,退出帧 usable GT 内仍缺少稳定主响应。,weak/absent box-local response,not reliably measurable,usable/high,PRESENT_PARTIAL_EXIT,UNKNOWN,UNKNOWN,,,,,RESPONSE_BOUNDARY_UNKNOWN,车辆生命周期结束但响应边界仍未知。,持续背景结构继续归属退出车辆。,docs/reviews/assets/20260718_rsa2_o1_canonical/E02_GM17_CROSS_VEHICLE_NON_TEMPLATE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p04.png,
SR018,GM_RM019,GM_RM019:PV001,0,0,GM19_PV001_F000_G01_G02,GTGeometryReference,PV001 高置信主框和低置信 duplicate 同帧出现。,two centers separated by 211.5 px,approx 6.34 m separation,duplicate/conflicting,PRESENT_PARTIAL_ENTRY,UNRESOLVED,UNKNOWN,,,,,DUPLICATE_SAME_ID_BOX;IDENTITY_LINK_CONFLICT,身份问题从生命周期起点即存在。,时间持续让两个框都成为真值。,docs/reviews/assets/20260718_rsa2_o1_canonical/E07_SAR_METRIC_GRID_SCALE_REFERENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p01.png,
SR019,GM_RM019,GM_RM019:PV001,4,2,GM19_PV001_F004_G01_G02,GTGeometryReference,duplicate 位置继续分离。,two centers separated by 208.6 px,approx 6.26 m separation,duplicate/conflicting,PRESENT_PARTIAL,UNRESOLVED,UNKNOWN,,,,,DUPLICATE_SAME_ID_BOX,重复链接不是单帧异常。,tracker/GT ID 连续即可确认物理身份。,docs/reviews/assets/20260718_rsa2_o1_canonical/E07_SAR_METRIC_GRID_SCALE_REFERENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p01.png,
SR020,GM_RM019,GM_RM019:PV001,8,4,GM19_PV001_F008_R01,SARLocalResponseInstance,单一 usable GT 内只见稀疏局部返回。,weak central/lower returns,approx 0.6-1.5 m apparent extent,usable/high,PRESENT_PARTIAL,SUPPORTED_LOCAL_ONLY,DIRECT_OBSERVATION,,,,,,车辆存在时可见局部响应。,局部响应是完整车体。,docs/reviews/assets/20260718_rsa2_o1_canonical/E03_GM19_LIFECYCLE_BACKGROUND_PERSISTENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p01.png,
SR021,GM_RM019,GM_RM019:PV001,27,13,GM19_PV001_F027_R01,SARLocalResponseInstance,PV001 与 PV002 同帧有 usable 框，PV001 框内响应稀疏。,weak local return in PV001 box,partial local response,usable/high,PRESENT_PARTIAL_NEAR_EXIT,UNRESOLVED,DIRECT_OBSERVATION,,,,,BACKGROUND_VEHICLE_MIXED,这是直接两车几何上下文。,独立裁剪后忽略另一个车辆。,docs/reviews/assets/20260718_rsa2_o1_canonical/E05_GM19_MULTIVEHICLE_EXCLUSIVITY_27_31.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p01.png,
SR022,GM_RM019,GM_RM019:PV001,35,17,GM19_BG01,SceneBackgroundStructure,PV001 已退出，中央竖线、圆弧和热点仍持续。,scene-fixed vertical line / fan arcs / hotspot,scene-scale multi-meter structures,absent/interpolated_review_crop_only,EXITED,BACKGROUND_EXCLUDED,DIRECT_OBSERVATION,background_persistence_conflict,GM19_PV001_F008_R01,结构在 PV001 退出后仍在场景坐标中出现。,车辆生命周期已结束。,,该持续结构不能继续归属 PV001。,高频或持续像素就是车辆部件。,docs/reviews/assets/20260718_rsa2_o1_canonical/E03_GM19_LIFECYCLE_BACKGROUND_PERSISTENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p02.png,
SR023,GM_RM019,GM_RM019:PV002,27,13,GM19_PV002_F027_R01,SARLocalResponseInstance,可靠 MPV GT 内仅见稀疏中央/下侧局部返回。,central/lower sparse returns,approx 0.6-1.8 m apparent extent,usable/high,PRESENT_PARTIAL,SUPPORTED_LOCAL_ONLY,DIRECT_OBSERVATION,,,,,,单帧观察不完整。,R01 是固定跨帧部件。,docs/reviews/assets/20260718_rsa2_o1_canonical/E05_GM19_MULTIVEHICLE_EXCLUSIVITY_27_31.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_vehicle_coordinate_and_background_risk.png,
SR024,GM_RM019,GM_RM019:PV002,31,15,GM19_PV002_F031_R01,SARLocalResponseInstance,主框内有局部 cluster，另一个同 ID 框位于 225 px 外。,primary local cluster; duplicate center separation 225.0 px,duplicate separation approx 6.75 m,usable/high + diagnostic duplicate,PRESENT_PARTIAL,PRIMARY_LOCAL_ONLY;DUPLICATE_UNRESOLVED,DIRECT_OBSERVATION,,,,,DUPLICATE_SAME_ID_BOX;IDENTITY_LINK_CONFLICT,主框仅作为审阅锚点；duplicate 保持未决。,框内亮点自动属于 PV002 或 duplicate 是同车正常移动。,docs/reviews/assets/20260718_rsa2_o1_canonical/E05_GM19_MULTIVEHICLE_EXCLUSIVITY_27_31.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_vehicle_coordinate_and_background_risk.png,
SR025,GM_RM019,GM_RM019:PV002,40,19,GM19_PV002_F040_U01,UnknownOrConflictState,光学 MPV 仍可见，但 SAR 处于 32-76 直接 GT 缺口。,interpolated review crop only,not reliably measurable,absent/interpolated_review_crop_only,PRESENT_PARTIAL,UNKNOWN,UNKNOWN,,,,,NO_DIRECT_SAR_GT;OPTICAL_PRESENT_SAR_ATTRIBUTION_UNKNOWN,保存光学存在与 SAR 归属未知的分离状态。,从光学 bbox 或插值获得 SAR 像素所有权。,docs/reviews/assets/20260718_rsa2_o1_canonical/E06_GT_GAP_IS_NOT_SAR_OBSERVATION.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_sar_10_90_contact_p01.png,
SR026,GM_RM019,GM_RM019:PV002,60,29,GM19_PV002_F060_U01,UnknownOrConflictState,MPV 接近退出，仍无直接 SAR GT；背景结构持续。,interpolated review crop only with persistent vertical/arc structure,not reliably measurable,absent/interpolated_review_crop_only,PRESENT_PARTIAL_NEAR_EXIT,UNKNOWN,UNKNOWN,,,,,NO_DIRECT_SAR_GT;BACKGROUND_VEHICLE_MIXED;RESPONSE_BOUNDARY_UNKNOWN,完整生命周期约束归属期限但不提供 Mask。,把缺口当对象消失或把背景持续当车辆持续。,docs/reviews/assets/20260718_rsa2_o1_canonical/E03_GM19_LIFECYCLE_BACKGROUND_PERSISTENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p04.png,
SR027,GM_RM019,GM_RM019:PV002,77,37,GM19_PV002_F077_R01,SARLocalResponseInstance,退出侧 usable GT 内有紧凑间歇 cluster。,compact central/lower cluster,approx 0.6-1.8 m apparent extent,usable/high,PRESENT_PARTIAL,SUPPORTED_LOCAL_ONLY,DIRECT_OBSERVATION,,,,,,这是一个新的帧内局部实例。,与 F027_R01 是同一物理散射部件。,docs/reviews/assets/20260718_rsa2_o1_canonical/E01_GM17_PV002_MULTIFRAME_COMPLEMENTARITY.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_vehicle_coordinate_and_background_risk.png,
SR028,GM_RM019,GM_RM019:PV002,81,39,GM19_PV002_F081_R01,SARLocalResponseInstance,GT 角度变为 12 度，局部响应仍稀疏。,weak central/endpoint return,partial local response,usable/high,PRESENT_PARTIAL,SUPPORTED_LOCAL_ONLY,DIRECT_OBSERVATION,,,,,,姿态和局部显现可变化。,响应应随 GT 作为完整刚体旋转。,docs/reviews/assets/20260718_rsa2_o1_canonical/E01_GM17_PV002_MULTIFRAME_COMPLEMENTARITY.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_sar_10_90_contact_p03.png,
SR029,GM_RM019,GM_RM019:PV002,88,42,GM19_PV002_F088_R01,SARLocalResponseInstance,最后直接 GT 内只剩弱局部响应。,weak central/lower return,approx 0.45-1.2 m apparent extent,usable/high,PRESENT_PARTIAL_NEAR_EXIT,SUPPORTED_LOCAL_ONLY,DIRECT_OBSERVATION,,,,,,弱响应不等于车辆已消失。,固定场景结构在退出后继续归属车辆。,docs/reviews/assets/20260718_rsa2_o1_canonical/E03_GM19_LIFECYCLE_BACKGROUND_PERSISTENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_vehicle_coordinate_and_background_risk.png,
SR030,GM_RM019,SCENE_BACKGROUND,0-90,0-43,GM19_BG01,SceneBackgroundStructure,中央近竖直亮线跨车辆生命线持续。,scene-centre vertical line,scene-scale structure,not applicable,INDEPENDENT_OF_VEHICLE,BACKGROUND,DIRECT_OBSERVATION,,,,,,背景结构具有跨帧场景身份。,background_risk=true 足以替代实体记录。,docs/reviews/assets/20260718_rsa2_o1_canonical/E03_GM19_LIFECYCLE_BACKGROUND_PERSISTENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p01.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p04.png,
SR031,GM_RM019,SCENE_BACKGROUND,0-90,0-43,GM19_BG02,SceneBackgroundStructure,多条扇形圆弧在车辆进入、重叠和退出后持续。,fan arcs across scene,scene-scale multi-meter arcs,not applicable,INDEPENDENT_OF_VEHICLE,BACKGROUND,DIRECT_OBSERVATION,,,,,,圆弧是正式背景实体。,圆弧落入 GT 即成为车辆部件。,docs/reviews/assets/20260718_rsa2_o1_canonical/E03_GM19_LIFECYCLE_BACKGROUND_PERSISTENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p01.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p04.png,
SR032,GM_RM019,SCENE_BACKGROUND,0-90,0-43,GM19_BG03,SceneBackgroundStructure,近底部热点群在车辆退出后仍存在。,persistent hotspot cluster near fan origin,scene-scale mixed hotspot region,not applicable,INDEPENDENT_OF_VEHICLE,BACKGROUND_OR_MIXED,DIRECT_OBSERVATION,,,,,BACKGROUND_VEHICLE_MIXED,热点持续性可作为背景反证。,最大值或频率自动证明车辆部件。,docs/reviews/assets/20260718_rsa2_o1_canonical/E03_GM19_LIFECYCLE_BACKGROUND_PERSISTENCE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p02.png,
SR033,GM_RM017,SCENE_BACKGROUND,302-446,145-214,GM17_BG02,SceneBackgroundStructure,斜线/弧线结构跨 PV002/PV003/PV004 邻域出现，PV004 中尤为突出。,diagonal and arc-like scene structure,multi-meter scene structure,not applicable,INDEPENDENT_OF_VEHICLE,BACKGROUND_OR_MIXED,DIRECT_OBSERVATION,,,,,,背景结构必须独立于车辆实例保存。,人工 barrier 是背景语义本身。,docs/reviews/assets/20260718_rsa2_o1_canonical/E02_GM17_CROSS_VEHICLE_NON_TEMPLATE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p02.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p03.png,
SR034,GM_RM017,GM_RM017:PV002,330->339,158->163,GM17_PV002_F330_R01,SARLocalResponseInstance,,,,,,UNRESOLVED,RELATION_INFERENCE,possibly_complementary,GM17_PV002_F339_R01,同一光学物理车辆上下文；两帧均有 usable GT；局部响应范围与强度不同。,无直接证据证明两实例为同一散射部件。,PHYSICAL_PART_IDENTITY_UNKNOWN,可记录为可能互补的同车帧间关系。,same_part=true 或 continued_part=true。,docs/reviews/assets/20260718_rsa2_o1_canonical/E01_GM17_PV002_MULTIFRAME_COMPLEMENTARITY.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png,
SR035,GM_RM017,GM_RM017:PV002,339->344,163->165,GM17_PV002_F339_R01,SARLocalResponseInstance,,,,,,UNRESOLVED,RELATION_INFERENCE,possibly_alternative_manifestation,GM17_PV002_F344_R01,车辆身份和尺度相容，局部宽度/强度改变。,对齐裁剪可能强化相似感；背景竖线仍混入。,PHYSICAL_PART_IDENTITY_UNKNOWN,两实例是同车上下文中的不同显现。,刚性模板逐帧传播。,docs/reviews/assets/20260718_rsa2_o1_canonical/E01_GM17_PV002_MULTIFRAME_COMPLEMENTARITY.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_vehicle_coordinate_and_parts.png,
SR036,GM_RM017,GM_RM017:PV002;GM_RM017:PV003;GM_RM017:PV004,350,168,GM17_PV002_F350_R01,SARLocalResponseInstance,,,,,,UNRESOLVED,RELATION_INFERENCE,different_vehicle_exclusivity,GM17_PV003_F350_R01;GM17_PV004_F350_R01,光学三车顺序明确；同帧三车 GT 分离；响应显现差异显著。,局部背景在框边混合。,,PV002 长带不能跨车推广。,统一固定切线或跨车部件模板。,docs/reviews/assets/20260718_rsa2_o1_canonical/E02_GM17_CROSS_VEHICLE_NON_TEMPLATE.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv002_sar_302_386_contact_p02.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p02.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p01.png,
SR037,GM_RM017,GM_RM017:PV003,335,161,GM17_PV003_F335_G01_G02,CrossFrameRelation,,,,,,UNRESOLVED,RELATION_INFERENCE,identity_geometry_conflict,GM17_PV004_F337_R01,335/336 上左 PV003 duplicate 在 337 转为 PV004 轨迹；光学白 SUV 和后方深色轿车同时可见。,没有授权自动重标或唯一纠正。,IDENTITY_LINK_CONFLICT,登记 identity/geometry conflict。,亮度自动修正 GT identity link。,docs/reviews/assets/20260718_rsa2_o1_canonical/E04_GM17_IDENTITY_GEOMETRY_CONFLICT_335_337.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png,
SR038,GM_RM017,GM_RM017:PV003,336,161,GM17_PV003_F336_G01_G02,CrossFrameRelation,,,,,,UNRESOLVED,RELATION_INFERENCE,identity_geometry_conflict,GM17_PV004_F337_R01,同 ID 框分离 5.05 m，下一帧分成 PV003/PV004。,两框都仅 diagnostic-only。,IDENTITY_LINK_CONFLICT,保留冲突及适用帧 335-337。,将 5 m 跳变解释为响应传播。,docs/reviews/assets/20260718_rsa2_o1_canonical/E04_GM17_IDENTITY_GEOMETRY_CONFLICT_335_337.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png,
SR039,GM_RM017,GM_RM017:PV003;GM_RM017:PV004,337,162,GM17_PV003_F337_R01,MultiVehicleExclusivityRelation,,,,,,UNRESOLVED,RELATION_INFERENCE,different_vehicle_exclusivity,GM17_PV004_F337_R01,光学中两车同时可见且前后顺序明确；SAR 框位置分开。,PV003 GT 为 diagnostic-only，局部响应所有权仍不完整。,LOCAL_RESPONSE_PRESENT_OWNER_UNKNOWN,两辆物理车辆不能共用同一响应实例。,相邻亮点自动唯一归属。,docs/reviews/assets/20260718_rsa2_o1_canonical/E04_GM17_IDENTITY_GEOMETRY_CONFLICT_335_337.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png,
SR040,GM_RM017,GM_RM017:PV003,394->417,189->200,GM17_PV003_F394_R01,CrossFrameRelation,,,,,,UNRESOLVED,RELATION_INFERENCE,insufficient_direct_gt,GM17_PV003_F417_U01,光学生命线继续，但 395-417 无直接 SAR GT。,插值裁剪不是 GT，也不是 SAR 响应证据。,NO_DIRECT_SAR_GT,保存同车光学上下文和 SAR 几何缺口。,将缺口补成确定 SAR 轨迹。,docs/reviews/assets/20260718_rsa2_o1_canonical/E06_GT_GAP_IS_NOT_SAR_OBSERVATION.png,reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p03.png;reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p04.png,
