research_unit_id,scene,canonical_vehicle_id,source_segment_id,target_region_id,benchmark_role,research_role,unit_type,counterfactual_semantic_class,temporal_direction_applicability,temporal_correspondence_applicability,vehicle_present_in_target,valid_for_identity_test,valid_for_vehicle_class_test,valid_for_temporal_test,valid_for_temporal_test_scope,valid_for_temporal_correspondence_test,valid_for_temporal_direction_test,background_spatial_control_group,background_parameter_envelope_group,background_control_semantic_role,transform_rule_id,frame_count,freeze_source,replay_status,optical_identity_source,center_source,axis_source,scale_source,gt_information_debt,optical_condition_execution_status,counterfactual_scope_limitation,vehicle_absence_evidence_scope,anchor_variant_contract,pair_membership_source_segment_id,pair_membership_contract,background_type,background_quality_status,background_reviewed_gt_overlap,config_hash,review_status,notes
S0MV-GM_RM017-PV002-SEG02|TEMPORAL_REVERSE,GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,S0MV-GM_RM017-PV002-SEG02,development,temporal_relation_falsification,temporal_counterfactual,TEMPORAL_NEGATIVE,NOT_APPLICABLE_TO_TIME_REVERSAL,APPLICABLE_TO_TEMPORAL_CORRESPONDENCE_CONTROL,true,false,false,true,CORRESPONDENCE_ONLY,true,false,,,,IMAGE_ORDER_REVERSED,65,S0MV-GM_RM017-PV002-SEG02,DEVELOPMENT_FROZEN,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,WITHIN_THREAD_GM_RM017_TEMPORAL_CONTROL;NO_CROSS_SCENE_REPLAY,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV002-SEG02,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,"reverse-order image-to-original-anchor correspondence mismatch; correspondence robustness only, not an arrow-of-time experiment"
S0MV-GM_RM017-PV002-SEG02|TRAJECTORY_TIME_SHIFT_P8,GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,S0MV-GM_RM017-PV002-SEG02,development,temporal_relation_falsification,temporal_counterfactual,TEMPORAL_NEGATIVE,NOT_EVALUATED_DIRECTION_INSENSITIVE_METRICS,APPLICABLE_TO_TEMPORAL_CORRESPONDENCE_CONTROL,true,false,false,true,CORRESPONDENCE_ONLY,true,false,,,,TRAJECTORY_TIME_SHIFT_P8,56,S0MV-GM_RM017-PV002-SEG02,DEVELOPMENT_FROZEN,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,WITHIN_THREAD_GM_RM017_TEMPORAL_CONTROL;NO_CROSS_SCENE_REPLAY,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV002-SEG02,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,exact +8 SAR-frame mapping; no row-order-only pseudo shuffle
S0MV-GM_RM017-PV002-SEG02|CENTER_PHASE_SHIFT_P8,GM_RM017,GM_RM017:PV002,S0MV-GM_RM017-PV002-SEG02,S0MV-GM_RM017-PV002-SEG02,development,temporal_relation_falsification,temporal_counterfactual,TEMPORAL_NEGATIVE,NOT_EVALUATED_DIRECTION_INSENSITIVE_METRICS,APPLICABLE_TO_TEMPORAL_CORRESPONDENCE_CONTROL,true,false,false,true,CORRESPONDENCE_ONLY,true,false,,,,CENTER_PHASE_SHIFT_P8,56,S0MV-GM_RM017-PV002-SEG02,DEVELOPMENT_FROZEN,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,WITHIN_THREAD_GM_RM017_TEMPORAL_CONTROL;NO_CROSS_SCENE_REPLAY,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV002-SEG02,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,exact +8 SAR-frame mapping; no row-order-only pseudo shuffle
S0MV-GM_RM017-PV003-SEG01|TEMPORAL_SHUFFLE,GM_RM017,GM_RM017:PV003,S0MV-GM_RM017-PV003-SEG01,S0MV-GM_RM017-PV003-SEG01,heldout_validation,temporal_relation_falsification,temporal_counterfactual,TEMPORAL_NEGATIVE,NOT_EVALUATED_DIRECTION_INSENSITIVE_METRICS,APPLICABLE_TO_TEMPORAL_CORRESPONDENCE_CONTROL,true,false,false,true,CORRESPONDENCE_ONLY,true,false,,,,IMAGE_ORDER_DETERMINISTIC_SHUFFLE,67,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,WITHIN_THREAD_GM_RM017_TEMPORAL_CONTROL;NO_CROSS_SCENE_REPLAY,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV003-SEG01,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,deterministic image-order shuffle with anchors held at original time; correspondence control only
S0MV-GM_RM017-PV003-SEG01|TEMPORAL_REVERSE,GM_RM017,GM_RM017:PV003,S0MV-GM_RM017-PV003-SEG01,S0MV-GM_RM017-PV003-SEG01,heldout_validation,temporal_relation_falsification,temporal_counterfactual,TEMPORAL_NEGATIVE,NOT_APPLICABLE_TO_TIME_REVERSAL,APPLICABLE_TO_TEMPORAL_CORRESPONDENCE_CONTROL,true,false,false,true,CORRESPONDENCE_ONLY,true,false,,,,IMAGE_ORDER_REVERSED,67,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,WITHIN_THREAD_GM_RM017_TEMPORAL_CONTROL;NO_CROSS_SCENE_REPLAY,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV003-SEG01,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,"reverse-order image-to-original-anchor correspondence mismatch; correspondence robustness only, not an arrow-of-time experiment"
S0MV-GM_RM017-PV003-SEG01|TRAJECTORY_TIME_SHIFT_P8,GM_RM017,GM_RM017:PV003,S0MV-GM_RM017-PV003-SEG01,S0MV-GM_RM017-PV003-SEG01,heldout_validation,temporal_relation_falsification,temporal_counterfactual,TEMPORAL_NEGATIVE,NOT_EVALUATED_DIRECTION_INSENSITIVE_METRICS,APPLICABLE_TO_TEMPORAL_CORRESPONDENCE_CONTROL,true,false,false,true,CORRESPONDENCE_ONLY,true,false,,,,TRAJECTORY_TIME_SHIFT_P8,55,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,WITHIN_THREAD_GM_RM017_TEMPORAL_CONTROL;NO_CROSS_SCENE_REPLAY,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV003-SEG01,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,exact +8 SAR-frame mapping; no row-order-only pseudo shuffle
S0MV-GM_RM017-PV003-SEG01|CENTER_PHASE_SHIFT_P8,GM_RM017,GM_RM017:PV003,S0MV-GM_RM017-PV003-SEG01,S0MV-GM_RM017-PV003-SEG01,heldout_validation,temporal_relation_falsification,temporal_counterfactual,TEMPORAL_NEGATIVE,NOT_EVALUATED_DIRECTION_INSENSITIVE_METRICS,APPLICABLE_TO_TEMPORAL_CORRESPONDENCE_CONTROL,true,false,false,true,CORRESPONDENCE_ONLY,true,false,,,,CENTER_PHASE_SHIFT_P8,55,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,WITHIN_THREAD_GM_RM017_TEMPORAL_CONTROL;NO_CROSS_SCENE_REPLAY,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV003-SEG01,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,exact +8 SAR-frame mapping; no row-order-only pseudo shuffle
S0MV-GM_RM017-PV004-SEG01|TEMPORAL_SHUFFLE,GM_RM017,GM_RM017:PV004,S0MV-GM_RM017-PV004-SEG01,S0MV-GM_RM017-PV004-SEG01,heldout_validation,temporal_relation_falsification,temporal_counterfactual,TEMPORAL_NEGATIVE,NOT_EVALUATED_DIRECTION_INSENSITIVE_METRICS,APPLICABLE_TO_TEMPORAL_CORRESPONDENCE_CONTROL,true,false,false,true,CORRESPONDENCE_ONLY,true,false,,,,IMAGE_ORDER_DETERMINISTIC_SHUFFLE,58,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,WITHIN_THREAD_GM_RM017_TEMPORAL_CONTROL;NO_CROSS_SCENE_REPLAY,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV004-SEG01,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,deterministic image-order shuffle with anchors held at original time; correspondence control only
S0MV-GM_RM017-PV004-SEG01|TEMPORAL_REVERSE,GM_RM017,GM_RM017:PV004,S0MV-GM_RM017-PV004-SEG01,S0MV-GM_RM017-PV004-SEG01,heldout_validation,temporal_relation_falsification,temporal_counterfactual,TEMPORAL_NEGATIVE,NOT_APPLICABLE_TO_TIME_REVERSAL,APPLICABLE_TO_TEMPORAL_CORRESPONDENCE_CONTROL,true,false,false,true,CORRESPONDENCE_ONLY,true,false,,,,IMAGE_ORDER_REVERSED,58,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,WITHIN_THREAD_GM_RM017_TEMPORAL_CONTROL;NO_CROSS_SCENE_REPLAY,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV004-SEG01,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,"reverse-order image-to-original-anchor correspondence mismatch; correspondence robustness only, not an arrow-of-time experiment"
S0MV-GM_RM017-PV004-SEG01|TRAJECTORY_TIME_SHIFT_P8,GM_RM017,GM_RM017:PV004,S0MV-GM_RM017-PV004-SEG01,S0MV-GM_RM017-PV004-SEG01,heldout_validation,temporal_relation_falsification,temporal_counterfactual,TEMPORAL_NEGATIVE,NOT_EVALUATED_DIRECTION_INSENSITIVE_METRICS,APPLICABLE_TO_TEMPORAL_CORRESPONDENCE_CONTROL,true,false,false,true,CORRESPONDENCE_ONLY,true,false,,,,TRAJECTORY_TIME_SHIFT_P8,50,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,WITHIN_THREAD_GM_RM017_TEMPORAL_CONTROL;NO_CROSS_SCENE_REPLAY,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV004-SEG01,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,exact +8 SAR-frame mapping; no row-order-only pseudo shuffle
S0MV-GM_RM017-PV004-SEG01|CENTER_PHASE_SHIFT_P8,GM_RM017,GM_RM017:PV004,S0MV-GM_RM017-PV004-SEG01,S0MV-GM_RM017-PV004-SEG01,heldout_validation,temporal_relation_falsification,temporal_counterfactual,TEMPORAL_NEGATIVE,NOT_EVALUATED_DIRECTION_INSENSITIVE_METRICS,APPLICABLE_TO_TEMPORAL_CORRESPONDENCE_CONTROL,true,false,false,true,CORRESPONDENCE_ONLY,true,false,,,,CENTER_PHASE_SHIFT_P8,50,S0MV-GM_RM017-PV002-SEG02,FIXED_REPLAY,OPTICAL_COMPLETE_VEHICLE_THREAD_FUTURE_SOURCE_NOT_EXECUTED,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_AZIMUTH_AND_TIME_STATE,GT_DISCOVERY_ONLY_FUTURE_OPTICAL_POSE_OR_MOTION_AXIS,GT_DISCOVERY_ONLY_FUTURE_VEHICLE_OR_OPTICAL_SIZE_RANGE,GT_DISCOVERY_ONLY;FUTURE_REPLACEABLE;DEPLOYMENT_SOURCE_NOT_READY,NOT_EXECUTED_GT_DISCOVERY_PROXY_ONLY,WITHIN_THREAD_GM_RM017_TEMPORAL_CONTROL;NO_CROSS_SCENE_REPLAY,NOT_APPLICABLE,RAW_AND_SMOOTHED_SEPARATE_SOURCE_POSITIVE_PAIR_SETS_FOR_ALL_UNITS,S0MV-GM_RM017-PV004-SEG01,SOURCE_POSITIVE_PAIR_SET_FRAME_INTERSECTION_NO_RESELECTION,,,,a62d5f6bdb3c902f1651ee03e4bd2c30e5403fdb4ee53a03e0ee3899402e9113,directly_reviewed_complete,exact +8 SAR-frame mapping; no row-order-only pseudo shuffle
